id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105122613658249	,P29ghflG1,第一次听说，又涨知识了,,,,,2024-11-27T00:45:41,iPhone客户端,0,0,0,,,2024-11-27 00:45:41,False,1433968221,北京大学彭喆医生,4952466229561301	,Nm0SWE7kx,"-【断喙突？争取更多截骨空间、让脸更小的新技术！】-
喙突，在40%的人里，有可能阻挡你的颧弓内推空间！为什么我们断喙突技术做的更好？
（不是所有人都需要断喙突，需要的人才做）
（1）我们有技术能够完整取出断端；
（2）我们有处理喙突断端的成熟方法，处理后能减少增生，最大程度降低断喙突的副作用
（3）我不会随意给人断喙突。经过术前精密的CT测量核算，在运动状态下有卡压才会给患者断，不是单单看到喙突长就一定要求断！
任何手术，都不是暴力去骨，骨头去掉了多就是成功！手术的安全性，技术性都有很多细节，不是只看表面去掉了就等于这个技术会做、成功！#磨骨##削骨##颧骨内推##轮廓手术##轮廓三件套##颧骨##颧弓##颧骨颧弓##颧弓内推#磨骨# 
北京大学彭喆医生的微博视频",,,"https://f.video.weibocdn.com/u0/nyz91W98gx0893XldwkM01041200Jpt30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732889778&ssig=VkUpvQASIL&KID=unistore,video",,2023-10-02T18:43:44,微博视频号,31,2,15,"磨骨,削骨,颧骨内推,轮廓手术,轮廓三件套,颧骨,颧弓,颧骨颧弓,颧弓内推",,2023-10-02 18:43:44
5103112144817602	,P1iXAkdhg,转发微博,,,,,2024-11-21T11:36:49,iPhone客户端,0,0,0,,,2024-11-21 11:36:49,False,1718056611,哎呦唯妮,5102963250955408	,P1f5r40xO,准备去🇰🇷纹唇  素颜显白还修饰唇形   最重要🇰🇷调色真的好看   不想开刀和打针的我先替你们🐛一下    和我一样大厚唇审美的可蹲 ,,"https://wx1.sinaimg.cn/large/666776a3gy1hvt8cdy7zzj20eu11r0vt.jpg,https://wx1.sinaimg.cn/large/666776a3gy1hvt8ce94l9j20p10zuq6q.jpg,https://wx4.sinaimg.cn/large/666776a3gy1hvt8cdmx8xj20re129adz.jpg,https://wx3.sinaimg.cn/large/666776a3gy1hvt8cfu3m2j20zu25ohb6.jpg,https://wx2.sinaimg.cn/large/666776a3gy1hvt8ei27hkj20zu25o4qp.jpg",,,2024-11-21T01:45:10,iPhone客户端,64,19,25,,,2024-11-21 01:45:10
5102974636393756	,P1fnNqPj6,转发微博,,,,,2024-11-21T02:30:24,iPhone客户端,0,0,0,,,2024-11-21 02:30:24,False,7610994121,宝妮拉拉,4963990490059736	,NqQGt0fxu,"双鄂短的是耳朵到下巴的距离  我拿这位美女举例画一下
中庭是不会有很明显短，我双鄂完眼位下来的程度还不如做个卧蚕明显。
如果你本身这块距离近那就短的空间不大。有的人做完下颌不留角变🐴脸就是因为这块太长
但弊端也明显，耳朵到下巴距离变短后 下颌缘的组织也会一并垂到下巴上 ",,"https://wx3.sinaimg.cn/large/008j4XfHgy1hjhvg1nvayj30yq0pb451.jpg,https://wx4.sinaimg.cn/large/008j4XfHgy1hjhvg14h52j31jk15jtex.jpg",,,2023-11-03T13:57:02,iPhone客户端,40,8,14,,,2023-11-03 13:57:02
5102971828306654	,P1fjgyQWi,转发微博,,,,,2024-11-21T02:19:15,iPhone客户端,0,0,0,,,2024-11-21 02:19:15,False,7610994121,宝妮拉拉,4985857542982414	,NA1xUcvRs,"双鄂的数据每一项要问清楚，比如我双鄂上抬了4，旋转了2，下巴进去了2左右所以医院告知一共短了8
但有的医院数据着重在你下巴缩短这样很容易做寂寞，双鄂精髓在旋转上抬，能接受以后必做人中的话可以多上抬一点 ",,,,,2024-01-02T22:08:54,iPhone客户端,19,6,14,,,2024-01-02 22:08:54
5102966950594262	,P1fbp2uAS,码住,,,,,2024-11-21T01:59:52,iPhone客户端,1,0,0,,,2024-11-21 01:59:52,False,6451548082,安玖梨牙,5071739140702426	,Ou6gi2WJs,"变美美的时候可以遵循几个原则
1️⃣尽量扬长避短 明确自己的优势 尽可能发挥自己的长处
比如我自己 我知道自己比较白 我就尽可能不晒太阳 吃白白丸打护肝针 全身刷酸打光子 去强化自己白的优势（没有说黑就不好的意思哈 但大部分人肯定是白了好看 我变黑是肯定很土 像个瘦🐒）
再就是我头发很长很多 我就尽可能少折腾 日常多展现毛流感和生命力 不烫染不接发 再心动都不做 想换造型就带假发 保留头发自然乌黑 如果能保养到光泽和质感就更好 
2️⃣小部位可以去精益求精 
但不需要一直盯着细节来回抠
因为别人看你其实是看一个整体
大方向大框架把握好
尤其是身材 体态 皮肤 头发 牙齿
这些都是大面积的特征
穿搭 妆容 发型是中框架
也可以作为很强的辅助
其实最后小框架才是我们整女一直在来回修改的五官
3️⃣保留一定的辨识度
有些不完美也可以作为自己的个人特色
我的眼睛算是我最辨识度的五官 
我就从不动眼睛 怕外一没整好反而有痕迹
就算我眉弓很高眼窝凹陷得很厉害
我也没有去全部填掉 只会适当填充
也会在日常去强化眼部 我一年四季接睫毛 打卧蚕就是让人一眼就注意到我眼睛
但我说的特色是指你本身是加分项的部分哈
可以慎重去保留一点不完美
如果是某些大bug的特质就不要硬留了哈😅
严重的地包天 突嘴颌面问题该双鄂就双鄂（必须是严重的才推荐哦）该掩饰就掩饰 颌面问题特色不了一点 这是致命bug哈 基底没打好做啥都徒劳
脸盘子大 下颌角方 该切骨头就切 别自欺欺人说是个人特色了哈 别杠我说女明星也有方脸 女明星所谓的方脸和你那方脸就不是一回事
4️⃣大部分人变美第一步应该是减肥
瘦才能发挥你最大的美
并且是最低成本的变美
先别管其他的 先瘦下来好吗
5️⃣确定自己做这个项目的收益一定大于弊端再做 收益很小不建议冒险
6️⃣尽可能不要做有整容痕迹和拼接感的项目
除非你确定满足上一条加分一定大于减分
7️⃣最后说过很多遍 适可而止适可而止 切忌贪心
祝大家早日上岸#牙宝的医美日记#",,"https://wx2.sinaimg.cn/large/0072C2n8gy1ht1m9i2hj2j31o027ub2b.jpg,https://wx4.sinaimg.cn/large/0072C2n8gy1ht1m9j4f8mj31o0287kjm.jpg,https://wx4.sinaimg.cn/large/0072C2n8gy1hsya1lsjflj30wr17fgol.jpg",,,2024-08-26T21:51:41,iPhone 15 Pro,264,32,30,牙宝的医美日记,,2024-08-26 21:51:41
5102961896195142	,P1f3fpZDE,双鄂必备需知,,,,,2024-11-21T01:39:47,iPhone客户端,1,0,0,,,2024-11-21 01:39:47,False,6451548082,安玖梨牙,4387259954881784	,HAC1RktYs,"【轮廓术后护理】
给大家写一下轮廓/双鄂术后我总结的小tips
希望大家都可以顺顺利利恢复
1⃣️双鄂之后会有嗓子疼 有痰 咽不下去也吐不出来 那时候用舌头轻轻的把痰推出来 会好很多；我今天做颧骨没有痰 嗓子也已经没啥感觉了
2⃣️做完以后垂直坐着，但是玩手机不要低头！！我之前双鄂之后几小时在斗地主……一直整个脖子低头玩……结果这样会越来越肿
3⃣️不要擤鼻涕！！我双鄂的时候不管，一个月狂擤鼻涕……因为双鄂之后鼻子也被切断过，鼻腔里面有腔隙，如果擤鼻涕气腔里面会一直充气，导致我鼻腔肿，至今6个月还有点肿胀，鼻子里面红肿
做颧骨也是一样的不能擤鼻子，因为头颅骨骼里面腔隙想通的，有鼻炎的话擤鼻涕后可能会把炎症带到颧骨处，会肿，会疼痛。
4⃣️我觉得天气稍微热一点的时候，韩国也没冬天那么干燥，可以选择气候适宜的时候来！我那时候1月又冷！第二天开始鼻子也呼吸不了，只能嘴巴呼吸，那个嗓子真的干燥到痛！！买加湿器也只是很小改善！
5⃣️医院有一个仪器是可以吸鼻子里面的淤血的！那个千万别用！我当时就是听护士说了一句：如果你鼻子堵住了，你就告诉我，我帮你吸血。我心里就有这个苗苗了，我其实刚开始也没鼻塞，我就想着能吸血就叫她来，她吸完说你很好，没什么血，结果！我就是吸了那个以后鼻子开始堵住了！我后来问护士验证了，那个吸了之后会刺激鼻腔充血！更难受！明白了吗！能忍的话千万别用！！虽然它可以让你三分钟畅通一下，可是吸完更糟糕了！我觉得我双鄂恢复慢这也是一个原因！
6⃣️左边是韩国买的，右边国内带的！完整的准备内容翻我之前微博🧣
其中特别要说一下👃这个通气鼻喷特别好用，喷一次就能好久都通气！！我这次来了也买了，分享给你们！但是记住一天最多两次！而且要渐渐少用！因为喷多容易鼻炎！我就有点鼻炎了！但这次颧骨截至目前我还没有鼻塞，所以还没用。
这个淤青膏是整友推荐！我以前也用过其他家的淤青膏！双鄂的时候我淤青可能15天还有！这个淤青膏好用到什么地步！很黑的淤青涂了2-3小时直接变成几乎没有！！至少好了一半！惊艳到可怕！！买它！！！必须买它！！
除了涂在眼下稍微有一点点刺眼 真的没任何毛病！32000韩币10ML！
还有大罐装的！我回国前要再买！！送人！！
漱口水的使用方法是消毒水20ml灌进整瓶1000ml的生理盐水里！就可以当漱口水啦！我之前做双鄂是插过引流管，切口也多！所以漱口要更勤快！每隔2小时漱十次！尤其是每次吃完都认真漱口！可以先用清水漱口，再漱10次！这次没有引流管，做颧骨只有牙龈上方一点点开口吧，我都感觉不到哈
7⃣️认真带头套，虽然没什么用
虽然我双鄂术后七天就没带了，我做的这家颧骨也不要头套……但是心理作用！！！还是带上吧，带2小时摘半小时这样，一直戴可能不利于消肿哦！
8⃣️最后！多喝水！少熬夜！多散步！虽然我不熬夜真的做不到！但是真的熬夜恢复慢
我双鄂之后打了鸡血坚持了1个月的散步…可是15天后没发现什么大变化，又变成每天躺尸状态
我这人从小毅力就差
p4-9为双鄂/正颌术后当天/7天/14天医院发的注意事项📋供参考
 
暂时想到就这些！以后想到再跟你们分享❤️
谢谢大家的祝福和好运传递，感恩
 
韩国",,"https://wx2.sinaimg.cn/large/0072C2n8gy1g4e925rk49j31400u0b29.jpg,https://wx2.sinaimg.cn/large/0072C2n8gy1g4dylmfkg6j32c03407wi.jpg,https://wx3.sinaimg.cn/large/0072C2n8gy1g4dylwxj86j32c0340npd.jpg,https://wx4.sinaimg.cn/large/0072C2n8gy1g5oa4ynzjbj30u00u0e3k.jpg,https://wx2.sinaimg.cn/large/0072C2n8gy1g5oa4y6inkj30u00u04le.jpg,https://wx4.sinaimg.cn/large/0072C2n8gy1g5oa4z2n0rj30u00u0dqp.jpg,https://wx3.sinaimg.cn/large/0072C2n8gy1g5oa4zk2u1j30u00u04i4.jpg,https://wx1.sinaimg.cn/large/0072C2n8gy1g5oa50213lj30u00u0h9b.jpg,https://wx2.sinaimg.cn/large/0072C2n8gy1g5oa50fsakj30u00u0nh3.jpg",,韩国,2019-06-26T02:35:46,iPhone客户端,373,81,597,,,2019-06-26 02:35:46
5102960759276781	,P1f1pCVjv,"//@整运爆棚好运满满://@王子屯大嫖客:做完双鄂安排一下
//@果冻出走:刚有妹子问的，韩国人很喜欢打，所以并不是所有鼻翼缩小都是手术了，肉毒也可以做到。 
查看图片",,,,,2024-11-21T01:35:16,iPhone客户端,0,0,0,,"整运爆棚好运满满,王子屯大嫖客,果冻出走",2024-11-21 01:35:16,False,6292040160,果冻出走,4673408418449212	,KuNGFzs1C,"#nl案例##nl医美笔记# 【鼻翼/鼻子肉毒】
Crayon Pop成员说她做爱豆的时候打的最值的肉毒部位就是鼻翼跟鼻子。这个项目虽然小众，体验跟风评都不一。
最适合的是图六这种情况，鼻孔外张。
原理上来说，它是通过调整肌肉收缩来改善动态鼻翼扩张引起的鼻孔跟鼻翼的形态问题。
但是看最后的效果，居然对鼻翼缘还有点改善，视觉鼻翼宽度也有控制。
不过不是每个案例都有这种效果，这个地方的肉毒嘛几u打下去，能锦上添花是最好，你指望它雪中送炭达到手术效果不可能。",,"https://wx4.sinaimg.cn/large/006ROL4Ily1gtqudlu5x3j30uk3b3kcs.jpg,https://wx4.sinaimg.cn/large/006ROL4Ily1gtqudl6dyxj30uk3s5twp.jpg,https://wx1.sinaimg.cn/large/006ROL4Ily1gtqudmt7xqj32c033ye81.jpg,https://wx2.sinaimg.cn/large/006ROL4Ily1gtqudncguxj30g40g476y.jpg,https://wx1.sinaimg.cn/large/006ROL4Ily1gtqudnwrjrj310b0cealb.jpg,https://wx3.sinaimg.cn/large/006ROL4Ily1gtqudvra57j31000ho47b.jpg",,,2021-08-23T17:27:37,iPhone 11,937,109,382,"nl案例,nl医美笔记",,2021-08-23 17:27:37
5102953944320056	,P1eQqi7Qk,转发微博,,,,,2024-11-21T01:08:11,iPhone客户端,0,0,0,,,2024-11-21 01:08:11,False,7610994121,宝妮拉拉,5080057020416467	,OxAEe1Kld,"我很少让谁双鄂，抛开颌面bug以外，还有一种特征的人非常适合做
就是眼睛到鼻子这段距离短，但是眼睛到嘴巴距离又很长的，这两个值相差越大越能改头换面
如果两者距离都很长做完只是会脸小 整体不会大变
两者距离都短直接轮廓就好不要碰双鄂 ",,,,,2024-09-18T20:43:59,iPhone客户端,30,16,10,,,2024-09-18 20:43:59
5102952886568781	,P1eOIryQ5,转发微博,,,,,2024-11-21T01:03:59,iPhone客户端,0,0,0,,,2024-11-21 01:03:59,False,6362927465,必妩整形中国商谈中心,5081888093897459	,OymhzglUf,"不是所有地包天都能通过牙齿矫正改善
首先你得分辨出你的地包天是骨性的还是牙性的
单纯至只是牙齿的问题  当然牙齿矫正就够了
但如果是骨头的问题  那么 就只能从骨头入手进行改善了
双鄂手术 重新调整上下颌的位置和关系 重塑咬合及位置  搭配轮廓手术  修整面部外轮廓#地包天矫正# #北京地包天# #上海正颌手术# #韩国正颌手术# #韩国双鄂整形手术# 
必妩整形中国商谈中心的微博视频",,,"https://f.video.weibocdn.com/o0/GNueu493lx08ieYx50L6010412002Jqj0E010.mp4?label=mp4_720p&template=720x760.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732889779&ssig=z6iQKTlSyh&KID=unistore,video",,2024-09-23T22:00:01,微博视频号,0,1,1,"地包天矫正,北京地包天,上海正颌手术,韩国正颌手术,韩国双鄂整形手术",,2024-09-23 22:00:01
5102946931181874	,P1eF74Xsu,转发微博,,,,,2024-11-21T00:40:19,iPhone客户端,0,0,0,,,2024-11-21 00:40:19,False,7503742829,阿u变美日记,5044635287946243	,OiJaoxlbd,感觉不到被爱的时候就特别想做手术 什么心理我这是 ,,,,,2024-06-13T02:50:40,iPhone客户端,1,1,1,,,2024-06-13 02:50:40
