id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105625967889267	,P2mm8x6mf,"记录一下在🇰🇷住民宿的时候遇到的野生
麻多了记性不太好了 写几个有印象的
轮廓：
cooki：颧弓推不进去 
bn：自然挂
bnbq：骨缝巨大无比… 找wmj修修好了
wmj：我个人是不喜欢他的 但是民宿遇到几个女生都是找他做的 他其实还是有点东西的 但问题就是找他风险太大了 真的不建议去赌
faceline：不 ...
全文",,,,,2024-11-28T10:05:51,iPhone 16 Pro,6,6,1,,,2024-11-28 10:05:51,True
5105248358893928	,P2cx5BjIs,"@脂肪周涛 
腰腹环吸填胯一个半月啦
p1p2这个对比
 抽了800ml 填了一共360ml
目前胯存活的脂肪很不戳 胖了八九斤了哈哈哈
之前再瘦的时候也没有折角腰 整个人非常h 胯缺的也很多 
周涛哥哥还是比较自然妈生的审美 比较适合我这种不适合夸张风格的小个子哈
 
不过胯下半段还是缺点 打算 ...
全文",,"https://wx3.sinaimg.cn/large/00738Apfgy1hw0iiwgjryj30y80se0vd.jpg,https://wx4.sinaimg.cn/large/00738Apfgy1hw0iq2gfc7j30tz0fu0uk.jpg,https://wx3.sinaimg.cn/large/00738Apfgy1hw0iixhmdej30zj0q4dmi.jpg",,,2024-11-27T09:05:22,iPhone 16 Pro,1,3,2,,脂肪周涛,2024-11-27 09:05:22,True
5105091840050726	,P28sE0dca,转发微博,,,,,2024-11-26T22:43:25,iPhone 16 Pro,1,0,1,,,2024-11-26 22:43:25,False,5620351734,卡布达Ultra_Alpha_v1_0_10版,5105073133457793	,P27YtevwR,"2025年的“整容日历”分享给有需要的人～
等不及就自己买了，整容这件事太不确定了，所以如果挑个好日子会让我们心安一些，那为什么不呢。
不过我才知道这个凶吉并不是专门给整圈算的，这本是香港风水大师李居明先生做的日常月历。图十三
如果想更精准一些，我的方法是结合自己的八字喜忌。假如一个 ...
全文",,"https://wx4.sinaimg.cn/large/0068mqeqgy1hvzyvrg53sj33402c0hdw.jpg,https://wx1.sinaimg.cn/large/0068mqeqgy1hvzwd5t8dmj33402c0e84.jpg,https://wx3.sinaimg.cn/large/0068mqeqgy1hvzw02kbnij33402c0e84.jpg,https://wx4.sinaimg.cn/large/0068mqeqgy1hvzw04f5vaj33402c0hdw.jpg,https://wx3.sinaimg.cn/large/0068mqeqgy1hvzw068bajj33402c0hdw.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzw08l0l4j33402c0e84.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzw0bfty7j33402c0hdw.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzw0fbhdqj33402c0e84.jpg,https://wx3.sinaimg.cn/large/0068mqeqgy1hvzw0gxgivj33402c0e84.jpg",,,2024-11-26T21:29:05,,16,2,26,,,2024-11-26 21:29:05
5105091658911986	,P28slBopI,,,,,,2024-11-26T22:42:42,iPhone 16 Pro,1,0,1,,,2024-11-26 22:42:42,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,65,9,49,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51
5104961994097215	,P255dhbS7,"更新一点进度
pz轮廓四个月了 去民宿 医院 或者朋友 大家都看不出来我做了轮廓
 也不知道好事坏事 说很自然 但其实我推的还挺多的…
回头看看两个月的时候是真的抛得吓人… 当时居然我就那么水灵灵的出门拍照了
 
zt腰腹抽脂一个半月
胯存活的蛮好的 不 ...
全文",,,,,2024-11-26T14:07:27,iPhone 16 Pro,5,11,0,,,2024-11-26 14:07:27,True
5104645749605045	,P1WR8EiI5,净化//@保佑双鄂完美:转发微博,,,,,2024-11-25T17:10:49,iPhone 16 Pro,0,0,0,,保佑双鄂完美,2024-11-25 17:10:49,False,1101590502,Fashion热家居,5104341037615791	,P1OVFvXdl,转赞菩萨，诸邪退散，好运伴随。🙏 ,,https://wx4.sinaimg.cn/large/41a8efe6gy1hvwggg1x1vj20j60pf12u.jpg,,,2024-11-24T21:00:00,微博网页版,29,3,21,,,2024-11-24 21:00:00
5104636576399885	,P1WClqQTX,"回复@加州米米约会版:笑死我了
 澳洲ip很牛比吗 老铁 谁是没个绿卡了怎么 sb …//@加州米米约会版:你焦虑的应该是你的ip 不是你的脸",,,,,2024-11-25T16:34:21,iPhone 16 Pro,3,6,1,,"加州米米约会版,加州米米约会版",2024-11-25 16:34:21,False,7962564912,龙虾片大王宰猪版,5103134878207563	,P1jyfyra3,"有些所谓整圈博主存在的唯一意义就是缓解本人的容貌焦虑
 ",,,,,2024-11-21T13:07:09,iPhone客户端,76,8,6,,,2024-11-21 13:07:09
5104577246660749	,P1V4ErWLr,。,,,,,2024-11-25T12:38:37,iPhone 16 Pro,1,0,0,,,2024-11-25 12:38:37,False,5093303439,修仙公主2024,5104573492498051	,P1UYBatR9,"来自内部爆料
不敢睁开眼希望是我的幻觉…… ",,"https://wx3.sinaimg.cn/large/005yGYTtly1hvyd98j22lj30jw0zkagj.jpg,https://wx2.sinaimg.cn/large/005yGYTtly1hvyd9854f2j30jg0zkafz.jpg,https://wx3.sinaimg.cn/large/005yGYTtly1hvyd98w5izj30zj1rvgqo.jpg",,,2024-11-25T12:23:42,iPhone客户端,213,34,9,,,2024-11-25 12:23:42
5103862316271965	,P1CtxqjCJ,"轮廓四个月了
在纠结下个月底打csd还是热玛吉 
大家咋想
 我想试试热玛吉 ",,,,,2024-11-23T13:17:44,iPhone 16 Pro,3,18,0,,,2024-11-23 13:17:44,True
5103656374375134	,P1x7nimaG,已经基本把群都退了 主要是真的vb玩久了之后发现群基本是做不到什么功课的… 也有 但是很难 而且里面人太乱了 很多人就天天蹲蹲蹲手术 蹲医生 实际上他连助理vx都没加 很多群 聊的也都是乱七八糟的,,,,,2024-11-22T23:39:23,iPhone 16 Pro,6,4,0,,,2024-11-22 23:39:23,False,7910220366,小梵wlw,5103654233445924	,P1x3Vesrq,"大半夜了突然想写点什么 今天想说说我对整容群的一点经验
 
大家基本之前找我拉群的我在的都会拉 但是群这种东西 说几个例子
1️⃣jbh二修失败妹妹自己亲自说进群一堆人夸 有人送锦旗 没有人反应做的差 夸上天
2️⃣最近被扒的博主的群 我刚入整圈看她推荐差点跑去找庸医做鼻子 幸好没去 当时没有任何 ...
全文",,,,,2024-11-22T23:30:53,iPhone 13,6,0,1,,,2024-11-22 23:30:53
