id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104952685101814	,P24Qclpdk,开心几天 难过几天 烦躁几天 想死几天 逼再痒个几天 一个月就过去了 ,,,,,2024-11-26T13:30:28,,68,1,239,,,2024-11-26 13:30:28,True
5106078186736706	,P2y7wsgwy,出国啦//@闵西珍妮:好美//@引捣搔痒:笑死我了,,,,,2024-11-29T16:02:49,,2,0,7,,"闵西珍妮,引捣搔痒",2024-11-29 16:02:49,False,6504099247,一些有意思的视频,5105478864474120	,P2iwSiLVe,"这不是肯尼亚，也不是埃塞俄比亚，而是广州先贤寺…… 
一些有意思的视频的微博视频
 ",,,"https://f.video.weibocdn.com/o0/nHdxn5zPlx08jVbxJHos010412003cqB0E010.mp4?label=mp4_ld&template=360x632.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732873460&ssig=38sylfMPVL&KID=unistore,video",,2024-11-28T00:21:19,微博视频号,8419,703,122,,,2024-11-28 00:21:19
5106077484188839	,P2y6ohzHV,转发微博,,,,,2024-11-29T16:00:01,,1,0,1,,,2024-11-29 16:00:01,False,7799291615,猪大猪大啊啊,5106077026226460	,P2y5Eq7MM,坚持给焦迈奇吴青峰和hush还有郑兴当梦女的女孩这辈子做什么都会成功的 ,,,,,2024-11-29T15:58:12,微博小程序,10,2,3,,,2024-11-29 15:58:12
5106076695136957	,P2y57lym9,//@憨鸠猞友搵笨柒:我去//@贱y畜://@僻演:好开心啊中大奖了,,,,,2024-11-29T15:56:53,,9,0,6,,"憨鸠猞友搵笨柒,贱y畜,僻演",2024-11-29 15:56:53,False,7960483973,用户7960483973,5106051330605873	,P2xqd2xC9,好开心啊中大奖了 ,,https://wx2.sinaimg.cn/large/008GJnwNgy1hw330a20tcj30u01uodkk.jpg,,,2024-11-29T14:16:06,,4,2,23,,,2024-11-29 14:16:06
5106076612034978	,P2y4Z8xoe,//@含咚君://@蔻泰://@鱼仔便当:可以留在芭提雅当椰子鸡//@盆盆爱美睾://@韩妮盈晶:我要笑晕了//@奧莉薇娅罗德里格的同妻泪:刺激子,,,,,2024-11-29T15:56:32,,0,0,0,,"含咚君,蔻泰,鱼仔便当,盆盆爱美睾,韩妮盈晶,奧莉薇娅罗德里格的同妻泪",2024-11-29 15:56:32,False,5312798977,劈叉博主,5105410692351459	,P2gKV9RIL,"甚至不到24h，另一种意义上的实干派
 ",,"https://wx3.sinaimg.cn/large/005NxXI5ly1hw11f3xmn1j310o1khn4q.jpg,https://wx4.sinaimg.cn/large/005NxXI5ly1hw11f3hek6j310o1s5wm9.jpg",,,2024-11-27T19:50:25,🐶 🍑iPhone 16 Pro Max,140,12,23,,,2024-11-27 19:50:25
5106075369474159	,P2y2YDKF1,p3女神跟拍黄铉辰,,,,,2024-11-29T15:51:37,,1,0,2,,,2024-11-29 15:51:37,False,6011921383,邦邦英,5070578509155746	,OtC4iCpPk,"应该不是演的 一位年纪挺大的中年女性 未婚 短发 带眼睛 手机是vivo 看了她2022篇帖子 感觉应该是被警方暴力执法（提到了医生 护士） 精神出了问题 从2023.2月发到现在 @用户7819830527 
杨艺淋
 ",,"https://wx3.sinaimg.cn/large/006yRpnVly1hsxwxnq4ulj30cq0r2q42.jpg,https://wx4.sinaimg.cn/large/006yRpnVly1hsxwxo3ujvj30js0nkwj9.jpg,https://wx3.sinaimg.cn/large/006yRpnVly1hsxwxnabwoj30j40kumzj.jpg,https://wx1.sinaimg.cn/large/006yRpnVly1hsxwxod2bhj30c40hkt9u.jpg,https://wx1.sinaimg.cn/large/006yRpnVly1hsxwxol72jj30c40magmx.jpg,https://wx3.sinaimg.cn/large/006yRpnVly1hsxwxp29xfj30kh0tv0xo.jpg",,,2024-08-23T16:59:46,杨艺淋超话,518,42,348,,用户7819830527,2024-08-23 16:59:46
5106074993034829	,P2y2ncJuR,"笑死我了//@闵西珍妮://@冰岛拳击手宝妈:我的妈//@瑜之所欲第五章:xfghghn我不行了//@闪耀琥珀与玫瑰:
网页链接
 //@銀座一番女探偵:警花立大功//@犯困敏感肌:鵝好美//@贱y畜:笑死我了",,,,,2024-11-29T15:50:07,,2,0,1,,"闵西珍妮,冰岛拳击手宝妈,瑜之所欲第五章,闪耀琥珀与玫瑰,銀座一番女探偵,犯困敏感肌,贱y畜",2024-11-29 15:50:07,False,7835332189,瑜之所欲第五章,5105852569354644	,P2sfCDfzm,额滴神啊用户7819830527被抓的这一天终于到了，那个秘密警察是抖音美女一升屁我不行了。。。 ,,"https://wx1.sinaimg.cn/large/008ygfPDgy1hw2g5y3y0uj30u017cgpw.jpg,https://wx2.sinaimg.cn/large/008ygfPDgy1hw2g5ypnjtj30u01400yj.jpg,https://wx1.sinaimg.cn/large/008ygfPDly1hw2g66vt1vj30u01hctci.jpg","https://f.video.weibocdn.com/o0/0Co43mVglx08jX4m8vy8010412006U060E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732873460&ssig=XeoXE9bIX3&KID=unistore,video",,2024-11-29T01:06:17,,768,36,337,,,2024-11-29 01:06:17
5106074669548522	,P2y1QE40q,特别讨厌不熟装熟的人找我聊天 他们找我聊天和我说的每句玩笑话 我都觉得是在阴阳我 骂我 不尊重我 一点也不好笑 ,,,,,2024-11-29T15:48:50,,2,1,0,,,2024-11-29 15:48:50,True
5106074052461338	,P2y0Rakj0,//@CharlieDurian3号://@朴智旻感期限://@瑞典原住民://@灰老鼠仰望天空://@西海岸肉桂战狼:转发微博,,,,,2024-11-29T15:46:22,,0,0,1,,"CharlieDurian3号,朴智旻感期限,瑞典原住民,灰老鼠仰望天空,西海岸肉桂战狼",2024-11-29 15:46:22,False,7771918999,恨室友bot,5105945881609831	,P2uG86KN1,"分享视频 
恨室友bot的微博视频
 ",,,"https://f.video.weibocdn.com/o0/CzcBUoNVlx08jXtOZ8lW0104120030ev0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732873460&ssig=QqG%2Brc%2BpBY&KID=unistore,video",,2024-11-29T07:17:05,iPhone客户端,7,0,10,,,2024-11-29 07:17:05
5106073852447006	,P2y0xagzQ,"我到30就去死//@幾把好癢第五次重生:
//@173-tlmgt:回复@文森特无语:另一种27岁俱乐部罢了//@文森特无语:原来我们txl活不过27岁//@173-tlmgt:@Blued ",,,,,2024-11-29T15:45:35,,0,0,12,,"幾把好癢第五次重生,173-tlmgt,文森特无语,文森特无语,173-tlmgt,Blued",2024-11-29 15:45:35,False,7756265439,胜诉的依存症,5105755260979758	,P2pIG46Sy, ,,https://wx4.sinaimg.cn/large/008sUuXtgy1hw250630ugj30wr0nfn0n.jpg,,,2024-11-28T18:39:37,微博轻享版,15,0,26,,,2024-11-28 18:39:37
5106073587417665	,P2y06v7FL,天天在微博把自己形容成妓女 但是真要是有人问你多少钱一晚 你能把他全家问候一遍 ,,,,,2024-11-29T15:44:32,,7,0,2,,,2024-11-29 15:44:32,True
5106072528620528	,P2xYoAaAM,转发微博,,,,,2024-11-29T15:40:20,,1,0,0,,,2024-11-29 15:40:20,False,5548030991,韩妮盈晶,5106071855959285	,P2xXjp0hv,谁给我钱我就给谁操 ,,,,,2024-11-29T15:37:39,iPhone客户端,2,0,4,,,2024-11-29 15:37:39
5106072211688162	,P2xXT75aq,我约炮基本不约重复的人 因为这是我的自我保护机制 ,,,,,2024-11-29T15:39:04,,7,4,0,,,2024-11-29 15:39:04,True
