id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106044267402491	,P2xeOv3J1,真滴喜欢,,,,,2024-11-29T13:48:02,微博网页版,18,0,14,,,2024-11-29 13:48:02,False,6501718885,GGAC,5106040802904141	,P2x9ecbuZ,"#GGAC新图速递# 双城之战2 安倍萨概设解禁！
Art by • Victor Maury • ",,"https://wx4.sinaimg.cn/large/00760y5Dgy1hw31r4g2m8j31hc2k87kn.jpg,https://wx4.sinaimg.cn/large/00760y5Dgy1hw31r4en58j31hc0vwakg.jpg,https://wx3.sinaimg.cn/large/00760y5Dgy1hw31r4bmdmj31hc1be13i.jpg,https://wx4.sinaimg.cn/large/00760y5Dgy1hw31r47hqhj31hc0mqdkn.jpg,https://wx1.sinaimg.cn/large/00760y5Dgy1hw31r43h0vj30pp0egmye.jpg,https://wx3.sinaimg.cn/large/00760y5Dgy1hw31r485ogj31hc0mogsa.jpg,https://wx3.sinaimg.cn/large/00760y5Dgy1hw31r496dsj30u011in4b.jpg,https://wx1.sinaimg.cn/large/00760y5Dgy1hw31r4g6cej31cc1o6wzs.jpg",,,2024-11-29T13:34:16,微博网页版,25,0,30,GGAC新图速递,,2024-11-29 13:34:16
5106025235745883	,P2wK7o6Lx,好喜欢啊啊//@哼唧的亨利:好美,,,,,2024-11-29T12:32:24,微博网页版,17,0,5,,哼唧的亨利,2024-11-29 12:32:24,False,7600886366,重返未来1999,5106017082019767	,P2wwY8tqT,"重返未来1999
 #重返未来2.4版本# #重返未来地球上最后的夜晚# 
当汽笛鸣响，船徐徐驶入最深处。
你在海风中听见潮涨潮落，它编织着无名曲调，以谎言，以哀愁。
2.4版本「地球上最后的夜晚」PV将于12月1日12:00发布，敬请期待。
▶▶转发抽奖◀◀  
关注@重返未来1999 并转发本博，我们将于2025年1月9日抽取5名玩家送出【2.4版本纪念海报】！",,https://wx1.sinaimg.cn/large/008ioxLogy1hw2akb6yqqj30u01hc7wj.jpg,,,2024-11-29T12:00:00,重返未来1999超话,5598,834,3142,"重返未来2.4版本,重返未来地球上最后的夜晚",重返未来1999,2024-11-29 12:00:00
5106001260318236	,P2w7s1kMQ,好可爱,,,,,2024-11-29T10:57:08,HUAWEI Mate30 Pro 5G,56,0,10,,,2024-11-29 10:57:08,False,1730850853,Cyndi丶凌云,5102732513904738	,P195hgnNE,"哈哈哈哈，这猫🐱也太逗了，我也想养一只🐱。
 
Cyndi丶凌云的微博视频
 ",,,"https://f.video.weibocdn.com/u0/QyTMKBDsgx08jJkW7L6w01041200cbqm0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732891652&ssig=Os7tR5Makq&KID=unistore,video",,2024-11-20T10:28:18,微博视频号,289,0,61,,,2024-11-20 10:28:18
5105999614575802	,P2w4Njcng,真不错//@abluecloud-:我重生了//@仙女V-V:我重生了//@啤惫:我重生了//@_QUASO_:带着所有属性进二周目了//@Neo玛丽:那么适用未成年人保护吗,,,,,2024-11-29T10:50:35,HUAWEI Mate30 Pro 5G,218,0,105,,"abluecloud-,仙女V-V,啤惫,_QUASO_,Neo玛丽",2024-11-29 10:50:35,False,5075479643,你群离岛,5105371927282452	,P2fKouyuU,草 ,,https://wx1.sinaimg.cn/large/005xuc6Tgy1hw0wz8z9dfj307a05kwee.jpg,,,2024-11-27T17:16:23,魔界移动Android,11207,275,1564,,,2024-11-27 17:16:23
5105971921945006	,P2vm889Z4,好好看,,,,,2024-11-29T09:00:32,HUAWEI Mate30 Pro 5G,79,0,6,,,2024-11-29 09:00:32,False,5513379909,無氪白屏,5105773424152358	,P2qbYhqdw,"#刑侦科四系茶水间# 
醉酒公务员会梦见啤酒新郎 ",,"https://wx2.sinaimg.cn/large/00617zYpgy1hw272nbirzj31cs0u07bf.jpg,https://wx1.sinaimg.cn/large/00617zYpgy1hw272mqwmtj31400u0ad8.jpg",,,2024-11-28T19:51:48,iPhone 14 Plus,3156,54,566,刑侦科四系茶水间,,2024-11-28 19:51:48
5105970730241250	,P2vkd10L8,"哇//@Joranz狍://@团表哥:给我也整一个//@世怪螺像:？给我也整一个//@猫妖神烦:
//@无机质__人偶://@竹开花落-://@乔凯文:眼前一亮//@爱放空的我:只有我觉得那个店铺负责人很有feel吗//@博斯藤壶:学//@吸食注意:…马西装参考（画画画的//@Adling:？马了学画画（。。//@东武画画太少了 :哇 
发生啥了//@欢声笑语bot :发型也很重要",,,,,2024-11-29T08:55:49,HUAWEI Mate30 Pro 5G,90,1,99,,"Joranz狍,团表哥,世怪螺像,猫妖神烦,无机质__人偶,竹开花落-,乔凯文,爱放空的我,博斯藤壶,吸食注意,Adling,东武画画太少了,欢声笑语bot",2024-11-29 08:55:49,False,5718010523,硬核人类,5104281636049241	,P1NnRpnGp,"这就是价值4万的私人定制西装，瞬间理解了定制西装的重要性
 ",,"https://wx2.sinaimg.cn/large/006eYbKbly1hvxfphflamj30k00zkaat.jpg,https://wx4.sinaimg.cn/large/006eYbKbly1hvxfpwlrhvj30k00zk75d.jpg","https://f.video.weibocdn.com/o0/zm8Wqat1lx08jQ9AbIpi01041200qyZC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732891636&ssig=7GfTCOB69a&KID=unistore,video",,2024-11-24T17:03:58,微博视频号,29512,666,3882,,,2024-11-24 17:03:58
5105769415967618	,P2q5vp2rU,"一定会是万青的歌
//@yuki夜倾:不知道为什么 感觉画面下一秒就会动起来 bgm是万青的大石碎胸口",,,,,2024-11-28T19:35:51,微博网页版,117,2,20,,yuki夜倾,2024-11-28 19:35:51,False,1776018973,Bruce_Segal,5105738609329542	,P2phOD92u,"#烈日灼身# 
一张图没办法一口气画完是这样的，不如幽默一下
图上的字是我跟我妈和我友讨要的
有人疼是这样的 ",,"https://wx3.sinaimg.cn/large/69dbe61dly1hw23ctpd80j21r80xc7wj.jpg,https://wx2.sinaimg.cn/large/69dbe61dly1hw23b3owf1j20gx0gwk3m.jpg",,,2024-11-28T17:33:27,微博网页版,2882,130,306,烈日灼身,,2024-11-28 17:33:27
5105764265889520	,P2pXcoI8g,"真滴好看
//@小山满:双城皮肤最好看的那个⚡我天秒了，端游模型不好看不要上升我天💅🏻",,,,,2024-11-28T19:15:24,微博网页版,19,0,24,,小山满,2024-11-28 19:15:24,False,1991256543,四天foday,5105759778246262	,P2pPXyBee,"非常有幸能够参与双城之战2杰斯的皮肤设计制作，在这个过程中我学习到了很多东西，在设计中也是能够讲故事的。
以上是最终的方案希望大家喜欢！最后感谢团队的共同努力，感谢拳头大佬们的反馈与支持，感谢共事的同学协力我完成三视图制作！ 
(in collaboration with Riot)请以游戏内最终效果为准。 ",,"https://wx4.sinaimg.cn/large/76b029dfgy1hw256y18vcj20rs0rs7ak.jpg,https://wx3.sinaimg.cn/large/76b029dfgy1hw256ykbylj22bc1p27wh.jpg,https://wx2.sinaimg.cn/large/76b029dfgy1hw256yrol7j22bc29ie82.jpg,https://wx1.sinaimg.cn/large/76b029dfgy1hw25igl1w9j25wf1m5e81.jpg",,,2024-11-28T18:57:34,微博网页版,596,52,274,,,2024-11-28 18:57:34
5105738609329542	,P2phOD92u,"#烈日灼身# 
一张图没办法一口气画完是这样的，不如幽默一下
图上的字是我跟我妈和我友讨要的
有人疼是这样的 ",,"https://wx3.sinaimg.cn/large/69dbe61dly1hw23ctpd80j21r80xc7wj.jpg,https://wx2.sinaimg.cn/large/69dbe61dly1hw23b3owf1j20gx0gwk3m.jpg",,,2024-11-28T17:33:27,微博网页版,2882,130,306,烈日灼身,,2024-11-28 17:33:27,True
5105671232820266	,P2nx9bPGa,"需要//@-柏锐-:笑死了啊啊啊啊//@怪獸戲曲:再招点老头老太，这不无敌了
//@超级红蓝战士:爱看//@剑崎硝硝子://@千岛酱虾球球 :术业有专攻//@营养师王佶 :笑死//@寒舞C :
//@好吃掌中寶 :太好了是白社会我们有救了！",,,,,2024-11-28T13:05:43,微博网页版,181,2,546,,"-柏锐-,怪獸戲曲,超级红蓝战士,剑崎硝硝子,千岛酱虾球球,营养师王佶,寒舞C,好吃掌中寶",2024-11-28 13:05:43,False,6563826743,名场面All,5105350740544102	,P2fce2hxQ,这喷不了 这真是专业团队 ,,"https://wx4.sinaimg.cn/large/007ad9bhly1hw0ujhpvvpj30wr1bl14u.jpg,https://wx4.sinaimg.cn/large/007ad9bhly1hw0ujid0ycj30wr1he7kh.jpg,https://wx1.sinaimg.cn/large/007ad9bhly1hw0ujj4cv8j30wr1eldvj.jpg,https://wx1.sinaimg.cn/large/007ad9bhly1hw0ujjq3k5j30wr1cstkc.jpg,https://wx4.sinaimg.cn/large/007ad9bhly1hw0ujkpd5kj30wr1eo7o0.jpg,https://wx1.sinaimg.cn/large/007ad9bhly1hw0ujltzutj30wr1eowve.jpg,https://wx4.sinaimg.cn/large/007ad9bhly1hw0ujgxq0sj30wr1katmx.jpg,https://wx1.sinaimg.cn/large/007ad9bhly1hw0ujn5stdj30wr1du492.jpg,https://wx1.sinaimg.cn/large/007ad9bhly1hw0ujnp7nuj30s90v6q77.jpg",,,2024-11-27T15:52:12,,37250,650,5448,,,2024-11-27 15:52:12
