id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105540980015428	,P2k94040Q,//@小鹿Violeta://@天天都要吃泡菜:hmmmmmmm//@小由越来越美了:手术室不隔音 各种机器声音 嗡嗡 蹦蹦 咔擦咔擦的 我做的是眉弓 也就四十分钟 局麻 四十分钟控制不住的发抖 🙃 这么简单的手术结果还是做的 不尽人意 🙃但我心里有阴影不会轻易修复了 太特么吓人了🙃🙃 后来有一个业内的朋友和我说 那家医院 出名的 流水线 走量 垃圾医院 我没出事就算好的了//@小由越来越美了:去过上海青浦一家渠道资源做手术 🙃一生阴影 导诊台乱的像菜市场 还有黄牛插队叫好做手术 每天能安排三十台手术 🙃 手术室门口桌子上甚至有吃剩的外卖 🙃 病服脏的全是血渍 甚至都没有一套的  一条过道两边都是手术室 都敞着门 最可怕的一幕 看见了一个医生拿着锯子咣咣的弄一个人的脸 老吓人了,,,,,2024-11-28T04:28:09,iPhone客户端,0,0,0,,"小鹿Violeta,天天都要吃泡菜,小由越来越美了,小由越来越美了",2024-11-28 04:28:09,False,7430703464,天天都要吃泡菜,5104713663776337	,P1YCGfQoF,"@凹凸曼表哥 当渠道运营当得你那么小气 给俺删评拉黑了干啥 我说的不是实话？你们上海渠道医院那个环境多乱？代理素质参差不齐 依托横行 给顾客做坏了多少人投诉无门 你好意思拉踩韩国？
就像我说的 哪里都有好的医院和不好的医院 去哪里做手术都需要睁大眼睛看清楚 权衡利弊
你不需要用耳朵“听说“韩国医院的室长穿不穿手术服进手术室 你在渠道医院工作那么久 你用眼睛看到的乱象你也说说看撒？
告诉我 你是选择性眼瞎还是间歇性失忆？",,"https://wx2.sinaimg.cn/large/0086StpSgy1hvytcdsf2yj30v90m5mz2.jpg,https://wx3.sinaimg.cn/large/0086StpSgy1hvytcfaexxj30u01szwma.jpg,https://wx4.sinaimg.cn/large/0086StpSgy1hvytcboy77j30u01sz466.jpg",,,2024-11-25T21:40:41,iPhone客户端,76,48,10,,凹凸曼表哥,2024-11-25 21:40:41
5105530102088245	,P2jRw8Lfn,好消息快来😊,,,,,2024-11-28T03:44:55,iPhone客户端,2,0,4,,,2024-11-28 03:44:55,False,3564136620,绊顾,5105047018668675	,P27ilAn7l,秒赞秒评，未来5天你将不停地收到好消息  ,,https://wx4.sinaimg.cn/large/d47068acgy1hvzh6miherg20lc0g07wh.gif,,,2024-11-26T19:45:19,,1710,162,92,,,2024-11-26 19:45:19
5105439919836702	,P2hw3FgYu,我对填臀的审美，一定要圆润翘挺➕大，还有肥胯 ,,,,,2024-11-27T21:46:34,iPhone客户端,0,2,0,,,2024-11-27 21:46:34,True
5104979150901149	,P25wT3MqF,转发微博,,,,,2024-11-26T15:15:38,iPhone客户端,0,0,3,,,2024-11-26 15:15:38,False,5629146675,投稿儿,5104655846342960	,P1X7qqC5O,柚子叶，去晦气专用，霉运退散！！！ ,,https://wx4.sinaimg.cn/large/0068Xkcjly1hvydmu0r8mj30j60qlgpc.jpg,,,2024-11-25T17:50:56,iPhone 15 Pro Max,1115,12,82,,,2024-11-25 17:50:56
5104322956497380	,P1Osvrggs,转发微博,,,,,2024-11-24T19:48:09,iPhone客户端,0,0,0,,,2024-11-24 19:48:09,False,6501365198,Allen伊明,5104037032628952	,P1H1lb1Us,"转赞，财运飙升，福气满满，财运亨通，事业蒸蒸日上，顺利吉祥。
下一个暴富的人就是你，想买就买 ",,https://wx4.sinaimg.cn/large/0075Z450ly1hvv3w9n78hj30i70nf0x1.jpg,,,2024-11-24T00:52:00,微博网页版,649,26,123,,,2024-11-24 00:52:00
5103857871097178	,P1Cmn4Bqq,最高的还是双平面，高位双平。国内做不了高位双平，因为切口限制，腋下。,,,,,2024-11-23T13:00:04,iPhone客户端,1,1,1,,,2024-11-23 13:00:04,False,7589267164,Emptyaccount_886,5103857295955279	,P1ClroZeT,假体奶。软的层次是乳腺下，但这个太快报废奶子了，奶子在一年之内逐渐报废。在半年内，很软。但半年之后突然硬 ,,,,,2024-11-23T12:57:47,iPhone客户端,1,1,2,,,2024-11-23 12:57:47
5103857295955279	,P1ClroZeT,假体奶。软的层次是乳腺下，但这个太快报废奶子了，奶子在一年之内逐渐报废。在半年内，很软。但半年之后突然硬 ,,,,,2024-11-23T12:57:47,iPhone客户端,1,1,2,,,2024-11-23 12:57:47,True
5103271416956490	,P1n6ttbHs,那渠道医院岂不是赔到裤衩不剩了,,,,,2024-11-21T22:09:42,iPhone客户端,1,0,0,,,2024-11-21 22:09:42,False,5044281310,澎湃新闻,5103064429629247	,P1hICEp0r,"【23岁#女生隆胸不适发现主诊医生资质造假#，法院一审判退还服务费18万元】#23岁女生花18万隆胸术后胸硬如石#未婚杨女士通过更美APP在武汉诠美明医花18万元隆胸，其称术后胸硬如石，乳晕瘢痕严重，失去哺乳功能。行政审批局回应已取消主诊医生备案。法院一审判退还18万元服务费。 
澎湃新闻的微博视频
 ",,,"https://f.video.weibocdn.com/o0/8eRm5v3Elx08jKNvDyJW010412024O8R0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888437&ssig=HhPulLAjZE&KID=unistore,video",,2024-11-21T08:27:13,微博视频号,6763,1337,270,"女生隆胸不适发现主诊医生资质造假,23岁女生花18万隆胸术后胸硬如石",,2024-11-21 08:27:13
5103270807472820	,P1n5uvm1m,！！！,,,,,2024-11-21T22:07:17,iPhone客户端,0,0,1,,,2024-11-21 22:07:17,False,5044281310,澎湃新闻,5103064429629247	,P1hICEp0r,"【23岁#女生隆胸不适发现主诊医生资质造假#，法院一审判退还服务费18万元】#23岁女生花18万隆胸术后胸硬如石#未婚杨女士通过更美APP在武汉诠美明医花18万元隆胸，其称术后胸硬如石，乳晕瘢痕严重，失去哺乳功能。行政审批局回应已取消主诊医生备案。法院一审判退还18万元服务费。 
澎湃新闻的微博视频
 ",,,"https://f.video.weibocdn.com/o0/8eRm5v3Elx08jKNvDyJW010412024O8R0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888437&ssig=HhPulLAjZE&KID=unistore,video",,2024-11-21T08:27:13,微博视频号,6763,1337,270,"女生隆胸不适发现主诊医生资质造假,23岁女生花18万隆胸术后胸硬如石",,2024-11-21 08:27:13
5103258375031809	,P1mLrl70d,一种宿命感。同个地方。遇到不同的人 ,,,,,2024-11-21T21:17:53,iPhone客户端,2,1,2,,,2024-11-21 21:17:53,True
5103189619640188	,P1kYxErQU,转发微博,,,,,2024-11-21T16:44:40,iPhone客户端,1,0,1,,,2024-11-21 16:44:40,False,1949988697,杭州牙齿矫正骆医生,5031488670663724	,Oddab2MFe,"#我在微博涨知识# 3D演绎🤚术全过程~动画为上颌Lefort l型，略略逼真，不喜慎点哦~
颌手术类型也略略整理了一下：
1、上颌Lefort l型截骨术
2、上颌Lefort ll型截骨术
3、上颌Lefort lII型截骨术
4、上颌前部骨切开术（ AMO）
5、下颌升支矢状劈开截骨术（SSRO）
6、下颌垂直截骨术（IVRO）
7、下颌体部截骨术
8、下颌前部根尖下截骨术
9、颏成形术
（ps：以上的I型、II型、III型代表的是颌骨畸形的程度）#动画##正畸正颌##骆英##正畸##正颌##不懂就问有问必答#杭州·众意口腔
 
杭州牙齿矫正骆医生的微博视频",,,"https://f.video.weibocdn.com/o0/5fBkiQaMlx08eFLtqX1601041200UFWI0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732888438&ssig=3vNC4%2B%2BwwP&KID=unistore,video",杭州·众意口腔,2024-05-07T20:10:42,微博视频号,6,0,8,"我在微博涨知识,动画,正畸正颌,骆英,正畸,正颌,不懂就问有问必答",,2024-05-07 20:10:42
5103155753256615	,P1k5VdFc3,转发微博,,,,,2024-11-21T14:30:06,iPhone客户端,0,0,0,,,2024-11-21 14:30:06,False,7912207878,迎接锦鲤,5102770691245978	,P1a4R5e8q,大吉！接财运！你会收到一大笔横财！💵  ,,https://wx3.sinaimg.cn/large/008DsOI6gy1hvkpgqmo3yj30j60n0woh.jpg,,,2024-11-20T13:00:00,微博网页版,844,53,100,,,2024-11-20 13:00:00
5102936151819017	,P1enJ7DcZ,乔欣的八字肯定很合财，或者旺对方哈哈哈 ,,,,,2024-11-20T23:57:29,iPhone客户端,1,0,0,,,2024-11-20 23:57:29,True
