id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105995547936117	,P2vYexixT,//@愿你被一切温柔以待:我是业内多说一句：磨骨这类手术先不说风险了，做完以后头两年的紧实感是因为皮下疤痕增生的“副作用”，过几年一看一个不吱声，拍戏都得逐帧修图，我之前说了一个大热剧的女明星就是这个症状，刚开始朋友完全不相信，后面她人不行拿放大镜去看那剧，果然发现,,,,,2024-11-29T10:34:26,iPhone客户端,0,0,0,,愿你被一切温柔以待,2024-11-29 10:34:26,False,7646070627,美丽猪头又,5103522263073524	,P1tD4cTyY,"刷到一个博主（好运美丽小富婆）
用明星照片分享“轮廓的副作用”
突然感觉人的皮肉状态真的好神奇
高光点和阴影面一点点改变
都可能被“抿”出来
轮廓就是整体比例可能➕1-2分
同时皮肉状态可能➖0.5-0.8分
不过这些图片也都是一直保持稳定体脂
不会忽胖忽瘦，一直偏瘦的年轻人
这种人的皮肉弹性好
配合光电和针剂不会有特别明显的垮
像P8是我截的“33小霸王”
她也是这种皮肉弹性好的
174一百零几斤
如果不说自己做过下颌ss
我都不会去想她do过轮廓
但她自己说了以后
仔细看某些角度的下颌线确实看得出来
她自己应该是满意的，结合了4d和颧骨附近的啵啵
但我感觉她原来脸型也不差
这种风险和收益就很难讲
毕竟只做下颌剥离面积一样大，只是颧骨没被推而已",,"https://wx1.sinaimg.cn/large/008ls8fNgy1hvv097v4u2j30qn1eqak9.jpg,https://wx4.sinaimg.cn/large/008ls8fNgy1hvv099otz7j30mm0u6q9i.jpg,https://wx2.sinaimg.cn/large/008ls8fNgy1hvv095adw8j30p90xon7p.jpg,https://wx3.sinaimg.cn/large/008ls8fNgy1hvv09b1xchj30no0vk7dg.jpg,https://wx1.sinaimg.cn/large/008ls8fNgy1hvv09cszg7j30np0vmtev.jpg,https://wx1.sinaimg.cn/large/008ls8fNgy1hvv09dm4c6j30of0wkn5j.jpg,https://wx3.sinaimg.cn/large/008ls8fNgy1hvv09em7y0j30nf0v946p.jpg,https://wx4.sinaimg.cn/large/008ls8fNgy1hvv09jcdjoj30qo131ak2.jpg,https://wx2.sinaimg.cn/large/008ls8fNgy1hvv09fn19fj30qo15ngu4.jpg,https://wx2.sinaimg.cn/large/008ls8fNgy1hvv09ha0ajj30qo1aqwpe.jpg",,,2024-11-22T14:46:29,iPhone 14 Pro,156,6,13,,,2024-11-22 14:46:29
5105776819963789	,P2qhrFO2h,"曾经我也是真丝羊绒的坚定拥护
现在觉得能随便机洗可太爽了
搞户外三明治穿法增减衣物也很方便 ",,,,,2024-11-28T20:05:17,iPhone客户端,0,0,0,,,2024-11-28 20:05:17,True
5105721293149155	,P2oPTddeP,"抽脂不要极致 极致必然凹凸不平
谁也不能保证抽吸100%均匀 越薄越显不平 ",,,,,2024-11-28T16:24:39,iPhone客户端,2,0,0,,,2024-11-28 16:24:39,True
5105698335098046	,P2oeRloey,//@甜虾好好吃:头大阔面的人生发型,,,,,2024-11-28T14:53:25,iPhone客户端,0,0,0,,甜虾好好吃,2024-11-28 14:53:25,False,7645224434,岛主理理s,5102414498106706	,P10Oly0Vk,"截完整点，头大姐妹们的人生发型
图1️⃣正确版
图4️⃣错误版 ",,"https://wx4.sinaimg.cn/large/008loA7wgy1hvrhbe8ldzj30qo1ludo0.jpg,https://wx3.sinaimg.cn/large/008loA7wgy1hvrhbeo8wjj30u0181n4l.jpg,https://wx3.sinaimg.cn/large/008loA7wgy1hvrhbf2uzgj30u017kqb4.jpg,https://wx3.sinaimg.cn/large/008loA7wgy1hvrhbfq6hij30qo1lu7al.jpg",,,2024-11-19T13:24:37,iPhone客户端,397,10,55,,,2024-11-19 13:24:37
5105696025346263	,P2ob8mqO3,转发微博,,,,,2024-11-28T14:44:13,iPhone客户端,0,0,0,,,2024-11-28 14:44:13,False,6990349557,整形外科鲁彦玮,5102015288443859	,P0QqszqDh,"分享一则近期蛋白线提升比较有代表性的案例
求美者10年前做了额头+颞部膨体 后觉得外形不佳进行取出，颧骨内推过度+面中部脂肪填充后容量增加，两个手术后导致面中部和面侧部断层。从而导致苹果肌下垂严重，本身面部组织薄，颊脂垫膨出。布线的方式主要以提升苹果肌区域的复位收紧为主，然后再上提的同时，通过软组织的移位，在颧弓凹陷处给于一定量的组织补充。
颧弓骨性的确实后期可能需要硬性材料去填充补充，不能单一靠线去提。颊脂垫突出的区域重点以织网的形式在真皮层加强收紧一层。
额颞区的填充重点以找平为主，瘢痕太多无法一次进行无死角的填充，#鲁彦玮填充##蛋白线提升##玻尿酸填充#",,"https://wx3.sinaimg.cn/large/007D4Nfvly1hvq7gww1ftj313o0u044b.jpg,https://wx1.sinaimg.cn/large/007D4Nfvly1hvq7gx6fr9j313o0u0wkb.jpg,https://wx1.sinaimg.cn/large/007D4Nfvly1hvq7gxf1wcj313o0u0n33.jpg",,,2024-11-18T10:58:18,iPhone 15,1,0,4,"鲁彦玮填充,蛋白线提升,玻尿酸填充",,2024-11-18 10:58:18
5105378532003771	,P2fV38pgT,"看了半天我最需要的是门夹脸手术
美图秀秀脸宽拉到满胜过什么颧骨下颌角 ",,,,,2024-11-27T17:42:38,iPhone 16 Pro Max,0,0,0,,,2024-11-27 17:42:38,True
