id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105158511919746	,P2acb83pE,"真的很需要重新搞一下眼睛
可是功课太难了
精细的部位
 ",,,,,2024-11-27T03:08:21,iPhone 16 Pro Max,0,0,0,,,2024-11-27 03:08:21,True
5105137468835320	,P29EeB4ta,天 同样是人类为什么,,,,,2024-11-27T01:44:44,iPhone 16 Pro Max,0,0,0,,,2024-11-27 01:44:44,False,3290016493,美颜滤镜粉碎机·真实很美好,5104303094369598	,P1NWtikJo,"张元英
今日活动新闻图 ",,"https://wx3.sinaimg.cn/large/c419aaedgy1hvxi7om69hj212w0p4h09.jpg,https://wx4.sinaimg.cn/large/c419aaedgy1hvxi7p59juj212w0pxgyg.jpg,https://wx2.sinaimg.cn/large/c419aaedgy1hvxi7pjhzfj212w0p07fn.jpg,https://wx1.sinaimg.cn/large/c419aaedgy1hvxi7qk8d2j20jg0rbgp7.jpg,https://wx2.sinaimg.cn/large/c419aaedgy1hvxi7qvmfij20jg0rdjus.jpg,https://wx4.sinaimg.cn/large/c419aaedgy1hvxi7q98gej212w1mcb0m.jpg,https://wx3.sinaimg.cn/large/c419aaedgy1hvxi7r8thxj20k00qrtau.jpg,https://wx3.sinaimg.cn/large/c419aaedgy1hvxi7rn467j20k00e7ab5.jpg,https://wx4.sinaimg.cn/large/c419aaedgy1hvxi7s5stnj212w1jbkcd.jpg",,,2024-11-24T18:29:14,,9456,705,276,,,2024-11-24 18:29:14
5105037221560595	,P272y6xYT,"特别难受 尤其是看到相机的直出照片
我啥也不想整了…..
决定当个心态积极的丑哔 ",,,,,2024-11-26T19:06:22,iPhone 16 Pro Max,0,0,0,,,2024-11-26 19:06:22,True
5103840838553494	,P1BUTzT9A,"人怎么可以在几天之内就胖五斤呢
我真的…
逼我去抽脂是吧 ",,,,,2024-11-23T11:52:23,iPhone 16 Pro Max,0,0,0,,,2024-11-23 11:52:23,True
5103275743382046	,P1ndsebP8,//@是土豆土豆儿:额头提升,,,,,2024-11-21T22:26:54,iPhone 16 Pro Max,0,0,0,,是土豆土豆儿,2024-11-21 22:26:54,False,7392389212,想变绝世白富美,4492175717050643	,ICFUvtAc3,"额头缩小额头提升手术体验分享：
1⃣️、医院：atop爱她
2⃣️、选择的原因：韩国做额头的医院只有三家算是专攻的医院
放弃卓家的原因：（1）给中国人加价太多而且室长的态度也一般  （2）院长说做完额头会变鼓，而且术后前一个月会有点瞪眼现象，一个月以后会恢复自然（我额头本身就偏饱满，不想变鼓怕显得过于整容脸
）
放弃芭堂的原因：（1）芭堂面诊比较仓促让我担心手术也会很仓促不听我的要求
（2）有在芭堂做过的整友反馈三个月以后就掉下来了…还有人反馈做完额头放佛填充过....
选择爱她的原因：整体而言医院环境医生态度和翻译服务等都算是我感觉综合起来最不错的
3⃣️、手术体验：其实手术前一天我还特别忐忑，因为群里好多在别家做过这个手术的人分享说做额头提升特别难受，术后还有发炎头疼吐血等症状，还有人说做完额头变得鼓起来了像填充过，还有人做完三个月以后掉了下来……听完这些我一度想取消这个手术了
 第二天术前院长设计的时候，还特意强调做完我的额头不会变鼓，也不会瞪眼，而且术后第2天就可以正常洗头发了，7天就可以拆线
事实上也果然如此，术后我完全没有任何不良反应
额头也不是很肿，头皮有一点点麻麻的感觉，今天是第二天，刚去医院换了药，看了一下缝线非常细致
4⃣️、感慨一下安院长好年轻好温柔啊",,"https://wx1.sinaimg.cn/large/0084hI84gy1gdoocn6r9sj32c0340npd.jpg,https://wx2.sinaimg.cn/large/0084hI84gy1gdoockrahkj33402c0kjl.jpg,https://wx2.sinaimg.cn/large/0084hI84gy1gdoocpnv7tj32c0340hdu.jpg,https://wx1.sinaimg.cn/large/0084hI84gy1gdoo7rrhy2j30yi22okjp.jpg,https://wx4.sinaimg.cn/large/0084hI84gy1gdoo7vzc1bj30yi22ox6v.jpg,https://wx2.sinaimg.cn/large/0084hI84gy1gdoocrg03xj31o0280hdt.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000sJ5cbgx07Co2pKzDW0f0f0100bVOU0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002B0gEZgx07Co2pZddK0f0f0100gIeA0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0012yDdYgx07Co2pBWKb0f0f0100j14B0k01.mov,,2020-04-10T14:53:34,iPhone客户端,52,36,43,,,2020-04-10 14:53:34
5103275706158567	,P1ndopQ7J,//@是土豆土豆儿:对了，问医生打不打钉子，他说老派一点的院长爱打钉子，他不打。他的额头提升加缩小一起做的话是八点打孔固定，里面用的不可吸收线,,,,,2024-11-21T22:26:45,iPhone 16 Pro Max,0,0,0,,是土豆土豆儿,2024-11-21 22:26:45,False,6262822120,是土豆土豆儿,4958296181311223	,Nosy65v6L,"有点纠结要不要做额头缩小，安说我做了额头提升后发际线会上移6mm 
可以配合额头缩小一起做，发际线能下移13mm。我觉得他是往保守数据报的，不过我个人不喜欢额头太窄，会显得人很小气。13mm已经绰绰有余…
虽然我后期考虑二植，但是他说和缩小一起做的话二植面积就没那么大（也可能不需要二植了），不然发际线上移后植发毛囊需要更多
他单独提出我皮肤厚度够，所以缩小疤痕不会像其他人那么明显 
我大概率是两项一起做了，单做额头提升会上移发际线我无法接受",,"https://wx4.sinaimg.cn/large/006PQa80gy1hizomw4istj32c0340x6q.jpg,https://wx4.sinaimg.cn/large/006PQa80gy1hizomnmf04j32c0340kjm.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002zCuyNgx089tAmlGyj0f0f0100eFDh0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0049fCTcgx089tCg04Dt0f0f0100fEUD0k01.mov,,2023-10-18T20:49:53,iPhone 14,7,5,8,,,2023-10-18 20:49:53
5103275619650661	,P1ndfEuzP,转发微博,,,,,2024-11-21T22:26:24,iPhone 16 Pro Max,0,0,0,,,2024-11-21 22:26:24,False,6262822120,是土豆土豆儿,4970624888870148	,NtDh6BdwU,"额头提升缩小第七天了！我前几天冰敷得比较勤，基本五六天大肿就褪完可以出门见人了！不会有瞪人的感觉
因为医生不打钉子我选择了回国拆线，线结比较精细不太敢随便找外科拆，在🍠刷到珠江医院的zx科有做额头缩小和拉皮。
提前电话问了说可以拆拆外院线，就在公众号挂号过来了
拆的时候担心不好拆，问护士会比圆弧形缝线难拆吗，她说我的线有两种缝法，确实比一般的难拆，不过能缝就能拆让我别担心
价格还挺实在，我的额头缩小线是100圆子",,https://wx2.sinaimg.cn/large/006PQa80gy1hk2q5x45phj30r9184jz9.jpg,,,2023-11-21T21:19:46,iPhone 14,14,15,6,,,2023-11-21 21:19:46
5103252741818980	,P1mCm7Dco,//@SUB小耳朵:转发微博,,,,,2024-11-21T20:55:30,iPhone 16 Pro Max,0,0,0,,SUB小耳朵,2024-11-21 20:55:30,False,3841607108,蓝莓医生,4649107366614337	,KkBvqrKGR,"上唇增厚术，看起来就是往上提拉了一点，不知道效果怎么样  
蓝莓医生的微博视频
 ",,,"https://f.video.weibocdn.com/002zQgXzgx07NwKTVsof010412004vGK0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732875032&ssig=KiLLubZL7V&KID=unistore,video",,2021-06-17T16:03:55,微博视频号,37,21,12,,,2021-06-17 16:03:55
5103235054699207	,P1m9PjItF,"又精彩了
//@素素不叫苏苏:哇塞",,,,,2024-11-21T19:45:12,iPhone 16 Pro Max,0,0,0,,素素不叫苏苏,2024-11-21 19:45:12,False,5093303439,修仙公主2024,5103224535123619	,P1lSRluT1,哎呀！！你两干嘛呀！ ！ ！@好运ee @加州米米约会版 ,,"https://wx4.sinaimg.cn/large/005yGYTtgy1hvu2c59fjgj30zk0glae2.jpg,https://wx3.sinaimg.cn/large/005yGYTtgy1hvu2c5pla2j30zl21an8b.jpg,https://wx3.sinaimg.cn/large/005yGYTtgy1hvu2c4tijnj30zu21hgwg.jpg,https://wx3.sinaimg.cn/large/005yGYTtgy1hvu2c6bnirj30zu222k4z.jpg,https://wx4.sinaimg.cn/large/005yGYTtgy1hvu2c6wm6zj30zu21k4ax.jpg,https://wx1.sinaimg.cn/large/005yGYTtgy1hvu2c82ydyj30zu21igzd.jpg,https://wx1.sinaimg.cn/large/005yGYTtgy1hvu2c8w6uxj30zu22dn99.jpg,https://wx4.sinaimg.cn/large/005yGYTtgy1hvu2c9j6y8j30zu22ana9.jpg,https://wx3.sinaimg.cn/large/005yGYTtgy1hvu2c9zh8wj30zu22bqha.jpg",,,2024-11-21T19:03:25,iPhone 16 Pro Max,45,9,13,,"好运ee,加州米米约会版",2024-11-21 19:03:25
5102843809761687	,P1bYMEXsz,//@甜虾好好吃:最近很怕肉毒耐药，因为我抬头纹和眉心感觉反弹很快，两三个月就得补，后来我发现是层次打浅了，让医生给我狠狠扎，过了眉压眼时期就好了。除皱、咬肌、颈阔肌、瘦腿瘦肩剂量太多了，不能一次打完，明年起我要详细计划一下怎么打//@杨桃桃tttt:便宜水光打多了，胶黏剂太多，也会馒化，表皮松松噗噗的。贵的呢？贵的频次太高也会。表皮薄薄松松哒，肉眼看还是很嫩嫩的，但用手一捻就能感受到。,,,,,2024-11-20T17:50:33,iPhone 16 Pro Max,0,0,0,,"甜虾好好吃,杨桃桃tttt",2024-11-20 17:50:33,False,7766232500,孟软饭,5101374639704046	,P0zL9EIsS,"医美有太多门道了，销售甚至很多医生为了赚钱升单压根都不会说。
比如打玻尿酸不能图便宜，贵的吸水性低的打几次就会非常明显的水肿，宁可不打也不是瞎打。
比如小脂针打多容易伴随松垮的问题（脂肪没了但皮肉不贴合，有种浮肿感）。
比如光电频繁会出现光电馒化，瘢痕+胶原过多导致底层非常硬，皮肤质感很不正常；
比如肉毒频繁注射会耐药，最好一年两次一次性全部打完。
…
细节问题太多了，每多一个注意事项这笔订单的成交率就会下降，销售机构为了赚钱选择闭嘴，到最后就是我们踩雷买单。所以最后筛选下来选择的医生都是这种会把事情一五一十告知的，价格贵点便宜点的，最起码我知道这个东西我不会出错，医生是稳的。",,,,,2024-11-16T16:32:36,iPhone 15 Pro,112,9,36,,,2024-11-16 16:32:36
