id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105749933688142	,P2pA5ftsa,转发微博,,,,,2024-11-28T18:18:27,iPhone 12 Pro Max,0,0,0,,,2024-11-28 18:18:27,False,1827344001,马小婷的好嫁风,5105660593180774	,P2nfZdlsO,"所以当我彻底反思我18岁后离开老家的种种遭遇的时候。
我写的那篇：
《把无所谓的胜利让给对方》
是彻底阉割掉自我本身对优越感的追求。
记住：是彻底阉割。
因为我发现这是很多人希望的得到的东西。
那么能把这份人人都想要的东西让给对方。
并且每天反省自己。
多年后，你会成为一个很不一样的人。
因为任何时候，
在黑暗森林里，优越感都是一个非常幼稚，非常原始冲动，非常愚蠢的情感。
而且这个代价非常的大，这个是昂贵的情绪价值。
与其自己要，不如给别人，小利可以获取安全和苟且，大利可以披着羊羔皮子稳稳当大尾巴狼🐺
何乐而不为，不要总犯人类犯了千百年的错❌。
记住：想嘚瑟的时候，老天爷会先抽你五个大逼斗，老实点。
把无所谓的胜利让给别人，里子比皮子香。
放弃优越感，你会得到很多。
你看完这一篇结合姐姐的胖友圈大法，还有好嫁风穿搭，还有很多人挑衅姐姐的时候我宛若死狗的表现。你会发现：你姐这个思维，统一好嫁风。
所以好嫁风从来不是那身衣服。
我一直寻找的都是黑暗森林法则的天道。 
被优越感反噬的最严重的案例：晚晚 
现在是：麦琳
所以对这两个女生，马姐不会对他们过分打击，因为她们身上存留的优越感追求，其实是一种幼稚的表现，是没有成长缺乏社会化的表现。
事实上：🥣晚出了校门就跟她老公深度捆绑。
麦琳上了没几天班就回家全职主妇
她们没有社会化的场域和足够的和人群交流和打磨。
所以这两个女生没有学会克制人类劣根性，但是事实上这种劣根性我们身上或多或少都有。
罪不至死，对这俩女生痛下杀手喊打喊杀的人，其实也未必不是这个德性。 
其不善者而改之，也要相对宽容。",,"https://wx4.sinaimg.cn/large/6ceb0e81ly1hw1uhpuav8j21jk1jkasp.jpg,https://wx3.sinaimg.cn/large/6ceb0e81ly1hw1uhpiak3j21jk244e81.jpg,https://wx2.sinaimg.cn/large/6ceb0e81ly1hw1uhq0j82j20l60j4adq.jpg,https://wx3.sinaimg.cn/large/6ceb0e81ly1hw1uhqbbg1j20u0115gqc.jpg",,,2024-11-28T12:23:27,微博网页版,600,68,68,,,2024-11-28 12:23:27
5105748901891507	,P2pyq7W4b,转发微博,,,,,2024-11-28T18:14:21,iPhone 12 Pro Max,0,0,0,,,2024-11-28 18:14:21,False,1827344001,马小婷的好嫁风,5105651295980183	,P2n0Zp5Iz,"刚才投稿的妹子又来了
事实上小美圈👗里刚刚有人问我我那个回答啥意思。
我说是这个妹子先看不上自己领导。
领导品出来。
反过来才拿捏她的。
事实上妹子的行文之中其实自带优越感。
当然妹子的条件确实比她领导好。
但是tzn主打一个低调圆融的环境。她说领导嫉妒她，那事实上是先要她主动释放自己的条件，别人才会知道。
你自带优越感，不太努力，自封机灵——你吃饱饭了跟努力的人吧唧嘴，
还自封善良，觉得应该世界上都是好人，这个好人怎么定义呢？
其实你也不是啥好人啊哈哈哈哈哈哈啊哈
别的同事会来事儿，会在工作上处理和领导的关系，你说人家狗腿子。
讲真：自我以下阶级分明，自我以上人人平等。
看不起出身不好的人，起头的是你。
如果不能处理好你的优越感，那么tzn的光脚人随时随地拿捏你，你也别叫唤。
吃好的穿好点笑话别人一季穿一套衣服，你的待遇就是你自己的情商很匹配的。
tzn低调吧。有好处，你吃好的穿好的，也没分你领导同事半分钱。优越感恶心所有人。
你把你所有的不会为人都形容成单纯善良哈哈哈，你单纯善良么，我问问你，其实你很mean的。见过世面的可不会这样。你那些世面是啥啊。自己单位那点规律你搞不清楚。你世面就是消费主义的世面。不是官场运行的世面。",,,,,2024-11-28T11:46:30,微博网页版,715,45,23,,,2024-11-28 11:46:30
5105748202229252	,P2pxi9lVG,转发微博,,,,,2024-11-28T18:11:34,iPhone 12 Pro Max,0,0,0,,,2024-11-28 18:11:34,False,2406107015,包包只被爱包围,5105727171988119	,P2oZn8lcr,"见了超厉害的老中医，他给了我一些颠覆我以前认知的建议
1 饭水分离。
吃饭的时候吃干的，不要喝水 喝饮料甚至喝汤。等所有干的饭都吃完再喝。
可以抿小口水。
2 少吃水果。
必要的VC从蔬菜中获取就足够了。
3 面菜同食。
吃主食的时候要同时吃菜，不能吃完主食再吃菜。
4 不喝牛奶。
不管男女基本上在24岁以后就不需要喝太多牛奶了。坏处大于好处。
但是孕期要喝，老人要喝，小孩青少年都要喝。
5 不要吃调料很多的0脂零食
不要喝代糖的O卡饮料
6 睡前不吃。
把想吃的东西放到第二天早饭吃。
7 主食多醋。
吃面的时候，加一勺醋，不容易得糖尿病。
8 不渴不喝。
渴了才需要喝水，除非很多运动，不然不要喝很多水。
9 吃熟悉的食物。
吃当季的食物。 
10 好中医是会问八字的。",,,,,2024-11-28T16:48:00,,399,27,113,,,2024-11-28 16:48:00
5105747715162938	,P2pwvlF7c,"#李行亮只争女儿抚养权#其实李行亮麦琳的矛盾点就在于李行亮没那么能挣钱，这两年事业不太行，又不那么积极努力地拼事业。
我预测他俩不会离婚，以后李行亮事业好了，家里有钱了，很多问题都能迎刃而解了。 ",,,,,2024-11-28T18:09:38,iPhone 12 Pro Max,0,0,0,李行亮只争女儿抚养权,,2024-11-28 18:09:38,True
5104906170008924	,P23Db02jW,"甜球这个美甲尊的太好看啦！存图下次做
 ",,https://wx3.sinaimg.cn/large/008vz227ly1hvzfh4n29yj30u0140grz.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001gXgwbjx08jSU6buhF0f0f01004xhd0k01.mov,,2024-11-26T10:25:38,iPhone 12 Pro Max,0,0,0,,,2024-11-26 10:25:38,True
5104905867759479	,P23CGwyAT,"今天💩拉的好通畅哇
 ",,,,,2024-11-26T10:24:26,iPhone 12 Pro Max,0,0,0,,,2024-11-26 10:24:26,True
5103987353979795	,P1FJdgHkf,"菠萝蜜！！！太好吃路 ！
终于吃到了报恩菠萝蜜 ",,,,,2024-11-23T21:34:35,iPhone 12 Pro Max,2,0,0,,,2024-11-23 21:34:35,True
5103903546803760	,P1Dy2sxY4,吃东西真的是最低成本的快乐 ,,,,,2024-11-23T16:01:34,iPhone 12 Pro Max,0,0,0,,,2024-11-23 16:01:34,True
5103700169457767	,P1yg0DGoD,,,,,,2024-11-23T02:33:25,会员特权专用,0,0,0,,,2024-11-23 02:33:25,True
5103498729887161	,P1t16Fu6l,漂亮漂亮,,,,,2024-11-22T13:12:58,iPhone 12 Pro Max,0,0,0,,,2024-11-22 13:12:58,False,1287323444,鼻整形徐丽娟医生,5103278320780696	,P1nhC3h5S,"【尖改圆·长鼻改短·鼻翼缘下拉】
感谢小仙女发来的一年十个月远期反馈
术前鼻型过尖过长，正面歪斜感明显，同时假体显型，鼻翼缘退缩导致漏鼻孔严重，需要降低和矫正处理。
术后可见鼻头圆润，长鼻缩短幼态感增加，上镜精致不失妈生感，整体气质得到很大的提升。
术后一年七个月反馈：
网页链接
术后一年三个月：
网页链接
术后一年半个月反馈：
网页链接
术后十个半月反馈：
网页链接
术后七个月反馈：
网页链接
术后两个月反馈：
网页链接
术后一个月反馈：
网页链接
术后即刻情况：
网页链接#徐丽娟鼻整形##肋骨鼻##鼻修复##徐丽娟·尖改圆##徐丽娟·鼻翼缘下拉##徐丽娟·长鼻改短# 
鼻整形徐丽娟医生的微博视频",,,"https://f.video.weibocdn.com/o0/3isozRgtlx08jLJSyQVO010412007Q5U0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732877746&ssig=flGbWp48KI&KID=unistore,video",,2024-11-21T22:37:08,微博视频号,11,12,5,"徐丽娟鼻整形,肋骨鼻,鼻修复,徐丽娟·尖改圆,徐丽娟·鼻翼缘下拉,徐丽娟·长鼻改短",,2024-11-21 22:37:08
