id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105412585555894	,P2gNYnjlc," 
查看图片",,,,,2024-11-27T19:57:57,iPhone 15,1,0,0,,,2024-11-27 19:57:57,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,60,9,48,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51
5105402804442578	,P2gyciDIu,//@福运多多财多多:补充，画大饼的医院一定要火眼金睛直接排除的，只使劲忽悠做完变化一定很大，问推多少统一话术继续忽悠，术式是什么手术原理是什么手术副作用是什么恢复期多久一概不说，模糊焦点，把搞微商CX那套灵活运用到素人身上，再升级就是夸张到连轮廓做完人均换头都能作为口头禅的，你去一个踩雷一个，尤其是素人阔面，不要心动，理智一点，还有一些类似的整圈“追星群”，待久了就和下套一样会被洗脑忽悠的，趁早退退退，你只是韭菜活该被收割，你是那些卖货博主的棋子哦，你看她们别人手术失败帮不帮转的，不要上头，冷静#轮廓避雷# #整形避雷#,,,,,2024-11-27T19:19:05,iPhone 15,0,0,0,"轮廓避雷,整形避雷",福运多多财多多,2024-11-27 19:19:05,False,1494904052,福运多多财多多,5072404768099373	,OunzSxZ13,还有个别臭名昭著但仍有前赴后继上赶着去做的轮廓医院，专门针对整圈韭菜提出只要你做了就能拥有精灵耳高颅顶了，韭菜你心动嘛！结果做完的人普遍都是老奶奶面中垂，什么钉子崩断的做完变饼的嘴张不大的疤痕大的没少看吧，还有一开始被洗脑去做了连补骨机会都没得，多吧，仔细一搜到处都是，但是为什么还有这么多人去，因为她们身处的环境就是不停被制造容貌焦虑，不停被灌输唯有美貌可以换取获得一切资源，这是后天捷径啊，你听的能不心动吗，医院够灭良心没医德啊，真是一点不提功能损坏以及做完轮廓后不停捯饬皮肉最后还是奶奶垂的心酸路，花出去的大把钱更是只字未提，问就是你基础不好你活该，这是你自己的选择！千金同样难买后悔药的，搞清楚背后的逻辑和你能接受的点再去选择合适你的手术医生医院，素人的命也是命，早前那些盲跟整圈博主做轮廓仍在维权的不是没有吧，而且不少吧，有些夸张的都自我结束了，有时候整之前真的先动动脑子，千金难买后悔药！#整形避雷##轮廓避雷#,,,,,2024-08-28T17:56:40,vivo AI智慧拍照X21,1,3,4,"整形避雷,轮廓避雷",,2024-08-28 17:56:40
5105401307598819	,P2gvMvSNB,"我的身材模板
 ",,"https://wx4.sinaimg.cn/large/008Eog8Xgy1hw10buzapgj30lc0lcgo9.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw10bvadjnj30m80xcn1t.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw10bvldkvj30p011h0y2.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw10bvvsqtj30p011hn2q.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw10bwcwh4j30u0140n59.jpg,https://wx3.sinaimg.cn/large/008Eog8Xgy1hw10bwofuuj30e80owq4o.jpg",,,2024-11-27T19:13:08,iPhone 15,0,0,0,,,2024-11-27 19:13:08,True
5105398208268483	,P2gqMyH0D,"ru线上面诊记录：p1-3院长模拟画的截骨线。方案：颧骨单侧内推5-6mm（至少），截骨2mm，左右两边不对称，右边的颧骨更大；正面，黄色部分要切外板的部分；下颌角留角1-1.3cm；下巴缩短3mm，前置3mm
问题1: p1黄色区域处理外板，颏侧打磨，下颌骨后侧外板不用处理？回答：后侧以截骨为主，我的情况不需要劈外板。
问题2:截骨线靠后，耳前骨凸起处是否会打磨？回答会打磨，打磨区域见p6。
问题3:下巴缩短3mm……我视觉上是轻微后缩短下巴，再缩短连带着下颌骨的切除，有种不详的预感
我的审美完全不喜欢短下巴，我甚至一开始还想做延长。
我自己想画的截骨线如p4红线，室长说截骨前移视觉上会有下巴变长的效果，连带着下颌截骨线也会有轻微变化，调整后对方给画的线如p5蓝线（数值上大概切1-2m宽度的骨头）。
推荐面吸一起进行。 总体面诊观感不错，新医院为了揽客格外积极（非贬义）
医生术式会根据顾客需求进行调整",,"https://wx2.sinaimg.cn/large/008Eog8Xgy1hw0ymiohojj30zk0oajt2.jpg,https://wx3.sinaimg.cn/large/008Eog8Xgy1hw0ymiec2sj30zk0oa0uv.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw0ymj2ms5j30zk0oawg0.jpg,https://wx1.sinaimg.cn/large/008Eog8Xgy1hw0ymjcux6j30zk0oagn5.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw0ymjqa0fj30zk0oamz1.jpg,https://wx1.sinaimg.cn/large/008Eog8Xgy1hw0ymk0de1j30lu1bcmzg.jpg",,,2024-11-27T19:00:49,iPhone 15,2,5,1,,,2024-11-27 19:00:49,True
5105276019278639	,P2dfHCVNt,"关于下巴的审美。幼态脸的流行导致短下巴开始成为一种趋势，但我始终认为任何五官的细节都不能偏离三庭五眼的标准，原生下巴短小的美女，头脸也一定是极小的。看到太多案例，明明是正常的下巴要去做大量的截骨/环切，最终呈现的效果是一种和年龄增大，下颌骨萎缩相似的衰老感。
除开一眼看去比例就不均衡的，正常人，珍惜下巴、下颌，原有的骨头厚度，不要轻易做减法，一个好看的下巴长度应该是人中长度的1.5-2倍之间。",,"https://wx4.sinaimg.cn/large/008Eog8Xgy1hw0lyp1pu8j30u00u0jv8.jpg,https://wx3.sinaimg.cn/large/008Eog8Xgy1hw0lypehytj30u00u00xj.jpg,https://wx4.sinaimg.cn/large/008Eog8Xgy1hw0lypp9cyj30u00u0tbt.jpg,https://wx1.sinaimg.cn/large/008Eog8Xgy1hw0lyor86lj30u00u0whk.jpg",,,2024-11-27T10:55:17,iPhone 15,4,0,2,,,2024-11-27 10:55:17,True
5105099850388166	,P28Fz1CYK,想整容源于焦虑，源于完美主义，却没一分一毫是为了得到异性的爱……对这个东西早八百年就已经祛魅了 ,,,,,2024-11-26T23:15:15,iPhone 15,1,0,0,,,2024-11-26 23:15:15,True
5104976706143824	,P25sWpMhW,ru“新人美”时期，院长接线上视频面诊➕帮p术后效果图。要了2组公开案例及ct。下颌角感觉不错，术后正面能有转折，颧骨颧弓稍显不稳定。 ,,"https://wx2.sinaimg.cn/large/008Eog8Xgy1hvznk3uh79j30u0160tbn.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hvznk46mdrj316g0jajvd.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hvznk4flc4j31630j7n0y.jpg,https://wx4.sinaimg.cn/large/008Eog8Xgy1hvznk4tin5j30u016041f.jpg,https://wx4.sinaimg.cn/large/008Eog8Xgy1hvznk5d3swj30uc0cfq5g.jpg",,,2024-11-26T15:05:55,iPhone 15,1,0,1,,,2024-11-26 15:05:55,True
5104897443759948	,P23p6fM8k,"吓死人//@老婆遍布全球:吓人。。。//@福运多多财多多:不是打人，是医院把她定性为医闹，并且有个局外群，美其名曰并不是医院的官方手术群，是素人建的芭堂轮廓群，拉帮结派喷她，妥妥的黑，而医院微博也不像别的医院那么硬气用官博发声，找了个小号发了对医院很有利的声明，外人看她这么闹腾就是医闹，奇怪那个素人群为什么会有她的照片，震惊且无语
//@2024要努力呀yy:
还打人、？",,,,,2024-11-26T09:50:58,iPhone 15,1,0,0,,"老婆遍布全球,福运多多财多多,2024要努力呀yy",2024-11-26 09:50:58,False,1494904052,福运多多财多多,5103610593804774	,P1vVxfXNk,芭堂维权那条被公关了，看不到了，但是第一手看过的人对这家医院绝对印象深刻，堪称老黑No.1啊，听话，没解决那桩客诉之前不要去#轮廓避雷##整形避雷##韩国轮廓# ,,,,,2024-11-22T20:37:29,vivo AI智慧拍照X21,7,5,2,"轮廓避雷,整形避雷,韩国轮廓",,2024-11-22 20:37:29
5104353867728971	,P1PgmwqEP,转发维权,,,,,2024-11-24T21:50:59,iPhone 15,0,0,0,,,2024-11-24 21:50:59,False,,,5104309066793271	,P1O66sveT,"抱歉，此微博已被作者删除。查看帮助：
 
网页链接",,,,,2024-11-24T18:52:58,,0,0,0,,,2024-11-24 18:52:58
5103797093534302	,P1AMlePqS,转发微博,,,,,2024-11-23T08:58:34,iPhone 15,0,0,0,,,2024-11-23 08:58:34,False,1284581955,我是MISS南,5102714469482743	,P18CaDMTt,"那么多年的网络舆论战下来大家应该明白一件事，任何时候肉眼看似乎没有在男人身上吃大亏的女人，就会被舆论骂了很厉害，骂到让她吃亏为止。
比如晚晚，晚学风靡一时。晚晚的人生经历就是没有在男人身上吃大亏。她老公还表现了挺迷弟的样子。很多人就受不了了。
其他远的想不起来，近的来说，从大S开始。
大S婚内也被汪小菲搞掉不少钱，但离婚后目测止损不吃亏了，能拿抚养费，还能找大光头（并不是鼓励离婚女性匆忙再婚的意思）。那么就骂到她吃亏。后来如所愿，她在酸辣粉直播间成为长期被薅羊毛对象，一直骂到双眼失神站在韩国马路上。
后来是AB，AB因为和黄晓明整个结婚的过程没有吃大亏，离婚也是得到儿子的抚养权。离婚后事业下滑也是因为fmx事件。所以整体不被人待见。黄晓明还拖垮了另一个女人叶柯，叶柯以为公开了自己和黄晓明谈恋爱会引来一波羡慕的流量，没想到羡慕后面跟了就是恨。
最近的麦琳，太典型了，三组嘉宾就她在男人身上没吃亏。其他为黄圣依和葛夕都是常年大血包。麦麦算是投到潜力股。
当然，骂这些女人的时候他们不会说“骂你们是因为你们没在男人身上吃大亏”，而是挑她们其他毛病，比如晚晚说过一句错的话，大S 花汪小菲的钱养大光头，AB演技很差，叶柯为人做作，麦麦背刺葛夕。
这些女性的整个人生有没有问题？有没有毛病？当然有。如果抱着就事论事的观点，当然可以讨论她们身上的这些问题。但不代表要对她们人生攻击。
同样都是公众人物，谁的身上没有毛病呢？（是个人就有毛病）要挑毛病肯定能有。甚至我可以说这些被攻击的女性公众人物毛病也许确实多一点。
但能引发到全民网爆，背后的逻辑只有一条，就是“没在男人身上吃大亏”。
这才是最触发公众敏感度的，有这个特质的女性，在触发一个热点，一个热度，背后再有人搞一把，一搞一个准。
一个女人含辛茹苦，满脸皱纹，36岁就掉了牙，58年不过性生活，家里所有的蛋白粉都给男人吃这才可以避免被指指点点。
过去的指指点点就是现在的网爆。那么多年了，这套逻辑不改。我相信任何一个正常智商的女性，能看明白这些都不会再盲目跟风了。",,,,,2024-11-20T09:16:36,iPhone 15 Pro Max,8615,490,313,,,2024-11-20 09:16:36
