id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,uid
5105109790364511	,P28VB1wPd,"感觉好多医生拒了的ljq都能接 
pz是头宽头大就爱拒
gj是爱以比例好看更重要为由拒
ljf是分析下下颌和颧骨关系 有时候他认为只做一个部位改善就能和谐也会拒或者减少项目
聊天好多整友被他们拒了ljq倒是会接
但我见过的ljq野生做的又蛮不错的
真的要看适不适合医生的术式和方案 ",,,,,2024-11-26T23:54:45,iPhone 15 Pro,7,20,1,,,2024-11-26 23:54:45,True,,,,,,,,,,,,,,,,,,5889038947
5105004531159319	,P26bP4RAH,啊？芭堂你？？？//@Dilpansss:这颧骨推的…,,,,,2024-11-26T16:56:29,iPhone 15 Pro,3,2,0,,Dilpansss,2024-11-26 16:56:29,False,6910065075,Miyakysoo,5100184325592990	,P04NinsZw,芭堂轮廓三件套第二个月反馈～比预想当中消肿还要更多了一些，现在脸上基本上看不出有肿胀的感觉，但是还是要加油减点肥效果应该会更好！最后附上两张照相馆拍的证件照同一照相师和修图师出来的对比，分别是做轮廓线前和轮廓后两个月，效果还是非常明显 ,,"https://wx3.sinaimg.cn/large/007xDVAvgy1hvkd69yv7ij31li1vg4qp.jpg,https://wx3.sinaimg.cn/large/007xDVAvgy1hvkd6ajcoyj31nk1xg7wh.jpg,https://wx1.sinaimg.cn/large/007xDVAvgy1hvkd6b00n4j31lm1wu1kx.jpg,https://wx3.sinaimg.cn/large/007xDVAvgy1hvkd6bhdroj320s2lk1kx.jpg,https://wx4.sinaimg.cn/large/007xDVAvgy1hvkd6c5m2bj32442z4npd.jpg",,,2024-11-13T09:42:43,iPhone客户端,1,0,6,,,2024-11-13 09:42:43,5889038947
5102406779799181	,P10BTF7dj,"2024.11.18 韩国Arc 雅阁整形外科面诊记录@雅阁整形外科医院  （价值50w
第一次听到名字是去年大概11月12月@天天都要吃泡菜 提到过可以去面诊看看（其实开始害怕，没太考虑韩国做这种大手术 所以印象不深后来看聊天记录又确认了下
想来韩国面额头提升有朋友劝可以面面韩国颧骨！8月底9月初那时候 8年纪就认识的日本铁子做完正颌后我们聊天 她说起来她的发小姐姐在韩国雅阁做了轮廓做的很好 以前去日本找她玩见过这个姐姐 我马上联系 我们whatsapp视频 她跟以前变化巨大 做的很像周子瑜（她本身就是小头小脸） 我们聊了蛮久，她说雅阁在韩国人和日本人中真的蛮出名 
我一直对我颧骨到底动不动超纠结，没有很明显的指征，但左右不对称形态太明显，加上形态真的有点土土的
9月底 我下定决定要动颧骨 10月初跟雅阁直接定金定住了11.19号手术
今天面诊 医院占9层一层楼 院里人所有人都超nice  前台 咨询 中文室长（还见到了日本室长） 都超有礼貌超和善 面诊过程很长 每一个需求都是有来有回 有问必答 没有乱推项目 看到我对项目有疑虑也理解我 说可以先不用做
1、先问了院长履历：院长是首尔大毕业 之前是欧佩拉的代表院长 2021年11月 独立出来开创了雅阁 手术经历20多年
2、什么样的颧骨形态适合我：我面中凹陷+鼻基底凹陷（院长和咨询都建议以后一定要do鼻和鼻基底
我真的鼻子超丑），不能推极致，不会好看，这和我的观念也一致，我自己也喜欢柔和一些的颧骨（p1@陈桃子_ 的功课这张宋慧乔拼图是我的模版，又找了些乔妹和irene的图 她们是我模版）
3、颧骨一边大一边小，尽力调对称（我真的很在乎对称问题谁懂啊
！！！）左边颧弓推4mm，颧骨2mm 保留45度 不去骨. 右边颧骨比左边大蛮多，需要去骨. 颧骨45度不横切 留角（不一刀切，要留角） 我不是个短脸！非常在意脸绝对不能显的更长！我坚决拒绝变马脸变驴脸！这个我等下术前还要跟院长面诊强调一下！
4、耳前骨单独算部位不包含在颧骨1件套价格内，单独项目需要磨一下
5、关于耳前韧带固定，朋友告诉我这个地方松垮或者固定不好后续问题很大. 院长说他不会碰到耳前韧带不会剥离到韧带，不需要担心这个问题
6、退颧骨后 嘴位变化问题，院长说这个问题一定程度上不可预测，但他会在剥离过程中帮我好好保护，尽量做到不造成嘴位下降
7、关于皮肉和垂的问题，院长说我的法令纹尤其右边会有一丢丢挤压，所以建议我术中或者后期一定做个鼻基底. 
8、我问了下院长我颏成型和颏侧会不会太保守 再多切一点会不会有改善 雅阁院长说我颏成型和颏侧 ljf做的很顺滑 衔接很好 留大角不显脸长也符合我要求 目前看没有再二切的必要
9、关于价格 颧骨一件套520w+磨耳前骨130w 目前医院的活动是（p8），一件套一共100w优惠： 面诊后24小时面诊记录50w，一周 两周 1个月记录 25w  ，2个月 3个月 半年25w. 
10、手术全程都可以cctv公示 院长独立完成 保证绝对没有换手和其他意外情况！
等一下手术啦 祝我好运
术前院长还会跟我确定一下细节
这是一条价值50w的面诊记录 没抽象 不是托儿 素人一个 医院现在活动写面诊记录有50w优惠#韩国雅阁整形外科##Arc#",,"https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf7v858j31gy0qo44z.jpg,https://wx2.sinaimg.cn/large/006qxO39gy1hvrgf8ccy1j30qo0ypjv9.jpg,https://wx1.sinaimg.cn/large/006qxO39gy1hvrgf8zmclj30qo1lt448.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf9o5w5j30qo0wlq7f.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgfa79f8j30qo0z0q6t.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgfbxox0j30ro0qoafq.jpg,https://wx1.sinaimg.cn/large/006qxO39gy1hvrgfcfvf1j30qo0y2tbk.jpg,https://wx4.sinaimg.cn/large/006qxO39gy1hvrgfd3ipij30qo11haew.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf70y5pj33b04eox6s.jpg,https://wx4.sinaimg.cn/large/006qxO39gy1hvrgfpriymj33b04eox6s.jpg,https://wx2.sinaimg.cn/large/006qxO39gy1hvrh834e3ej32c0340npf.jpg",,,2024-11-19T12:53:57,iPhone 15 Pro,19,10,4,"韩国雅阁整形外科,Arc","雅阁整形外科医院,天天都要吃泡菜,陈桃子_",2024-11-19 12:53:57,True,,,,,,,,,,,,,,,,,,5889038947
5106038132971218	,P2x4VcsWS,轮廓/我在想，术后内转折的效果是和去骨量有关还是面中（眼眶骨边）的截骨线有关？,,,,,2024-11-29T13:23:39,iQOO Neo8,2,3,0,,,2024-11-29 13:23:39,False,6731595793,小琪审美功课,5105996668340069	,P2w02yZDf,"颧弓内折叠度
面诊可以问的看这个：
网页链接
颧突点：颧骨在面部的最高点，撑起眼皮下方的皮肉
面后点：和颧突点在一个平面上
划重点：颧突点和面后点重叠度/离得越近，上半张脸折叠度越高。
以我的头颅ct为例，图一。
折叠度低颧骨低颧弓不发达脸会宽平（大s，图二）
折叠度过高颧骨高颧弓外扩（刘涛，图三）
折叠度高有颧骨但不过高颧弓内收（章子怡，图四）
各个医院折叠度对比（图五）
⚠️但素，原辰的朴钟哲写过一篇文章：大致是软组织会随着骨骼回弹大概是60%。比如骨头推5，软组织回弹5，实际上缩窄就是5（相当于肉全贴回来了）。但是通常情况可能是推了5，软组织只弹回来了3，实际上缩窄就是3。极端情况就是推了5，但软组织没有回弹，造成空腔。
所以ct的区别在皮肉覆盖之后到底能表现出多少也是个迷。",,"https://wx1.sinaimg.cn/large/007lz5zHgy1hw2wk1rb4ej30qy1euwun.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2wof3w38j30si120gpl.jpg,https://wx4.sinaimg.cn/large/007lz5zHgy1hw2wofg3wfj30yi1a4qap.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2wofwrlzj30wi14stda.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2xfmxi5pj315o49kkhy.jpg",,,2024-11-29T10:38:53,iPhone 15 Pro,2,1,3,,,2024-11-29 10:38:53,5576424769
5105660678638229	,P2ng7Afch,轮廓//@小琪审美功课:颧骨//@好运甜宝功课博://降低眼眶骨，主要还是需要初次截骨线够高。打磨效果比较小，剥离大。high-L切法能够有效降低眼眶骨。降低太多也有黄瓜脸风险,,,,,2024-11-28T12:23:47,iQOO Neo8,0,0,0,,"小琪审美功课,好运甜宝功课博",2024-11-28 12:23:47,False,1840750964,金闪闪_333的功课号,4942294202712363	,NhKgsbnBN,"🌟拿小田举例，一张图说明眼眶骨不同在颧弓推平后带来的不同效果
图1:
左 眼眶骨窄+立体+颧弓推平
中 眼眶骨宽+立体+颧弓推平
右 眼眶骨宽+平+颧弓推平
大家会发现即使是一模一样的五官比例和脸部大小，视觉上还是会呈现出“脸更阔更窄的区别，脸更大更小的区别，面部留白更多更少的区别”
图2:
我的老吴二推术前术后图，眼眶骨完全一点没变没有处理，截骨位非常低，所以对我来说收益很小，当然也好歹做完了了执念。
图3:
眼眶骨不处理只推进去颧弓可能带的变化belike
也就是我本人的效果呈现大概就是这样，视觉上区别真的很小
图4:
我想要处理的眼眶骨部分",,"https://wx1.sinaimg.cn/large/6db7a174gy1hhknwumis5j21400u0gsd.jpg,https://wx1.sinaimg.cn/large/6db7a174gy1hhkniprr5gj21400rigy9.jpg,https://wx1.sinaimg.cn/large/6db7a174gy1hhknn17xq4j20u0140101.jpg,https://wx4.sinaimg.cn/large/6db7a174gy1hhkno8i8cij20px0jg0xf.jpg",,,2023-09-04T17:03:43,iPhone 13 Pro Max,106,34,130,,,2023-09-04 17:03:43,5576424769
5105404099168829	,P2gAhCtel,韩国/轮廓,,,,,2024-11-27T19:24:14,iQOO Neo8,0,0,0,,,2024-11-27 19:24:14,False,7925898027,mioo0zz,5104976706143824	,P25sWpMhW,ru“新人美”时期，院长接线上视频面诊➕帮p术后效果图。要了2组公开案例及ct。下颌角感觉不错，术后正面能有转折，颧骨颧弓稍显不稳定。 ,,"https://wx2.sinaimg.cn/large/008Eog8Xgy1hvznk3uh79j30u0160tbn.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hvznk46mdrj316g0jajvd.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hvznk4flc4j31630j7n0y.jpg,https://wx4.sinaimg.cn/large/008Eog8Xgy1hvznk4tin5j30u016041f.jpg,https://wx4.sinaimg.cn/large/008Eog8Xgy1hvznk5d3swj30uc0cfq5g.jpg",,,2024-11-26T15:05:55,iPhone 15,1,0,1,,,2024-11-26 15:05:55,5576424769
5105403732431113	,P2gzHacrv,哇，P6这个打磨区域画的好靠后，磨完肯定窄很多,,,,,2024-11-27T19:22:46,iQOO Neo8,0,0,0,,,2024-11-27 19:22:46,False,7925898027,mioo0zz,5105398208268483	,P2gqMyH0D,"ru线上面诊记录：p1-3院长模拟画的截骨线。方案：颧骨单侧内推5-6mm（至少），截骨2mm，左右两边不对称，右边的颧骨更大；正面，黄色部分要切外板的部分；下颌角留角1-1.3cm；下巴缩短3mm，前置3mm
问题1: p1黄色区域处理外板，颏侧打磨，下颌骨后侧外板不用处理？回答：后侧以截骨为主，我的情况不需要劈外板。
问题2:截骨线靠后，耳前骨凸起处是否会打磨？回答会打磨，打磨区域见p6。
问题3:下巴缩短3mm……我视觉上是轻微后缩短下巴，再缩短连带着下颌骨的切除，有种不详的预感
我的审美完全不喜欢短下巴，我甚至一开始还想做延长。
我自己想画的截骨线如p4红线，室长说截骨前移视觉上会有下巴变长的效果，连带着下颌截骨线也会有轻微变化，调整后对方给画的线如p5蓝线（数值上大概切1-2m宽度的骨头）。
推荐面吸一起进行。 总体面诊观感不错，新医院为了揽客格外积极（非贬义）
医生术式会根据顾客需求进行调整",,"https://wx2.sinaimg.cn/large/008Eog8Xgy1hw0ymiohojj30zk0oajt2.jpg,https://wx3.sinaimg.cn/large/008Eog8Xgy1hw0ymiec2sj30zk0oa0uv.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw0ymj2ms5j30zk0oawg0.jpg,https://wx1.sinaimg.cn/large/008Eog8Xgy1hw0ymjcux6j30zk0oagn5.jpg,https://wx2.sinaimg.cn/large/008Eog8Xgy1hw0ymjqa0fj30zk0oamz1.jpg,https://wx1.sinaimg.cn/large/008Eog8Xgy1hw0ymk0de1j30lu1bcmzg.jpg",,,2024-11-27T19:00:49,iPhone 15,3,5,1,,,2024-11-27 19:00:49,5576424769
5105072642198737	,P27XG9dZv,"甚至侧面都推凹了，面中都没推进去
//@叶叶叶叶叶君舞:帮转。P14-16好可怕，第一次见到推凹的，感觉都快推到关节里卡住了。",,,,,2024-11-26T21:27:08,iQOO Neo8,1,0,0,,叶叶叶叶叶君舞,2024-11-26 21:27:08,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,67,9,50,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51,5576424769
5105072249767540	,P27X2EYYY,帮转。P14-16好可怕，第一次见到推凹的，感觉都快推到关节里卡住了。,,,,,2024-11-26T21:25:34,iQOO Neo8,0,0,1,,,2024-11-26 21:25:34,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,67,9,50,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51,5576424769
5104581837064506	,P1Vc3tDNE,轮廓//@Angelan188:转发,,,,,2024-11-25T12:56:51,iQOO Neo8,0,0,0,,Angelan188,2024-11-25 12:56:51,False,3133843615,改脸型医生张笑天,4394318796050213	,HDzF5pnW5,"面中部颧骨体宽大通常表现为两点：1.颧骨高（45度斜侧面眼眶下缘明显凸出）；2.颧弓宽（正面颧弓位置向外扩）
医生要做个性化设计，术前评估好各种手术变量，同样是颧骨颧弓内推术，每个人设计细节有很多不同。
有些人主要是颧骨过高，有些人主要是正面颧弓宽。如果颧弓内推过多，而颧骨高度没有改变，就会造成平而方的脸形。相反，如果颧骨降低过多，颧弓宽度不调整，面中部更扁平，颧弓也显得更宽，反而失去原有立体感。
为了避免这种结果发生，颧骨和颧弓的缩减应做到协调和均衡。
图一、主要颧弓宽大，颧骨不算凸
图二、主要是颧骨高，颧弓不宽
图三、颧骨颧弓都比较宽大突出",,"https://wx3.sinaimg.cn/large/bacaa89fly1g50hmsaj8lj23344bkhdv.jpg,https://wx2.sinaimg.cn/large/bacaa89fly1g50hmv071bj21o413yhdt.jpg,https://wx3.sinaimg.cn/large/bacaa89fly1g50hmx14v4j21lx2bchdt.jpg,https://wx1.sinaimg.cn/large/bacaa89fly1g50hmt2ldzj20bo0cm76y.jpg",,,2019-07-15T14:05:06,国字脸救星iPhone X,21,7,7,,,2019-07-15 14:05:06,5576424769
