id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105733689413294	,P2p9SDuPk,"热搜上那个男子所谓“重婚被判无罪”其实是一个性质极其恶劣的案子。你想，公检法加上法援律师，所有人在2021年都不… 更多完整内容可加入圈子查看
Sven的圈子
 ",,,,,2024-11-28T17:13:54,粉丝订阅,208,16,2,,,2024-11-28 17:13:54,True
5105688967646379	,P2nZKw5aH,其实这种东西大家多看看挺有好处的。法官从来不是没有感情的机器，美国各州因为价值观不同，法官判决审理也不同。我国其实也一样。我现在手里就在做一个法官的专题，里面就是各地搜集的基层法官认为法律“不完备”，所以坚持不依照法条判决要自由裁量的案例。,,,,,2024-11-28T14:16:11,iPhone 16 Pro Max,510,29,19,,,2024-11-28 14:16:11,False,3973989639,字幕少女,5105464520738930	,P2i9K36ee,"最近美国威斯康星高院就1894年堕胎禁令展开辩论的视频火了，女法官在庭上的据理力争看得人拍手叫好。
“你这是在要求本庭签署针对妇女和儿童的死亡令。”
还得是女法官#佳片奇遇季# 
字幕少女的微博视频
 ",,,"https://f.video.weibocdn.com/o0/WVk4hYaXlx08jVmsJUHm01041200OUC10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732806714&ssig=zkLaSQZFov&KID=unistore,video",,2024-11-27T23:24:19,微博视频号,4595,100,810,佳片奇遇季,,2024-11-27 23:24:19
5105678488176428	,P2nIQyj3S,像我看类似问题就是看遗产是不是有影响。要是遗产没影响不捐给教会，那么有人给老人做点临终关怀还真是件好事情。生老病死，没几个人能坦然面对。要是临终能有个念想，不那么恐惧，那么宗教也是有积极意义的。,,,,,2024-11-28T13:34:33,iPhone 16 Pro Max,207,23,13,,,2024-11-28 13:34:33,False,1573046985,祝佳音,5105330495687693	,P2eFznRCZ,"今天听到一个很有趣的事儿。朋友说，他最近参加了两个老人的葬礼，发现这两位老人都入教了，再一问，都是在医院的时候入的，再一问，说很多医院做临终护理的护工都信了教（具体是什么教我没问，估计不是基督就是天主）。老人在医院里，去世之前，弥留之际，照顾他们的护工就会传教。当然也不是那种恶形恶状的，而是……反正也有点儿趁虚而入吧。老人因为病痛，加上对死亡的恐惧，宗教确实也起到了安抚的作用。最后的结果就是老人们除了那种很坚定的老共产党员，入教几率很大。
听完我觉得……一个是这宗教还真是有几分手段，第二个是国内的临终关怀还是太欠缺了……",,,,,2024-11-27T14:31:45,微博网页版,4454,564,485,,,2024-11-27 14:31:45
5105649295297498	,P2mXLme7w,"我回答了 @王胖胖它爸 的问题，胖东来这事情其实很简单。就像海瑞把朱元璋的规矩拿出来，说贪小钱也要死刑，没人敢说他错，但人人都恨他。 
微博问答
 ",,,,,2024-11-28T11:38:33,iPhone 16 Pro Max,95,20,6,,王胖胖它爸,2024-11-28 11:38:33,True
5105640395770341	,P2mJpod81,这事情简单说就是男方举报老婆犯罪，办案人员看不过去，把男方一起套进去了，让男方“认罪认罚”。结果男方坐完牢一出来找律师一咨询，发现他被骗了，他其实没犯罪。最后就是国家赔偿兜底。这种案子现在披露出来，最要警醒的还是办案流程，因为现在网络时代，这种案子实在是没办法去圆。,,,,,2024-11-28T11:03:11,iPhone 16 Pro Max,825,51,184,,,2024-11-28 11:03:11,False,2382064902,sven_shi,5105637526865122	,P2mEMsNVM,"关于#重婚男子被改判无罪获法院赔偿11万#这个案子大家粗看看不懂。这是一个很典型的“罚渣男”的案子。意思就是这类案件中男方往往不涉及犯罪，但是因为道德上有问题，所以办案人员就会用法律手段把他送进去。
案件很简单，就是女方伪造假证先和第三方结婚生育，然后再和男方结婚。男方婚后对两人关系不满，就去举报女方，要把女方送进监狱。
女方这边伪造证件肯定有罪，那么男方呢？
秘密藏在检察院起诉男方的罪名上：“明知”，并且“自愿认罪认罚”。
男方是明知女方已经登记结婚还和女方结婚。这个“明知”来源是男方的口供啊。
这类案子要定案很难。只要办案人员能够让男方请个稍稍懂法的律师，男方都会随时翻供。他就说他和老婆结婚时他老婆和他讲过会解决之前的婚姻问题，现在他发现没解决，去举报，办案人员怎么去证明他“明知”呢？
你再看定罪，最后男方“主动认罪认罚”，和女方重婚竟然都是一样定罪六个月。真要定重婚，怎么算也该女方是重婚的“主犯”啊。
（简单说，就是这个案子男方其实不存在犯罪。但是从公检法甚至给男方指定的法援律师，所有人都没告诉他。最后就是他“认罪认罚”去认了一个他不存在的犯罪。）
等到男方坐完牢出来，找个律师一问，这个案子摊开来一看，实在是没办法圆。属于办案人员办了一个常识性的错案。最后就只能国家掏钱赔偿。
这几年“罚渣男”的争议越来越大。越来越多人开始赞同要依法办事，而不是把法律当作一个实现“结果正义”的手段。",,"https://wx3.sinaimg.cn/large/8dfb6d06gy1hw1rhctaczj210o27oe81.jpg,https://wx1.sinaimg.cn/large/8dfb6d06gy1hw1rhbydhkj210o27oh7y.jpg",,,2024-11-28T10:51:47,iPhone 16 Pro Max,3758,184,338,重婚男子被改判无罪获法院赔偿11万,,2024-11-28 10:51:47
5105638455642368	,P2mGhnFPW,"这几年司法是在被倒逼着改革。 
被科技改变的法治
 ",,,,,2024-11-28T10:55:29,iPhone 16 Pro Max,24,1,1,,,2024-11-28 10:55:29,True
5105637526865122	,P2mEMsNVM,"关于#重婚男子被改判无罪获法院赔偿11万#这个案子大家粗看看不懂。这是一个很典型的“罚渣男”的案子。意思就是这类案件中男方往往不涉及犯罪，但是因为道德上有问题，所以办案人员就会用法律手段把他送进去。
案件很简单，就是女方伪造假证先和第三方结婚生育，然后再和男方结婚。男方婚后对两人关系不满，就去举报女方，要把女方送进监狱。
女方这边伪造证件肯定有罪，那么男方呢？
秘密藏在检察院起诉男方的罪名上：“明知”，并且“自愿认罪认罚”。
男方是明知女方已经登记结婚还和女方结婚。这个“明知”来源是男方的口供啊。
这类案子要定案很难。只要办案人员能够让男方请个稍稍懂法的律师，男方都会随时翻供。他就说他和老婆结婚时他老婆和他讲过会解决之前的婚姻问题，现在他发现没解决，去举报，办案人员怎么去证明他“明知”呢？
你再看定罪，最后男方“主动认罪认罚”，和女方重婚竟然都是一样定罪六个月。真要定重婚，怎么算也该女方是重婚的“主犯”啊。
（简单说，就是这个案子男方其实不存在犯罪。但是从公检法甚至给男方指定的法援律师，所有人都没告诉他。最后就是他“认罪认罚”去认了一个他不存在的犯罪。）
等到男方坐完牢出来，找个律师一问，这个案子摊开来一看，实在是没办法圆。属于办案人员办了一个常识性的错案。最后就只能国家掏钱赔偿。
这几年“罚渣男”的争议越来越大。越来越多人开始赞同要依法办事，而不是把法律当作一个实现“结果正义”的手段。",,"https://wx3.sinaimg.cn/large/8dfb6d06gy1hw1rhctaczj210o27oe81.jpg,https://wx1.sinaimg.cn/large/8dfb6d06gy1hw1rhbydhkj210o27oh7y.jpg",,,2024-11-28T10:51:47,iPhone 16 Pro Max,3758,184,338,重婚男子被改判无罪获法院赔偿11万,,2024-11-28 10:51:47,True
5105627653213581	,P2moRdtZX,这类问题都蛮典型的。之前几年收入不错，但是房子一跌，就都没了。//@冬亚:最近更新，房子跌到300万了。媳妇要离婚了。说天天吵架，他媳妇说家不是讲理的地方，他说看网友说对，家里是直接干仗的地方。直播时提到媳妇隐私信息，媳妇炸了，说你非要作到我哪天也被裁了。,,,,,2024-11-28T10:12:33,iPhone 16 Pro Max,645,65,65,,冬亚,2024-11-28 10:12:33,False,2400966427,冬亚,5067632597798578	,OsnqPwILw,"花了几个小时
把之前上过小热搜的，那个说要是从百度毕业就要去裸奔的那个人的抖音。。。。。
从失业第一天开始记录。。。。。。。
一直到现在一百来天了。。。。
我每看一集，都给他记录一下。。。。分享给大家，感受一下
第一天，第二天
嫌父母烦，尽添乱，自己已经其实有计划了，工作也不是问题。
第3天
发现很难，对外公司不要，对体制内单位的公司也不要，都内定。但是很轻松。想回长春看看自己能干啥
第4天
跟媳妇吵架，媳妇说肯定不回东北
第7天
被公司法务找上门说暴露公司隐私。。。。要删视频
说之前创业经历，被坑了二十多万
到第二轮6000万投资时死的项目，上门美容。两千多个美容师，头牌一个月从平台上能赚七万
烧钱烧疯了，上门120一单，平台出100
第8天
去沈阳面试。。。。岗位东北更饱和
一万五的。公积金按最低交。接受不了，落差太大。感觉是没找对公司。
第10天
找工作，做车载系统。长春，跟总监聊特别好。
10-25K ，HR说能给高，总监说13K还有奖金。太低了
托关系，想去央企下面子公司，伤心了。对东北有点失望
第12天
程序员末班车赶不上了，别去做了
以前自己跟大医院医生比薪资，感觉不自量力。
社会资源都完全比不过。
媳妇说可以一个人养家，但是不离开北京，要不上海成都
第14天
回北京。国企还是没去，稳定，轻松，一个月一万二三
媳妇不让，房贷一个月一万八，回去处理房子，想卖。
买的老破小，北三环，临街，东西朝向。
房子人家说380，他说380就亏一百多，把他离职的钱赔进去
打算460卖，500买的。想以后回东北陪爸妈
第22天
搞了个找工作群。自己不想干互联网。
又回沈阳，说买这房子是媳妇主要责任。
离开百度才发现，大公司在保护你其实。让你远离外部复杂环境。
第24天
抓狂，没出息，又来长春了。
985本硕大厂背景，敢拼敢加班的年轻人好找点。
一个哥们，一开始也是开心轻松，现在一直找不到，开始社恐焦虑。
第27天
赔偿到账。
想去长春买房子，买150平大房子。三四十万首付
媳妇让他别多想，先还房贷，4.85利率
两人都没北京户口，媳妇准备积分落户。
媳妇喜欢上海，他就喜欢东北，面试估计又没了。
打算做外包了，降低预期，可以把外包做大
第30天
聊怎么被百度裁
在百度干的项目全黄了，产品老大能吹，他们就是研发能怎么办。
项目开始查考勤和代码量，就是要黄。
这几年内网都不敢发，因为有人被约谈。
他在内网说准备发万字长文说说百度这些年。
说自己打算用L奔方式留个记忆。
高层劝他，收了权限，安保也多了。
脉脉发，也被约谈，最后没跑成。
自己争取到了挺好利益。有了些互联网名声。
第33天
聊胖猫，自己钱也是放媳妇那，之前要分手，说给自己两万就行，媳妇就给他两万让他走了。搬回公司住，要复合也不行，三年积蓄没了。
也想过走那条路，就是想不开
第34天
看百度公关上热搜，本来挺开心，但惨了，股票要跌了。已经跌一半了。
想学网易的有道哥，170万粉丝，但我们老大不喜欢，就她出头了。
我们公司上热搜都是负面的。受害者，都是我们这些股东。
这女领导就是公司内部传统，都这样的。
内网一片祥和。有人发帖让她道歉，被约谈，帖子删了，传统
钱还是打算还贷款，要预约，想投短线赚点。媳妇不同意
第37天
觉得自己割裂，接近权力时以为自己有权力
360老总还让我给他朋友圈点赞，但其实自己就是啥也不是
媳妇看自己越来越不顺眼。
找工作心气低了，还是打算以后做外包团队
粉丝给介绍工作
第40天
干了个外包项目
小公司工作沟通不行，流程不行，没产品，没测试
里面人技术深度不行，但宽度很宽，什么都会，不分前后端。
野路子，靠AI，三周干了50W。
3天给了他1200，外包中的外包
第43天
精神状态不好，觉得自己外包被坑了，以后3天得1500了，之前自己还发誓不做外包。高考复读两年才考上吉林大学。去大连做外包，2500，包住。又去考研，出来以后又去大连外包，刚毕业一万五。然后被朋友拉去北京创业，一直到现在。现在又外包了。
第45天
觉得房价必涨。不涨就直播吃S。让人赶紧出手。买他的房子。
反正他不能亏一百万出现在的房子。
第47天
怎么进百度，跟能力一点关系没有，进去时代码能力几乎为0，创业时搞商务。
哥们在那做高管，面的技术老大觉得很水，就是没要
后来靠学历，985本硕，自己脸皮厚，正好赶上部门缺人，又推了一次。
这次面试聊人生理想，觉得行就招了。
经验，一定要内推。
第49天
大厂没必要进。加班太累，市场饱和。建议进体制内
第50天
家庭不稳定，又吵架，搬出来住十多天了。
白天带孩子，说晚上去看书，看的时候在打游戏。就发火了
媳妇觉得累，上班回来还要带孩子。
让他啥时找着工作啥时回来，她自己带孩子了。他就出来租了个单间。
第53天
给媳妇认错，没用。跟媳妇讲理没用
第57天
还没回去呢，被老婆打过，媳妇还砸东西。
老婆93年，媳妇还是有很多优点。
985本，顶级金融院校研，出来一年工资顶他两年。
不是因为失业了才瞧不上自己，是从一开始就瞧不上。。。
金融闺蜜那时候都看不上自己。
第62天
北京找工作，继续碰壁。都国企事业单位。也是老婆建议
要不躺倒，要不去创业公司。
沈阳那有创业公司，开7500，不行，不是预期不能降，是房贷18000不能降
自己挂房子已接受400了，但也没人要
第64天 
媳妇说要不收入差不多，要不进创业公司有奔头，不然不回东北。
跟之前东北外包老板聊了，发现特别复杂，那就不是技术的问题。自己不可能搞定。看背景已经回家住了。
已经不只看国企事业单位了。
第66天
说自己高考复读两年，一开始报土木，差3分，他觉得的好专业，口腔，医生啥的，进体制也好。
第69天
在图书馆看书，猎头联系，脉脉上来的。问他是不是清华，脉脉上写的假信息，再问是不是二十多岁。就没然后了。理解朋友失业后焦虑。
早知道早几年出来去国企。现在太老了
媳妇说支持创业，但一分钱不会出。外卖网约车都卷了
第73天
8点出去17点回来，在图书馆减缓焦虑
想放松下，媳妇赞同，还给他买了莫文蔚演唱会票一起去看。
媳妇现在消费增多了，也想开了，觉得不如就多花点钱，开心点
花的他赔偿款
第76天
每天买菜带宝宝，去公园看大爷大妈。被裁时还有20多天年假，怕被裁，结果没屁用。另外一个85年大哥，天天加班，特别辛苦也被裁。开始领失业金，一个月2000多，想躺了。身体最重要了。
但媳妇望夫成龙。。总卷我
第79天
一大早被媳妇赶出来，周末不让他待家，去看书。
又吵了，领失业金没跟媳妇商量，媳妇怒了，领失业金社保，积分落户就断了。摇号也不行。但他觉得不可能积分排上，摇号也摇不到。反正他也没打算留北京。北京生活质量太差。好的学校也不是给我们准备的。
媳妇说去天津。
不准备挑食，什么都吃，什么都投了，自己从狼变狗了
第86天
又跟媳妇吵架，凌晨出来街头。二面没过，晚上回来就吵，就是完全不考虑他感受，一点小事就吵，回北京以后瘦10斤了。自己很难。
转行的建议也不行，觉得媳妇不可能等自己穷三年
第88天
给自己最后的尊严没去铁人三项，但铁人三项找上来，网约车。预期很低，之前不接受的腰斩薪资也能接受。但依然没有。觉得自己不能再降了
网约车给的薪资预期还挺高。
觉得自己想明白了，要那么高薪水进大厂，然后干两年，继续担心被裁，得不偿失。
现在打算先找份工作，能朝九晚六，双休，有自己时间就好。
已经跟媳妇分房睡了。媳妇让道歉，说自己哪里错了，他也不知道，就希望媳妇态度能好点。又拿他跟别的老公多好来比
第91天
去医院看病，失眠难受，胸口压着。
知道网约车坑，是骗押金，现在快递都来找自己去干
去面试，面试官是自己粉丝，对他挺好，但自己确实不适合人家岗位
感觉自己没有未雨绸缪，没有事先准备好失业。
现在靠鸡汤活着了。
第93天
回老家了，不打算面试看书了，感觉自己精神状态出问题。
看了中金女生那事，不行了，命最重要。
父母的压力，自己是别人家的孩子。
媳妇压力，希望多安慰谅解自己，但还是频繁吵架。受不了
朋友圈的压力，就刚出生的孩子最好
第96天
在老家，不面试，不看书，不投简历，彻底放松，在老家逛街，带娃，买菜。在北京中的毒正在解。
见了发小。
一个发小专科，现在本地三大运营商小领导，稳稳的。让他回老家，就是收入少很多。
另一个发小心动这工作了，初中毕业，种地，传销，开货车。最近给饭店送煤气罐。家里俩孩子，人家落落大方说这些，过的比他还开心。
很后悔，见了所谓的世面。当时不如留在老家，没这么痛苦。
煤气罐大哥给唱歌买了单，三人里的大哥。
第99天
夜深人静时还是难受，以前都报喜不报忧，父母总觉得他没问题，现在放开了，就跟父母说工作很难找。
父母认知水平，不知道怎么分忧，只会添乱
自己焦虑症瘦了十多斤了，还挺开心，但父母担心，不停给他做好吃的，又胖回来了，父母还挺开心的。他却挺难受。
去农村亲戚家，觉得好舒服，活明白了，让亲戚去小城镇生活，人家都不愿意去。
去发小大哥家了，4个人，80多平，房价跌了对这里也完全没影响，无所谓，反正才20多万，纯住的。日子不富裕，但人家全家好开心，嫉妒他，一个月三千多，活得像一个月十万。
他跟发小大哥说为啥不去北京赚更多，发小说看你在那活这么累，他才不去。
临走前给发小孩子两万，说发小从小就特别正，家里条件不好，但从来不自卑也不会看不起别人。活得特别明白。
现在特别羡慕亲戚和发小。
第102天
在老家确实释放了好多情绪压力。
回北京了，定了21天找到工作计划，无论什么工作，都可以。
实在不行铁人三项也行。
面了几个，好难好难，现在觉得外包都特别难进，要求特别高。条件特别多。
现在对收入都无所谓了，先找到工作
降薪人家也不要你，考虑很多。
第105天
面试，一面二面过了，技术老总面，过来直接问他大厂里这么大岁数怎么混这么惨。项目经验不行，我们这就是稳当，不会裁员，但收入低，过来都是小孩子，你受得了么。
他都接受了，结果人也没要。
想学点英语口语了，觉得会有帮助。
还去了个保险行业宣讲，很快拿到OFFER了，呵呵。
想找个越老越吃香的行业。
拍了一段国贸的夜景，是自己以前从没见过的北京，感觉自己一直活在北京的边缘。配乐是北京北京。
第109天
面试外包，是外派的。
最后还是挂了。。。。。到现在没通知。
还提醒他，你要是来我们这，你简历就彻底花了啊。。。。
自己还是没到不工作活不下去的程度。
觉得自己不能为了急，什么工作都去找了，心态放平些。
第112天
最近在改简历，找面试挂的原因，打击特别大。
运动缓解焦虑。
但是爹和媳妇都急。
爹怕媳妇跟他离婚，说你不工作就没地位
当年下岗时，他妈就对他特别苛刻。
他发现关注他的都是有工作的。。。
有人说关注他就是担心自己有天跟他一样。
发现喜欢自己工作的都是金融公司甲方爸爸，创业公司的领导，小老板，自由职业。
想到他爹，下岗后跑三轮，特别苦。跟自己现在很像。
第116天
一周投了100多个简历。一共7个回复。
内推比海投靠谱。
媳妇让他一个月内找到工作，不然离婚
现在期限到了，也没真离。媳妇跟他长谈，不行就转行或者创业。
媳妇担心他一直找不到工作，缺乏安全感，所以逼着他看书，找工作，不能刷短视频什么的。
市面上外包越来越多，公司都把技术团队外包了。
一定要有点余粮，自己不是有余粮也撑不到现在。
第117天
算了下赔偿金还能用多久。
房贷一万八，生活费两人4000.
觉得自己能坚持挺久的，还挺高兴的。
跟媳妇说了，被媳妇算了下。
孩子1岁，一个月3000，交通水电通讯1300，父母一个月给2000，一年6万保险费用，一个月5000.包括两口子重疾，寿险，父母没有保险，买的保险。
一个月33000，还不包括媳妇护肤品，回老家的钱
感觉压力又大了。
第118天
三个一面过了两个，自己现在心态很佛了。
会做饭了，会炒菜了，运动也好多了。
想到自己在百度时还看到过萝卜快跑原型。现在自己想去铁人三项，却要被这个抢了。
吃泡面，丈母娘带小宝回老家了，媳妇是不可能做饭的。
第122天
在北京的高中同学两口子让他两口子一起去吃个饭，说再不来没机会了。是离婚了。
说是生活过的一点没感情了，孩子八岁了，两人都打算离开北京了。
原本觉得他俩不可能离婚，从高中开始就在一起，多少年
之前也觉得自己不可能找不到工作呢，985本硕大厂背景。
考虑要不要转行了。很焦虑。
第126天
又吵架了，一周一小仗，半个月一大仗。男人没工作真的不行。
原因是想回长春搞教培创业。
媳妇查了资料，说不行，大环境不好。行业不行。
吵完了，说自己还是想为自己活一次，准备去长春调研了。",,,,,2024-08-15T13:53:46,微博网页版,15673,932,1800,,,2024-08-15 13:53:46
5105618731404626	,P2mat5Tpg,这几年类似#重婚男子被改判无罪获法院赔偿11万#这种罚渣男的案例争议越来越大。越来越多人开始倾向于法律怎么规定，就怎么判决。而不是把道德判断放在前面，把法律当作实现正义的手段。,,,,,2024-11-28T09:37:06,iPhone 16 Pro Max,386,40,23,重婚男子被改判无罪获法院赔偿11万,,2024-11-28 09:37:06,False,2382064902,sven_shi,5100189413015895	,P04VvcEzt,"#与介绍对象发生关系5月后男子因强奸罪获刑#这案子其实很简单。就是女方有两个男人，一个是她喜欢的，另一个是她通过朋友介绍认识的条件好的。她和条件好的那个男人也发生了几次关系。之后她怀了她喜欢人的孩子，去找条件好的男方要80万，做堕胎补偿，不给就报强奸。这种行为是日常最典型的敲诈勒索，但是警方一般会同情女方，就不追究女方。
这个案子很典型是一开始搞错了。警方把人扣了之后，DNA鉴定发现女方怀的根本不是男方的孩子。之后再去找补，法院给男方判了两年。其实有经验的一看这个量刑就知道问题了。男方一直不认罪，强奸又往往是三年起。这个定罪就是很典型的折衷判决。
为什么？
原因很简单，真的翻案，公检系统都要追责。那么这个案子为什么一看就知道肯定有问题？因为定罪没有直接证据。女方是怀了孕找男方要80万，男方不给当场报的案。警方验证说第一次发生性关系没问题。是第二次在酒店里发生关系属于强奸。客观证据只有一个监控，说是酒店可以看出男方是用卡划开门进入房间的。
进入房间发生了什么？怎么判断之前女方在第二次发生关系时的状态？男方一直不认罪，那么这个案子其实就是纯口供啊。两个已经发生过关系的人，到酒店开房，通过一个走廊里的没有肢体接触的录像定强奸。开始的时候还是女方怀着第三方的孩子找男方要钱，男方不给报的案，你说这个案子能怎么圆？
这类案件其实接触过司法实务的人很常见。强奸罪有个特点，就是它不需要公布细节。所以就经常会出现正义感很强的警方去惩罚没犯罪的“渣男”。讲个知名案例大家一看就懂。这里最有名的是锜振东案。男方是个渣男，属于欺骗女方交往，和女方发生关系后把女方甩掉的那种。
这类行为依法不犯罪，但是会给女性造成很大的精神伤害。属于不犯法的渣男。
那么类似这样的案件，警方有时也会抓人。比如锜振东一审就给他定罪判了六年。可是没想到锜振东是把整个发生性关系的过程都录下来了。所以最后就很尴尬。他明明没强奸，却被定罪还重判了。结果二审就选了个折衷处理。把他用强奸罪判了个缓刑，当庭就放了。
对比下这类罚渣男的案子，就觉得热搜这个案子里男方比较冤枉。因为女方怀孕找他要钱，他不给，不是他渣，是孩子不是他的，本来就不该他给。
至于罚渣男这个司法现象，随着大众司法意识的普及，也未必会得到大众的接受。因为越来越多人会认为不犯法就不应该判刑，哪怕这个男的从道德上讲确实是个渣男。",,https://wx1.sinaimg.cn/large/8dfb6d06ly1hvkdrx49egj20zu25ob29.jpg,,,2024-11-13T10:02:55,iPhone 14 Pro Max,20503,1607,1969,与介绍对象发生关系5月后男子因强奸罪获刑,,2024-11-13 10:02:55
5105618253516958	,P2m9HeKV8,这案子其实非常有趣。目前看可能更类似于“罚渣男”。就是男方举报女方重婚，要把自己的老婆依法送进监狱。办案人员就也想着把这个“渣男”一起送进去了。但是他行为确实没犯罪，真拿到台面上，还是要国家赔钱的。,,,,,2024-11-28T09:35:12,iPhone 16 Pro Max,235,24,38,,,2024-11-28 09:35:12,False,5044281310,澎湃新闻,5105402650558847	,P2gxX2lnF,"#男子犯重婚罪被拘184天后改判无罪#【#重婚男子被改判无罪获法院赔偿11万#：其妻初婚违法不受保护】泉州郑隆犯重婚罪被拘184天后改判无罪，安溪县法院赔偿其11万元。文书记载，其妻首婚因违法冒名不受法律保护，郑隆和她重婚没有侵害受保护的婚姻。（素材来源：相关人士） 
澎湃新闻的微博视频
 ",,,"https://f.video.weibocdn.com/o0/Or6jowpzlx08jV5zXURq01041200ikWf0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732806686&ssig=LHcPlqso4o&KID=unistore,video",,2024-11-27T19:18:28,微博视频号,19269,1356,427,"男子犯重婚罪被拘184天后改判无罪,重婚男子被改判无罪获法院赔偿11万",,2024-11-27 19:18:28
