id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105700818650402	,P2oiRAimC,,,,,,2024-11-28T15:03:17,,0,0,0,,,2024-11-28 15:03:17,False,7714939020,体雕医生熊路遥,5102792665202856	,P1aEilPv2,"🐻🐻🐻【年终体雕季】感恩熊熊粉丝抽奖活动正式上线❗️
🐻🐻🐻限时活动，参与活动领取双S曲线❗️
具体的活动详情下面文案中公布，名额有限，具体咨询请戳v x ：
现在关注@体雕医生熊路遥 与我互动，积极转发、评论、点赞我的微博，累计互动分值。活动截至到12月18日，微博粉丝互动榜排名前2名将直接获得一等奖。
二等奖由@微博抽奖平台 从本条博文“转赞评”中抽取幸运粉丝。
🐾一等奖（互动榜）：享熊路遥手臂环吸/腰腹环吸/大腿环吸三选一免单， 共2️⃣位！
🐾二等奖：🧧188.88元，抽取1️⃣8️⃣位！
活动说明：
1：参与条件：所有中奖的粉丝，要保证注册账号超过3个月；账号必须实名身份认证（实施手术时查验身份信息）。开奖时转发内容不得删除，否则奖励作废。
2：享受手术费用免单的粉丝，默认成为我院案例客户，同意分享手术效果。
3：互动排行榜单前2名的粉丝，需在我进行私信确认获奖后的一周内联系@熊路遥助理Andy 并确认兑换奖励，确认后不得变动，不得转让，逾期自动丧失手术优惠资格。
4:  本活动仅限于吸脂整形项目的手术费用，不包含其它部位手术费、麻醉费、杂费。
5：若抽中多种奖项，则按最高级别奖项为准。
6：使用时效：兑奖后三个月内有效，可更改一次手术日期，超出三个月未使用自动作废。
注意事项：
1. 能充分理解医学的不确定性，也理解个人审美观点存在很大的差异，愿意听从熊路遥医生的意见。若审美、手术方案与熊路遥医生不能达成一致，或体检发现身体有不适合手术的情况，自愿放弃本次机会。
2.不能接受及承担手术的客观风险，或手术费用将影响正常生活的不建议参与。#好物分享##熊路遥体雕##吸脂##好物推荐#吸脂
 
抽奖详情",,"https://wx3.sinaimg.cn/large/008q764kgy1hvsogts0jkj30yi22ou0x.jpg,https://wx3.sinaimg.cn/large/008q764kgy1hvsogsle3yj30yi22o4qp.jpg",,,2024-11-20T14:27:18,iPhone 16 Pro Max,70,103,82,"好物分享,熊路遥体雕,吸脂,好物推荐","体雕医生熊路遥,微博抽奖平台,熊路遥助理Andy",2024-11-20 14:27:18
5105679381826372	,P2nKi7F7C,生育,,,,,2024-11-28T13:38:06,,0,0,0,,,2024-11-28 13:38:06,False,6154203482,西门大妈,5090538502488286	,OBZjQarjE,"如果让我推荐怎么能让妈妈轻松的生育三件套，我会推荐：
1 无痛顺产（当然剖腹产也没办法），顺产好恢复，无痛不受罪
2 奶粉喂养，现在水奶更好了
2 月嫂/月子中心请到百天，至少俩月，因为有个东西叫做二月闹… ",,,,,2024-10-17T18:53:38,HUAWEI Mate 50 Pro,1937,359,210,,,2024-10-17 18:53:38
5105679333330532	,P2nKddYqg,生育,,,,,2024-11-28T13:37:55,,0,0,0,,,2024-11-28 13:37:55,False,6154203482,西门大妈,5090853930142909	,OC7wB0BaZ,"说到优生优育，我生完之后才发现：
认真备孕的是极少数
这个认真备孕不是你们想的那种上高科技或者库库吃补品，仅仅就是吃叶酸/戒烟戒酒/少熬夜/多锻炼/保持心情愉快/有一搭没一搭的吃点钙片维生素啥的....
别的都不说，光戒烟戒酒这两条（本来不烟不酒的不算），做到的人百中无一。
PS：我国烟民其实挺多的...每个公司下面都有一圈抽烟的~~
然而这种家庭，孩子生病了体质不好，或者干脆怀不上/怀上了流产了胎停了，你猜家里人会赖谁？",,,,,2024-10-18T15:47:03,HUAWEI Mate 50 Pro,2441,332,157,,,2024-10-18 15:47:03
5105539184853035	,P2k6akmuL,转发微博,,,,,2024-11-28T04:21:00,,0,0,0,,,2024-11-28 04:21:00,False,7678533055,肤白貌美的月野桃子,5102802269373000	,P1aTMDklq,"整理一下做过的所有yi美项目和效果
五星最满意😘
1️⃣额头提升🏥韩国医院hit
效果⭐️⭐️⭐️有一只眼睛回落厉害 
2️⃣脂肪隆🐻🏥韩国医院ready
效果⭐️⭐️⭐️⭐️⭐️存活率特别高没有结节大C到E
3️⃣肚脐眼手术韩国医院link
效果⭐️⭐️⭐️⭐️改善很大视觉瘦肚子
4️⃣双眼皮修复🏥韩国医院top tier
效果⭐️⭐️⭐️做的全切➕提肌形态很满意，这家医院大部分都是平扇形小元风，就是有一只眼睛还是提肌不够，高难度修复不建议去
5️⃣超声刀+馒化针+钛提升+onda🏥韩国医院switz / new star皮肤科
效果⭐️⭐️⭐️⭐️做一次有一次效果吧，两家皮肤科院长操作仪器都很专业，绝对放心。我还在switz打了微晶瓷的印第安纹，没有结节，很自然，就是代谢太快了，后来又在成都找了宝藏医生浅层补了印第安纹。
6️⃣啵啵丰骻🏥韩国医院图恩
效果⭐️⭐️ 打的很烂 不对称 也不消毒 
7️⃣私密切小yc+胶原填充+美白水光+黄金微针
🏥韩国hestia
效果⭐️⭐️⭐️⭐️ 洪院长切的很满意很完美漂亮，美白效果一般，黄金微针去褶皱效果很好，填充效果维持时间太短
8️⃣韩国埋线铃铛线+小线 🏥韩国美迪莹
效果⭐️⭐️当时太阳穴明显变宽了，脸颊两侧的肉都拉上去了，但是我最想解决的苹果肌改善10%而已，花了快2w人民币，脸颊有一处凹陷了，后面给我补了
9️⃣苹果肌小线收紧+额头馒化针+魔女液态提升+啵啵卧蚕🏥成都更美的我
效果⭐️⭐️⭐️⭐️苹果肌视觉上瘦了很多就是容积感觉变小了，但是还是有点垂，额头馒化两次就稳了，魔女液态提升打完立刻脸小一圈，飞起来的感觉，就是管的时间不太久。卧蚕刚开始真的很不错，复配的也不透光，但是时间久了还是会有点下流。
🔟私密美白水光脱毛🏥成都棕南医院
效果⭐️⭐️⭐️⭐️水光很鸡肋，仪器产品肯定不如韩国。脱毛还可以，在哪里脱都差不多，没时间去韩国的可以去这里。
1️⃣1️⃣法令纹+印地安纹填充🏥成都宝藏医生诊所
效果⭐️⭐️⭐️⭐️⭐️医生真的属于半退休状态了，不喜欢接网上客人，但她绝对yyds，我的法令纹和印第安纹一点都没有了，浅层皮丘打法，她是唯一可以做到这么自然又精准填充的。
1️⃣3️⃣减肥药+身体溶脂🏥韩国普兰斯
效果⭐️⭐️⭐️开了药之后一周瘦了12-15斤，刚开始会抑郁不开心，过几天就好了，没有太大副作用（之前开的韩国其他医院的特别难受心慌想吐）但是停药后会食欲暴增反弹。他家身体溶脂要插好几个针眼，真的很痛而且没什么效果，可能要多做几次吧，太痛了不想再做了。
1️⃣2️⃣眼底脂肪重排➕脂肪卧蚕🏥韩国21整形
效果（未完待续）",,,,,2024-11-20T15:05:29,iPhone 16 Pro Max,49,27,29,,,2024-11-20 15:05:29
5105481221146576	,P2iAG4Oha,#学一学#,,,,,2024-11-28T00:30:41,,0,0,0,学一学,,2024-11-28 00:30:41,False,7063636894,谈美功课小号,5105036705929410	,P271IoSvE,"几个爆火女明星的调整思路都是脸小一圈+五官大一圈+面部平整+笑起来更有感染力了。
总之就是先减肥让人变窄变薄，五官占比变高，然后再通过光电和打针让软组织紧致又平整。
至于笑起来更有感染力更好看，一是得靠表情管理，二是得靠调整肌肉微表情（不做演员的话肉毒能做到），三是靠正畸和牙贴面做改善。
正畸扩牙弓、牙贴面调整颊廊留白会让笑容更开，张元英赵露思都是这套思路，人人都爱新垣结衣的笑容。",,,,,2024-11-26T19:04:20,互联网杀猪iPhone客户端,277,14,65,,,2024-11-26 19:04:20
5104936327840397	,P24pOwTE1,转发微博,,,,,2024-11-26T12:25:28,,0,0,0,,,2024-11-26 12:25:28,False,5869877823,福运麻麻,4455917519532066	,InsFxDZJ0,"20年第一条微博。
我希望它是我们整容女的保命博
如果我们不去关注，那么下一个失败了自认倒霉的就是我们。
不要侥幸的觉得这个事情不会发生在自己身上，我希望所有想做整形都能看到这个博的评论下有多少售后不负责的医院。
双眼皮整形，隆胸，轮廓，韩国整形
评论区避雷保命🐎
注意⚠️
每个医院都是有黑料，很多人见怪不怪了，如果我天天为黑料发声，时间久了，大家不爱看没产出的内容，慢慢也就忘记了，这样根本就没有任何作用
还容易被举报投诉炸号。
所以请那些失败的求美者，为这个避雷博留下以及提供提供无售后黑心医院的证据
必须是真正那些售后差的医院。",,,,,2020-01-01T13:36:26,iPhone 7,5789,1804,2335,,,2020-01-01 13:36:26
5104932203791266	,P24jafUhs,面中,,,,,2024-11-26T12:09:04,,0,0,0,,,2024-11-26 12:09:04,False,6003707598,陈桃子_,5062917412621227	,OqoLHaZTR,"面中凹和鼻基底凹陷完全是两个概念!
1️⃣什么是面中凹陷?
下眼脸边缘到口角区域是面中部。
面中部区域存在饱满、低平和凹陷三种情况。
从骨骼角度讲，面中饱满的亚洲面容大多也是骨相很好的类型，大多数小美女也是低平的情况，而上领发育不良的人则又可能出现面中凹陷。当然，面中部凹陷有的是软组织凹陷，比如衰老等其他原因造成的。
2️⃣如何判断面中凹陷?
侧面观，从眼下点到鼻翼的曲线，来判断低平、凹陷和饱满三种曲线。仰面观，两眼下曲线如为中间高两边低，则偏向饱满，反之则是低平或凹陷。
3️⃣面中凹陷和鼻基底凹陷有什么区别和关系?
两者在头骨的位置上就有本质区别，因此不能误以为面中凹陷三鼻基底凹陷。然而鼻基底凹陷很可能影响软组织的变化，因此会出现假性面中饱满的情况，实际上是因为鼻基底和面中凹陷同时存在的时候，一旦有一点点胖，就有可能会显得面颊很圆润、发泡
面中和鼻基底凹陷都有可能是因为上领发育不足导致
的，因此通常两者又是相伴存在，再加上上颌发育不
足、下颌过度发育是很多国人的普遍问题，因此凸嘴
+鼻基底凹陷+面中凹陷是非常常见的组合，切莫过于追究。
4️⃣如何改善面中凹陷?
妆容上并不建议用高光，反而建议用更哑光的搭
配，反光点有时候是会突出凹陷的
眼下肌肉的锻炼:翻白眼时感受眼下的肌肉锻炼#微博美妆大赛#医美#上微博学变美#",,"https://wx3.sinaimg.cn/large/006yiWBwly1hs9h2is7r4j30u0116dor.jpg,https://wx4.sinaimg.cn/large/006yiWBwly1hs9h2j8hnhj31401hc4da.jpg,https://wx3.sinaimg.cn/large/006yiWBwly1hs9h2jyy20j31401hdasp.jpg,https://wx4.sinaimg.cn/large/006yiWBwly1hs9h2ifqolj31401hdaoy.jpg,https://wx2.sinaimg.cn/large/006yiWBwly1hs9h2kgh5tj31401hd4dp.jpg,https://wx2.sinaimg.cn/large/006yiWBwly1hs9h2l1rz7j31401hd151.jpg,https://wx4.sinaimg.cn/large/006yiWBwly1hs9h2llbmjj31401hddtm.jpg",,,2024-08-02T13:37:18,iPhone 15 Pro Max,82,14,36,"微博美妆大赛,上微博学变美",,2024-08-02 13:37:18
5104900249748865	,P23tCEU7L,韩国,,,,,2024-11-26T10:02:06,,0,0,0,,,2024-11-26 10:02:06,False,7063636894,谈美功课小号,5098918259722867	,OFvjzENmr,"我要去小韩做onda+钛提升的抗衰，做revins的疤痕软化，做光电和针剂的疤痕管理，做身体紧致的超声刀和溶脂，做头皮的生发管理，做中国雄鹰女人都会流下眼泪的丽珠兰水光，填个ig同款的韩女嘴唇。
去圣水和汝艾岛买几件打底、牛仔裤、针织衫和卫衣，去买grandhand香水刻字，去拍写真和大头贴，去圣诞树旁边提前过节拍照。
再去吃一吃难吃且统一味道的韩国料理部队锅、烤牛肠、烤肉、冷面、猪蹄，然后感受几天拉不出💩的生活。#谈美的韩国功课#",,,,,2024-11-09T21:51:49,互联网杀猪iPhone客户端,96,58,15,谈美的韩国功课,,2024-11-09 21:51:49
5104401219847471	,P1QuJFjMb,选我秒飞,,,,,2024-11-25T00:59:08,,1,1,0,,,2024-11-25 00:59:08,False,7661043617,歌娜整形外科医院,5103118356580870	,P1j7BrBZ4,"歌娜轮廓模特招募第二期活动正式开始了
❣️活动项目❣️
【免费案例】 2名
【5折案例】 2名
*仅限于初次轮廓*
主刀院长：金炫佑，首尔大学医学博士毕业，前元辰整形医院，前DA整形医院轮廓担当主刀院长。
轮廓临床手术数8672名，刀工流畅，术后可即可查看ct数据，手术安心cctv全程监控无幽灵医生。
轮廓跨年模特活动开始招募
对轮廓感兴趣的朋友赶紧报名咨询吧
【活动申请方式】
关注我们+转发+评论 微博或者微信私信我们截图转发评论的图片申请
本人照片提交：直视镜头拍摄，正面+侧面45度+侧面90度无化妆无美图照片
年龄：
希望手术的日期：
❤️❤️号：
💙报名截止日期：2024.11.30~2025.12.11
💚手术截止日期：2025.02.28为止
ct长图耐心观看#韩国歌娜##面部轮廓##轮廓整形#",,"https://wx2.sinaimg.cn/large/008msXpDgy1hvtq49oap6j31hc2mt1kx.jpg,https://wx1.sinaimg.cn/large/008msXpDgy1hvtq4ba6vjj30xc6hcnpd.jpg,https://wx1.sinaimg.cn/large/008msXpDgy1hvtq4cb5thj30xc6hce81.jpg,https://wx3.sinaimg.cn/large/008msXpDgy1hvtq4dbr04j30xc7s0u0x.jpg,https://wx4.sinaimg.cn/large/008msXpDly1hvtq4sjthfj31900u0dir.jpg,https://wx1.sinaimg.cn/large/008msXpDly1hvtq53vb6pj31900u0tbv.jpg,https://wx2.sinaimg.cn/large/008msXpDgy1hvtq4dxznnj30j60j6jtn.jpg,https://wx4.sinaimg.cn/large/008msXpDgy1hvtq4efb9lj30j60j6jv2.jpg","https://f.video.weibocdn.com/o0/E9q1OF6hlx08jL2b2Hxm010412008Ezg0E010.mp4?label=mp4_720p&template=1080x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732877514&ssig=sMv99la1oC&KID=unistore,video",,2024-11-21T12:01:30,iPhone 13,16,28,22,"韩国歌娜,面部轮廓,轮廓整形",,2024-11-21 12:01:30
5104382604219064	,P1Q0IhHzq,抗衰//@NN好运又美丽:法令纹凹陷填充，Juvelook黑瓶胶原蛋白，连打三个月可以维持半年。韩国🏥Line Master。,,,,,2024-11-24T23:45:10,,0,0,0,,NN好运又美丽,2024-11-24 23:45:10,False,6200197802,小樱暹罗,5092960620250318	,OD0ku137o,"💜【两年时间我是如何变年轻的】
这个话题感觉大家都很有兴趣耶，我今天展开讲讲我都做了什么以及日常保养注意事项⚠️
我做的东西太多了，今天只写我是如何去除老态，疲倦感的吧。以下图片全部为🍎原相机拍摄，可以保存照片看参数。绝对客观。
🩵先分析一下我的倦感来源，22年我23周岁。
1.法令纹：我的法令纹属于鼻基底凹陷➕皮肉下垂➕法令纹八字色沉的混合型，大部分人其实都是混合型。
解决方式：
①垫鼻基底（但鼻翼会变大，人中会变长，需要再次处理）
②每年一次美版超声刀➕热玛吉，半年（严重的话三个月）穿插一次韩版超声刀。超声炮没有一点用不要浪费💰。也不要说打一次热超没有效果，光电的效果是叠加的，要坚持不懈地打。一次逆天不现实，把下垂的东西提上去是Y M最难的部分，瘦脸跟医生强调不要把你打瘦！！！！
美刀➕热玛吉就是世界上最有效的抗衰仪器，顶尖。
③法令纹八字纹凹陷色沉，你们可以把你们的脸往上提，如果肉提上去还能看到两条黑道法令纹，那么你们也存在凹陷色沉，皮肤凹进去了，黑色道就是阴影，只有一个办法就是填起来。我用的是Juvelook黑瓶胶原蛋白，连打三个月可以维持半年。🏥是Line Master，特别满意👍。
🩷第二个大问题，外轮廓严重凹陷不流畅，也是老态的重要来源。会让人联想到瘦小抽巴的老太太。
解决方案：
脂肪填充外轮廓凹陷过度流畅。（个人认为不需要妖魔化脂肪填充，对于瘦到凹陷的人来讲确实很香），
需要注意的是第一☝️，脂肪填充我觉得只对脸颊和太阳穴比较友好，眼下是万万不可以填的，我填过非常的馒，挤眼睛，幸运的是没成活）
第二，你必须对你的体重有足够把握，绝不可以发胖。
💛第三个大问题，眼下凹陷干瘪，解决方案也是填充juvelook黑瓶胶原蛋白，🏥Line Master，是我的宝藏🏥了。
💙皮肤质感我也强推永远的丽珠兰黑，每次做仪器都会顺手打。是那些杂牌bns永远比不了的。能火这么多年确实有东西，油皮的话juvelook蓝瓶更合适。
💚YM基本就这些，接下来说说日常保养。
其实最重要的还是早睡早起…虽然老生常谈但真的很重要。我原图那个时候就是熬夜➕🚬➕🍺。导致22岁皮肤状态就那么差……现在
尽量早睡，睡饱➕练背➕戒🚬戒🍷➕养生➕吃健康干净的食物➕口服保养品
护肤类的保养品我喜欢：胶原蛋白肽➕胶原蛋白➕巴西莓粉➕野樱莓粉，这两种粉可以让皮肤白净健康，亲测有效。混合黑咖啡一起喝比较容易入口。
保持好的心情也很重要，凡事想开一点。
有什么不明白评论区👇提问，我会详细回答，祝大家都越来越年轻～～～",,"https://wx4.sinaimg.cn/large/006LBoGmgy1huxak0yr8uj30u01407bd.jpg,https://wx2.sinaimg.cn/large/006LBoGmgy1huxak1tiw0j30u0140462.jpg,https://wx4.sinaimg.cn/large/006LBoGmgy1huxal3ws7wj31sc2ds1kx.jpg,https://wx2.sinaimg.cn/large/006LBoGmgy1huxakzsd59j31sc2dse81.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0025NUrCgx08j2kiUUkv0f0f010045wM0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001FGk4vgx08j2kiXut90f0f01004lXa0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003wIp18gx08j2kjwQ5V0f0f0100rzTV0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003lvoAXgx08j2kk5yhV0f0f0100rnav0k01.mov,,2024-10-24T11:18:17,iPhone 16 Pro Max,109,70,59,,,2024-10-24 11:18:17
