id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105870377321289	,P2sIluIBj,这歌词,,,,,2024-11-29T02:17:03,iPhone 16 Pro Max,0,0,0,,,2024-11-29 02:17:03,False,2023071635,ll雪雪Christina,5086250963311244	,OAbMsdTpa,"永远都喜欢老舅唱的《若月亮没来》 
ll雪雪Christina的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ilAI3tC6lx08iyNlHGY001041200s4oZ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732874668&ssig=36UUuI4jWz&KID=unistore,video",,2024-10-05T22:56:30,iPhone 14,9,2,2,,,2024-10-05 22:56:30
5105611573037398	,P2lYVcKai,"还不下班老子崩溃了 东南亚
 ",,,,,2024-11-28T09:08:39,iPhone 16 Pro Max,0,0,0,,,2024-11-28 09:08:39,True
5105443556300089	,P2hBVqqWl,"看到帅哥的单子我都两眼放光哈哈哈哈哈
 ",,,,,2024-11-27T22:01:01,iPhone 16 Pro Max,0,0,0,,,2024-11-27 22:01:01,True
5105424051212278	,P2h6t55mS,"到哪都弯着玩手机 背都驼了
 ",,,,,2024-11-27T20:43:30,有钱人的iPhone 14 Pro,0,3,0,,,2024-11-27 20:43:30,True
5104377956139693	,P1PTdpLdj,我赚不到钱 我精神不正常了 ,,,,,2024-11-24T23:26:42,iPhone 16 Pro Max,3,5,0,,,2024-11-24 23:26:42,True
5104375908799093	,P1PPUAV2R,被逼上绝路了 ,,,,,2024-11-24T23:18:34,iPhone 16 Pro Max,0,0,1,,,2024-11-24 23:18:34,True
5104293378526822	,P1NGNzMdo,"有些人就是畜生道来的 沟通不明白 第一次当人
 ",,,,,2024-11-24T17:50:37,iPhone 16 Pro Max,4,0,0,,,2024-11-24 17:50:37,True
5104126790729737	,P1Jm733PX,"这个世界上最不缺的就是年少有为的故事
 ",,,,,2024-11-24T06:48:39,iPhone 16 Pro Max,2,0,0,,,2024-11-24 06:48:39,True
5104125177759334	,P1Jjvwyyy,"我发誓我一定要买上迈凯轮我发誓我发誓 一定要！！！！我一定可以买上的
 ",,,,,2024-11-24T06:42:15,iPhone 16 Pro Max,0,0,0,,,2024-11-24 06:42:15,True
5103646361258066	,P1wRe5hho,傻逼男的 说请我吃好吃的我缺你那吃的吗 请你妈的逼傻逼 ,,,,,2024-11-22T22:59:36,iPhone 16 Pro Max,5,0,0,,,2024-11-22 22:59:36,True
5103625561442240	,P1wjG63bW,感觉我的身体就是被傻逼气的 ,,,,,2024-11-22T21:36:57,iPhone 16 Pro Max,3,1,0,,,2024-11-22 21:36:57,True
5103590687638529	,P1vpqw385,"感觉我在国内的时候身体没有这么差的 主要是这边吃的也太难吃了
 ",,,,,2024-11-22T19:18:23,iPhone 16 Pro Max,0,1,0,,,2024-11-22 19:18:23,True
5103021480477064	,P1gBm206A,"我被下头了 就会喘不上气 胸闷气短的 
 ",,,,,2024-11-21T05:36:33,iPhone 16 Pro Max,1,0,0,,,2024-11-21 05:36:33,True
5102917610901976	,P1dTP3ME0,生活就像一个巨大的玄学越计划越没有以后 ,,,,,2024-11-20T22:43:49,iPhone 16 Pro Max,1,0,0,,,2024-11-20 22:43:49,True
