id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106080206555743	,P2yaMrvrN,是的,,,,,2024-11-29T16:10:50,iPhone 14,1,0,0,,,2024-11-29 16:10:50,False,7063636894,谈美功课小号,5106071788324373	,P2xXcyVy5,"好多妹妹现在都不想上班，想去做博主，其实真没那么容易。
做自媒体博主何尝不是一种打工，KPI也是要背内容指标和带货转化指标的，品牌方投放广告也会下放ROI的要求，都是KPI压在身上。
做的好绩效好会有品牌方复投，做的不好直接末位淘汰。
其他博主都是行业同事，有大大方方共享资源的同事，也有背后各种小动作的同事，职场素养如何长期下来大家门清儿，但复杂程度可比公司多多了，要不这么多自媒体人心理问题频发，赚的都是内耗和关系压力的钱。
世界就是在巨大又相似的系统里运转的，谁都逃不过社会组织架构，中国人生来都会被迫打工，创业也是打工，区分的只是时间可支配权和自由度。
所以我看开了，现在的经济环境，只要上班拥有部分时间可支配权，也不是不可接受。
在公司上班打工可比全职自媒体轻松多了，至少组织结构清晰+明确目标和KPI+抗风险能力强。现在的环境别说风口的猪了，就是龙没有风都不一定飞得远。",,,,,2024-11-29T15:37:23,互联网杀猪iPhone客户端,89,15,9,,,2024-11-29 15:37:23
5105980050508884	,P2vzf28nO,小狗回家 ,,https://wx2.sinaimg.cn/large/ed9d4461gy1hw2utjwn8sj20u01syqa1.jpg,,,2024-11-29T09:32:51,iPhone 14,7,0,0,,,2024-11-29 09:32:51,True
5105946268798413	,P2uGKAURT,早起就有空化妆了 ,,https://wx3.sinaimg.cn/large/ed9d4461gy1hw2qxnrgncj22c0340qv7.jpg,,,2024-11-29T07:18:37,iPhone 14,11,8,0,,,2024-11-29 07:18:37,True
5105935640429433	,P2upC1NIl,转发微博,,,,,2024-11-29T06:36:23,iPhone 14,1,0,0,,,2024-11-29 06:36:23,False,7394892032,萨摩耶受益者联盟,5105834338027185	,P2rMdxGeJ,"新疆图木舒克市 | 寻找一只腿被捕兽夹夹到受伤的耶耶😭！！如果有好心人捡到可以联系vx：17721502205 
是我们萨摩耶受益者联盟✖️萨摩耶摆地摊最新跟进参与的一只流浪耶耶串串！
狗狗的腿被捕兽夹受伤了，但因为地方比较偏，图木舒克市区的几家医院都不接收治疗（甚至给钱加钱也不愿意）
，还有一个医院说住院笼位不够了。
【昨天我们大家找到一家伊犁愿意接收的医院，但是狗狗又在小区地下室又跑出去了，目前找了一天都没有找到😞】。
狗狗拖着受伤的腿可能还在附近逗留，
也有可能是被其他好心人带回家了，如果有好心人捡到看到可以联系我们！
我们可以给这只耶耶提供医疗帮助和治疗经费！
cr：#椰盟狗狗寻主#",,"https://wx2.sinaimg.cn/large/0084sde8gy1hw2dqo5kntj30wi1qsnb1.jpg,https://wx2.sinaimg.cn/large/0084sde8gy1hw2dqqdy0qj30wi1yc1cl.jpg,https://wx1.sinaimg.cn/large/0084sde8gy1hw2dqs70d2j30wi1ycb29.jpg,https://wx4.sinaimg.cn/large/0084sde8gy1hw2dqm605zj30vo15pgw1.jpg",,,2024-11-28T23:53:50,,220,10,79,椰盟狗狗寻主,,2024-11-28 23:53:50
5105925779882439	,P2u9HFsSb,早安 ,,https://wx3.sinaimg.cn/large/ed9d4461gy1hw2ol4fuiej20u00u0n3f.jpg,,,2024-11-29T05:57:12,iPhone 14,2,2,0,,,2024-11-29 05:57:12,True
5105810512022216	,P2r9N8u4o,//@不爱吃肉爱青菜各种菜:转发微博,,,,,2024-11-28T22:19:10,iPhone 14,1,0,0,,不爱吃肉爱青菜各种菜,2024-11-28 22:19:10,False,1842056855,领养小铺,5105268167279341	,P2d32uxGJ,一号基地紧急筹狗粮款，还需要4960元。。如果朋友们愿意帮忙，非常感谢！！！ ,,"https://wx1.sinaimg.cn/large/6dcb8e97ly1hw0l1887doj20u0146qbf.jpg,https://wx1.sinaimg.cn/large/6dcb8e97ly1hw0l1dkmfpj20u014611v.jpg,https://wx2.sinaimg.cn/large/6dcb8e97ly1hw0l0zua5yj20u01467cn.jpg,https://wx2.sinaimg.cn/large/6dcb8e97ly1hw0l1ik1fuj20u0146qbh.jpg,https://wx1.sinaimg.cn/large/6dcb8e97ly1hw0l1p85z0j20u0146aj3.jpg,https://wx1.sinaimg.cn/large/6dcb8e97ly1hw0l1xhbdtj20u0141k0q.jpg,https://wx4.sinaimg.cn/large/6dcb8e97ly1hw0l25uafjj20u0141k0n.jpg,https://wx2.sinaimg.cn/large/6dcb8e97ly1hw0l289i88j20u0141151.jpg,https://wx1.sinaimg.cn/large/6dcb8e97ly1hw0l28yoihj20u0141qcq.jpg",,,2024-11-27T10:24:05,,65,13,39,,,2024-11-27 10:24:05
5105807458830011	,P2r4RB35x,"各位美女～感恩节快乐
永远祝喜欢我的人越来越幸福☺️ ",,,,,2024-11-28T22:07:02,iPhone 14,20,3,0,,,2024-11-28 22:07:02,True
