id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106032615622662	,P2wW1nAI6,睡醒了，发什么疯好呢 ,,,,,2024-11-29T13:01:44,Android,0,0,0,,,2024-11-29 13:01:44,True
5106032328575948	,P2wVyzYZK,转发微博,,,,,2024-11-29T13:00:35,Android,0,0,0,,,2024-11-29 13:00:35,False,6003707598,陈桃子_,5106020669981850	,P2wCKFSJA,"生理期痛怎么快速改善
1、确保自己不要着凉！！！
（我姐姐生理期痛到直不起腰，一点风吹到她，她都觉得要命）
这几个是她常用缓解跟大家分享下
（外用）
1、护腰（十几块钱）有两个兜兜可以买暖宝宝放在里面，比起那种按摩加热的，要更方便实用一些
2、膝盖暖暖贴（人冷先冷腿，腿暖和了，身上也就暖和起来了）
3、足底暖暖贴（脚凉是生理期的一大禁忌，一定要让自己保持温暖，才会舒适一些）
（内服）
1、止痛片：我姐姐吃的澳洲痛经片，效果还可以，一半一个月她只有第一天需要吃一片或者两片，因为姐姐对eve日本止痛片过敏，澳洲这个就还好，后续也没有头疼头晕的副作用
2、红糖姜丝水：这个我妈妈会提前给她做好熬成块，生理期会拿出来泡泡喝，会让全身暖和起来
尤其是冬天了，女孩子也是更要照顾好自己，生理期前后也要注意保暖
大家有什么生理期好物也可以分享下",,"https://wx2.sinaimg.cn/large/006yiWBwgy1hw2zgo1tusj30lh0uzdgz.jpg,https://wx2.sinaimg.cn/large/006yiWBwgy1hw2zgoold9j30yl0nfmzh.jpg",,,2024-11-29T12:14:15,iPhone 15 Pro Max,6,4,1,,,2024-11-29 12:14:15
5106032030779781	,P2wV53gR7,庸医真该死，还装看不见,,,,,2024-11-29T12:59:24,Android,0,0,0,,,2024-11-29 12:59:24,False,1897753725,luckyniki_,5105803495735894	,P2qYto4aq,"@朝阳小美白要美白 今年3月@dr刘志勇 做的上半身，9月做的下半身。其实刚开始次就存在凹凸问题，但助理和lzy的态度都是说可以给我调整，再加上在杭州很方便。出于信任我还是决定在刘志勇这里做了第二次，结果现在腿也出了问题。我再去找他们就开始跟我拖。从1个多月的时候就跟我说恢复期，现在都两个月了还是这样
醒麻醉之后我的头就很晕，伤口也一直很疼，跟护士说了就说正常，期间lzy和助理都不在，问就说在面诊，留我一个人难受得要命，就这么忙着赚💰不管我si活
术后我一直坚持穿塑身衣，但刚换塑身衣的时候我就有点焦虑，觉得抽的部位不太平整，切口也红红的，跟助理说了之后只说让我不要焦虑，穿好塑身衣，然后涂药膏
在助理劝说的下我忍了1个多月，每天坚持穿塑身衣，按助理说的做，结果长成了这样，不仅凹凸，伤口也没长好。每天照镜子都很崩溃，已经重度抑郁，如果lzy不给我好好处理，我一定si磕到底，让依托都不得好过！！！！！
做完到现在已经2个多月了，被家人朋友安慰 之前为了不影响恢复心情没怎么上网，但现在既然决定曝光这个庸①，就要和其他庸①做坏的姐妹联合起来，揭露他的嘴脸，避免更多姐妹入坑，抽脂大家一定要慎重！",,"https://wx1.sinaimg.cn/large/711d6c7dgy1hw2ahlrenej20jo0q80z6.jpg,https://wx4.sinaimg.cn/large/711d6c7dgy1hw2ahmg90vj20jo0q8te2.jpg,https://wx3.sinaimg.cn/large/711d6c7dgy1hw2ahnllosj20jo0dtwhq.jpg,https://wx2.sinaimg.cn/large/711d6c7dgy1hw2aho3caej20jo0hr761.jpg,https://wx1.sinaimg.cn/large/711d6c7dgy1hw2ahq82ufj20jo0h9djs.jpg,https://wx2.sinaimg.cn/large/711d6c7dgy1hw2aikn7c6j20jo08wt93.jpg,https://wx3.sinaimg.cn/large/711d6c7dgy1hw2ail8qkrj20jo0q875e.jpg,https://wx2.sinaimg.cn/large/711d6c7dgy1hw2ahrsr2pj20jo0q8ju1.jpg,https://wx3.sinaimg.cn/large/711d6c7dgy1hw2ailm03kj20jo0q83zc.jpg,https://wx4.sinaimg.cn/large/711d6c7dgy1hw2aj1560sj20jo0q8my2.jpg",,,2024-11-28T21:51:16,Android,53,8,19,,"朝阳小美白要美白,dr刘志勇",2024-11-28 21:51:16
5105677230145678	,P2nGP0BTE,我的每个毛孔都表示震惊,,,,,2024-11-28T13:29:32,Android,0,0,0,,,2024-11-28 13:29:32,False,7724945811,蛋壳堡垒,5105276858403558	,P2dh3zg9g,你敢相信吗，真是超级大雷 ,,"https://wx4.sinaimg.cn/large/008qN5ibly1hw0m1ytocfj316o1kwn2k.jpg,https://wx4.sinaimg.cn/large/008qN5ibly1hw0m1z4uxwj316o1kw7ac.jpg",,,2024-11-27T10:58:37,,22834,292,843,,,2024-11-27 10:58:37
5105299042340808	,P2dQQ9OWY,转发微博,,,,,2024-11-27T12:26:46,Android,0,0,0,,,2024-11-27 12:26:46,False,1784473157,中国新闻网,5105285498148211	,P2duZybIL,【#中羽协回应羽绒制品造假乱象#】#中羽协提示羽绒制品选购要点#11月27日，中国羽绒工业协会就近期羽绒制品造假乱象发声并发布《羽绒制品消费提示》。详戳↓↓#原来买羽绒服不能只看含绒量# ,,https://wx2.sinaimg.cn/large/001WLsZ7ly1hw0mynvhmzj60u02u8kjl02.jpg,,,2024-11-27T11:32:57,微博网页版,4897,586,554,"中羽协回应羽绒制品造假乱象,中羽协提示羽绒制品选购要点,原来买羽绒服不能只看含绒量",,2024-11-27 11:32:57
5104982073808639	,P25BBfYNF,si庸医，你出门看着点车,,,,,2024-11-26T15:27:15,Android,1,0,0,,,2024-11-26 15:27:15,False,6625231598,ArtemisMisae,5103563828894254	,P1uI6BjNI,看图吧@dr刘志勇 @朝阳小美白要美白 @刘志勇小助理_努丽版 ,,"https://wx1.sinaimg.cn/large/007emNoagy1hvv59zuc7dj30zu180tou.jpg,https://wx3.sinaimg.cn/large/007emNoagy1hvv5a3lt4dj30zu1ftnfn.jpg,https://wx1.sinaimg.cn/large/007emNoagy1hvv59x5jyqj30uccn3x6q.jpg",,,2024-11-22T17:31:39,iPhone 15 Pro Max,283,21,47,,"dr刘志勇,朝阳小美白要美白,刘志勇小助理_努丽版",2024-11-22 17:31:39
5104957630188617	,P24Yb0N4d,不是说瘦了吗，这怎么皮好松,,,,,2024-11-26T13:50:07,Android,1,0,0,,,2024-11-26 13:50:07,False,7525510412,综艺兔兔子,5096544665600390	,OEvzcnuUS,一张吴彦祖发的，一张贾玲助理发的  ,,"https://wx4.sinaimg.cn/large/008dih2cgy1hv8p8qspz5j31401kbdja.jpg,https://wx4.sinaimg.cn/large/008dih2cgy1hv8p8r49raj31401eb0v9.jpg",,,2024-11-03T08:40:00,OPPO Find X7,1418,123,20,,,2024-11-03 08:40:00
5104957369879828	,P24XKFsc4,之前看见觉得还挺有意思的，得亏屏蔽的早,,,,,2024-11-26T13:49:05,Android,1,0,0,,,2024-11-26 13:49:05,False,6004281123,梨视频,5104927325816548	,P24biop9i,【#羊毛月掉粉百万#，#羊毛月关闭视频广告报价#】近日，网红“羊毛月”发布视频“嘲讽00后找工作”的言论引发争议，随后其发布视频道歉。11月26日，巨量星图信息显示，该账号已关闭视频广告报价，显示“达人设置休息”。此前一天，该页面显示其1-20秒视频报价32万元，21-60秒以及60秒以上视频报价35万元。据第三方数据平台显示，11月23日“羊毛月”账号粉丝量为877.1万，截至26日11时30分，账号粉丝量为780.6万，三天掉粉96.5万。#羊毛月曾回应蹭北大#,,"https://wx2.sinaimg.cn/large/006yllNVly8hvzhx0r1gdj31t208q0u4.jpg,https://wx1.sinaimg.cn/large/006yllNVly8hvzhx0ytcxj30fg0w275l.jpg",,,2024-11-26T11:49:42,微博云剪,225,12,6,"羊毛月掉粉百万,羊毛月关闭视频广告报价,羊毛月曾回应蹭北大",,2024-11-26 11:49:42
5104667839169530	,P1XqLCtpE,现在恐婚不是没原因的，这种男的不离婚留着干嘛呢,,,,,2024-11-25T18:38:35,Android,0,0,0,,,2024-11-25 18:38:35,False,1832665202,福多多剧有福,5104556913990003	,P1UxRgJYT,"#全网劝蔡文静离婚# 没开玩笑，如果你知道@蔡文静 在新剧《婚内婚外》中遭遇了什么你也会立刻劝离的！
蔡文静饰演的宁悦一直被老公控制在家中，使尽手段不让她工作也管控她的衣食住行，光是看着就已窒息。。
我说这种婚姻生活到底谁要过啊？不过好在们宁悦也是来了一场酣畅淋漓地自我觉醒，直接掀桌反杀顺便让丈夫来了个身败名裂，有这样一个这个听劝又拎得清的角色进入内娱，疑似给2024末尾一个爽快的重炮！《婚内婚外》已定档11月28！记得来看蔡姐手撕渣男，对乳腺很友好！！！",,"https://wx3.sinaimg.cn/large/6d3c4072ly1hvyban9gipj21hc0u0t8w.jpg,https://wx3.sinaimg.cn/large/6d3c4072ly1hvyb3g95p0j21jk2qjkjm.jpg,https://wx2.sinaimg.cn/large/6d3c4072ly1hvyb3gkdtdj20zo1ggacz.jpg,https://wx4.sinaimg.cn/large/6d3c4072ly1hvyb3gupgyj20zk1a5jvi.jpg,https://wx4.sinaimg.cn/large/6d3c4072ly1hvyb7o3310j20zk1e5n26.jpg,https://wx3.sinaimg.cn/large/6d3c4072ly1hvyb7tajttg21400u0he9.gif,https://wx2.sinaimg.cn/large/6d3c4072ly1hvyb7um1t8g20a40a4e83.gif,https://wx2.sinaimg.cn/large/6d3c4072ly1hvyb7v95ytj20wr0o314v.jpg,https://wx4.sinaimg.cn/large/6d3c4072ly1hvyb7vhx1sj20u00u041p.jpg","https://f.video.weibocdn.com/o0/N9hk7fJylx08jRmN2oDm01041200xFPG0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732875972&ssig=dyyqCb1qXe&KID=unistore,video",,2024-11-25T11:17:49,iPhone 16 Pro Max,5262,1248,2933,全网劝蔡文静离婚,蔡文静,2024-11-25 11:17:49
5104667453294869	,P1Xq9dP93,体雕功课，现在避雷了一多半，整圈天塌了,,,,,2024-11-25T18:37:03,Android,0,0,0,,,2024-11-25 18:37:03,False,6806183372,野原新橙子,5083562132376238	,Oz3PD9Yaq,"这年头纯减肥达不到我的诉求了，又得上科技了，
----热巴是我认为最完美的国人身材
整理了下现在比较火的体雕医生：
许占群（杭州 反馈多 ）
李小旦（长沙 不太想飞去长沙做）
堵顶云（北京 案例不少 年纪太大）
谢凯强（看ip在浙江）
张庆永（上海 没听过之前）
索慧君（北京 最近很多博主推）
刘志勇（忘了谁分享过 看ip在浙江）
准备把这些医生学历、履历背景、案例和价格做个整理，大家有其他安利医生也可以评论区告诉我，我会自己功课的~
鼻子医生迭代好慢，现在火的还是几年前那批，但是脂肪医生好多我都没听过。
P.s.没和任何医生合作过，没推过任何手术，纯粹讨论分享。",,,,,2024-09-28T12:52:03,微博网页版,139,96,50,,,2024-09-28 12:52:03
5104203206756488	,P1LlmslFC,转发微博,,,,,2024-11-24T11:52:19,Android,1,0,0,,,2024-11-24 11:52:19,False,6859181132,都市丽鹅_,5104139803820422	,P1JH6g1RI,"我就说这蠢比咋好意思把图1 发给顾客 他不嫌丢人吗？
哦 原来是顾客强烈要求才拍的
选抽脂医生别光看案例 看他抽出来的脂肪颜色就知道技术怎么样 
附上几张其他医生的科普 ",,"https://wx1.sinaimg.cn/large/007ucqlKgy1hvwy240yt5j30yw0ll0y3.jpg,https://wx3.sinaimg.cn/large/007ucqlKgy1hvwzjw6g1cj30ve17ktmg.jpg,https://wx2.sinaimg.cn/large/007ucqlKgy1hvwy2vk00yj30zu1nghdt.jpg,https://wx2.sinaimg.cn/large/007ucqlKgy1hvwy2r7ws7j30zu1wrb29.jpg,https://wx2.sinaimg.cn/large/007ucqlKgy1hvwziwwu09j30zo1vtka2.jpg,https://wx3.sinaimg.cn/large/007ucqlKgy1hvwzf1v5vnj30u01o1wvi.jpg",,,2024-11-24T07:40:22,,198,28,29,,,2024-11-24 07:40:22
