id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105783568337048	,P2qskyYQw,"【上半身精雕+手臂修复】术后即刻分享
术前概况：
这位姑娘之前进行过下半身抽脂，手臂也进行过抽脂。下半身脂肪较厚上次假胯没有抽干净，脂肪质量较高，存活情况良好。皮肤非常白皙且质量状态好，适合抽脂，属于不易留下明显疤痕的体质。需求是希望进一步优化上半身线条，特别是手臂和腰腹部，同时修复调整之前吸脂遗留的缺陷，使整体身材更加匀称。最终建议分两期方案进行改善。
项目方案：
上半身精雕（肩胛后背腰腹等部位脂肪抽取）+ 手臂部修复。采用精细的脂肪抽取技术，减少手臂和后背腰腹等部位多余脂肪，优化整体比例，修复之前手术未完全改善的部位，优化腰线，使手臂维度线条、腰腹部线条更加流畅。
即刻效果：
手臂：手臂线条更加匀称。腰腹部及后背脂肪显著减少，脂肪堆积得到有效改善，腰线更明显，整体线条更流畅。
后背200
后腰单侧300
手臂单侧200
副乳单侧100
前腹600",,"https://wx1.sinaimg.cn/large/a1aa6783gy1hw284yxy9jj21o01o04qp.jpg,https://wx1.sinaimg.cn/large/a1aa6783gy1hw284ujra3j20zk18gdwo.jpg,https://wx3.sinaimg.cn/large/a1aa6783gy1hw284uiwb7j20zk18gark.jpg,https://wx3.sinaimg.cn/large/a1aa6783gy1hw284zi68tj22dc35s1ky.jpg,https://wx3.sinaimg.cn/large/a1aa6783gy1hw284zr0wpj22dc35skjm.jpg,https://wx4.sinaimg.cn/large/a1aa6783gy1hw28509ogaj22dc35s7wi.jpg",,,2024-11-28T20:32:06,微博网页版,0,0,0,,,2024-11-28 20:32:06,True
5105440256432736	,P2hwBqZrO,"【大小腿+丰胸】术后恢复分享
非常感谢这位姑娘持续的记录和一直以来的反馈
大家术后恢复过程中碰到任何问题和疑问都可以跟我们讲
术后4个月：→
网页链接
术后85天（3个月）：→
网页链接
术后2个月：→
网页链接
术后27天（1个月）：→
网页链接
术后即刻：→
网页链接",,,,,2024-11-27T21:47:54,微博网页版,2,0,0,,,2024-11-27 21:47:54,True
5105012057312102	,P26nXuGd8,"谢谢姑娘术后一个月的反馈，多谢信任
，看图片状态不错，现在恢复得怎么样啦？",,,,,2024-11-26T17:26:23,微博网页版,0,0,0,,,2024-11-26 17:26:23,False,7964281959,酒酿丸子JoJo,5104218610599567	,P1LKd2vYr,腰腹+背+胳膊一个月整啦！天啊，我终于有腰了，背也薄了！告别虎背熊腰，感谢@体雕医生张庆永 ！并没有很疼，也没有淤青。有在好好拉伸，体验感很好医院环境非常好，护士小姐姐都超级无敌好，张医生也是每天都来查房，助理也是有求必应一直在跟紧进，很负责！#上海张庆永##腰腹吸脂# ,,"https://wx3.sinaimg.cn/large/008GZjyDly1hvx8isqea6j30uk6c24qp.jpg,https://wx3.sinaimg.cn/large/008GZjyDly1hvx8it5pqmj30zj169q8l.jpg,https://wx3.sinaimg.cn/large/008GZjyDly1hvx8iriki3j30zk1bfjx1.jpg",,,2024-11-24T12:53:31,iPhone客户端,3,2,1,"上海张庆永,腰腹吸脂",体雕医生张庆永,2024-11-24 12:53:31
5105008234726003	,P26hNjPrR,"谢谢姑娘术后46天的分享
，增生期感觉有硬块是正常的，可以适当得拉伸、热敷按摩软化腹部皮下瘢痕，护理得不错
，继续保持后面状态会越来越好",,,,,2024-11-26T17:11:11,微博网页版,0,0,0,,,2024-11-26 17:11:11,False,5888343065,一路帆花一路繁花,5104040977106457	,P1H7HtOIh,"@体雕医生张庆永 第46天了 hhh
恢复的感觉越来越好了
胳膊几乎没有拉扯感了 
肚子摸下去还有点硬块 
有在每天很认真涂油 和护肤
期待下个月的恢复 ",,"https://wx3.sinaimg.cn/large/006quT1fly1hvwo399ewaj31610u0tes.jpg,https://wx1.sinaimg.cn/large/006quT1fly1hvwo1x2e4dj30pj0frwfm.jpg",,,2024-11-24T01:07:40,iPhone客户端,2,1,1,,体雕医生张庆永,2024-11-24 01:07:40
5104688247079739	,P1XXGtHLl,"感谢姑娘的术后分享
，接下来就是与恢复期对抗了，记得遵循医嘱好好护理，有任何不懂的地方都可以及时跟我们询问",,,,,2024-11-25T19:59:40,微博网页版,1,0,0,,,2024-11-25 19:59:40,False,7885058098,用户7885058098,5103706925958146	,P1yqUoZZ8,"现在是手术第二天 麻醉反应终于减轻了（我属于麻醉反应比较大的那种，同病房的小姐姐一点事都没有 羡慕
） 看到术后图的那一刻 我觉得一切痛苦都是值得的 期待恢复好之后的样子 在这里实名表扬张院和小助理，真的很细心。@体雕医生张庆永 ",,"https://wx3.sinaimg.cn/large/008BCTOqgy1hvvlm39yodj30uk45ktxg.jpg,https://wx4.sinaimg.cn/large/008BCTOqgy1hvvlm3yszmj30uk3nr4h1.jpg",,,2024-11-23T03:00:16,iPhone客户端,1,2,1,,体雕医生张庆永,2024-11-23 03:00:16
5104687222882653	,P1XW2c5Up,"感谢姑娘的术后分享
，恢复期还有一段路程要走呢，我们会陪着你的，记得遵循医嘱好好休养",,,,,2024-11-25T19:55:36,微博网页版,0,0,0,,,2024-11-25 19:55:36,False,6456666983,好运星星_Star,5103574361571614	,P1uZ66AQC,"做完啦 感觉还可以
不是很痛 就是像做完一万个仰卧起坐的感觉@体雕医生张庆永 ",,"https://wx1.sinaimg.cn/large/0072Xw23gy1hvv6j2chuoj30uk6a74qq.jpg,https://wx2.sinaimg.cn/large/0072Xw23gy1hvv6j4l2dfj32nm3ji4qr.jpg",,,2024-11-22T18:13:29,iPhone客户端,4,6,2,,体雕医生张庆永,2024-11-22 18:13:29
5104685437160039	,P1XT9u2Ev,"感谢姑娘的恢复分享
。
恢复期增生期确实比较磨人心态，无论是预见效果还是过程的忍受都不比其他注射打针类的医美项目过得轻快，相比而言体雕吸脂真正是一场大型的医疗手术，所以大家做体雕手术前还是要做好心理准备的，凹凸和黏连、反复肿胀都是会在此期间可能会出现的问题。希望每个有此念想的求美者都能够重视。
术后遵循医嘱用心护理，有任何问题及时反馈咨询，随着恢复期的延后会越来越好的",,,,,2024-11-25T19:48:31,微博网页版,0,0,0,,,2024-11-25 19:48:31,False,2816150187,TT要有腰线了嗷,5103528266173746	,P1tMKpU4y,"恢复期间真的要放平心态！之前顶光看腿上非常凹凸不平，真的很难过！联系小助理后说是正常皮下组织黏连，还要时间恢复。果然现在就比之前平整多了！虽然现在有的光线下看还是不平整，还是要再等一段时间～相信老张！btw表扬一下售后真滴很好！每次有问题都基本秒回
（最近吃胖很多，小肚子都出来了…要把健身提上日程了！）#张庆永体雕##大小腿吸脂# @体雕医生张庆永",,"https://wx4.sinaimg.cn/large/a7db0aably1hvv18j4yxjj22c03407wi.jpg,https://wx3.sinaimg.cn/large/a7db0aably1hvv18jie8zj213z1hcte3.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002EDG5ajx08jMQ5vyft0f0f01003X510k01.mov,,2024-11-22T15:10:20,iPhone客户端,2,1,1,"张庆永体雕,大小腿吸脂",体雕医生张庆永,2024-11-22 15:10:20
5104678509740258	,P1XHYERSW,"【大腿+丰胸+填胯】术后即刻
术前概况：
姑娘希望拥有自然的细长腿，腿部线条更加顺畅平滑，同时让胸胯部的形态更加饱满。小腿脂肪不多，预测脂肪量有限，优先填充胯部，再考虑填充胸部。
项目方案：
大腿脂肪抽取 + 胯部脂肪填充 + 胸部脂肪填充，减少大腿多余的脂肪，矫正腿型，打造细长腿，同时填充胯部和胸部，优化整体比例。
即刻效果：
大腿脂肪显著减少，腿部线条更顺畅平滑，胯部填充后整体轮廓更饱满，胸部的维度在皮肤张力安全范围内也有显著的提升。
大腿单侧750
胯单侧300
胸单侧300",,"https://wx4.sinaimg.cn/large/a1aa6783gy1hvypbf8z2xj20zk18g1am.jpg,https://wx3.sinaimg.cn/large/a1aa6783gy1hvypbf6cl5j20zk18gh21.jpg,https://wx1.sinaimg.cn/large/a1aa6783gy1hvypbgteyxj21o0280npd.jpg,https://wx3.sinaimg.cn/large/a1aa6783gy1hvypbgaqwhj21o01o01kx.jpg",,,2024-11-25T19:20:59,微博网页版,2,0,1,,,2024-11-25 19:20:59,True
5104285430579716	,P1NtZ2qOg,谢谢姑娘的分享，状态恢复得不错,,,,,2024-11-24T17:19:01,微博网页版,2,0,0,,,2024-11-24 17:19:01,False,7728148219,芝麻酱大魔王,5103084162254459	,P1ies9suf,"@体雕医生张庆永 张院上半身精雕➕填臀胯术后三个月~形态基本稳定啦，撒花
我术前也是比较瘦的，本以为臀胯脂肪存活率不会太高，术后不敢控制饮食，一直在努力吃吃吃，目前吸收率稳定在50%左右。手臂吸的非常干净，之前的牵拉感还剩10%，感觉再等一个月左右基本会消失~小基数想要调整身体形态的姐妹真的可以冲",,"https://wx2.sinaimg.cn/large/008r0wnVgy1hvtm2slle7j31400u0wjd.jpg,https://wx2.sinaimg.cn/large/008r0wnVgy1hvtm2s7aybj30u014079b.jpg",,,2024-11-21T09:45:38,iPhone客户端,3,1,1,,体雕医生张庆永,2024-11-21 09:45:38
5104284356051614	,P1NsfpoiG,"感谢姑娘的分享
，状态不错继续保持，有任何不懂的地方及时跟我们联系反馈",,,,,2024-11-24T17:14:45,微博网页版,1,0,0,,,2024-11-24 17:14:45,False,7124558152,擅长赖床-D,5102899594268220	,P1dqLhUmg,"张庆永 上半身精雕2个月左右啦@体雕医生张庆永 姐妹 一定要按时穿塑身衣 我在术后护理上不算精致 也一点没有马虎 做完的都去买娇韵诗的油 已经用空2瓶了  目前没有任何凹凸不平 没有不适 就是在等增生慢慢消肿 硬块慢慢下去 ，日常按摩热敷 。期待之后的恢复
恢复好 要去做我的腿子啦！！！
 #张庆永体雕# /   #张庆永腰腹#   /   #张庆永手臂#   /   #张庆永臀胯#   /   #张庆永大腿#等等……",,"https://wx4.sinaimg.cn/large/007M9V2gly1hvt0svxqznj31400u0gs4.jpg,https://wx4.sinaimg.cn/large/007M9V2gly1hvt0svhj9pj30u0140aem.jpg",,,2024-11-20T21:32:13,iPhone 14,3,3,1,"张庆永体雕,张庆永腰腹,张庆永手臂,张庆永臀胯,张庆永大腿",体雕医生张庆永,2024-11-20 21:32:13
