id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106152302452709	,P2A34ai3P,,,,,,2024-11-29T20:57:19,小米9,0,3,0,,,2024-11-29 20:57:19,False,6141086679,极目视频,5106067822348555	,P2xQO9QXV,"#女子取款5000元银行要求丈夫到场#【沈阳一储户农行卡欲取款5000元，要丈夫到场并证明夫妻关系？银行：业务已办理，原因正调查】#银行回应女子取款5000元被要求丈夫到场#11月28日，辽宁沈阳一网友发视频称，转账支付房租失败后，她去该网点取丈夫刚转进去的5000元，但被银行要求证明打款人是谁，后又要求需她丈夫到现场处理，还要提供户口本、身份证、结婚证等材料，才能证明两人的夫妻关系。最后，还要证明这5000元的用途。29日，极目新闻记者从涉事银行了解到，确有此事，但该储户后来成功办理了业务，具体原因正在调查处理。农业银行客服告诉极目新闻记者，该网友这种情况不排除资金有涉及电信诈骗或者异常交易的情况，因此需要她携带相应的材料去核实，但具体原因还要看当时的提示内容。#女子取款5000元银行要求证明夫妻关系# 
极目视频的微博视频",,,"https://f.video.weibocdn.com/o0/yaGkgXWMlx08jY1628Xm010412005s430E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732889243&ssig=AhGmMBuo0Z&KID=unistore,video",,2024-11-29T15:21:37,微博视频号,45,4,3,"女子取款5000元银行要求丈夫到场,银行回应女子取款5000元被要求丈夫到场,女子取款5000元银行要求证明夫妻关系",,2024-11-29 15:21:37
5106147743498265	,P2zVIeG3D,"上颚门牙背面被孜然粒还是什么卡住牙根了，一咬合就疼，怎么办，抠不出来，不会嵌进牙龈了吧，不想看牙医啊。然后回家拿一个镜子，张大嘴，把镜子放进嘴巴，再站在穿衣镜前，通过两面镜子锁定卡主的位置，用牙线棒把它剔了出来
生活每天都考考我
 ",,https://wx2.sinaimg.cn/large/007RdC5Mgy1hw3e28yw6pj32zs4007wj.jpg,,,2024-11-29T20:39:11,小米9,21,9,0,,,2024-11-29 20:39:11,True
5106141658876074	,P2zLTBf4u,订了猫砂，准备回家陪猫，喂猫，等要睡觉再回会所，希望明天退房前能把屎拉了。 ,,,,,2024-11-29T20:15:01,小米9,13,2,0,,,2024-11-29 20:15:01,True
5106130101994470	,P2ztg8mQS,真不是睡觉的地方，吹个头发跳闸2次，卫生间插座一插就跳，换到床头插座才好。还不如去楼下健身房洗澡，水流大吹风机猛。 ,,,,,2024-11-29T19:29:06,小米9,21,2,0,,,2024-11-29 19:29:06,True
5106108738046625	,P2yUNxLih,"107一晚的大床房，是养生会所里的，前台好几个帅哥，说我要做项目也有。我直接说我家卫生间做了防水，就是找个地方洗澡，不一定过夜
环境不错，可以足浴spa之类。 ",,"https://wx1.sinaimg.cn/large/007RdC5Mly1hw39lkluoqj31400u0gr4.jpg,https://wx2.sinaimg.cn/large/007RdC5Mly1hw39llb331j30u0140acu.jpg,https://wx3.sinaimg.cn/large/007RdC5Mly1hw39xt7p07j30u0140tco.jpg,https://wx1.sinaimg.cn/large/007RdC5Mly1hw39xtx4a2j30u01407a3.jpg,https://wx3.sinaimg.cn/large/007RdC5Mly1hw39xun15fj30u0140dng.jpg,https://wx1.sinaimg.cn/large/007RdC5Mly1hw39xv734zj30u0140tch.jpg",,,2024-11-29T18:04:13,小米9,140,48,2,,,2024-11-29 18:04:13,True
5106103152809358	,P2yLNbMQe,"我外婆对我奶奶的怨念，可能小时候她俩在潮州的家境都不差，外婆家做油纸伞生意，还开麻将馆，她是新派女子，10几岁学交际舞，会抽烟，不缠足，识字，比较自由个性。奶奶的爸是邮政局长，家里也有钱，但家教比较严，大家闺秀那样，说话慢条斯理，不喜形于色，有时会有距离感。
经过战乱变故，我外婆的父亲病逝，她和妈妈妹妹躲避战乱离开潮州，她认识一个国民党盐警，给他做妾，生了一儿一女，原配在老家乡下，她被独宠，那几年的时光应该也不错。但国民党战败，她跟盐警回乡下，被大婆赶出来，她带着儿女回到娘家，她自己的妹妹战乱时送走了，带回两个孩子，她妈也没能力养。她认识我外公，谈恋爱陪他去放竹排，我外公那时又穷，说养不起她两个孩子，要么分手，要么孩子送走，然后她不放手，离家一个月跟我外公呆着，回来发现两娃被她妈送走了。
而我奶奶由家人做主，嫁给勤劳踏实，又高又帅的我爷爷，爷爷早年跟家族做布匹生意，后来进供销社工作到退休，人缘好，收入也不差。奶奶不用出去工作，在家接点做盘扣的私活，加上有家底（金银珠宝），就一辈子过得还算安稳，生了三儿一女，爷爷也疼她，病了也照顾她，虽时代变迁，还有大小姐的好命。
我外婆不断攻击诋毁我奶奶，可能就是嫉妒她命好吧，爹好老公好，子女都在身边也热闹。她们是同一个城市差不多家境出来的，我外婆受了很多折磨，包括跟外公回乡下10年种地，送走的儿女也一辈子失散。这种恨意转嫁到我奶奶身上，就是巴不得她不好，她好也得造谣她",,,,,2024-11-29T17:42:01,小米9,117,15,4,,,2024-11-29 17:42:01,True
5106097336092298	,P2yCppySS,"不敢在家上洗手间让我便秘了，因为上午想拉屎时，开的房还不能入住，等下午能入住了，又没屎意了。不知道还要不要出去住
 ",,,,,2024-11-29T17:18:54,小米9,19,7,0,,,2024-11-29 17:18:54,True
5106076004126859	,P2y40hjAf,"我外婆就是个造谣大师，小时候她老说我奶奶穷又抠，经常去菜市场捡烂菜叶吃，还会偷人东西。
但我奶奶的父亲是潮州市邮政局的局长，虽然因为多子女，把她给了姨妈做女儿，也分了好些金银珠宝给她，她没穷过，也不懒，她没出去上班，但做针线活，以前爷爷家开布匹店的。到老，奶奶还分金银珠宝给我们，从没跟我们要钱。
我外婆也造我爸我叔叔姑姑各种谣，叔叔们本来在供销社工作，后来改制下岗了，去广州、珠海打工而已。而且二叔的打工是去珠海我姑家的修车行帮忙，姑姑姑父80年代移居珠海，开了修车行。
我外婆我妈就成天说我姑早恋不好好学习，名声不好，我叔懒又弱，肩不能挑，然后又是造谣我堂弟偷东西之类，我叔去珠海打工，我妈就造谣我婶婶在镇上被包养，当人情妇。
跟说我爸一样有眉有眼，但凡跟我爸走得近的都会说有一腿，我爸宿舍隔壁一家人，女儿还是我同学，我爸有时忙，搭伙在他们家吃饭，也说，那阿姨婚前跟我爸好过我被我爸破的处，搞得我见同学都好尴尬，因为我去我爸单位，也会在这同学家吃饭，我爸中风后，同学还带水果还看我爸，我妈把水果扔了。
还有我妈自己的闺蜜，之前我爸妈恋爱时是异地，经常托闺蜜捎东西给我爸，有一次闺蜜的儿子要去汕头看病，我爸有熟人，那年代啥都要有关系，我爸领他们去。我妈知道了醋意大发，说闺蜜跟我爸有一腿，被猪油蒙了心，跟她绝交。
我小时候就是一天到晚听这些，无限循环播报，且我爸不在家时讲，无从对证。
那时以为李家真的糟透了，从上到下没一个好东西，这些年慢慢复盘，和观察我妈一贯的言行，觉得她和我外婆纯粹是爱讲坏话，捕风捉影。",,,,,2024-11-29T15:54:08,小米9,215,54,7,,,2024-11-29 15:54:08,True
5106064582771257	,P2xLAbCVH,"这是我的11月盈利，卖飞了很多，但也赚了一点。
截止昨天334922，加上今天的33338，11月盈利368620。 ",,"https://wx1.sinaimg.cn/large/007RdC5Mgy1hw34ivgrv7j30u01t00zl.jpg,https://wx3.sinaimg.cn/large/007RdC5Mgy1hw34ivu3k2j309f06ijrf.jpg",,,2024-11-29T15:08:45,小米9,297,63,3,,,2024-11-29 15:08:45,True
5106063190525725	,P2xJl2cLr,今日小盈 ,,https://wx4.sinaimg.cn/large/007RdC5Mgy1hw34db4olej309f06ijrf.jpg,,,2024-11-29T15:03:13,小米9,101,20,1,,,2024-11-29 15:03:13,True
5106054257970511	,P2xuVxruD,"复兴李家花不了多少钱，堂弟一本来在广州买了房准备结婚的，生意出了事，卖房卖车，回老家住爷爷的老破房，就在我们小镇上，他现在想卖了另造新房，找媳妇。几十万就能搞定。
堂弟二和他妈他姐在广州开面馆，买没买房不知道，20几年前，我婶婶就在番禺卖菜，叔叔早逝，没啥钱。增城的房子闲置那么久，给他家住，生活质量能提升不少 。
我就是从小被我妈我外婆成天讲李家坏话，感情上很疏离，我爸家的兄弟姐妹都不敢找我，我哥也离间我和他们的关系，比如堂弟出事想找我哥担保，明明我哥不愿，推说我不让，然后我二叔那年去世了，二婶和堂弟心里记恨我。
其实李家人丁挺兴旺，也勤劳，就是弟弟妹妹们都没上大学，在外打工没有混得很好。我堂妹每年过年还问候我一句，虽然我从没给她发过红包，而我哥家的孩子，每次给礼物红包，但从不主动和我说话。
我打算今年直接在家族群大红包，不给我哥家几千几千地发了，他作为陈家后代，每年陈家扫个墓还跟我要1000，而李家爷奶的墓，他一次没扫过。",,,,,2024-11-29T14:27:44,小米9,282,60,5,,,2024-11-29 14:27:44,True
