id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106160309636458	,P2AfYEqSK,"这个挺健康的，但如果穿丝袜高跟鞋跳钢管舞就感觉很变态//@牙医Lina:这肌肉线条
//@还是一碗泡面:这不是擦边，是让大家看看人类核心力量有多强",,,,,2024-11-29T21:29:08,微博网页版,5,0,3,,"牙医Lina,还是一碗泡面",2024-11-29 21:29:08,False,6206273052,功夫史,5105988463758686	,P2vMOfLNY,"这擦边降维打击了属于。。。 
功夫史的微博视频
 ",,,"https://f.video.weibocdn.com/o0/N3sn1GIzlx08jXFrnogM01041200ej3X0E010.mp4?label=mp4_720p&template=576x1248.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732891793&ssig=%2BiQfYVUG7o&KID=unistore,video",,2024-11-29T10:06:17,微博视频号,1043,99,329,,,2024-11-29 10:06:17
5106135491938974	,P2zBX88pM,"我们初中的时候学过竺可桢的《向沙漠进军》，不过那么多年新闻里都是荒漠化加重，草原沙化，森林减少等等。而这些年，情况终于反过来，我们真的是向沙漠进军了。当然，这也是几十年来政府和群众不懈努力的结果。以下是《向沙漠进军》全文：
沙漠是人类最顽强的自然敌人之一。有史以来，人类就同沙漠不断地斗争。但是从古代的传说和史书的记载看来，过去人类没有能征服沙漠，若干住人的地区反而为沙漠所并吞。
地中海沿岸被称为西方文明的摇篮。古代埃及、巴比伦和希腊的文明都是在这里产生和发展起来的。但是两三千年来，这个区域不断受到风沙的侵占，有些部分逐渐变成荒漠了。
中国陕西榆林地区，雨量还充沛，在明末清初的时候是个天然草原区，没有多少风沙。到了清朝乾隆年间，陕西和山西北部许多人移居到榆林以北关外去开垦。当时的政府根本不关心农业生产事业，生产技术又不高，垦荒伐木，致使原来的草地露出了泥土，日晒风吹，尘沙就到处飞扬。由于长城外的风沙侵入，榆林城也受袭击，到解放以前，榆林地区关外30公里都变成沙漠了。
沙漠逞强施威，所用的武器是风和沙。风沙的进攻主要有两种方式。一种可以称为“游击战”。狂风一起，沙粒随风飞扬，风愈大，沙的打击力愈强。春天四五月间禾苗刚出土，正是狂风肆虐的时候。一次大风沙袭击，可以把幼苗全部打死，甚至连根拔起。沿长城一带风沙大的地区，农民常常要补种两三次才能有点收获。一种可以称为“阵地战”，就是风推动沙丘，缓缓前进。沙丘的高度一般从几米到几十米，也有高达100米以上的。沙丘的前进并不是整体移动的。当风速达到每秒5米以上的时候，沙丘迎风面的沙粒就成批地随风移动，从沙丘的底部移到顶部，过了顶部，由于风速减弱，就在背风面的坡上落下。所以部分沙粒的移动速度虽然相当快，每天可以移动几米到几十米，可是整个沙丘波浪式地前进，移动速度并不快，每年不过5米到10米。几个沙丘常常联在一起，成为沙丘链。沙丘的移动虽然慢，可是所到之处，森林全被摧毁，田园全被埋葬，城郭变成丘墟。
抵御风沙袭击的方法是培植防护林。防护林的主要作用是减小风的力量。风遇到防护林，速度就减小70%～80%。到距离防护林等于林木高度20倍的地方，风又恢复原来的速度。所以防护林必须是并行排列的许多林带，两列之间的距离不要超过林木高度的20倍。其次是培植草皮。有了草皮覆盖地面，即使有风，刮起的沙也不多，这就减少了沙粒的来源。
抵御沙丘进攻的方法是植树种草。中国沙荒地区，有一部分沙丘已经长了草皮和灌木，不再转移阵地了。这种固定的沙丘，只要能妥善保护草皮和灌木，防止过度砍伐和任意放牧，就可以固定下来。根据近年治沙的经验，陕北榆林、内蒙古磴口、甘肃民勤地区的流动沙丘，表面干沙层的厚度一般不超过10厘米。10 厘米以下，水分含量逐渐增大，到40厘米的深处，水分含量达到2%以上，这就是湿沙层了。湿沙层的水分足够供应固定沙丘的植物的需要。所以在流动沙丘上植树种草，是可以成活的。林木和草类成长以后，沙丘就可以固定下来了。
仅仅防御风沙袭击，固定沙丘阵地，还只是采取守势，自然是不够的。征服沙漠的最主要的武器是水。无论植树还是种草，土壤中必须有充足的水分。所以要取得向沙漠进军的胜利，必须有充足的水源。
中国内蒙古东部和陕西、山西北部有足够的雨量。就是西北干旱地区，地面径流和地下潜水也是很大的。有些沙荒地区，如河西走廊、柴达木、新疆北部准噶尔和新疆南部塔里木，都是盆地，周围的高山上有大量的积雪。这样看来，只要能充分利用这些水源，我们向沙漠进军不但有收复失地的把握，而且能在大沙漠里开辟出若干绿洲来。普通河流愈到下游，水量愈多，河流愈大。但在沙漠中，因空气的蒸发，泥土的浸润，河流反而愈流愈小，终至于干涸不见，一部分水被蒸发到空中，一部分浸入到土壤岩隙中成为地下水。如地质构造是一个盆地，则能汇成地下海，可以作为建立绿洲的水源。据中国科学院综合考察委员会的调查，只要有水源，单新疆尚有1亿亩荒地可以开垦。
沙漠是可以治理的。中国在治理沙漠方面已经取得了若干成绩。新疆生产建设兵团在天山南北建立国营农场，开沟挖渠，种麦种棉植树，那里原是不毛之地，现在一片葱茏，俨然成为绿洲。内蒙古沙荒区的治沙工作也获得不少成绩。
我们向沙漠进军，不但保护了农田，开辟了绿洲，而且对交通线路也起了防护作用。包兰铁路从银川到兰州的一段，要经过腾格里沙漠，其间中卫县沙坡头一带，风沙特别厉害。那里沙多风大，一次大风沙就可以把铁路淹没。有关部门在1956年成立了沙坡头治沙站，进行固沙造林。这一工作已经提前完成。包兰铁路通车以来，火车在沙漠上行驶，从来没有因为风沙的侵袭而发生事故。
风是沙漠向人类进攻的武器，但是也可以为人类造福。沙漠地区地势平坦，风力很强。如新疆的星星峡、托克逊、达坂城都是著名的风口。中国科学院力学研究所在托克逊地方试制了半径两米的风力车，可以供发电、汲水、磨面之用。
沙漠地区空气干燥，日光的照射特别强烈。那里日照时间又特别长，一年达到3000小时，而长江流域只有1500小时，华北地区也不过2500小时。日光可以用来发电，取暖，煮水，做饭。沙漠湖水含盐，日光使水蒸发，可以取得蒸馏水和盐。把日光变为热能和电能的最良好的工具是半导体，估计将来有可能在沙漠里用便宜的半导体做屋顶，人住在里边冬天不冷，夏天不热。
从上面介绍的一些情况，可以清楚地认识到，只要我们正确地认识沙漠的危害，找出对付它的办法，沙漠是有可能治理的。",,,,,2024-11-29T19:50:31,微博网页版,6,0,1,,,2024-11-29 19:50:31,True
5106129882844312	,P2zsUbVW0,"我觉得反对擦边，只要一视同仁的反对Lisa、狗头罗莉等等等，就并无不妥。//@史老柒:右边这一串对答值得认真瞅瞅
//@KK逛世界:回复@编剧祝明:刚发现无心简影也是
真失望。但陈总，奶蕉，Krisfish余老师都是好好的，绝对没问题。底壳宇宙是值得信赖的。 //@编剧祝明:回复@KK逛世界:我也有看到反对的男V：
网页链接
；不能一杆子打翻所有人。针对性的说具体的人和行为可以的，不要泛化，容易激化矛盾 //@尼古拉-伊万诺夫斯基:确实是这样的 //@么一颜眠:回复@编剧祝明:几乎所有男性键政博主，都这样 //@编剧祝明:都是谁啊？告诉我避个雷。 //@离笙_yogurt:我把那些关注的嫖客大v都取关了，觉得恶心",,,,,2024-11-29T19:28:14,微博网页版,15,7,4,,"史老柒,KK逛世界,编剧祝明,编剧祝明,KK逛世界,尼古拉-伊万诺夫斯基,么一颜眠,编剧祝明,编剧祝明,离笙_yogurt",2024-11-29 19:28:14,False,1442690563,编剧祝明,5106015269293710	,P2wu2CZIy,"这两天，我看到有个互关的朋友，因为某运动员擦边的新闻特别愤怒
愤怒的点，不是这个运动员擦边不擦边，而是舆论上，很多所谓“大v”对这种行为的认可甚至推动。
特别理解她的愤怒。
我不知道有多少网友是特别普通工薪阶层（或者普通劳动人民）家庭长大的女孩，
我自己是，
我知道一个没有任何人脉、任何资源、甚至极少获得情感助力和关爱（因为父母忙于生存，且父母本身对贫穷就挺自卑的情况）长大的女性会遇到的情况。
如果恰逢你成绩一般，长得又尚可（只要尚可就行，都不用特别漂亮）
总会在你年轻的时候，遇到一个“五光十色”的幻境。
那个幻境充满着甜言蜜语，：你太累了，你不需要这么累的，你只需要躺下就行，躺下你就能拥有一切，你可以穿的漂漂亮亮回家让其他人羡慕，你可以不用再心惊胆战的跟父母伸手要学费或者生活费，你可以不用面对父母对于贫穷的痛苦和叹息，你可以像那些你羡慕的女孩一样，漂亮、阳光、自信、被爱。
然而，这一切，都是利用你年轻时候容易虚荣、肤浅的特点，给你描绘的假象。
若是侥幸你踏进去一步，再幸运的是遇到一些还不错的人，（遇到一些很坏的人其实也可以，会触发你的自我保护和警惕）自己又有比较强大的生命力和直觉，你就有自救和自强的机会。
但，如果不幸，你都没遇见，甚至遇见的事有一些推力，那么只要你踏进去两步，便是深渊。
这样的深渊，就很难出来了。
这也是我反对当下女拳的原因，因为当下的女拳导向的是女利，“女利”和这个深渊的谎言是一模一样的，只是这个“深渊”的另一个包装。
有社会资源的女性信这个谎言可能没关系，他们还有其它的支点可以提供调头的机会。
害的是那些没有社会资源的姑娘，如果她们信了这个谎言，就离这个深渊近了一步。
我想，这也是我那个互关的朋友之所以愤怒的原因。
作为见识过这个深渊的女性个体，
我们总会希望，少一点，再少一点这样的女孩。
但是，却总有人扛着正义的大旗，继续张罗着，呐喊着，说，这才是自由和民主。
他们用自由和民主重新包装了那个深渊，却丝毫不在意那些进去女孩的未来命运……
看到这样的言论，还有人信，有人推崇，有人拥护，让我们怎么不愤怒和忧虑？
知我者谓我心忧，不知我者谓我何求。
想跟我这位互关的朋友说一句，虽然我不想在你的评论区跟他们吵架
但在这件事上，我跟你站在一起。
同时，这样想的，也不止是我。",,,,,2024-11-29T11:52:48,微博网页版,1047,137,113,,,2024-11-29 11:52:48
5106128784196117	,P2zr8hBBj,#突然发现国内夫妻很少见戴婚戒# 那就对了。外国的陋习我们为什么要学？美国人做实验也戴着，做饭也戴着，揉面也戴着，大老爷们也整天带个戒指，小丑似的。而且丢了还是个麻烦，等于给自己戴个枷锁。然而，离婚率早就一半了，真是保护无缘，缧绁有份。 ,,,,,2024-11-29T19:23:51,微博搜索,23,7,5,突然发现国内夫妻很少见戴婚戒,,2024-11-29 19:23:51,True
5106111890326919	,P2yZT1n2T,不是他们最先要搞新能源的么？环保小公主就是瑞典的。这些年都在干嘛？//@雯熙她爸:例子不胜枚举啊，比如SPC的碳纤维装置，那投了多少钱啊，可是光投钱就够了吗？一开始全是废丝啊。好多艰难困苦有钱也找不到人给你解决方案,,,,,2024-11-29T18:16:44,微博网页版,3,2,3,,雯熙她爸,2024-11-29 18:16:44,False,1471143571,专业戳轮胎熊律师,5106062572914429	,P2xIlceaV,"关于这几天大家都在转的这个欧洲电池厂各种大篇，我再说几句：
很多挂着经济博主，股市博主，还有金融之类的……
前些年一直看好所谓的欧美工业回流，觉得马上就要掐死老中了。而理工类的博主大部分嗤之以鼻。
为什么？
因为在前者眼中，只要钱投入进去，工厂就会自己出来，工人也会自己出来。
这是因为他们从出生开始，就生活在一个这样的环境里，觉得我国工业的一切，都是理所当然的。
有钱，请建筑公司造工厂，抢着来。
有钱，地方政府帮你搞定一切合法和灰色的渠道。
有钱，学校定点培养，什么工人招不到？
有钱，运输车辆排队在你工厂门口等着。
他们没在工地上呆过，就没亲身经历过，工业是如何通过一代代人建设成一个体系的，自然不能理解，从无到有需要付出多少代价，不能理解，解决一个个问题，都是需要时间的沉淀。
我举个很小的例子：
在早年，我国化工工业刚起步的时候，整体落后，很多国外资料都是现成的。
那按理说，你照本宣科就行了吧？
比如，我们在更换设备时，需要更换管道，那么根据相关资料：需要往管道内注入惰性气体，排出可燃气体。
这听着很简单吧？
于是，照着资料操作，开始切割管道。
突然割着割着管道他炸了……
后来查明白，因为根据操作注入惰性气体没错，但是在一些S弯，尤其是凸凹部分，可燃气体会沉积在那里，惰性气体无法将这部分的可燃气体排出……
那么了解了这个问题，后来找出相对应的办法，比如注入流速，比如根据气体不同切割部位不同等等。
这个问题价值几何？一条新的安全规范价值几何？
一条人命……
这就是残酷的工业建设初期，需要付出的代价。",,https://wx2.sinaimg.cn/large/57afde93gy1hw340ew8ogj20u06a6kjl.jpg,,,2024-11-29T15:00:46,微博网页版,1939,208,190,,,2024-11-29 15:00:46
5106108290826655	,P2yU53t39,"流浪狗危害公共安全，就是老鼠蚊子一样，为什么不该打死？//@习五一:
//@草根经济学研究者:打死一只流浪🐶不是正义之举吗！难道让狗咬伤师生再来开除不作为的保安！流浪狗是谁的爹？",,,,,2024-11-29T18:02:25,微博网页版,8,3,6,,"习五一,草根经济学研究者",2024-11-29 18:02:25,False,1442246695,习五一,5106087085475279	,P2ylSmYmX,"#雪菲随笔# 【绵阳开放大学通报：#校门口打死流浪狗保安被解聘#；五一评论：保安人员打死威胁师生健康、影响教学秩序流浪犬。该校应当解聘保安人员吗？请您在评论区里留言吧！】11月28日晚，据#绵阳开放大学通报#：近期，我校教育中路校区一流浪犬只经常出没。为防止流浪犬只威胁师生健康、影响教学秩序，11月27日上午，学校安排1名安保人员将该流浪犬捕捉并带离校园。在转运过程中，该犬强烈反抗并撕咬口袋，导致该安保人员产生过度应激反应，采用抛甩、棍击等方式将该流浪犬致死。事件发生后，公安机关对涉事人员进行询问谈话并给予批评教育，该安保人员也认识到自身行为不当。依据学校管理规定，经研究，决定对学校安全专干进行全校通报批评并扣除年度绩效工资，对涉事安保人员解除聘用合同。
封面新闻的微博视频",,,"https://f.video.weibocdn.com/o0/DylCWzqOlx08jXF23Qla010412009sT80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732891838&ssig=J4jbkE4ui8&KID=unistore,video",,2024-11-29T16:38:10,微博视频号,55,17,28,"雪菲随笔,校门口打死流浪狗保安被解聘,绵阳开放大学通报",,2024-11-29 16:38:10
5106100938216485	,P2yIdyttX,"这几个选项相当于说你想挨一顿打，还是挨两顿打，还是不好说//@西西厮福:媒体用笔纵狗杀人!!//@勤能补拙有道理:1，扑杀流浪狗不是虐狗！2，流浪狗是无主之物，人人有权捕杀！3，小编本身就是个极端爱犬人士，设计的投票就是在故意引导，居心叵测！媒体被这种极端动保人士把持，群众十分愤怒！ 
查看图片",,,,,2024-11-29T17:33:13,微博网页版,11,6,24,,"西西厮福,勤能补拙有道理",2024-11-29 17:33:13,False,1267454277,凤凰周刊,5105725271441833	,P2oWj635n,"【你支持严惩虐狗者吗？🐕】#校方回应职工校门口套袋打死流浪狗# 27日，网友爆料，四川绵阳一高校工作人员为应付学校检查将狗装进袋，当街棍棒将狗打死。#微博小调查#🎙️ 
 
网页链接
 ",,,,,2024-11-28T16:40:27,,3096,249,117,"校方回应职工校门口套袋打死流浪狗,微博小调查",,2024-11-28 16:40:27
5106099845860486	,P2yGsoAzY,"董郁玉是个坏蛋不假，但【2019年他提出“禁烧秸秆”的主张，被怀疑是受日本交付的任务，该主张实施后导致一些地区农民生产受阻、虫害增加。】这种说法并没有证据。
我作为一个前农民，就我了解的情况，写过两条这方面的微博：
网页链接
 
网页链接
 也有不少农村出身的网友表示同意。
我老家是从80年代末开始烧秸秆。从我们的意愿出发，是希望烧的，因为我们院子小，空地少，没地方存放秸秆；我们也不烧大灶，不养牲口，也不生产沼气，秸秆是烧掉方便。但其实从一开始就经常有禁止烧秸秆的规定，因为对于基层来说，发生了火灾要担责，烟太大影响了铁路、国道的能见度也要担责。而管得严，又需要很大的工作量，还容易造成官方和民间的冲突。所以，基层政府和农民之间一直在拉锯，并没有长期一刀切的情况。
到世纪末，我在石家庄工作的时候，大致还是这样，只是管得更严了，尤其京深高速附近的，而不同的地级市严格程度也不一样，并没有一个可以简单描述的情形。
我国雾霾最严重是10年代初，那时候对尤其是北京附近的焚烧秸秆管理也很严。
而董郁玉开始鼓吹禁止焚烧秸秆是在2019年，那时候雾霾已经比以前减轻了。禁止焚烧秸秆也已经断断续续实行了三十来年，实在很难和董郁玉扯上关系。更大的可能是，董郁玉想利用鼓吹进烧秸秆来刷存在感，扩大影响力。
秸秆烧与不烧是个科学问题，其中涉及农业的部分需要农业专家来评估，同时它还涉及到空气污染和交通等方方面面的问题，这些都需要专业人士调研，还需要各方面的协调。
然而，现在网络上的一些文章和视频已经把焚烧秸秆当成了流量密码，脱离事实，把近30年才兴起的焚烧秸秆说成千百年的传统；把出于防污染考量的禁止焚烧说成日本人的阴谋；把病虫害简单归因于没有烧秸秆，这何尝不是在煽动人民不相信政府，挑拨人民与政府的矛盾呢？日本间谍看到都在偷着乐呢。",,,,,2024-11-29T17:28:53,微博网页版,10,2,8,,,2024-11-29 17:28:53,True
5106061381731930	,P2xGq7gym,“最大的原因”硬生生的说成“单一原因”。跟你们这些人真的无法交流，上来就是胡纠蛮缠。//@卡玛酱zwei:原po这个就是非常典型的片面归因谬误，把某个复杂现象的结果错误地归因于单一原因，就司马家那么拟人的历史上也很难找出来//@jooyi://,,,,,2024-11-29T14:56:02,微博网页版,5,1,2,,"卡玛酱zwei,jooyi",2024-11-29 14:56:02,False,2750621294,内含子,5104952005626233	,P24P6nBDH,"说点别的吧。魏晋南北朝乱成那样，其实最大的原因就是冷。
我们中学的时候有个实验，在一个玻璃注射器里面灌满NO2，堵上口，用力压活塞，里面的红色气体就变成无色的（N2O4）了，一拉活塞，又变红了。
如果气体分子有思想，它们会说，我们两个彼此相爱才在一起的；分开的时候又说对方变了心。
而我们站在上帝的视角就觉得它们很可笑，狗屁的爱情，还不是压强变了？真会给自己加戏。
然而，其实我们生活的系统也是个巨大的反应器。温度调高一点，就汉唐盛世了；温度调低一点就八王之乱、五胡乱华、农民起义、游牧南侵、改朝换代、英雄辈出……
真是给点阳光就灿烂，给点风雪就完蛋。
而且，这都是轻的。严重的时候99%以上的生物都灭绝了。那就不是社会的改朝换代，而是地球的改朝换代。
PS 想象一下，我们生活在一个大培养箱里，外面有操纵仪器的大神。其中一个说：“最近好无聊啊，崽子们都不打架了” 另一个说：“这容易，温度旋钮往左拧半格儿，一会儿就打起来了，往死里打。哎，别拧多了啊，不然全他妈死了”",,https://wx1.sinaimg.cn/large/a3f3266egy1hvzju310yrj20hs08t0sx.jpg,,,2024-11-26T13:27:46,微博网页版,888,77,582,,,2024-11-26 13:27:46
5106044952380026	,P2xfV9Z9w,现代工业的操作法安全管理咱还是跟他们学的，他们不是没有制度。可见，制度总要有人来执行，人不行了，怎么都不行了。//@西西厮福:这可是殖人的梦中故乡北欧啊,,,,,2024-11-29T13:50:44,微博网页版,5,0,3,,西西厮福,2024-11-29 13:50:44,False,5493934570,风云学会陈经,5106017922977215	,P2wykcuvB,"Northvolt中方合作公司员工的说法，很吓人
看来欧洲这伙人，技术和知识水平退化得厉害。这不是个别人的事，而是整个社会都这样，人的思维已经没有了理性的知识基础。
比较意外的是，NT公司的人也没赚到，自己还投钱进公司亏没了。钱应该是到处盖厂房、买设备，消耗光了。
就这，还搞什么自主产业链，合格员工都找不到。教育崩溃了，天天教的都是些没逻辑的东西，诡辩都没技术含量。
欧洲应该是要完蛋了，在已经开打的残酷产业竞争中，没有活路了。美国还能吸引能干活的知识移民，欧洲不行了，开价远低于美国。",,https://wx2.sinaimg.cn/large/005ZNZlUgy1hw2ywru1uyj30qf6o6hdt.jpg,,,2024-11-29T12:03:21,Xiaomi 14 Pro,416,69,100,,,2024-11-29 12:03:21
