id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106114037550967	,P2z3lvGlN,在恶魔岛（Alcatraz Island）开启一场SF沉浸式游览😈你准备好穿越海上孤岛，感受历史了吗？ #加州超凡游乐场# #此刻最加州# #加州旅行#,,,,,2024-11-29T18:25:16,微博网页版,0,0,1,"加州超凡游乐场,此刻最加州,加州旅行",,2024-11-29 18:25:16,False,6214019516,熔金的華宴,5094042477794758	,ODstpwHLU,"📍Alcatrez 
美国·恶魔岛
 ",,"https://wx4.sinaimg.cn/large/006Mxolegy1hv0rst8hlpj31400u0wmr.jpg,https://wx2.sinaimg.cn/large/006Mxolegy1hv0rsv0s8pj31400u07eb.jpg,https://wx3.sinaimg.cn/large/006Mxolegy1hv0rsw8pq1j31400u0dk4.jpg,https://wx1.sinaimg.cn/large/006Mxolegy1hv0rsy7b8yj31400u0k1a.jpg,https://wx4.sinaimg.cn/large/006Mxolegy1hv0rsriz7xj31400u0qbs.jpg,https://wx1.sinaimg.cn/large/006Mxolegy1hv0rt0308aj31400u0dqb.jpg,https://wx2.sinaimg.cn/large/006Mxolegy1hv0rt20wy5j30u0140k1u.jpg,https://wx2.sinaimg.cn/large/006Mxolegy1hv0rt3llqvj31400u0qcp.jpg,https://wx2.sinaimg.cn/large/006Mxolegy1hv0rt5xa9sj31400u0tir.jpg",,美国·恶魔岛,2024-10-27T10:57:12,華麗なるiPhone 15 Pro Max,77,3,2,,,2024-10-27 10:57:12
5106001981998438	,P2w8C8nSS,"❄️滑雪季归来！ Sierra Nevada的雪季悄然开启，滑雪胜地们整装待发，为今年的滑雪客们准备了升级的滑雪体验！无论是猛犸山（Mammoth Mountain）的高效缆车替换、Big Bear Mountain Resort全新六人缆车，还是雪场造雪能力的提升，加州各大滑雪场纷纷加大投入，带来更顺畅和舒适的滑雪之旅，减少等待时间，享受每一刻的滑雪时间！⛄️#加州超凡游乐场# 
 
对于滑雪季票持有者来说，今年滑雪自由度更高了。新增的Ikon Pass和Cali Pass不仅涵盖猛犸山、Sierra-at-Tahoe、Palisades Tahoe等著名滑雪场，还囊括了Bear Valley、Dodge Ridge等多个滑雪地，给雪友们带来更灵活的选择。 
 
Badger Pass, 优胜美地(Yosemite)： 
优胜美地的Badger Pass滑雪区非常适合初学者，这里有10条不同难度的滑道、雪具租赁和滑雪课程，还有约100英里的越野滑雪和雪鞋徒步路线。 
 
Bear Valley Mountain Resort, Bear Valley： 
Bear Valley新增了初学者三人缆车和适合中高级滑雪者的四人缆车，并提供新的披萨吧等餐饮选择。 
 
Big Bear Mountain Resort, 大熊湖（Big Bear Lake）： 
Big Bear今年升级了中途六人高速缆车，Ikon Pass持有者可在此滑雪无限次，提升滑雪体验。 
 
Boreal, Truckee： 
Boreal独家提供了夜滑服务，每月一次的的“Play Forever Fridays”推出25美元的全天滑雪票。 
 
Heavenly, South Lake Tahoe： 
Heavenly增设了Golden State Kitchen餐厅，主打健康餐食，并提供专属装备租赁和优质泊车服务。 
 
加州各大滑雪场今年的设施升级，将带来更优质的滑雪体验。滑雪者可以期待更高效的乘坐体验，更快的开场速度，还有更加宽敞的雪道视野。这个冬季，滑雪热爱者可以期待在更短时间内享受更多滑雪时光。 
 
📷IG: abigbearweekend，donutttingttt，graceytheadventurer，josephsfusco，kabrophoto，runeevents，slay_the_gnar，themomtrotter 
 #出发吧拥抱世界#❄️ #带着微博去旅行#",,"https://wx1.sinaimg.cn/large/9b7f515dly8hvv03uryqrj20u011i7j1.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hvv03uz2iaj21401e04br.jpg,https://wx3.sinaimg.cn/large/9b7f515dly8hvv03v5errj2140140dkh.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hvv03vcqttj2140140k1i.jpg,https://wx4.sinaimg.cn/large/9b7f515dly8hvv03vi7vij21401e0dlo.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hvv03vomyrj21400qotbi.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hvv03vupxij20rq0rozoh.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hvv03w15vrj21401dzwkq.jpg,https://wx3.sinaimg.cn/large/9b7f515dly8hvv03w7xinj211y1bfjzr.jpg",,,2024-11-29T11:00:00,品牌号,5,3,0,"加州超凡游乐场,出发吧拥抱世界,带着微博去旅行",,2024-11-29 11:00:00,True
5105745441331438	,P2psQ5AmO,"🤩是@费翔 老师从洛杉矶发来的旅行明信片！🎬想要拍出p4同款帅照不要错过华特迪士尼音乐厅（The Walt Disney Concert Hall）哦～ 
费翔
 #加州超凡游乐场# #此刻最加州#",,,,,2024-11-28T18:00:36,微博网页版,3,0,0,"加州超凡游乐场,此刻最加州",费翔,2024-11-28 18:00:36,False,5066166401,费翔,5105269261992365	,P2d4O8miV,"这几天在洛杉矶，我约了老朋友陪我逛逛当地的几个旅游景点：
（图1、2）走在好莱坞“星光大道”上，人行道镶嵌的“星星”记载着美国各个年代的娱乐巨星。好莱坞是最原始的“造梦工厂”，也是无数个“明星梦”诞生和枯萎的地方，即闪烁又残酷。
（图3、4）当我在迪士尼音乐厅听到《星球大战》的交响演奏响起，再配上同步放映的电影画面，我瞬间回到了1977 年第一次看特效大片的兴奋！电影业实在给了我们太多太多美好的记忆… 
（图5～7）布洛德博物馆（The Broad ）收集了大师级现代艺术家的好几个代表作。我这次莫名其妙的爱上了 杰夫·昆斯（Jeff Koons ）的巨型彩色“气球”雕塑。
（图8、9）我在洛杉矶选择入住罗斯福酒店（Hollywood Roosevelt Hotel）是为了它的地理位置和百年历史。晚饭前在月光下游个泳，我直接穿越到了好莱坞黄金时代的明星生活！",,"https://wx1.sinaimg.cn/large/005wR7jjgy1hw0l4jvy8mj329p33yx6p.jpg,https://wx1.sinaimg.cn/large/005wR7jjgy1hw0l4kvs3sj30ue1g84qp.jpg,https://wx4.sinaimg.cn/large/005wR7jjgy1hw0l4ll2ysj30tw1hctte.jpg,https://wx2.sinaimg.cn/large/005wR7jjgy1hw0l4mvpsuj31ua2ucx6p.jpg,https://wx1.sinaimg.cn/large/005wR7jjgy1hw0l4otobgj32a23407wj.jpg,https://wx3.sinaimg.cn/large/005wR7jjgy1hw0l4plnznj30ry1eiase.jpg,https://wx2.sinaimg.cn/large/005wR7jjgy1hw0l4rqaovj32c03407wj.jpg,https://wx4.sinaimg.cn/large/005wR7jjgy1hw0l4ts8j0j32c0340b2b.jpg,https://wx1.sinaimg.cn/large/005wR7jjgy1hw0l4vt2ogj32c0340qv6.jpg",,,2024-11-27T10:28:26,Xiaomi 14 Pro,2146,363,139,,,2024-11-27 10:28:26
5105690066814773	,P2o1wsAPH,🏜️在约书亚树国家公园（Joshua Tree National Park）感受加州旷野！ #加州超凡游乐场# #此刻最加州# #加州旅行#,,,,,2024-11-28T14:20:33,微博网页版,3,0,0,"加州超凡游乐场,此刻最加州,加州旅行",,2024-11-28 14:20:33,False,2135105721,醒醒勾勾,5085757402781003	,OzYWobFsT,"in the path of wilderness…👩🏻🦯 
美国·Joshua Tree National Park
 ",,"https://wx3.sinaimg.cn/large/7f4320b9gy1huabxezq4uj23xx2mrhdv.jpg,https://wx4.sinaimg.cn/large/7f4320b9gy1huac6v6xrhj24tc37kkjo.jpg,https://wx2.sinaimg.cn/large/7f4320b9gy1huabpnw62fj22q843e7wj.jpg,https://wx4.sinaimg.cn/large/7f4320b9gy1huac512o96j22xs4eox6t.jpg,https://wx2.sinaimg.cn/large/7f4320b9gy1huac0hav8dj237k4tc1l2.jpg,https://wx4.sinaimg.cn/large/7f4320b9gy1huaca4u57qj22p841ukjp.jpg",,美国·Joshua Tree National Park,2024-10-04T14:15:16,,46,3,1,,,2024-10-04 14:15:16
5105369183159112	,P2fFYdfPq,在旧金山（San Francisco）City Walk🚶一起爬坡遛弯儿，偶遇生活中的小确幸～  #加州超凡游乐场# #此刻最加州# #加州旅行#,,,,,2024-11-27T17:05:29,微博网页版,6,1,1,"加州超凡游乐场,此刻最加州,加州旅行",,2024-11-27 17:05:29,False,1241052855,王麥太,5084622923498193	,OzvqAeG2t,"One day in San Francisco🌁
是在三藩一起爬过坡的朋友了@lisa君可是正青春呐 
美国·金门大桥 Golden Gate Bridge
 ",,"https://wx3.sinaimg.cn/large/49f8f6b7gy1hu6px8vx2wj22mu4ojnpg.jpg,https://wx3.sinaimg.cn/large/49f8f6b7gy1hu6pxggn9pj22k44johdw.jpg,https://wx1.sinaimg.cn/large/49f8f6b7gy1hu6pxr5h9yj22l14lbkjo.jpg,https://wx4.sinaimg.cn/large/49f8f6b7gy1hu6py5go9rj22dw48nnph.jpg,https://wx2.sinaimg.cn/large/49f8f6b7gy1hu6pxll3wgj22e148vkjo.jpg,https://wx1.sinaimg.cn/large/49f8f6b7gy1hu6pxzqoqbj22j44hxx6q.jpg,https://wx2.sinaimg.cn/large/49f8f6b7gy1hu6pxvn4moj22gg4d7hdv.jpg,https://wx1.sinaimg.cn/large/49f8f6b7gy1hu6px1sso8j22n34oynph.jpg,https://wx3.sinaimg.cn/large/49f8f6b7gy1hu6pydfijdj22lp4mhqvb.jpg",,美国·金门大桥 Golden Gate Bridge,2024-10-01T11:07:15,iPhone,10,11,3,,lisa君可是正青春呐,2024-10-01 11:07:15
5105294823129398	,P2dK2d86a,"听说昨晚#北京下雪# 了，你有没有被雪景刷屏呢❄️在大洋彼岸的另一侧，随着雪花如精灵般从天而降，落在内华达山脉、落在红杉树森林间，加州的冬天也如期而至！  
 
🔍在加州，冬日能做些什么呢？ 
 
🏔️远眺巍峨的雪山、走进苍翠的红杉树林，看着积雪覆盖在树木的枝桠 
🏂在各大滑雪场穿梭于银龙般的雪道，感受冬日的速度与激情 
🚠乘坐缆车来到山顶，欣赏云海与雪山交织的绝美画面 
⛄️在湖畔全家围坐，一起堆雪人、滑雪橇 
☕️坐在篝火旁，手捧一杯热巧，聆听雪花飘落的声音 
  
💗让这些属于加州冬日的浪漫时刻陪你一起赏雪、过冬！ 
 
📷IG: outhikingwithtiare, ad_2photography, northstar_california, patrickgriley, voyagerguru, abradfordadventure, _craig_cooper_#带着微博去旅行# #出发吧拥抱世界#",,"https://wx4.sinaimg.cn/large/9b7f515dly8hw0o005mebj21401dz12y.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hw0o00hp4rj20w0140wre.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hw0o00tqbwj21401dztt5.jpg,https://wx3.sinaimg.cn/large/9b7f515dly8hw0o01ttmuj23k06bkx6q.jpg,https://wx4.sinaimg.cn/large/9b7f515dly8hw0o02aqqwj20u011idpd.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hw0o02hu5kj20u011idmu.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hw0o02r1fij21401b4k4b.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hw0o02yys1j21401e07c3.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hw0o039733j20u011itm7.jpg",,,2024-11-27T12:10:00,品牌号,8,2,3,"北京下雪,带着微博去旅行,出发吧拥抱世界",,2024-11-27 12:10:00,True
5105013791396180	,P26qL5Rd2,遇见加州蓝调时刻💙浓烈且浪漫的瞬间，每一帧都像一幅画🎨 #加州超凡游乐场# #此刻最加州# #加州旅行#,,,,,2024-11-26T17:33:17,微博网页版,9,1,2,"加州超凡游乐场,此刻最加州,加州旅行",,2024-11-26 17:33:17,False,2092604795,一蕊Aries,5099949266043162	,OFW8upm6m,"沉溺在加州的Blue Hour💙
刚结束半个月的美国加州自驾
最大的收获就是每天的日落和蓝调
西海岸标配的大海、灯塔、飞机和棕榈树
在日落余晖和静谧的蓝调渲染下
这短暂又浓烈的浪漫，谁会不爱呢！
📷拍摄地点
📍 La Jolla Cove
📍 Old Point Loma Lighthouse
📍 Santa Monica
📍 6931 Vista Del Mar Ln@新浪旅游 @微博旅游 #微博旅行家##带着微博去旅行##出发吧拥抱世界# 
一蕊Aries的微博视频",,,"https://f.video.weibocdn.com/o0/88VZiu6wlx08jx5qtxle010412008ORS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732888773&ssig=5N3JAcwfks&KID=unistore,video",,2024-11-12T18:08:39,微博视频号,1270,82,28,"微博旅行家,带着微博去旅行,出发吧拥抱世界","新浪旅游,微博旅游",2024-11-12 18:08:39
5104960136283733	,P252dqmGx,漫步于加州巨大的红杉树森林和峡谷，见证自然的伟大🌍 #加州超凡游乐场# #此刻最加州# #加州旅行#,,,,,2024-11-26T14:00:05,微博网页版,6,4,0,"加州超凡游乐场,此刻最加州,加州旅行",,2024-11-26 14:00:05,False,5774259840,Meowwwer,5097349588190203	,OEQvsymE3,"在红杉林感受到了🌳的生老病死
p4 四人组和bachelor and three graces的合照哈哈哈
p6遇到了好热情的英语老师
p7坐在巨大的峡谷边上，脑子里就是那句“仰观宇宙之大，俯察品类之盛，所以游目骋怀”，但不是觉得足以极视听之娱，只觉得人好渺小
yosemite的照片发完辽！
接下来是旧金山和蒙特雷！ ",,"https://wx4.sinaimg.cn/large/006iMcLegy1hvbajcra88j32c03404qr.jpg,https://wx1.sinaimg.cn/large/006iMcLegy1hvbaj3zwnhj33402c04qr.jpg,https://wx2.sinaimg.cn/large/006iMcLegy1hvbaj7564cj32c0340kjo.jpg,https://wx3.sinaimg.cn/large/006iMcLegy1hvbamapwm6j33402c0npe.jpg,https://wx3.sinaimg.cn/large/006iMcLegy1hvbajaf3paj32c03404qt.jpg,https://wx3.sinaimg.cn/large/006iMcLegy1hvbamf46xlj33402c0kjn.jpg,https://wx3.sinaimg.cn/large/006iMcLegy1hvbakgaxc3j33344mob2e.jpg,https://wx1.sinaimg.cn/large/006iMcLegy1hvbak525ndj34mo334qvg.jpg,https://wx2.sinaimg.cn/large/006iMcLegy1hvbam8vs5bj32c0340b2d.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001zNaAagx08jlDIXpck0f0f0100kkQy0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004aO4qHgx08jlDK8YEg0f0f0100pNGp0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003tDvGsgx08jlDLQlTW0f0f0100v4cG0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003jrqpTgx08jlDNm1zi0f0f0100uxtU0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000PMP69gx08jlDOFqus0f0f0100mODv0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001sUkgRgx08jlDQ7hxe0f0f0100uZof0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001ycXyegx08jlDTNJ0k0f0f0100weA20k01.mov,,2024-11-05T13:58:28,iPhone XR,12,3,1,,,2024-11-05 13:58:28
5104653666616714	,P1X3UrLjc,长颈鹿🦒火烈鸟🦩羊驼🦙......圣地亚哥动物园（San Diego）真的是好玩到心趴上啦！ #加州超凡游乐场# #此刻最加州# #加州旅行#,,,,,2024-11-25T17:42:16,微博网页版,3,0,0,"加州超凡游乐场,此刻最加州,加州旅行",,2024-11-25 17:42:16,False,2297023271,-HhaLo-,5096243476827264	,OEnJpsE5a,"🇺🇸 北美最大动物园
       🦒 🐆 🐅 
美国·San Diego Zoo
 ",,"https://wx2.sinaimg.cn/large/88e9cb27gy1hv7sci0l5ej22c0340kjo.jpg,https://wx2.sinaimg.cn/large/88e9cb27gy1hv7sd133llj23402c0qv8.jpg,https://wx4.sinaimg.cn/large/88e9cb27gy1hv7sbxxnxsj223z2r4qvb.jpg,https://wx4.sinaimg.cn/large/88e9cb27gy1hv7scv86ijj21o02you0x.jpg,https://wx4.sinaimg.cn/large/88e9cb27gy1hv7sc3kuwzj22c0340qv6.jpg,https://wx1.sinaimg.cn/large/88e9cb27gy1hv7scrbffpj21o02yokjl.jpg,https://wx2.sinaimg.cn/large/88e9cb27gy1hv7scnchxsj22c0340npf.jpg,https://wx4.sinaimg.cn/large/88e9cb27gy1hv7sct3voaj21o02yonpd.jpg,https://wx3.sinaimg.cn/large/88e9cb27gy1hv7scpbmmaj21o02yo1ky.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004k4BJSgx08jgLWH8pV0f0f0100nh090k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002BP75fgx08jgM0rqdG0f0f01012Yg10k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001qTaJcgx08jgM3O7CM0f0f0100XYDX0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001VRJBhgx08jgM7AXdZ0f0f0100WzvW0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002TSn38gx08jgMaxB0r0f0f0100Xwwo0k01.mov,美国·San Diego Zoo,2024-11-02T12:43:11,iPhone 14 Pro Max,9,3,1,,,2024-11-02 12:43:11
5104552431059981	,P1UqD4rKt,"🌟假日来临，加州各大主题乐园为游客们带来浓厚的节日氛围和独特的庆祝活动。从华丽的圣诞灯光秀到缤纷的花车巡游，各种丰富的活动让人流连忘返。不论你是喜爱传统的圣诞美食，还是想体验异国风情的节日庆典，加州的乐园都将带你感受多元的节日氛围。为这个假期，带上家人朋友，一起沉浸在加州的圣诞奇幻之旅中吧！#加州超凡游乐场# 
 
1. 加州迪士尼乐园度假区（Disneyland Resort） 
在11月15日后的加州迪士尼乐园度假区，你可以体验五彩斑斓的节日活动，品尝到各种美味的冬日节日小吃。乐园会有圣诞幻想游行、充满节日装饰的鬼屋等新的项目，可以在这里尽享欢乐气氛。 
 
2. 好莱坞环球影城（Universal Studios Hollywood） 
11月29日起，好莱坞环球影城多个园区将带来丰富的节日活动！经典的圣诞活动将回归，还有全新的任天堂将换上圣诞主题装扮，哈利·波特园区中会有新的城堡的灯光秀和节日合唱团表演。 
 
3. 圣地亚哥海洋世界（SeaWorld San Diego） 
圣地亚哥海洋世界在11月15日起提供丰富的圣诞节日表演、圣诞游行和温馨的雪景活动。让游客在与海洋生物亲密接触的同时，也能感受浓厚的圣诞氛围。 
 
4. 圣地亚哥芝麻街乐园（Sesame Place San Diego） 
圣地亚哥芝麻街乐园的圣诞节活动有节日游行和圣诞舞会，孩子们还可以与穿戴节日服饰的芝麻街角色合影，精心装饰的公园和丰富的节日活动让所有人留连忘返。 
 
5. 纳氏草莓园（Knott’s Berry Farm） 
纳氏草莓园在节日期间有充满西部风情的圣诞庆祝活动，独具特色的圣诞手工艺品集市和圣诞树点亮仪式让这里充满节日的喜庆气氛。 
 
6. 加州乐高乐园（LEGOLAND California） 
加州乐高乐园为家庭游客提供各种精彩的圣诞活动，包括与乐高角色合影和观看圣诞主题表演。乐园内还有一棵巨大的乐高圣诞树，真人大小的乐高圣诞老人驾驶的雪橇和各种圣诞主题的乐高可以用来拍照打卡。 
 
7. 六旗魔术山（Six Flags Magic Mountain） 
六旗魔术山将在11月28日把这里装饰成梦幻般的冬季仙境，用圣诞小径和迷人的灯光展示让整个公园充满了节日的魔力。 
 
8. 加州大美洲主题公园（California’s Great America） 
加州大美洲主题公园带你进入一个冬季奇境，冰上表演、节日树迷宫和圣诞老人信箱让整个公园充满温馨的节日气氛。 
 
9. 吉尔罗伊园艺家庭主题公园（Gilroy Gardens） 
吉尔罗伊园艺家庭主题公园为游客带来一个充满节日气息的北极之夜，全新的冰上表演、节日灯光隧道和与圣诞老人合影的机会都能让你留下难忘的回忆。 
 
10. 六旗探索王国游乐园（Six Flags Discovery Kingdom） 
六旗探索王国游乐园的节庆活动充满魔幻氛围，从闪烁的圣诞树森林到海狮表演，整个公园都为节日增添了浓厚的庆祝气氛。 
 
让加州的主题乐园带给你这个假日无尽的欢乐，期待你的每一段美好瞬间！ 
 
📷IG: disneyland, seaworldsandiego, sesameplaceca, knottsberryfarm, legolandcalifornia, sixflagsmagicmountain, cagreatamerica, gilroy_gardens, unistudios 
 #出发吧拥抱世界#💫#带着微博去旅行#",,"https://wx1.sinaimg.cn/large/9b7f515dly8hvuzu3ytfrj2140140dzv.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hvuzu48e2pj20ku0dwac9.jpg,https://wx4.sinaimg.cn/large/9b7f515dly8hvuzu4cozrj20ku0dw0vg.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hvuzu4gec9j20ku0bq75q.jpg,https://wx2.sinaimg.cn/large/9b7f515dly8hvuzu4n8r8j21400qoq6u.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hvuzu54eerj20u011igyj.jpg,https://wx1.sinaimg.cn/large/9b7f515dly8hvuzu5bdiij20u00u044r.jpg,https://wx4.sinaimg.cn/large/9b7f515dly8hvuzu5htlnj20u00u079o.jpg,https://wx3.sinaimg.cn/large/9b7f515dly8hvuzu5o2qzj20yu0ngzpb.jpg",,,2024-11-25T11:00:00,微博网页版,4,1,1,"加州超凡游乐场,出发吧拥抱世界,带着微博去旅行",,2024-11-25 11:00:00,True
