id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106051877699827	,P2xr5wj4L,"眉眼舒展开了 今天消的比前几天都更好了 开心 眼位明显的低了！希望不要太往下掉 
 ",,,,,2024-11-29T14:18:15,iPhone客户端,0,0,0,,,2024-11-29 14:18:15,True
5106026965632806	,P2wMUnDlI,转发微博,,,,,2024-11-29T12:39:16,iPhone客户端,0,0,0,,,2024-11-29 12:39:16,False,1884508324,能量满满的夕夕,5106016351944903	,P2wvN89Xp,头发护理教程：先用图一抹发尾、避开头皮、越枯燥越干就多抹、然后找个皮圈把头发扎起来、腌一个小时再去洗头发（这个给干枯头发补油、避开头皮就行）。图二绿色适合头皮干、痒缺水的、白色的适合头皮油头痒的。我都买了、我头皮干适合绿色、反正用了绿色的头发再没痒过、也不脱发。（这里只用洗发水、护发素先不用）洗完头发用图3包起来、开始打开图4调发膜（2颗鱼子酱+4-5勺发膜混合倒入图5的捣蒜机、把鱼子酱和发膜搅碎、反正拉个100下左右差不多）调好发膜以后、拿个图6小刷子 、先一层一层刷头皮、一条缝这样去刷头皮、刷完按摩搓一会儿、刷完头皮再把头发分成一缕一缕的从头到发尾抹、抹完搓一搓、夹一夹、（不会的小红书搜鱼子酱发膜教程、很多理发师那种手法教程都有鱼子酱是给头发头皮补水的）搞完再用图7、把头发扎起来、一缕一坨的扎、（不会的小红书搜鱼子酱头发护理教程）搞完以后、再把图8的发热帽戴起、调60度加热40分钟、结束以后拿图5那个小喷壶罐热水进去、然后把全头喷湿、再解开扎的头发、一缕一缕的喷湿按摩乳化我们的鱼子酱护理。搞完以后就去清水洗头发、再摸上我们的图2的护发素、按摩几分钟、再洗干净头发就可以吹头发了、吹到半干、多抹点图9的护发油、吹完再摸点图9护发油、完事、你就会看到超级顺的头发、估计你们看完这个头发不洗也罢,,"https://wx3.sinaimg.cn/large/705350a4ly1hw2yf9umkuj20wr1z0e81.jpg,https://wx3.sinaimg.cn/large/705350a4ly1hw2yf913nqj22nm3ji1kx.jpg,https://wx4.sinaimg.cn/large/705350a4ly1hw2ym2aesdj20wr0tm7gi.jpg,https://wx1.sinaimg.cn/large/705350a4ly1hw2ylw2qxnj20wr0swtl5.jpg,https://wx3.sinaimg.cn/large/705350a4ly1hw2ylwd4jfj20wp144ao2.jpg,https://wx1.sinaimg.cn/large/705350a4ly1hw2yucs27rj22c03404qq.jpg,https://wx3.sinaimg.cn/large/705350a4ly1hw2ylvqyuqj20wr0kiah6.jpg,https://wx2.sinaimg.cn/large/705350a4ly1hw2yu1x8v0j20wr0wugx5.jpg,https://wx2.sinaimg.cn/large/705350a4ly1hw2yv0gz4jj20wr0pa47h.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001TcxpRgx08jXN3fzPq0f0f0100djqF0k01.mov,,2024-11-29T11:57:05,iPhone 14 Pro,13,1,11,,,2024-11-29 11:57:05
5105248240667298	,P2cwU2NAS,"第三天了 还是依旧的肿 看了很多恢复期都说第二第三天会从额头上慢慢流下来 我就是这样的肿 鼻子周围也会有些浮肿 拍照依旧肿肿的 加油在过几天看看
 ",,,,,2024-11-27T09:04:54,iPhone客户端,1,6,0,,,2024-11-27 09:04:54,True
5105247566170868	,P2cvOpTk8,转发微博,,,,,2024-11-27T09:02:13,iPhone客户端,0,0,0,,,2024-11-27 09:02:13,False,5620351734,卡布达Ultra_Alpha_v1_0_10版,5105073133457793	,P27YtevwR,"2025年的“整容日历”分享给有需要的人～
等不及就自己买了，整容这件事太不确定了，所以如果挑个好日子会让我们心安一些，那为什么不呢。
不过我才知道这个凶吉并不是专门给整圈算的，这本是香港风水大师李居明先生做的日常月历。图十三
如果想更精准一些，我的方法是结合自己的八字喜忌。假如一个人八字喜金土，忌火木水，那就在吉日和平日里找不是火木水的日子，这样看2号未必不比3号更好。图十四
十天干十二地支分别对应的五行属性。图十五
再复杂就会涉及到天干地支的生克关系。图十六。这一步要算精准那真需要专业的命理知识了，我觉得那些所谓的“大师”也不见得会了，所以既然算不明白还不如不算，不然本末倒置弄得心态更不好了是吧～
祝大家都早日封刀～",,"https://wx4.sinaimg.cn/large/0068mqeqgy1hvzyvrg53sj33402c0hdw.jpg,https://wx1.sinaimg.cn/large/0068mqeqgy1hvzwd5t8dmj33402c0e84.jpg,https://wx3.sinaimg.cn/large/0068mqeqgy1hvzw02kbnij33402c0e84.jpg,https://wx4.sinaimg.cn/large/0068mqeqgy1hvzw04f5vaj33402c0hdw.jpg,https://wx3.sinaimg.cn/large/0068mqeqgy1hvzw068bajj33402c0hdw.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzw08l0l4j33402c0e84.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzw0bfty7j33402c0hdw.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzw0fbhdqj33402c0e84.jpg,https://wx3.sinaimg.cn/large/0068mqeqgy1hvzw0gxgivj33402c0e84.jpg,https://wx4.sinaimg.cn/large/0068mqeqgy1hvzw0jdb5wj33312bahdw.jpg,https://wx4.sinaimg.cn/large/0068mqeqgy1hvzw0moit3j33402c0b2c.jpg,https://wx1.sinaimg.cn/large/0068mqeqgy1hvzw0qi2t8j33402c0hdw.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzwg9psloj32wh26d4qt.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzwpxzvz2j30sv0lnwne.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzz837k4nj323t1ejtg2.jpg,https://wx2.sinaimg.cn/large/0068mqeqgy1hvzy59zprsj30ms0sg44o.jpg",,,2024-11-26T21:29:05,,17,2,28,,,2024-11-26 21:29:05
5105094087148082	,P28wgtZxE,支持维权,,,,,2024-11-26T22:52:20,iPhone客户端,0,0,0,,,2024-11-26 22:52:20,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,67,9,50,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51
5104248780752186	,P1MwS39G2,最近好喜欢这样穿 ,,"https://wx4.sinaimg.cn/large/008DRg6Fly1hvxbzh5qyfj30u014045r.jpg,https://wx1.sinaimg.cn/large/008DRg6Fly1hvxbzhjo6xj30u01t1tf7.jpg",,,2024-11-24T14:53:24,iPhone客户端,0,0,0,,,2024-11-24 14:53:24,True
5104206492734849	,P1LqFbtst,"定了今天下午卓佑炫的额头提升 希望一切顺利
 ",,,,,2024-11-24T12:05:22,iPhone客户端,1,12,0,,,2024-11-24 12:05:22,True
5104143667036415	,P1JNktwuz,网红店,,,,,2024-11-24T07:55:42,iPhone客户端,0,0,0,,,2024-11-24 07:55:42,False,1852617725,Dilpansss,5084009711536021	,Ozftx6rAx,"想起以前买过一次叶柯家的裙子，碎花连衣裙，色差很大，照片看起来仙仙的实物暗，花花款颜色暗就会显得老气，只试穿过一次，后来3折挂🐟卖了…
Dfay家买了几次，感觉质量一般，型还好，就质感跟价格不成正比（对网红店要求并不高）
fbb 韩雨嘉家的翻车率比较低，基本上直播间试穿啥样买回来就啥样
小初家买过夏装也很烂，差不多200的短袖上衣，实物跟黑色草莓差不多吧，只值40的样子，买了5件全部货不对板，然后再也不买了
有些网店的衣服能穿好看完全是因为穿的人身材好够漂亮，不然有些质量版型挂实体店感觉可能没人会买…",,,,,2024-09-29T18:30:34,,169,30,15,,,2024-09-29 18:30:34
5103692891816820	,P1y4h7CDy,马住,,,,,2024-11-23T02:04:30,iPhone客户端,0,0,0,,,2024-11-23 02:04:30,False,6259444586,运运多喝水,4814769787503515	,M6ceevu0r,"🍓韩国出行攻略
这次去韩国待了大概三个月 可能写的不算特别完全 详细的评论可以补充噢
p1 出行必备物品和免税店省钱方法
p2 签证。留学签证/旅行签证/医疗签证
p3 生活篇。住宿/交通/吃饭/换钱
p4 韩国翻译。其实这篇能写的太多了 
p5 出境/回国流程。
p6 回国pcr医院地址和照片 ",,"https://wx4.sinaimg.cn/large/006PBZtEgy1h69tregs86j30yi3wp1c2.jpg,https://wx4.sinaimg.cn/large/006PBZtEgy1h69trfbvhzj30yi42a4pj.jpg,https://wx1.sinaimg.cn/large/006PBZtEgy1h69trgh69dj30yi7nmb29.jpg,https://wx4.sinaimg.cn/large/006PBZtEgy1h69trhi7lmj30yi4uggtd.jpg,https://wx1.sinaimg.cn/large/006PBZtEgy1h69trj0e28j30yi7sa7lc.jpg",,,2022-09-17T19:27:13,,201,19,346,,,2022-09-17 19:27:13
5103521894501880	,P1tCtiT8Y,25年整容日历📅,,,,,2024-11-22T14:45:01,iPhone客户端,0,0,0,,,2024-11-22 14:45:01,False,5329723534,重生之我是极品卤蛋,5094413220973889	,ODC7o45lT,"找了个25年整容日历的简陋版，只有标注吉日哈，
其实没有什么准确的整容日历，就是按黄道吉日来的，之前很火的整容日历是一个师傅的出版月历，上面标注的比较全面，吉日凶日平日都有，不过25年的要等12月才上市。我因为要安排恢复期，所以去网上查了一下
 在那个师傅的日历出版之前如果想提前知道吉日的可以参考下",,"https://wx4.sinaimg.cn/large/005OGYyOgy1hv1ybjks4rj30zu0yjn1a.jpg,https://wx1.sinaimg.cn/large/005OGYyOgy1hv1ybjzue9j30zu0y8djq.jpg,https://wx3.sinaimg.cn/large/005OGYyOgy1hv1ybkpvymj30zu143td9.jpg,https://wx4.sinaimg.cn/large/005OGYyOgy1hv1ybl8t2zj30zu0yg0wq.jpg,https://wx3.sinaimg.cn/large/005OGYyOgy1hv8ksdaeuaj30zs0yogre.jpg,https://wx1.sinaimg.cn/large/005OGYyOgy1hv1yblolerj30zu13qq7i.jpg,https://wx1.sinaimg.cn/large/005OGYyOgy1hv1ybj86lsj30zu0ybae5.jpg,https://wx3.sinaimg.cn/large/005OGYyOgy1hv1ybm1p8nj30zu13waem.jpg,https://wx3.sinaimg.cn/large/005OGYyOgy1hv1ybmity1j30zu0y7q6u.jpg,https://wx2.sinaimg.cn/large/005OGYyOgy1hv1ybn0dtpj30zu0yndk0.jpg,https://wx3.sinaimg.cn/large/005OGYyOgy1hv1ybniy51j30zu13zjw1.jpg,https://wx2.sinaimg.cn/large/005OGYyOgy1hv1ybosuxfj30zu0y2jvi.jpg",,,2024-10-28T11:30:24,iPhone客户端,85,12,151,,,2024-10-28 11:30:24
