id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105274186110128	,P2dcKpDws,"#星眸点唇美学沙龙# 招募开始啦
想要do唇还有卧蚕的宝子可以报名参加哦
12月1日沙龙现场不仅有我们的专家大白讲解美学方案，还会现场评选案例零元变美哦
带#年终颜值点亮计划##星眸点唇美学沙龙#话题，@还是那个小姐姐啊 @医巢医疗整形 说出你的变美需求，配唇部，眼部照片就可以参加报名哦！  
抽奖详情
 ",,https://wx4.sinaimg.cn/large/0077qwhfly1hw0lfer1g2j30yi3glb2b.jpg,,,2024-11-27T10:48:00,微博网页版,5,20,25,"星眸点唇美学沙龙,年终颜值点亮计划,星眸点唇美学沙龙","还是那个小姐姐啊,医巢医疗整形",2024-11-27 10:48:00,True
5106072666768242	,P2xYCsoJc,"#杭州医巢与艾维岚共同承办【运针维幄·精益求精】艾维岚精品实操带教班# 
艾维岚高阶导师蔡长斌亲临讲解，并开展实操演练，与医巢等机构的多位资深专家及年轻医生，共同交流分享珍贵诊疗经验与美学理念。
医巢作为本次带教班的承办方，与艾维岚共建专业进步与技艺交流平台，为更多医生提高执业水平，让更多客户享受更规范，高品质的塑美服务奉献力量。",,"https://wx2.sinaimg.cn/large/0077qwhfgy1hw35fvck8gj32k53xgb2b.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw35fz9mbcj32tc480kjo.jpg,https://wx3.sinaimg.cn/large/0077qwhfgy1hw35g2sec6j32tc4801l0.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw35g6mv68j32tc480kjo.jpg,https://wx3.sinaimg.cn/large/0077qwhfgy1hw35fshiv6j33ei2807wk.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw35ga9b6sj32k53xghdw.jpg,https://wx1.sinaimg.cn/large/0077qwhfgy1hw35gav5xbj30ly0zr0vf.jpg,https://wx1.sinaimg.cn/large/0077qwhfgy1hw35gez068j34802tcnpg.jpg,https://wx4.sinaimg.cn/large/0077qwhfgy1hw35gh8nhvj32tc3nrnpd.jpg",,,2024-11-29T15:40:52,iPhone 13,0,0,0,杭州医巢与艾维岚共同承办【运针维幄·精益求精】艾维岚精品实操带教班,,2024-11-29 15:40:52,True
5105836177232406	,P2rPbultI,"恭喜@是孙悟空啊 等2名用户获得【乔雅登卧蚕、丰唇案例各一名】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：
网页链接",,,,,2024-11-29T00:01:09,微博抽奖平台,0,1,0,,"是孙悟空啊,微博抽奖平台",2024-11-29 00:01:09,False,6522684781,医巢医疗整形,5105274186110128	,P2dcKpDws,"#星眸点唇美学沙龙# 招募开始啦
想要do唇还有卧蚕的宝子可以报名参加哦
12月1日沙龙现场不仅有我们的专家大白讲解美学方案，还会现场评选案例零元变美哦
带#年终颜值点亮计划##星眸点唇美学沙龙#话题，@还是那个小姐姐啊 @医巢医疗整形 说出你的变美需求，配唇部，眼部照片就可以参加报名哦！  
抽奖详情
 ",,https://wx4.sinaimg.cn/large/0077qwhfly1hw0lfer1g2j30yi3glb2b.jpg,,,2024-11-27T10:48:00,微博网页版,5,20,25,"星眸点唇美学沙龙,年终颜值点亮计划,星眸点唇美学沙龙","还是那个小姐姐啊,医巢医疗整形",2024-11-27 10:48:00
5105740834412684	,P2plpivWk,宝子的嘴巴很好看哦，补一点会更美的，感谢报名哦,,,,,2024-11-28T17:42:17,微博网页版,0,0,0,,,2024-11-28 17:42:17,False,7436778851,真的不是很饿_,5105727910186053	,P2p0z0MoR,"知道医巢的活动立马来参加啦，嘴唇相对还是比较饱满的，但是上唇缘轮廓不清晰，还是喜欢m唇，想要打个唇珠，希望能抽中我～离精致女孩更进一步#星眸点唇美学沙龙##年终颜值点亮计划# @医巢医疗整形 
杭州·杭州医巢医疗美容
 ",,"https://wx2.sinaimg.cn/large/0087hXTZgy1hw21gj6lknj31sc2dshdu.jpg,https://wx3.sinaimg.cn/large/0087hXTZgy1hw21gl0msmj31sc2dse82.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002KxQ4Xgx08jWwkZ6eP0f0f0100shLK0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F00370vS0gx08jWwl9scT0f0f0100tnA10k01.mov,杭州·杭州医巢医疗美容,2024-11-28T16:50:56,iPhone客户端,2,1,1,"星眸点唇美学沙龙,年终颜值点亮计划",医巢医疗整形,2024-11-28 16:50:56
5105740585371817	,P2pl0mxsd,宝子很适合do唇哦，期待入选,,,,,2024-11-28T17:41:18,微博网页版,0,0,0,,,2024-11-28 17:41:18,False,7391573656,二十三0223,5105735330171161	,P2pcx0IwF,上嘴唇比较薄，下嘴唇两侧不对称，口角还向下，纯纯问题嘴唇，选我选我#年终颜值点亮计划##星眸点唇美学沙龙# @医巢医疗整形 @还是那个小姐姐啊 ,,https://wx4.sinaimg.cn/large/0084ehXWgy1hw22lxhlkej31zj0yzany.jpg,,,2024-11-28T17:20:25,Xiaomi 15,0,1,1,"年终颜值点亮计划,星眸点唇美学沙龙","医巢医疗整形,还是那个小姐姐啊",2024-11-28 17:20:25
5105718606693683	,P2oLys5kD,"#星眸点唇✨美学沙龙招募最后一天# 
专家亲诊解锁唇眸美学密码
更有现场案例招募，零元直达颜值新高度
报名即享千元项目立减金，沙龙加享折上折#年终颜值点亮计划##变美无需大动干戈##点亮颜值，重塑人生主角感# ",,"https://wx2.sinaimg.cn/large/0077qwhfgy1hw20ski24ij30yi25b7tl.jpg,https://wx4.sinaimg.cn/large/0077qwhfgy1hw20sjiu8nj30yi2bp1kx.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw20slvkzvj30yi40vnpd.jpg",,,2024-11-28T16:13:58,iPhone 13,1,0,0,"星眸点唇✨美学沙龙招募最后一天,年终颜值点亮计划,变美无需大动干戈,点亮颜值，重塑人生主角感",,2024-11-28 16:13:58,True
5105668325640811	,P2nssnFqP,唇形是可以改善哒，凸嘴要根据整个面部情况来看哦，如果是非骨性问题，可以通过下颌和鼻基底的补容来调整哦。另外宝子是#年终颜值点亮计划# 哦,,,,,2024-11-28T12:54:10,微博网页版,0,0,0,年终颜值点亮计划,,2024-11-28 12:54:10,False,7870057866,用户7870057866,5105666949388359	,P2nqeDol9,上嘴唇太薄啦，有点凸嘴，可以通过注射填充改善吗#年中变美计划##微整形##星眸点唇美学沙龙# @医巢医疗整形 ,,https://wx3.sinaimg.cn/large/008ABXzcgy1hw1uq3i9l9j30sf0hd0wn.jpg,,,2024-11-28T12:48:42,iPhone客户端,0,1,1,"年中变美计划,微整形,星眸点唇美学沙龙",医巢医疗整形,2024-11-28 12:48:42
5105668000584305	,P2nrW2s0h,原生唇已经很好看啦，但可以再追求完美一点点，报名成功马上安排！,,,,,2024-11-28T12:52:53,微博网页版,0,0,0,,,2024-11-28 12:52:53,False,5778665211,冬天冬天来了11,5105659026867427	,P2ndssOwX,我的唇部是挺丰满的，还是想微调一下，但是下唇我喜欢宽一点 外翻的，报名看看能不能选上哈哈～#星眸点唇美学沙龙# ，#年终颜值点亮计划# @医巢医疗整形 ,,"https://wx3.sinaimg.cn/large/006j4GNBgy1hw1ty9wlwkj31c92dsx6p.jpg,https://wx2.sinaimg.cn/large/006j4GNBgy1hw1ty94ciqj31sc2dsnpd.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002VK4dHgx08jWdxvF0b0f0f0100rMfV0k01.mov,,2024-11-28T12:17:13,iPhone客户端,0,1,1,"星眸点唇美学沙龙,年终颜值点亮计划",医巢医疗整形,2024-11-28 12:17:13
5105667801879881	,P2nrC7T2F,好的宝子报名成功！需求很清晰哦，期待入选。,,,,,2024-11-28T12:52:05,微博网页版,0,0,0,,,2024-11-28 12:52:05,False,7312631046,是殷殷吖0823,5105635993584086	,P2mCjf2nQ,"#星眸点唇美学沙龙##年终颜值点亮计划#我的唇部状态就是上唇没有唇珠，没有唇部的立体感，整体唇型不明显，轮廓不清晰，唇形偏薄偏小，想要增加唇部的嘟嘟感@还是那个小姐姐啊 @是孙悟空啊 @医巢医疗整形 
杭州·杭州医巢医疗美容
 ",,"https://wx4.sinaimg.cn/large/007YT3o2gy1hw1pgdy9ftj31sc2dsx6p.jpg,https://wx2.sinaimg.cn/large/007YT3o2gy1hw1pgf7505j33402c0kjm.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0018Z6idgx08jW7fNeF10f0f0100fpmY0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001MZPyxgx08jW7g1xGD0f0f0100kIDi0k01.mov,杭州·杭州医巢医疗美容,2024-11-28T10:45:41,iPhone客户端,1,1,1,"星眸点唇美学沙龙,年终颜值点亮计划","还是那个小姐姐啊,是孙悟空啊,医巢医疗整形",2024-11-28 10:45:41
5105656703224710	,P2n9IdwTs,"#医巢胶原美学之星——张玲医生# ，作为胶原导师受邀参加薇旖美【胶颜焕活，向美而生】医生圆桌会分享讲解胶原蛋白临床实操经验。
张玲医生深研胶原蛋白的联合应用，以详实案例医学寻证为支撑，打造独家高阶胶原美学理念#年终颜值点亮计划##薇旖美3+17胶原蛋白# ",,"https://wx2.sinaimg.cn/large/0077qwhfgy1hw1toh09vaj32x61y11ky.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw1tok6m78j332k21nkjm.jpg,https://wx1.sinaimg.cn/large/0077qwhfgy1hw1ton7s4pj330m20ehdu.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw1toe73a1j330d20o4qr.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw1tonrdnej318g0tn45k.jpg,https://wx2.sinaimg.cn/large/0077qwhfgy1hw1too5zpdj318g0tljy7.jpg",,,2024-11-28T12:07:59,iPhone 13,1,0,0,"医巢胶原美学之星——张玲医生,年终颜值点亮计划,薇旖美3+17胶原蛋白",,2024-11-28 12:07:59,True
