id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106110903621665	,P2yYifc9X,"这期#刚刚发布# 我来给大家线上开个箱，为小伙伴们安利我们的#华为WATCH#D2，支持24小时动态血压检测，不管是是站着、坐着还是睡着了都能测！真正做到了随时随地，抬腕即测
 
深圳·深圳华为坂田基地
 
华为何刚的微博视频
 ",,,"https://f.video.weibocdn.com/u0/9wWuqLzAgx08jYcQULEY01041200maXD0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892050&ssig=JWVQ0Jb38R&KID=unistore,video",深圳·深圳华为坂田基地,2024-11-29T18:12:49,微博视频号,302,47,12,"刚刚发布,华为WATCH",,2024-11-29 18:12:49,True
5106002100224441	,P2w8O0Wo1,"上次#天生会画#进美院视频发布后，不少小伙伴都很好奇我的参赛作品，今天就来给大家分享一下。这幅《盎然向新》是我眼中的生命画卷，虽经历岁月变迁，却仍枝繁叶茂！2024 GoPaint天生会画数字创作大赛12月31日就要截稿了，期待看到大家的作品！#华为MatePad# 
华为何刚的微博视频
 ",,,"https://f.video.weibocdn.com/u0/caLiRpqugx08jXIlaVFe01041200peZR0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732892044&ssig=kLxkUFb3MC&KID=unistore,video",,2024-11-29T11:00:28,微博视频号,6712,199,9917,"天生会画,华为MatePad",,2024-11-29 11:00:28,True
5105829393207218	,P2rEfdslk,这次，华为悦彰携手中央音乐学院首席调音团，推出了#华为首款悦彰耳机#——HUAWEI FreeBuds Pro 4，为热爱音乐的朋友们带来更震撼、更沉浸的听觉体验，点击视频，一起感受声音的力量！,,,,,2024-11-28T23:34:12,HUAWEI Mate 70 Pro+,175,35,6,华为首款悦彰耳机,,2024-11-28 23:34:12,False,1839167003,华为终端,5105258332163962	,P2cNb94WC,"传奇回响，大师音韵。华为悦彰携手中央音乐学院首席调音团打造华为#FreeBudsPro4 悦彰耳机#，带你领略原声之美。#华为推出悦彰声学品牌# 
华为终端的微博视频
 ",,,"https://f.video.weibocdn.com/o0/xjO2WT10lx08jTANhF6w01041200u0ll0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892050&ssig=jQLKHPa3mW&KID=unistore,video",,2024-11-27T09:45:00,微博视频号,3196,195,144,"FreeBudsPro4 悦彰耳机,华为推出悦彰声学品牌",,2024-11-27 09:45:00
5105454814857059	,P2hU5knxF,"非常美好的夜晚！2024华为影像大赛颁奖典礼刚刚落幕，很高兴现场和来自世界各地的摄影艺术家、获奖者、创作者还有花粉们相聚，感谢大家的一路陪伴和支持，一起用科技的力量传递温暖与爱，共筑温暖的世界
我们在深圳海上世界文化艺术中心举办了年度影像展，我也用镜头记录下了精彩瞬间，欢迎在深圳的小伙伴们前往打卡！#华为影像XMAGE# 
深圳·海上世界文化艺术中心",,"https://wx2.sinaimg.cn/large/001OBUeugy1hw16hblwnhj64802tchdu02.jpg,https://wx1.sinaimg.cn/large/001OBUeugy1hw16f0x4k2j64mo334x6r02.jpg,https://wx1.sinaimg.cn/large/001OBUeugy1hw16hdu1wej62dc3fcu0y02.jpg,https://wx2.sinaimg.cn/large/001OBUeugy1hw16hhlx8aj64mo334x6t02.jpg,https://wx3.sinaimg.cn/large/001OBUeugy1hw16hje0bvj64i63057wi02.jpg,https://wx2.sinaimg.cn/large/001OBUeugy1hw16hlu83zj63344mou0z02.jpg,https://wx1.sinaimg.cn/large/001OBUeugy1hw16hpsx3xj64mo335e8602.jpg,https://wx3.sinaimg.cn/large/001OBUeugy1hw16hsyuksj631k2a4e8202.jpg,https://wx3.sinaimg.cn/large/001OBUeugy1hw16hxkb48j64mo334e8502.jpg",,深圳·海上世界文化艺术中心,2024-11-27T22:45:45,HUAWEI Mate 70 Pro+,334,62,9,华为影像XMAGE,,2024-11-27 22:45:45,True
5105320198935011	,P2eoXBup5,"华为悦彰，知音共鸣。昨天的品牌盛典上，为大家发布了行业首个全场景智能声学品牌“华为悦彰”，让好声音无处不在，为大家带来更极致的听音体验。 
华为何刚的微博视频
 ",,,"https://f.video.weibocdn.com/u0/JdKSQWJngx08jUITmJXi010412009PTZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892050&ssig=gF4EhyxmRB&KID=unistore,video",,2024-11-27T13:50:50,微博视频号,499,55,16,,,2024-11-27 13:50:50,True
5105074768183552	,P2816ykUM,今天，华为全屋智能重磅升级为全新品牌——华为鸿蒙智家，期待和大家一起体验高阶智感新生活。,,,,,2024-11-26T21:35:34,华为 Mate X6 典藏版,500,69,39,,,2024-11-26 21:35:34,False,1839167003,华为终端,5105073363621560	,P27YQfc8g,"AI新一代#华为鸿蒙智家#解决方案，以智慧重塑便捷交互与声光享受，通过无处不在的AI语音、小而不凡的智能中控屏MINI、如临其境的声光影体验，构筑高阶智感享受！#华为鸿蒙智家全新亮相# 
华为终端的微博视频
 ",,,"https://f.video.weibocdn.com/o0/AfXxFX4wlx08jTzKTLkI01041201jtjZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892050&ssig=xcGv9HfWcy&KID=unistore,video",,2024-11-26T21:30:00,微博视频号,500,83,106,"华为鸿蒙智家,华为鸿蒙智家全新亮相",,2024-11-26 21:30:00
5105053838609608	,P27tlA7KE,#原生鸿蒙喊你来升级# 今天还有好消息带给大家，#华为Mate70和MateX6到手即可升级原生鸿蒙#，为史上最强大的Mate注入强劲动力。欢迎前往“我的华为”APP升级体验，解锁属于你的Mate玩法！,,,,,2024-11-26T20:12:25,华为 Mate X6 典藏版,800,117,30,"原生鸿蒙喊你来升级,华为Mate70和MateX6到手即可升级原生鸿蒙",,2024-11-26 20:12:25,False,1839167003,华为终端,5105043739247424	,P27d3CNG0,"#华为Mate70和MateX6到手即可升级原生鸿蒙# 原生精致、智能、安全、流畅、互联，成就史上最强大Mate。
网页链接
 #原生鸿蒙喊你来升级# ",,https://wx3.sinaimg.cn/large/0020sXlVly1hvzuwij5qyj60u06jgb2902.jpg,,,2024-11-26T19:32:17,微博网页版,3232,390,292,"华为Mate70和MateX6到手即可升级原生鸿蒙,原生鸿蒙喊你来升级",,2024-11-26 19:32:17
5105044655442469	,P27exmPPL,星闪家族又添一员，全球首款星闪网关路由来了，#华为凌霄子母路由Q7网线版#首次将星闪技术运用到家庭路由中，兼容星闪、蓝牙和Wi-Fi三种连接协议，支持丰富的鸿蒙智联生态产品接入，同时搭载全屋疾速Wi-Fi 7、华为独家凌霄技术，让每个房间都有满格信号！#华为路由# ,,https://wx2.sinaimg.cn/large/001OBUeugy1hvzvdn2u9aj60u032q1ds02.jpg,,,2024-11-26T19:35:55,华为 Mate X6 典藏版,698,123,61,"华为凌霄子母路由Q7网线版,华为路由",,2024-11-26 19:35:55,True
5105041685872762	,P279KoDLY,"全新折叠旗舰#华为MateX6#在轻薄可靠、通信能力、影像系统、鸿蒙大屏AI等各个方面都迎来飞跃，里里外外全面革新，最值得信赖的折叠屏体验，强得飞起
！",,,,,2024-11-26T19:24:07,华为 Mate X6 典藏版,143,14,5,华为MateX6,,2024-11-26 19:24:07,False,1839167003,华为终端,5105020850667603	,P26C92NFN,"折叠引领者，巅峰再跨越。
全新旗舰#华为MateX6# ，打造折叠新标杆。 
华为终端的微博视频
 ",,,"https://f.video.weibocdn.com/u0/7JPeiHnGgx08jTpog1lS010412015osk0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892050&ssig=zzB5BxRU%2FF&KID=unistore,video",,2024-11-26T18:01:19,微博视频号,995,90,80,华为MateX6,,2024-11-26 18:01:19
5105036923770162	,P2724fON4,无界探索，星辉耀目。#华为MateX6#既延续了Mate X系列的寰宇家族化设计，打造出星球交汇的“寰宇星轨”镜头造型，同时采用了全新的微纳米3D拓印锦纤材质，让星云纹理在手机背盖上熠熠生辉，每一个细节都精致讲究，相信大家一定会喜欢,,,,,2024-11-26T19:05:12,华为 Mate X6 典藏版,151,16,3,华为MateX6,,2024-11-26 19:05:12,False,1839167003,华为终端,5104986153550564	,P25IbeTFa,"寰宇星轨，跃展折叠新篇。
星云纹理，璀璨生辉，#华为MateX6#尽享科技与艺术的完美融合。 
华为终端的微博视频
 ",,,"https://f.video.weibocdn.com/u0/76MSMR0Lgx08jTfVitqg01041200vCSV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892050&ssig=mdr56G6JYC&KID=unistore,video",,2024-11-26T15:43:28,微博视频号,947,75,77,华为MateX6,,2024-11-26 15:43:28
