id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106060176394029	,P2xEtqPnv,转发微博,,,,,2024-11-29T14:51:15,iQOO Neo8,0,0,0,,,2024-11-29 14:51:15,False,6475473090,今天又奶酪中毒了,5101853421079900	,P0Mdo4wVK,"和老婆过初冬了
特别细心特别温暖的小女孩一枚
（性转版我要给她花好多钱想把全世界最好的都给她 ",,"https://wx1.sinaimg.cn/large/0074eqmmgy1hvpoumpwifj30u0140gtf.jpg,https://wx2.sinaimg.cn/large/0074eqmmgy1hvpount805j30u0140ahp.jpg,https://wx4.sinaimg.cn/large/0074eqmmgy1hvpoun9469j30u0140wly.jpg,https://wx2.sinaimg.cn/large/0074eqmmgy1hvpouom1ulj30u014045q.jpg,https://wx1.sinaimg.cn/large/0074eqmmgy1hvpour8lvgj32c0340e82.jpg,https://wx4.sinaimg.cn/large/0074eqmmgy1hvpov6h8pij30u0140dkp.jpg,https://wx4.sinaimg.cn/large/0074eqmmgy1hvpov0mhiyj33b04eonpg.jpg,https://wx4.sinaimg.cn/large/0074eqmmgy1hvpov541daj33b04eou10.jpg,https://wx2.sinaimg.cn/large/0074eqmmgy1hvpouujuo9j33b04eox6p.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004dPzOQgx08jFt2uvrV0f0f0100dGHP0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001ZijGlgx08jFt2vxXW0f0f01008Had0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004Bodz8gx08jFt2yJza0f0f0100dgs60k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000LKs6Ygx08jFt2FyYn0f0f0100aibg0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002pAOJCgx08jFt2L8Kk0f0f01008KNQ0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002xSOCOgx08jFt2s6KX0f0f01007R010k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002T5GPMgx08jFt2MKnK0f0f0100fXAI0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003X1TiCgx08jFt2Py350f0f0100amCx0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001V5WNQgx08jFt2Uewo0f0f01005Lg70k01.mov,,2024-11-18T00:15:06,iPhone客户端,383,13,6,,,2024-11-18 00:15:06
5106038132971218	,P2x4VcsWS,轮廓/我在想，术后内转折的效果是和去骨量有关还是面中（眼眶骨边）的截骨线有关？,,,,,2024-11-29T13:23:39,iQOO Neo8,2,3,0,,,2024-11-29 13:23:39,False,6731595793,小琪审美功课,5105996668340069	,P2w02yZDf,"颧弓内折叠度
面诊可以问的看这个：
网页链接
颧突点：颧骨在面部的最高点，撑起眼皮下方的皮肉
面后点：和颧突点在一个平面上
划重点：颧突点和面后点重叠度/离得越近，上半张脸折叠度越高。
以我的头颅ct为例，图一。
折叠度低颧骨低颧弓不发达脸会宽平（大s，图二）
折叠度过高颧骨高颧弓外扩（刘涛，图三）
折叠度高有颧骨但不过高颧弓内收（章子怡，图四）
各个医院折叠度对比（图五）
⚠️但素，原辰的朴钟哲写过一篇文章：大致是软组织会随着骨骼回弹大概是60%。比如骨头推5，软组织回弹5，实际上缩窄就是5（相当于肉全贴回来了）。但是通常情况可能是推了5，软组织只弹回来了3，实际上缩窄就是3。极端情况就是推了5，但软组织没有回弹，造成空腔。
所以ct的区别在皮肉覆盖之后到底能表现出多少也是个迷。",,"https://wx1.sinaimg.cn/large/007lz5zHgy1hw2wk1rb4ej30qy1euwun.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2wof3w38j30si120gpl.jpg,https://wx4.sinaimg.cn/large/007lz5zHgy1hw2wofg3wfj30yi1a4qap.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2wofwrlzj30wi14stda.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2xfmxi5pj315o49kkhy.jpg",,,2024-11-29T10:38:53,iPhone 15 Pro,2,1,3,,,2024-11-29 10:38:53
5106034245371986	,P2wYEmxuW,涝的涝死,,,,,2024-11-29T13:08:12,iQOO Neo8,0,0,0,,,2024-11-29 13:08:12,False,5249654361,万只小鸟,5106020211491912	,P2wC16g76,分享图片 ,,https://wx2.sinaimg.cn/large/005Jh0Uxly1hw2zflgg3vj30u01t7dpi.jpg,,,2024-11-29T12:12:26,iPhone 16 Pro Max,4,3,1,,,2024-11-29 12:12:26
5105989618237864	,P2vOFyz2M,韩国,,,,,2024-11-29T10:10:51,iQOO Neo8,0,0,0,,,2024-11-29 10:10:51,False,1752788194,永远好运的达子,4943431116261729	,NidQbqgXD,"·韩国攻略来了！都是一些很基础的东西，咱老朋友就可以跳过啦，第一次去的宝宝可以参考一下～（有点偏节约版，都是地铁大巴啥的
）
·P1大概需要带的东西
·P2换钱
·P3需要下载的APP
·P4交通卡
·P5机场大巴
·P6奉恩寺烧香小攻略#韩国攻略##韩国旅游攻略##韩国旅游# ",,"https://wx3.sinaimg.cn/large/68796ce2gy1hhoa9r5eyxj20wi1yctju.jpg,https://wx1.sinaimg.cn/large/68796ce2gy1hhoa9pshkmj20xc5qf1kx.jpg,https://wx2.sinaimg.cn/large/68796ce2gy1hhoa9qllaqj212823845z.jpg,https://wx4.sinaimg.cn/large/68796ce2gy1hhoa9oqsqej217m2aqtrg.jpg,https://wx1.sinaimg.cn/large/68796ce2gy1hhoa9rs7baj215o4x87wh.jpg,https://wx3.sinaimg.cn/large/68796ce2gy1hhoa9ski9rj215o4b14qp.jpg",,,2023-09-07T20:21:25,iPhone客户端,310,53,275,"韩国攻略,韩国旅游攻略,韩国旅游",,2023-09-07 20:21:25
5105989514953445	,P2vOvkMCh,韩国,,,,,2024-11-29T10:10:27,iQOO Neo8,0,0,0,,,2024-11-29 10:10:27,False,1728624313,均一吴,5059661479020049	,Op24bBQwF,"韩国皮肤科美版超声刀功课
价格+网上能找的到的反馈，韩国美版超声刀价格还挺层次不齐的，便宜的可以找到100发20w左右，贵的也能到50w左右，价格差不多相差一倍太难选了
，联/系方式都放图里了
1⃣️switz皮肤科
超声刀100发-50万 （约2630）
8月份活动-400发-200万（约10520）
送下颌线皮肤紧致肉毒 另外轮廓淋巴管理和消肿弹力管理是包括的
无痛针包括的， 睡麻是需要加10万
网络反馈👇
网页链接
网页链接
2⃣️w clinic
200发-69万（约3600）
400发-129万（约6700）
睡麻、 无痛注射
睡麻价格 33万
6个小时禁食，喝水也不行
无痛注射11-33万
要带护照
网络反馈👇
网页链接
网页链接
3⃣️nain clinic
100发+inmode 33w（约1700）
300发 63w（约3300）
不做睡眠麻醉，有涂抹麻醉和局麻注射
网络反馈👇
网页链接
4⃣️德希尔（公z号联系）
300发 120万 韩币不含税（税+10%）（约6900）
400发160万韩币（约8400）
网络反馈👇
网页链接
网页链接
网页链接
5⃣️弗洛雷斯
300发110万（约5700）
去年中秋活动400发129万（约6700）
网络反馈👇
网页链接
网页链接
6⃣️Ppeum （公z号联系）
500发超声刀109w（约5700）
网络反馈👇
网页链接
7⃣️本思
100发 24万9（约1300）
300发 79万（约4100）
网络反馈👇
网页链接",,"https://wx2.sinaimg.cn/large/6708b6b9ly1hrz345ngd7j20h40gomz8.jpg,https://wx4.sinaimg.cn/large/6708b6b9ly1hrz34gphyej20l20i8q59.jpg,https://wx4.sinaimg.cn/large/6708b6b9ly1hrz34mjwvgj20gy0j2whl.jpg,https://wx1.sinaimg.cn/large/6708b6b9ly1hrz34rzjc3j20gu0jkad2.jpg,https://wx1.sinaimg.cn/large/6708b6b9ly1hrz34zla6wj20ja0l878k.jpg,https://wx1.sinaimg.cn/large/6708b6b9ly1hrz3556uabj20hg0j6402.jpg",,,2024-07-24T13:59:23,微博网页版,508,51,745,,,2024-07-24 13:59:23
5105982043327001	,P2vCsdXvj,抽红包,,,,,2024-11-29T09:40:46,iQOO Neo8,0,0,0,,,2024-11-29 09:40:46,False,5773801969,脂肪整形蒋华,5074879288181306	,OvpX2ykky,"转发+关注揪10个瓜分1000🧧，12月9日通过@微博抽奖平台 开
咨询请添加助理：lhlg3537 
【抽1位0元脂肪塑形和2位5折、5位7折脂肪塑形】
大家好，简单介绍一下我自己。我是脂肪修复医生蒋华，02年攻读西南医科大学，临床医学专业。 07年毕业工作至今从业近20年（在公立三甲医院整形外科工作），现任上海联合丽格技术院长，专注脂肪领域17余年
擅长凹凸不平脂肪修复及富贵包消除术。采用进口专利技术钛合金探针释放超声频率乳化技术，量能聚焦于脂肪组织，不会伤及重要神经、血管及周围组织，切口小而隐蔽，无需引流管，无需塑身衣，包扎简易更舒适。
现在我所有关注我的粉丝中，抽8位做脂肪塑形手术享受案例折扣，默认成为我们的案例客户，签署案例合同。
案例折扣
1.享脂肪塑形手术费0元，1位
2.享脂肪塑形手术费 5折，2位
3.享脂肪塑形手术费 7折，5位
在11月、12月、1月来做脂肪塑形的顾客：
1.报销部分机票/车票 
2.赠送上海知名景点门票一张
报名方式：置顶添加助理，仅限官方微博预约可享受本活动（具体可发术前照片或者视频及诉求给助理参与报名，线下面诊后我会亲自筛选，麻醉费/体检费/留观输液费需自付）
平时忙于面诊和手术，大家的私信和评论可能不能及时回复，我工作结束后会一一查看并回复
【富贵包】
术后即刻
网页链接
术后即刻
网页链接
术后即刻
网页链接
术后即刻
网页链接
术后即刻
网页链接
术后一个月
网页链接
术后一个月
网页链接
术后一个月
网页链接
术后两个月
网页链接
【上臂肩胛吸脂塑形】
术后一周
网页链接
术后半个月
网页链接
术后一个月
网页链接
术后一个半月
网页链接
术后三个月
网页链接
术后五个月
网页链接
【下颌缘塑形】
术后六天
网页链接
术后三个月
网页链接
术后半年
网页链接
【大腿吸脂塑形➕髌骨塑形】
术后即刻
网页链接
术后即刻
网页链接
术后五天
网页链接
【全面部脂肪填充】
案例1
网页链接
案例2
网页链接
【腰腹塑形+马甲线折角腰打造】
术后即刻
网页链接
术后一个半月
网页链接
术后九个月
网页链接#2024愿你所愿# #蒋华脂肪修复# #蒋华吸脂# #脂肪蒋华# 
抽奖详情",,"https://wx2.sinaimg.cn/large/006iKhEdgy1htbmwgetesj30j20q4juo.jpg,https://wx1.sinaimg.cn/large/006iKhEdgy1hvjndf9s0hj30v938c4qp.jpg,https://wx3.sinaimg.cn/large/006iKhEdgy1hv6kfj27stj30zya8hu11.jpg",,,2024-09-04T13:49:32,微博网页版,10,17,41,"2024愿你所愿,蒋华脂肪修复,蒋华吸脂,脂肪蒋华",微博抽奖平台,2024-09-04 13:49:32
5105980646099318	,P2vAcpAI6,韩国,,,,,2024-11-29T09:35:13,iQOO Neo8,0,0,0,,,2024-11-29 09:35:13,False,6186696681,切鹅西芭比,4805176025941441	,M2aEqoVDH,"🇰🇷韩国轮廓术前准备✌🏻（换韩元最佳汇率tips在最后）
清单是我自己亲测有用不鸡肋的东西
-
P1韩国实用APP：我不懂韩文，也完全可以用，自己点外卖很简单
P2电话卡公交卡选择
P3营养品、药、转换头
P4日用品行李list
P5轮廓后的实用小物件
P6我准备的头套
P7便利店里的好东东（消肿南瓜汁）
P8、9实用小道具
P10就是想说…外卖真的很多东西可以选，很方便，一个人去也不需要太担心
———————————
———————————
关于换💰韩元：
首尔当地的换钱所真的很划算，比直接刷卡、银行还钱都要划算很多，我手术的费用全部换成了现金，省下好多钱…
💰现在换钱不需要带rmb现金了，他们都收线上。
我找的是东大门一个东北大哥开的换钱所，换之前可以多问几家对比一下汇率
—————————————————
随便写写，希望能帮助到别人，攒整运",,"https://wx3.sinaimg.cn/large/006KGKqlgy1h5f7oy91s1j31402eok9n.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7ozejm9j31402eok7u.jpg,https://wx4.sinaimg.cn/large/006KGKqlgy1h5f7p0q4ibj31401z4k8j.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7pgbm2mj32s52s5hdt.jpg,https://wx2.sinaimg.cn/large/006KGKqlgy1h5f7phc3bpj31kw1kwqg2.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7pcv9jlj32342s51kx.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7owxhbdj32c02c0e82.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7p4yi8kj32c02c07wi.jpg,https://wx2.sinaimg.cn/large/006KGKqlgy1h5f7p961hzj32c02c0b2a.jpg,https://wx3.sinaimg.cn/large/006KGKqlgy1h5f7pax6dij31402eogy1.jpg",,,2022-08-22T08:05:03,iPhone客户端,114,14,319,,,2022-08-22 08:05:03
5105660678638229	,P2ng7Afch,轮廓//@小琪审美功课:颧骨//@好运甜宝功课博://降低眼眶骨，主要还是需要初次截骨线够高。打磨效果比较小，剥离大。high-L切法能够有效降低眼眶骨。降低太多也有黄瓜脸风险,,,,,2024-11-28T12:23:47,iQOO Neo8,0,0,0,,"小琪审美功课,好运甜宝功课博",2024-11-28 12:23:47,False,1840750964,金闪闪_333的功课号,4942294202712363	,NhKgsbnBN,"🌟拿小田举例，一张图说明眼眶骨不同在颧弓推平后带来的不同效果
图1:
左 眼眶骨窄+立体+颧弓推平
中 眼眶骨宽+立体+颧弓推平
右 眼眶骨宽+平+颧弓推平
大家会发现即使是一模一样的五官比例和脸部大小，视觉上还是会呈现出“脸更阔更窄的区别，脸更大更小的区别，面部留白更多更少的区别”
图2:
我的老吴二推术前术后图，眼眶骨完全一点没变没有处理，截骨位非常低，所以对我来说收益很小，当然也好歹做完了了执念。
图3:
眼眶骨不处理只推进去颧弓可能带的变化belike
也就是我本人的效果呈现大概就是这样，视觉上区别真的很小
图4:
我想要处理的眼眶骨部分",,"https://wx1.sinaimg.cn/large/6db7a174gy1hhknwumis5j21400u0gsd.jpg,https://wx1.sinaimg.cn/large/6db7a174gy1hhkniprr5gj21400rigy9.jpg,https://wx1.sinaimg.cn/large/6db7a174gy1hhknn17xq4j20u0140101.jpg,https://wx4.sinaimg.cn/large/6db7a174gy1hhkno8i8cij20px0jg0xf.jpg",,,2023-09-04T17:03:43,iPhone 13 Pro Max,106,34,130,,,2023-09-04 17:03:43
5105430756593436	,P2hhhrFfK,韩国，美食,,,,,2024-11-27T21:10:09,iQOO Neo8,0,0,0,,,2024-11-27 21:10:09,False,7387158520,我一定要少说话呀,5105412332323272	,P2gNz9Ko8,这家店是真好吃啊啊啊而且氛围感超足推荐晚上来 喝点小8+1 章鱼汤太绝了 ,,"https://wx4.sinaimg.cn/large/0083VLo4gy1hw11lpks5ej30wr1z04hk.jpg,https://wx4.sinaimg.cn/large/0083VLo4gy1hw11lrrfsaj32c0340hdu.jpg",,,2024-11-27T19:56:56,iPhone 15 Pro,9,2,3,,,2024-11-27 19:56:56
5105428428229344	,P2hdwywPm,转发微博,,,,,2024-11-27T21:00:54,iQOO Neo8,0,0,0,,,2024-11-27 21:00:54,False,5623741644,miamaja,5105427283444910	,P2hbGesb4,"这个就是特别特别严重的汗管瘤了
我以前最严重的时候跟这个差不多，和眼霜没什么关系:
眼霜不会让他更糟糕，也没什么改善效果
主要还是和遗传因素以及内分泌有关，我前几年做掉之后，去年压力特大的时候就复发了一波
今年睡眠和情绪都特别好的状态下，他就不是很明显
年底我要再做一次二氧化碳激光，和黄金微针和面部的点阵一起来做，把所有有烂脸恢复期的项目都放到一起做",,https://wx2.sinaimg.cn/large/0068AE6oly1hw1381ysqlj30rs0fngu8.jpg,,,2024-11-27T20:56:21,理性护肤iPhone 13 Pro,49,35,4,,,2024-11-27 20:56:21
