id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105853777315252	,P2shzuH1W,"不想要这样爹，可以要我的爹
对外幽默风趣，对老婆孩子呼来喝去毫无耐心，动辄大呼小叫严重点还会家暴，不管爹妈，自己娘眼睛不好大晚上来我家说是钥匙忘带了，急的都忘了打电话，他专心打游戏不知道把自己娘送回家，家务是不干的，垃圾是就他会造的，给自己爹打晚饭的胰岛素是上班打四次卡没时间的，去吃饭是下午5.30准时到的，对狗是没有爱心的，对自己闺女是不心疼的，下雨自己在家悠哉吃饭，不管闺女冒雨去打胰岛素的，自己孩子是心里阴暗的，劳务派遣的同事是无偿帮忙找工作的，在招聘软件发布的工作实习期3500，同事给我1800是我把人想太坏的，罄竹难书的爹我记性也不好记不住那么多，这都是这一个星期刚发生的",,,,,2024-11-29T01:11:05,iPhone客户端,0,3,0,,,2024-11-29 01:11:05,False,5898722158,路寒Paraiba,5105666953579050	,P2nqff14C,"李行亮简直跟我爸一模一样，风评极佳，左邻右舍同事朋友嘴里的好丈夫好爸爸，表面功夫都做得很好，送我上学，跟老师打好关系，钱全上交，不抽烟不喝酒无外遇，爱好读书写诗玩乐器摄影打球，吵架时滑跪道歉，但他永远都游离在自己的家庭之外，一有矛盾不是逃避就是和稀泥，永远不给妻子孩子正面反馈，以自己的事业/爱好/朋友优先，每天回家的时间就等于睡个觉的时间。麦说李自私，观察团表示不解的反应，和我妈控诉我爸自私，她姐觉得她不可理喻一模一样。这样的人根本不应该组建家庭，他们结婚生子完全就是为了完成自己的社会性任务，不会因为是个独身的异类遭人诟病。十几岁时的我当然更爱亲近这样“有趣”的爸爸，直到自己走入婚姻找了个和我爸完全相反的丈夫，我才意识到“千万不要找个我爸这样的伴侣”已经成了思想钢印，深深刻在了我的脑海里。 
Cr：饱肚师叔",,,,,2024-11-28T12:48:43,,9106,472,1237,,,2024-11-28 12:48:43
5105850500778023	,P2sci3goL,"源力面霜真挺牛的，我这脸又犯病了开始瘙痒了，整个痒的睡着都能痒醒，然后无意识的疯狂抓，然后我涂了厚脸皮乳，无用，涂了优斐斯的蛋白面霜，无用，然后今晚涂了源力面霜，好用，真的不痒了
 ",,,,,2024-11-29T00:58:04,iPhone客户端,0,1,0,,,2024-11-29 00:58:04,True
5105818103972341	,P2rm2gFo1,转发微博,,,,,2024-11-28T22:49:19,iPhone客户端,0,0,0,,,2024-11-28 22:49:19,False,7418002971,可颂蛋挞塔,5104872057473007	,P22K9vm4n,这才是青年大学习… ,,"https://wx1.sinaimg.cn/large/00861brdly1hw2t320w25j30wr1epn3v.jpg,https://wx4.sinaimg.cn/large/00861brdly1hw2t33khdbj30wr1c7tfv.jpg,https://wx4.sinaimg.cn/large/00861brdly1hw2t30hktwj30wr0wmq79.jpg,https://wx4.sinaimg.cn/large/00861brdly1hw2t34igwcj30wr1z0qiz.jpg",,,2024-11-26T08:10:05,少管我iPhone 15 Pro,9800,1089,20931,,,2024-11-26 08:10:05
5105765251811448	,P2pYN7BeU,你生物爹都给不了一辈子的供养和保护，还指望想操你b的爹能给一辈子的供养啊？啥b能让人操不腻，少看点晋江小说番茄小说抖音短剧，行不,,,,,2024-11-28T19:19:19,iPhone客户端,0,0,0,,,2024-11-28 19:19:19,False,1046782634,灵爱宝宝,4913575418922979	,N5H9PBrh1,我要不要在做爱时，主动叫男朋友“爸爸”呢？#灵爱投稿# #灵爱性话# ,,https://wx3.sinaimg.cn/large/3e64a2aagy1hf11di0sjhj20pp12gteo.jpg,,,2023-06-17T11:05:32,,4264,278,76,"灵爱投稿,灵爱性话",,2023-06-17 11:05:32
5105053311173969	,P27sv4VoZ,胶原水光,,,,,2024-11-26T20:10:18,iPhone客户端,0,0,0,,,2024-11-26 20:10:18,False,6234799608,一元Q太,5104792867176959	,P20Gqu73p,"今天全脸两支柏蔚胶原蛋白，晚上健了个身回来邻居哥问我脸怎么白亮白亮的……我说打了水光啊。。
没想到效果出得这么快，但是不知道能持续多久，一般胶原蛋白效果都不会持续太久的。
但是柏蔚打水光我觉得比上个月打帝百珂明显，有点像我22年打科丽真一样惊艳（后面太多人过敏那个胶原蛋白就没卖了），就看持续时间了。
而且价格确实便宜啊，699两支（后面才知道是限量的，现在可能买不到了）
如果可以的话感觉可以拿来当平替弗缦一直当水光打，不过也看有人说胶原蛋白水光后面再打效果可能没前面好，我估计是皮下打完的还没流失干净，不过侧面也说明了确实有补充到。
我预计再打两次柏蔚换wym再试试效果，然后换弗缦混唯瑅这样的打法试试，听知白陈医生说很多医生会这样打，打完就像底妆被皮肤吃了进去一样。
后面还有最近出来的白鲸胶原蛋白也准备试试，皮肤养厚了再去打艾维岚。
如果打wym觉得效果有限的话可以试试这个，wym虽然是人源化，但是含量终究是太低了。
另外像这种猪牛的胶原水光，做之前记得皮试，过敏概率高一些。",,https://wx3.sinaimg.cn/large/006NWAc0ly1hvz2fmsmxxj30u00me0yd.jpg,,,2024-11-26T02:55:24,,2,9,2,,,2024-11-26 02:55:24
5105049649288210	,P27mACYhQ,水光,,,,,2024-11-26T19:55:46,iPhone客户端,0,0,0,,,2024-11-26 19:55:46,False,7063636894,谈美功课小号,4547758177131660	,Jk2pjtVgM,"总结记录下打过的水光牌子 
👉🏻
目前打过最最最有效果的水光 是韩国首尔丽格的至尊水光 三文鱼➕丽珠兰 ➕自研的水光 
非常浓稠 打完前三天和填充玻尿酸一样 
效果维持了两个月左右 皮肤又白又嫩 
👉🏻
第二 丝丽715 玻尿酸含量75ml 依然非常浓稠 一般配婴儿针打 干皮打完这类玻尿酸含量高的水光后 浮粉细纹都滚蛋
👉🏻
第三 双美胶原蛋白水光 好的原因还是因为浓稠 含量高 改善暗沉很有效 
👉🏻
第四 英诺 实打实美白去色沉 除了疼 非常值得大家一试 美白效果
👉🏻
第五 昕芙丽微针 便宜 几百块打完皮肤很滑嫩 维持一周左右
👉🏻
❌ 润月雅 润百颜 海薇等基础水光 菲洛嘉 可丽金微针
基础水光不要打是因为水光针本身就会破坏角质层 让皮肤变薄 没有附加功能 不如不打 
菲洛嘉真的没啥用 连着打过六次 除了皮肤更敏感 没别的 
可丽金差不多3000块的胶原蛋白 和几百块的昕芙丽差不多效果",,,,,2020-09-10T23:58:25,iPhone 11,1657,231,1931,,,2020-09-10 23:58:25
5105049401033793	,P27mc4kW5,呵呵我马！,,,,,2024-11-26T19:54:47,iPhone客户端,0,1,0,,,2024-11-26 19:54:47,False,7063636894,谈美功课小号,4456723316460082	,InNDdr6yS,"🐂私密 色蜜娃功课
昨晚下班抽空去护理了一下私密 做了国内风很大的丝蜜娃 体验感还不错 这个项目除了贵 几乎没有缺点
 市场正常价位在2万左右 它家给了9800的价格
最频繁可以一个月做一次 只要你不差钱 
去的是公司附近的一家店 甄景
这个平台还不错 在国内没有看到过单独以私密为主的平台医院 脱毛 紧致 嫩红这些都可以满足
操作的是台湾那边的医生 一周时间不定 需要提前预约 
空间非常私密性 里里外外隔了几层门🚪 所以心里还是挺有安全感的
女院长给我讲了一下色蜜娃的原理 
这个属于射频类仪器 相当于脸上做的热拉提 
热能会刺激胶原蛋白再生 并且可以嫩红去除色素沉淀 而且是即刻效果就很明显
如果看过我讲fotona原理的姐妹 应该知道射频类对身体没有任何伤害 不像超声刀类会对皮肤组织带来的瘢痕增生 所以这类射频也是日常保养项目 可以长期操作 
色蜜娃主要的功效就是三方面 
1️⃣紧致
2️⃣丰满
3️⃣嫩红
针对不同的操作部位有不同的效果
我昨天做的是针对大阴唇的丰满和嫩红效果
完全无痛感无不适感 40min后就可以结束
流程就是清洁→拍摄对比图（不留底）→涂抹凝胶→操作
整个过程就是感受到热热的 烫烫的 没有那种尴尬的在yd 操作的奇怪感觉
做完后颜色明显浅了很多 而且饱满度不是我亲眼看到都不信。。。对比特别明显 
如果有yd暴露的情况 做完就会包裹在里面
做完只想告诉自己 
多赚钱成为富婆吧
 
上海",,"https://wx4.sinaimg.cn/large/007I2iDkly1gajkmnf5chj30u0140akc.jpg,https://wx4.sinaimg.cn/large/007I2iDkly1gajkmojp28j30u014011o.jpg,https://wx4.sinaimg.cn/large/007I2iDkly1gajkmp3pt0j30u01400ya.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000367e7gx07zRZWHZtK0f0f010042dn0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003TK6UVgx07zRZWMloP0f0f01003ZOj0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0038espsgx07zRZWBjy00f0f01003nJU0k01.mov,上海,2020-01-03T18:58:22,iPhone X,58,8,56,,,2020-01-03 18:58:22
5104793221595661	,P20H06H6t,感觉挺可怜的，147cm，跟小孩一样的身高，年龄也大了，还继续保持身材，脸也很漂亮，想让自己多挣点钱还顾及体面不体面,,,,,2024-11-26T02:56:49,iPhone客户端,2,2,0,,,2024-11-26 02:56:49,False,2095858834,兔撕鸡大老爷,5104688560607429	,P1XYc2y1f,"管晨辰和吴柳芳引发的矛盾不会是剧本。
半年前，我偶然见过管晨辰本人和她的团队，一开始以为她助理才是网红，颜值挺高的，为人又和善，后来才知道管晨辰是无忧网红+奥运体操冠军，特别惊讶，管晨辰有点儿矮也有点儿发胖。
同行朋友告诉我，管晨辰以前训练太苦了，这不能吃那不能吃，退役后放开了吃的结果。
体操队员个矮，是选拔+刻苦的结果。
吴柳芳145cm，管晨辰147cm，高强度练体操会抑制生长激素分泌，影响骨骼正常生长。（退役前数据，退役后均有长高到150+）
吴柳芳因此恋爱不顺，工作也并不稳定，做过广州市队助教，做过中学老师，在中享俱乐部教过小孩子体操，后来到浙江谋编制未果，代言了派对圈这个相亲app，换到杭州生活后接触网红圈，也遭遇过停滞，决定换个活法挣钱，除了肢体协调身无其他长技，于是做了舞蹈网红。
我觉得合理又一言难尽…
吴柳芳晒队服的操作，是她自己弄的，吴柳芳选拔自广西柳州，柳州体委对她做了采访调查及训诫。吴柳芳下架了相关视频，并把出镜视频删减到了7个。
曾有短暂接触与观察，我看管晨辰就一个小孩性格，恶评吴柳芳是出于集体荣誉感，后来删评，可能是她助理劝导的结果。
管晨辰的集体荣誉感肯定没错，现在有一部分人否定管晨辰，是出于“未经他人苦，莫劝他人善”的同理心，以及吴柳芳账号被软封禁的缘故。
我们曾经有过运动员退役后，只能去澡堂子打工的悲剧，1994年有了规定，运动员退役后享受跟军伍退役一样的津贴和转岗，再后面的事，就各安天命了。
大家同情吴柳芳也是出于这个原因。
吴柳芳在道歉视频中说自己内向，嘴笨，但肢体协调，所以采用跳舞方式哄人开心。内向确实是前几代运动员常有的现象，有一些运动员并不擅长教职，吴柳芳很明显没能稳定下来，连她到底教了哪所学校都成了一个谜，全网查不到。
到了管晨辰这一代运动员，都很开朗自信。
目前吴柳芳30岁，管晨辰20岁。
让人感慨10年时间，体育教学方式改变了，国民+运动员全自信了，以至于管晨辰第一时间都不会感叹，这位师姐怎么沦落成这样了，要靠擦边谋生，管晨辰非常不解，生气，但现在愿意为此道歉。
估计体委的人也很困惑吴柳芳到底怎么了，命运到底有啥颠簸流离的，先软封，再调查，后调整规章制度，以应对当下这个视频自媒体时代。
体委其实很支持体育明星退役后能搞到钱，能成网红，但体面，也是体委最想追求的一个要素。",,,,,2024-11-25T20:00:56,,27545,2108,1541,,,2024-11-25 20:00:56
5104418769076620	,P1QX2C5f6,南非醉茄,,,,,2024-11-25T02:08:53,iPhone客户端,0,0,0,,,2024-11-25 02:08:53,False,5623741644,miamaja,5103560730086886	,P1uD70mBo,"答应分享给大家的南非醉茄功课
我今年最成功的一件事，就是彻底把睡眠调整过来了
从两三点都难以入睡、睡眠质量差，到现在提前了至少1－2小时，而且精力也很充沛的状态
对我来说帮助最大的内服之一就是南非醉茄，和甘氨酸镁搭配吃效果更好
但是市面上主要销售的南非醉茄，其实有很多种类型
对我来说对睡眠帮助更有作用的是S型（sensoril）晚上吃完晚饭吃，基本到了睡觉的点，人会开始自动放松
我入睡困难的原因不是玩手机，主要是情绪焦虑，经常到十一二点还会处于工作模式，脑子一直在思考停不下来，好不容易闭上眼了一丁点动静都会醒，甚至出现过直接被吓醒心脏很难受很难受的现象。
南非醉茄降低皮质醇、放松情绪的作用刚好是对症的，sensoril这个类型在一些研究中表明，也更擅长帮助入睡。
K型（KSM66）我如果晚上吃了反而会注意力过于集中，但是我经常健身的朋友更喜欢K型，早上吃晚搭配Q10一整天都很有精神，而且晚上睡眠质量也更好，第二天不会有睡不醒的疲劳感。
市面上销售的南非醉茄K型比S型更多，S型的两款对我来说区别不大，官方建议是每次两颗但是我的体重比较轻，一颗感觉也够了，这样折算下来价格也不是很高。
不是所有人都适合南非醉茄，我是因为入睡困难太厉害+褪黑素和GABA对我来说都没用，还好南非醉茄是有点用的，但它能帮助你的前提是：你主观上想睡。
单纯就是自己报复性熬夜，睡前刷手机成瘾，身体很困了，眼睛就是不闭上，强行让大脑保持清醒状态的，帮助睡眠的各种内服可能对你来说用处都不大，还得靠自律。
另外南非醉茄和绿茶、姜黄这些草本类补充剂，我个人建议尽量买大牌子+大厂原料（提取安全性有保障的比较好），如果有基础性疾病（特别是肝肾、甲状腺以及心血管类）都不建议自己服用。
醉茄和维生素鱼油不太一样，它不属于营养补充剂，如果你的睡眠慢慢调整好了，可以不用每天吃，只是偶尔情绪焦虑、工作压力大，也不需要长期吃，在你需要的时候，用它帮你一下就可以了。",,https://wx2.sinaimg.cn/large/0068AE6oly1hvv4ys4vsrj319x1p8at2.jpg,,,2024-11-22T17:19:20,HUAWEI MatePad Pro,165,46,32,,,2024-11-22 17:19:20
5104218719914550	,P1LKnFBe6,转发微博,,,,,2024-11-24T12:53:57,iPhone客户端,0,0,0,,,2024-11-24 12:53:57,False,1786909670,盼盼高高,5102432603872071	,P11hygfiL,"双11全国质价比 
【北京叶美人卡项介绍】
🎁转发抽5个宝贝平分💰500！
💥有效光电➕导师注射（濡白、丰颜低至💰6400！！
11月27号晚7：00直播
进群咨询回复【客服】👇
点击私信我
下单链接👇
网页链接
叶美人好评反馈合集：
网页链接
🎁直播间每15分钟狂送：
优惠券5000-200、10000-500、20000-800、30000-1000
叶美人是三年前就开始合作的机构
一直好评反馈非常多
也是老粉一直喊着返场的机构！
这次真的非常难沟通下来的返场！
✅精细化有效光电➕✅注射名医导师➕✅细致化1对1服务➕✅全自购仪器
🔥注射导师丁雅晴：
少女针导师、童颜针导师、菲欧曼导师！
北京我们历史导师注射最低价就是这次！
🔥新增秒杀：
黄金微针💰1580！
黄微联合卡：黄金微针+水光+舒敏+照光：💰2580！！
🔥重点卡项介绍：
1️⃣光电一卡通💰1999
欧洲之星4d面/眼：💰333 
超光子/非剥脱点阵：💰333
半岛黄金微针：💰999！！
💗叶美人的黄金微针一定要买，院内王牌品相
2️⃣变美一卡通💰3999
豪华发数超声炮：💰1999！
黄金微针面颈部+刷酸：💰1200！
嗨体祛颈纹/美国新进口/三文鱼/英诺/伊肤泉/杜莎/：💰666
💗本卡灵活度最高！
涵盖超声炮、黄金微针、欧洲之星和全品类水光！
3️⃣新年紧致卡 
经典版超声炮💰3599
黄金版超声炮💰4599
超声炮+美国新进口，一卡搞定紧致的下颌缘
年前变美必买卡！！
4️⃣抗衰一卡通💰12800
超声炮、大抗衰全、黄金微针、贵价水光一卡包揽
💥重点重点！！
叶美人注射的叶雅晴导师这次可以选择预约！
乔雅登丰颜、濡白天使只要💰6400！！！！
5️⃣导师注射卡💰36800 任选4支
再送丽驻兰黑盒/薇旖美 2️⃣支
少女针、童颜针、濡白天使、瑞蓝定采、丰颜
单支均💰6133！！#上微博学变美#",,"https://wx2.sinaimg.cn/large/6a8213e6gy1hvri6qk4jtj20u040thdu.jpg,https://wx4.sinaimg.cn/large/6a8213e6gy1hvri6v1uuyj20u0bnwqv9.jpg,https://wx3.sinaimg.cn/large/6a8213e6gy1hvricp5xlvj23401r0e82.jpg,https://wx2.sinaimg.cn/large/6a8213e6gy1hvrjcazmtrj20we1lmk03.jpg,https://wx2.sinaimg.cn/large/6a8213e6gy1hvriff8oc7j20zu1krk8k.jpg,https://wx3.sinaimg.cn/large/6a8213e6gy1hvrifhauz7j20zu1jkk65.jpg,https://wx2.sinaimg.cn/large/6a8213e6gy1hvriciugr3j20u11hcn9g.jpg,https://wx1.sinaimg.cn/large/6a8213e6gy1hvrick4ktnj20u11hc4bn.jpg,https://wx1.sinaimg.cn/large/6a8213e6gy1hvricm6hf3j212k1wohdt.jpg",,,2024-11-19T14:36:34,微博网页版,108,43,181,上微博学变美,,2024-11-19 14:36:34
