id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105820515437566	,P2rpVmOyG,"地瓜书上的评论区看到的另一起注射juvelook蓝瓶“胶原蛋白水光”后造成的结节 注射前还是用机器摇匀的
我不喜欢再生材料 更多的是不喜欢机构和博主对这些针剂的宣传 juvelook的成份是PDLLA 并不是你所理解的胶原蛋白（双美）更偏向是国内的童颜针吧 也含有一些透明质酸（HA）
当然注射传统水光有可能造成肉芽肿和色沉 但还是希望大家往脸上打东西之前 了解清楚你注射的到底是个啥",,"https://wx2.sinaimg.cn/large/0086StpSgy1hw2c55n0v2j30u01szgr8.jpg,https://wx3.sinaimg.cn/large/0086StpSgy1hw2c56v2g8j30zk0fjdh7.jpg",,,2024-11-28T22:58:55,iPhone客户端,15,12,3,,,2024-11-28 22:58:55,True
5105817313609789	,P2rkLf94p,"她现在是这样： 
查看图片",,,,,2024-11-28T22:46:12,iPhone客户端,3,1,8,,,2024-11-28 22:46:12,False,7430703464,天天都要吃泡菜,5088504677662787	,OB8ptw9rl,"地瓜书上有人去Abijou打了2cc juvelook蓝瓶+2cc Lilide水光，四个月之后馒化成这样了。
真心建议大家，无论机构怎么宣传，说是水光也好，胶原蛋白也好，童颜也好，凡是碰上含有PLLA成份的针剂，你们都得谨慎上脸，因为太不可控了。我不能否认对凹陷脸来说这是个好东西，但是这玩意利润高得吓人，机构为了升单忽悠不适合打这个材料的客户打个五支十支是常事。后果就是馒化，无尽的打“贴骨针”修复。
还有最近很多博主和机构在推的菲林普利，成分就是羟基磷灰石微球粉末哈，出厂会带一支玻尿酸作为载体。这跟十几年前在台湾流行的微晶瓷实际上是一种东西，之前主要用来隆鼻。几年前换了个名字“珊瑚粉“，医院忽悠整友用它补骨，补完出来在ct上看惨不忍睹。现在又变成了填充“内轮廓”、“收紧”的绝佳材料了。",,"https://wx2.sinaimg.cn/large/0086StpSgy1huj3fc2xllj30u01sz0zs.jpg,https://wx1.sinaimg.cn/large/0086StpSgy1huj3fhabukj30u01szdns.jpg,https://wx3.sinaimg.cn/large/0086StpSgy1huj3f8uj96j30u01sz44x.jpg",,,2024-10-12T04:11:58,iPhone客户端,100,27,70,,,2024-10-12 04:11:58
5105809305109899	,P2r7QlrjJ,再生材料来说 微晶瓷 童颜针啥的 打在身上我觉得挺好的 打脸上真的算了吧 除非超过40 严重凹陷 ,,,,,2024-11-28T22:14:22,iPhone客户端,4,6,0,,,2024-11-28 22:14:22,True
5105781348765460	,P2qoKAMio,"还有这个： 
查看图片",,,,,2024-11-28T20:23:17,iPhone客户端,7,5,1,,,2024-11-28 20:23:17,False,6866341912,减肥成功版本的柏林,5105772247127095	,P2qa4tU59,现在大部分国内鼻子医生的灵感和模版 ,,https://wx4.sinaimg.cn/large/007uGtccgy1hw26ya8zouj30zk0o8jwf.jpg,,,2024-11-28T19:47:07,iPhone 16 Pro Max,139,21,4,,,2024-11-28 19:47:07
5105443537950267	,P2hBTxme7,"大家打肉毒的时候得注意一下代偿的问题 特别是眼部除皱 眼尾眼头都要打 如果只打眼尾 鱼尾纹打没了 眼头肌肉就会越来越发达 进而长出小细纹
颞肌咬肌同理 ",,,,,2024-11-27T22:00:57,iPhone客户端,11,9,4,,,2024-11-27 22:00:57,True
5105055679907127	,P27wjFzin,hmmmmmmm//@小由越来越美了:手术室不隔音 各种机器声音 嗡嗡 蹦蹦 咔擦咔擦的 我做的是眉弓 也就四十分钟 局麻 四十分钟控制不住的发抖 🙃 这么简单的手术结果还是做的 不尽人意 🙃但我心里有阴影不会轻易修复了 太特么吓人了🙃🙃 后来有一个业内的朋友和我说 那家医院 出名的 流水线 走量 垃圾医院 我没出事就算好的了//@小由越来越美了:去过上海青浦一家渠道资源做手术 🙃一生阴影 导诊台乱的像菜市场 还有黄牛插队叫好做手术 每天能安排三十台手术 🙃 手术室门口桌子上甚至有吃剩的外卖 🙃 病服脏的全是血渍 甚至都没有一套的  一条过道两边都是手术室 都敞着门 最可怕的一幕 看见了一个医生拿着锯子咣咣的弄一个人的脸 老吓人了,,,,,2024-11-26T20:19:44,iPhone客户端,12,12,2,,"小由越来越美了,小由越来越美了",2024-11-26 20:19:44,False,7430703464,天天都要吃泡菜,5104713663776337	,P1YCGfQoF,"@凹凸曼表哥 当渠道运营当得你那么小气 给俺删评拉黑了干啥 我说的不是实话？你们上海渠道医院那个环境多乱？代理素质参差不齐 依托横行 给顾客做坏了多少人投诉无门 你好意思拉踩韩国？
就像我说的 哪里都有好的医院和不好的医院 去哪里做手术都需要睁大眼睛看清楚 权衡利弊
你不需要用耳朵“听说“韩国医院的室长穿不穿手术服进手术室 你在渠道医院工作那么久 你用眼睛看到的乱象你也说说看撒？
告诉我 你是选择性眼瞎还是间歇性失忆？",,"https://wx2.sinaimg.cn/large/0086StpSgy1hvytcdsf2yj30v90m5mz2.jpg,https://wx3.sinaimg.cn/large/0086StpSgy1hvytcfaexxj30u01szwma.jpg,https://wx4.sinaimg.cn/large/0086StpSgy1hvytcboy77j30u01sz466.jpg",,,2024-11-25T21:40:41,iPhone客户端,75,48,10,,凹凸曼表哥,2024-11-25 21:40:41
5104713663776337	,P1YCGfQoF,"@凹凸曼表哥 当渠道运营当得你那么小气 给俺删评拉黑了干啥 我说的不是实话？你们上海渠道医院那个环境多乱？代理素质参差不齐 依托横行 给顾客做坏了多少人投诉无门 你好意思拉踩韩国？
就像我说的 哪里都有好的医院和不好的医院 去哪里做手术都需要睁大眼睛看清楚 权衡利弊
你不需要用耳朵“听说“韩国医院的室长穿不穿手术服进手术室 你在渠道医院工作那么久 你用眼睛看到的乱象你也说说看撒？
告诉我 你是选择性眼瞎还是间歇性失忆？",,"https://wx2.sinaimg.cn/large/0086StpSgy1hvytcdsf2yj30v90m5mz2.jpg,https://wx3.sinaimg.cn/large/0086StpSgy1hvytcfaexxj30u01szwma.jpg,https://wx4.sinaimg.cn/large/0086StpSgy1hvytcboy77j30u01sz466.jpg",,,2024-11-25T21:40:41,iPhone客户端,75,48,10,,凹凸曼表哥,2024-11-25 21:40:41,True
5104679702759637	,P1XJUbzUh,"帮转！//@小雨迷人不眨眼:上海的白男借“身心灵按摩”之名侵害博主和其他受害女性，且他和他妻子的工作室目前还活跃在自媒体宣传11月底的活动，帮转🙏 
查看图片",,,,,2024-11-25T19:25:44,iPhone客户端,4,1,9,,小雨迷人不眨眼,2024-11-25 19:25:44,False,5995418414,Lannna-,5103990033620104	,P1FNxfbKM,"一场持续长达五年以上 一个white trash对一群中国女性的pua式猥亵和性侵……
在小红书上发布视频后听了数十个女生的相似遭遇后真的很心痛.....💔🙏🏻
任何愿意伸出援手的朋友，我们需要你！！
真的非常感谢关心我为我提供帮助的朋友人也很感谢多家媒体记者帮我报道跟进，现已有数十名受害者愿意站出来举报，希望相关部门能介入，正义虽迟但到🙏🏻🙏🏻( 更多视频信息小红书🍠:Lanna昕昕）#上海按摩# 
上海
 
Lannna-的微博视频",,,"https://f.video.weibocdn.com/o0/R6n5L5Itlx08jORpZJi001041204bWPd0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732872928&ssig=drDPw77UVi&KID=unistore,video",上海,2024-11-23T21:45:14,iPhone客户端,22851,1239,5360,上海按摩,,2024-11-23 21:45:14
5104622427444619	,P1WfwveGv,回复@加州米米约会版:别人把宁当依托的证据曝光了 宁一边在主页里岁静 一边暗戳戳跑去素人评论区犯🗡️ 是怎么回事？不能理解//@加州米米约会版:你焦虑的应该是你的ip 不是你的脸,,,,,2024-11-25T15:38:09,iPhone客户端,31,7,1,,"加州米米约会版,加州米米约会版",2024-11-25 15:38:09,False,7962564912,龙虾片大王宰猪版,5103134878207563	,P1jyfyra3,"有些所谓整圈博主存在的唯一意义就是缓解本人的容貌焦虑
 ",,,,,2024-11-21T13:07:09,iPhone客户端,79,8,6,,,2024-11-21 13:07:09
5104056616091802	,P1HwVpyKS,是的 但是上镜来说 还是那种被眉骨和眶骨包住的眼睛更好看 眼睛像宝石一样镶在眼窝里//@Beeenotfat:因為大眼很多都是凸眼，墊了眉骨眼窩深邃，眼球凹進去，眼睛視覺上就沒有凸出來顯得大,,,,,2024-11-24T02:09:48,iPhone客户端,10,0,1,,Beeenotfat,2024-11-24 02:09:48,False,7834232382,小鹿Violeta,5103995245040103	,P1FVWl99Z,为什么她do了眉弓眼睛反而变小了感觉？啥原理。。 ,,"https://wx1.sinaimg.cn/large/008ybDIOgy1hvwiumoxyij30xi20u47y.jpg,https://wx3.sinaimg.cn/large/008ybDIOgy1hvwiumcsyfj30xi20u7bs.jpg",,,2024-11-23T22:05:57,iPhone客户端,6,10,4,,,2024-11-23 22:05:57
