id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105648587508076	,P2mWCvvc0,"这是事实
//@牙医小小徐:昨天问一个上海牙医，“为什么杭州成了牙科培训的热门城市而不是上海？” 回答：上海贵",,,,,2024-11-28T11:35:44,iPhone 13 Pro,1,0,0,,牙医小小徐,2024-11-28 11:35:44,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105403517734228	,P2gzlws1C,"回复@山西新绛健齿口腔-郝小军:谢谢
//@山西新绛健齿口腔-郝小军:",,,,,2024-11-27T19:21:55,iPhone 13 Pro,0,0,0,,"山西新绛健齿口腔-郝小军,山西新绛健齿口腔-郝小军",2024-11-27 19:21:55,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105403463991870	,P2gzggKt0,"回复@小刘已打烊:不想绝版，但是有时候没办法，随缘吧
//@小刘已打烊:吕老师不能绝版啊",,,,,2024-11-27T19:21:41,iPhone 13 Pro,1,0,0,,"小刘已打烊,小刘已打烊",2024-11-27 19:21:41,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105403233568140	,P2gyTeYeE,"回复@许桐楷:谢谢许老师
//@许桐楷:
绝版三天课程",,,,,2024-11-27T19:20:47,iPhone 13 Pro,0,0,0,,"许桐楷,许桐楷",2024-11-27 19:20:47,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105299459675936	,P2dRvEB9u,"回复@牙医赖俊强:下个月见哈
//@牙医赖俊强:吕老师，报了您12月的深圳美学树脂课，期待老师的干货输出",,,,,2024-11-27T12:28:26,iPhone 13 Pro,0,0,0,,"牙医赖俊强,牙医赖俊强",2024-11-27 12:28:26,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105294294910481	,P2dJbkBrj,//@根管达人:像是七老八十了,,,,,2024-11-27T12:07:54,iPhone 13 Pro,0,0,0,,根管达人,2024-11-27 12:07:54,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105230614365643	,P2c4tijHB,"回复@草根诗人:哈哈，就服你
//@草根诗人:三天课程虽短暂，微创理念永流传。",,,,,2024-11-27T07:54:52,iPhone 13 Pro,1,0,0,,"草根诗人,草根诗人",2024-11-27 07:54:52,False,1075732170,天津牙医吕春阳,5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47
5105224555693058	,P2bUHnT1w,今年最后一次3天的课程，能够把我自己对微创的理念包括直接间接的理解表达清楚的课程，估计明年大概率不会有三天的课程了，年纪大了3天有点顶不住了[破涕为笑]，地点杭州，主办方牙朮[抱拳][抱拳][抱拳] ,,https://wx4.sinaimg.cn/large/401e5ecaly1hw0g1pdrttj20u03br7po.jpg,,,2024-11-27T07:30:47,iPhone 13 Pro,11,14,13,,,2024-11-27 07:30:47,True
5104210473911364	,P1Lx5gpww,道邦真不错，临床需要什么就生产什么套装，这又出了活髓切段套装和取分离器械套装[强][强] ,,"https://wx4.sinaimg.cn/large/401e5ecaly1hvx7kxde2qj21k80sjajl.jpg,https://wx1.sinaimg.cn/large/401e5ecaly1hvx7kxq3hdj22f31d5awf.jpg,https://wx1.sinaimg.cn/large/401e5ecaly1hvx7kygut1j22c0340e81.jpg,https://wx4.sinaimg.cn/large/401e5ecaly1hvx7kz8zonj22c0340e81.jpg,https://wx3.sinaimg.cn/large/401e5ecaly1hvx7l03vpmj22c0340e81.jpg,https://wx4.sinaimg.cn/large/401e5ecaly1hvx7l0z26sj22c0340kjl.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000gw3GSjx08jPQfhpfO0f0f0100lwSz0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002yt2x4jx08jPQfpuAU0f0f0100kKda0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002SlMR0jx08jPQfydtB0f0f0100rvK40k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004ecrRAjx08jPQfHl4A0f0f0100mgJS0k01.mov,,2024-11-24T12:21:11,iPhone 13 Pro,59,2,4,,,2024-11-24 12:21:11,True
5103146660269735	,P1jRg18az,,,,,,2024-11-21T13:53:58,iPhone 13 Pro,0,2,0,,,2024-11-21 13:53:58,False,2698975692,渊ZP,5102829677053128	,P1bBZtAQ8,"#这是一条抽奖微博#总要有第一次
，抽奖送12本新书中文版《口腔修复和重建中的功能𬌗学》
关注转发即可
截止时间：11月22日22点@牙医DrZhou @牙医编辑 @同济大学口腔医院刘伟才 @北京牙医苏建宏 @牙医小小徐 @老毛板 @天津牙医吕春阳 @西安牙医亓 @正畸牙齿德泓万敏 @巴掌大_若只如初见 @北京牙医_胡璐璐 @东田阿姨 @Dory_Du @儿童牙医丁香梧桐 @甘宁Ganning @光华老蒋 @浩华牙医超人 @黄懽DrHUANG @厦门牙医陈国洋 @天津牙医吕春阳 @显微牙医 @牙齿美容微笑设计师黎曙光 @亚明牛仔 @牙医刘宇 @牙医思无邪 @牙医张林-遵义铂菲口腔 @牙周-宝盖丁 @重医口腔种植科白石 @周薇娜医生 @坐堂牙医孙鹏 
抽奖详情",,"https://wx2.sinaimg.cn/large/a0df19ccly1hvst07157fj21400u0qbu.jpg,https://wx3.sinaimg.cn/large/a0df19ccly1hvst07doqyj20u0140dkx.jpg,https://wx4.sinaimg.cn/large/a0df19ccly1hvst03agwrj20xm0u0afj.jpg",,,2024-11-20T16:54:23,微博轻享版,58,142,421,这是一条抽奖微博,"牙医DrZhou,牙医编辑,同济大学口腔医院刘伟才,北京牙医苏建宏,牙医小小徐,老毛板,天津牙医吕春阳,西安牙医亓,正畸牙齿德泓万敏,巴掌大_若只如初见,北京牙医_胡璐璐,东田阿姨,Dory_Du,儿童牙医丁香梧桐,甘宁Ganning,光华老蒋,浩华牙医超人,黄懽DrHUANG,厦门牙医陈国洋,天津牙医吕春阳,显微牙医,牙齿美容微笑设计师黎曙光,亚明牛仔,牙医刘宇,牙医思无邪,牙医张林-遵义铂菲口腔,牙周-宝盖丁,重医口腔种植科白石,周薇娜医生,坐堂牙医孙鹏",2024-11-20 16:54:23
