id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106097181168553	,P2yCa4TZD,"这是司令的伙食吗，那我一般晚上吃的快餐比司令丰盛点 
评论配图",,,,,2024-11-29T17:18:17,微博网页版,1,3,1,,,2024-11-29 17:18:17,False,6296012395,猪霸苍穹,5106003739937134	,P2wbrFH6m,本子用餐时间#烽火问鼎计划##新星闪光计划##军粮# ,,"https://wx3.sinaimg.cn/large/006S5qr1gy1hw2xjg9efpj33402c01l1.jpg,https://wx2.sinaimg.cn/large/006S5qr1gy1hw2xjdwjgvj30zk0nsq4s.jpg,https://wx4.sinaimg.cn/large/006S5qr1gy1hw2xjduvbij30zk0nt76e.jpg,https://wx2.sinaimg.cn/large/006S5qr1gy1hw2xjdwpbzj30zk0nsacy.jpg,https://wx4.sinaimg.cn/large/006S5qr1gy1hw2xjdwx0zj30zk0nr0vk.jpg",,,2024-11-29T11:06:59,微博网页版,1,4,3,"烽火问鼎计划,新星闪光计划,军粮",,2024-11-29 11:06:59
5106092069619920	,P2ytUEmA0,"暴论：小巴或许打一场内战，卷出一个强力的政治团体来，才可以实现真正的不散装
他们没有打过自己的解放战争",,,,,2024-11-29T16:57:58,微博网页版,0,0,0,,,2024-11-29 16:57:58,False,5528109788,南亚研究通讯,5106077479209745	,P2y6nCDSh,"巴基斯坦政府大规模镇压巴大型政治抗议游行活动，致至少8人死亡，近千人被捕
路透社、《黎明报》11月27日报道，巴基斯坦政府大规模镇压巴大型政治抗议游行活动，致至少8人死亡，近千人被捕。11月，巴前总理伊姆兰·汗领导的巴基斯坦正义运动党（PTI）组织“最后的呼唤”大规模抗议游行，要求巴政府释放伊姆兰并引咎辞职。
11月25日，游行队伍抵达巴首都伊斯兰堡，引发市中心大规模骚乱，数百人受伤。11月26日，巴安全部队对游行队伍展开突袭镇压，引发大规模对抗，超600人被捕。伊斯兰堡警察局长透露，自11月24日游行以来，已有954人被捕，数百人受伤。
目前，PTI已宣布暂停抗议，但巴政府“武力镇压”引发国际社会普遍关切。美议员和国际特赦组织均呼吁释放伊姆兰，并谴责巴政府的暴力镇压行为，特别是特殊情况下的“见人开枪”令。美多名议员表示，巴政府此举企图“压制民主和人权”，其赞扬巴人民为选举公正和司法公正抗议，并呼吁巴政府恢复和平，保障抗议者基本权利。#海外新鲜事# #微博新知# 
南亚",,https://wx1.sinaimg.cn/large/00627nT6ly1hw2v2iz8gwj30le0eathf.jpg,,,2024-11-29T16:00:00,微博网页版,5,1,2,"海外新鲜事,微博新知",,2024-11-29 16:00:00
5106045322789212	,P2xgwbHBi,正视听//@大王披头散发:转发微博,,,,,2024-11-29T13:52:12,微博网页版,2,0,0,,大王披头散发,2024-11-29 13:52:12,False,1830834613,徐德智在UN,5105949136388786	,P2uLnqO0W,"这两天真的遭到水军疯狂攻击，还有一些一看就不对劲的人对我疯狂输出，那行，谁让我就是要坚持事实的人呢？我们再来聊聊加沙有没有中国人质，这次，我把以色列说的 251 名被绑架人质的名单全部公开给你们，欢迎大家自己去搜索、核实。黑的，不会被你们说成白的，就算被网暴，我也要告诉你事实。#央视记者辟谣网传中国人在加沙被扣# #向水军说不# #巴以冲突# 
美国·联合国总部大楼
 
徐德智在UN的微博视频",,,"https://f.video.weibocdn.com/o0/vptQwypulx08jXf3YRzy01041201u5bj0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732877344&ssig=CMOsQHQbMP&KID=unistore,video",美国·联合国总部大楼,2024-11-29T07:30:01,微博视频号,5673,508,450,"央视记者辟谣网传中国人在加沙被扣,向水军说不,巴以冲突",,2024-11-29 07:30:01
5106042558220747	,P2xc3yuAH,社会主义确保人始终是人，不变成什么其他动物,,,,,2024-11-29T13:41:14,微博网页版,11,0,2,,,2024-11-29 13:41:14,False,1930723113,Jokielicious,5106023671268707	,P2wHB5k31,"美国人和伊拉克人在中国高高兴兴吃饭是一种我希望的世界的具体表现
 ",,https://wx4.sinaimg.cn/large/73147f29ly1hw2zt7kaj3j211q0o67kc.jpg,,,2024-11-29T12:26:11,微博网页版,1256,66,69,,,2024-11-29 12:26:11
5106041792758853	,P2xaPbzHD,怎么做才让运气更眷顾自己，在其他准备工作齐全、只需一点运气的时候就恰好也能遇到运气，或者说为一阵大概率刮起来的风事先准备好风筝，那是大本事,,,,,2024-11-29T13:38:12,微博网页版,3,0,1,,,2024-11-29 13:38:12,False,2957171103,色甘酸本色,5106036476742441	,P2x2fsi13,历史的正反两面教训要结合起来看。老人家的胜利有些人不服气，认为是运气，是权谋，他们不肯相信信仰，相信实事求是的真理，他们自己天天琢磨阴谋论，所以认为别人能成功就是阴谋诡计。我们可以看一个反面教材，看看搞阴谋诡计是怎么输掉全部的。章国涛是年少有为，意气风发，二十多岁参加一大当主持人，是何等不可一世。章国涛口才极佳，在什么时候都有强大的鼓动能力。懋功会师以后，他借势压人，要到了大权。但这样的人，毫无信仰，被捕以后出卖了李大钊。毫无分析局势的能力，要在贫困山区占山为王。躲起来不去与倭本敌人对抗，而是想着哪天阔民堂势力弱了再出来打。他的阴谋手段极多，笼络了一批人，但更多的人反对他，斗争他。他动不动就杀害反对他的同志，而不能靠辩论和事实来说服同志。可以说，章国涛在一切道路中，他总是选择很容易的路，与老人家走的是截然相反的两条路。章国涛的失败是非常具有启发性的，值得认真去学习反思。哪些人说什么靠权谋诡计才能取胜，那你要小心了，是不是走到邪路上去了。,,,,,2024-11-29T13:17:04,微博网页版,133,14,15,,,2024-11-29 13:17:04
5106013491167890	,P2wrb4TOW,“除非待遇给足”,,,,,2024-11-29T11:45:43,微博网页版,4,0,0,,,2024-11-29 11:45:43,False,5666811389,寻鸭,5106008001615087	,P2wik6M9N,兽人永不为奴！ ,,"https://wx4.sinaimg.cn/large/006bvmvHgy1hw2y0ikjbqj30u0140n1d.jpg,https://wx1.sinaimg.cn/large/006bvmvHgy1hw2y0jl8zqj30u0140gqu.jpg,https://wx1.sinaimg.cn/large/006bvmvHgy1hw2y0i2y8dj30u01400y0.jpg,https://wx4.sinaimg.cn/large/006bvmvHgy1hw2y0kaeanj31900u0th7.jpg,https://wx1.sinaimg.cn/large/006bvmvHgy1hw2y0j3bujj31400u0tdy.jpg,https://wx4.sinaimg.cn/large/006bvmvHgy1hw2y0krn31j30u50u077e.jpg,https://wx2.sinaimg.cn/large/006bvmvHgy1hw2y0n9emvj30u0140wkb.jpg,https://wx3.sinaimg.cn/large/006bvmvHgy1hw2y0lyt4hj31400u0th3.jpg,https://wx1.sinaimg.cn/large/006bvmvHgy1hw2y0l8mqgj30xc0m540j.jpg",,,2024-11-29T11:23:55,,15,6,3,,,2024-11-29 11:23:55
5105996840830341	,P2w0k3u0B,“这里是不同文明联盟全球论坛，以色列代表你走错了，你要去的是不文明联盟全球论坛”,,,,,2024-11-29T10:39:34,微博网页版,1,0,1,,,2024-11-29 10:39:34,False,1671109627,包容万物恒河水,5105996449448411	,P2vZGDDXJ,"🔻以色列前外长被驱逐出联合国论坛。
🔻据阿尔及利亚新闻社报道：由阿尔及利亚国务部长、外交与海外侨民部长兼非洲事务部长艾哈迈德-阿塔夫率领的阿尔及利亚代表团，周二成功地将以色列前外长齐皮-利夫尼驱逐出在葡萄牙卡斯卡伊斯市举行的第10届联合国不同文明联盟（UNAOC）全球论坛。
🔻此前，阿尔及利亚外交部长艾哈迈德-阿塔夫（Ahmed Attaf）对利夫尼居然能够出席论坛表示惊讶，因为“该论坛是为了团结了相信文明对话与和平共处的人民”。 #黎巴嫩人得知停火回家大堵车#",,"https://wx2.sinaimg.cn/large/639b1bfbly1hw2kaptg8fj20zk0k0gms.jpg,https://wx2.sinaimg.cn/large/639b1bfbly1hw2k9z6lbxj20wc11cqij.jpg","https://f.video.weibocdn.com/o0/bfpDROcklx08jXe9Yzsc01041200mCcC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732877368&ssig=f9cdyBQxU%2F&KID=unistore,video",,2024-11-29T10:38:01,微博网页版,464,23,37,黎巴嫩人得知停火回家大堵车,,2024-11-29 10:38:01
5105987984033437	,P2vM2gVhr,成为社畜以后没有了锐气//@实话实说西恩恩:一脸委屈：黑墨盒没墨了,,,,,2024-11-29T10:04:22,微博网页版,16,7,4,,实话实说西恩恩,2024-11-29 10:04:22,False,1017668561,宽容公正麦卡锡,5105964550457980	,P2vaf1V8M,"面目和善虎
 
宽容公正麦卡锡的微博视频
 ",,,"https://f.video.weibocdn.com/o0/PvBIhSPPlx08jXyUJU8M010412006r8R0E010.mp4?label=mp4_ld&template=360x636.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732877366&ssig=54nJza6Swr&KID=unistore,video",,2024-11-29T08:31:16,Nokia8810 Android,20,8,18,,,2024-11-29 08:31:16
5105986819852304	,P2vK9Fl28,好耶，可以不买了,,,,,2024-11-29T09:59:45,微博网页版,3,6,1,,,2024-11-29 09:59:45,False,6244553417,今日俄罗斯RT,5105985624477411	,P2vIeiMMj,"【#优衣库创办人称未使用新疆棉#】11月28日，据英国广播公司（BBC）报道，优衣库创办人（迅销集团首席执行官）柳井正受访时表示，优衣库在产品中并未使用来自中国新疆维吾尔自治区的棉花。这是该集团首次正面回应该话题。
柳井正称，此前拒绝确认或否认优衣库服装中是否使用了新疆棉，是希望“在美国和中国之间保持中立”。#优衣库创始人表态不使用新疆棉##优衣库# 
今日俄罗斯RT的微博视频",,,"https://f.video.weibocdn.com/o0/32jcnZ6Xlx08jXDAesM80104120032L60E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732877368&ssig=%2F1g63%2Bcdr9&KID=unistore,video",,2024-11-29T09:55:00,微博视频号,817,148,55,"优衣库创办人称未使用新疆棉,优衣库创始人表态不使用新疆棉,优衣库",,2024-11-29 09:55:00
5105984810258648	,P2vGV15hK,觉得擦边不好，最根本的办法是对这一类行为开刀，比如放任的平台和推动的MCN，逮着她个人来薅的话，只影响得到她个人,,,,,2024-11-29T09:51:46,微博网页版,4,0,0,,,2024-11-29 09:51:46,False,1194868525,张颐武,5105983495868925	,P2vENoCM5,"关于前体操运动员吴柳芳的事情，现在的讨论也是正常不过的。有觉得她跳舞跳的好的，也有觉得跳得不好的，有认为是正常的，也有认为是相对不够高雅的。这些都是正常的。至于说“擦边”，说法其实非常模糊，没办法界定，说不出个所以然来。大概是说有一种不良的诱惑的感觉。但这就难以说清了，有媒体说这说法是把吴跳舞“污为”“擦边”，这就是说这种指控指责不对，是不好的说法。当然也有支持这种指责的。但这说法确实没法界定，舞蹈等里面的各种因素都很复杂，这种没法界定的说法当然有暗示她跳舞有某种不良企图的意味，但也确实说不清楚。
目前看，这事情大家一致认为没有触犯法律，不属于法律管辖的范畴。就是厌恶吴柳芳的人也是这么看的。这大概是清晰明确的。至于是否违反公序良俗，似乎也没有人真正正面指责，认定她就是违反社会的价值准则。也就是这件事就是大家讨论她的跳舞好不好，是否可以提高。这就是大家议论一下的事情。有人认为应该不许她跳舞，更荒诞的事居然有人要求体育管理部门来管理，这就莫名其妙了。吴早就离开体育领域了，跟体育管理部门没有任何关系。这事情体育管理部门如何管理一个和他们根本不相干的人。她在网上跳舞，如犯法有法律调节，如有问题有平台制约约束，有公众议论，如生活中有问题，也是其他相关部门管理。这和体育管理部门没有任何关联，他们当然没办法介入。
她的跳舞格调高不高，是否需要提高，当然是应该讨论的。她跳舞，有人看不惯，也是一种标准，太多人看不惯，她也就跳不下去。现在是有人不喜欢，有人还挺认可。有人说比较俗，有人看着还觉得有活力，这就是社会讨论议论的事情，社会并无共识，也不违法，不违反公序良俗，就跳无妨。当然应该提高，当然可以引导，这都很好。但这也就是一种属于“中性”的社会存在。大家议论要求，各种讨论都正常，但要求她不许跳舞，就逾越了界限。或者说以前是运动员就不许跳舞，也没有道理，世界上的各种职业都不低人一等，也不特别高人一等，每个职业都有社会需要，运动员当然是好的职业，但诸如打扫卫生家政服务员，也是为社会做贡献，不能说当过家政服务员就不能在网上跳舞，同理也不好说做过运动员就不能跳舞。这些议论都不是很切实的。
讨论她跳得好不好，要求她提高都是太正常的，严厉批评她也没问题，但说不许她跳舞，就逾越了界限。她有跳舞的权利，即使这种舞蹈没有达到更好的水准。当然公众也有议论的权利，要求她跳得更好，或者觉得她跳得不好都正常不过。这样议论议论也是好事情。",,,,,2024-11-29T09:46:33,微博网页版,43,73,11,,,2024-11-29 09:46:33
