id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105784853630345	,P2qupfepX,不管怎么样，支持这几个小女孩！,,,,,2024-11-28T20:37:12,iPhone 16 Pro Max,3,0,1,,,2024-11-28 20:37:12,False,5601400969,-Bruh,5105774337197782	,P2qdructg,"#Newjeans宣布解约# NewJeans紧急记者会内容
1. 最快将于29日凌晨开始解除与HYBE和ADOR的专属合同
2. 不支付违约金 因为并无做出任何违约行为
3. 今晚过后 NewJeans团名或许无法再使用 
但将拼力争取回这个名字
4. 如果可以的话 想要和闵熙珍一同共事工作 
5. 合约内已有的既定行程将会如期进行
-Bruh的微博视频",,,"https://f.video.weibocdn.com/o0/uhxqzuyllx08jWIR5X3a01041200xwNm0E010.mp4?label=mp4_720p&template=1244x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732804646&ssig=Tdj1ejo6UY&KID=unistore,video",,2024-11-28T19:55:25,微博视频号,38177,1014,3057,Newjeans宣布解约,,2024-11-28 19:55:25
5105784237066432	,P2qtptEiI,这是jiafei的妹妹jiahui ^_^ ,,https://wx3.sinaimg.cn/large/006JlK2agy1hw28bx8qdtj30u00u0tdh.jpg,,,2024-11-28T20:34:45,iPhone 16 Pro Max,7,5,0,,,2024-11-28 20:34:45,True
5105672178110869	,P2nyFy20t,我有爆炸的分享欲，很害怕孤独，但我又没有太多朋友，其他地方随便讲话又容易被放大纠错抓典型，所以我只能每天在这里分享自己，我是行走的矛盾体，有时候脆弱多数时候自恋很神经但也真的有很多爱。我真心的感谢有人看到我的一切，接不接纳我无所谓，能看到就好了。 ,,,,,2024-11-28T13:09:29,iPhone 16 Pro Max,93,37,3,,,2024-11-28 13:09:29,True
5105660969357992	,P2ngADgrm,倩碧这个happy香水闻了真的会很happy 最近每天都喷因为我想要身边人都很happy ,,https://wx3.sinaimg.cn/large/006JlK2agy1hw1u5x2xndj33b04eohdv.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003y4Iyngx08jWe4C44o0f0f0100glro0k01.mov,,2024-11-28T12:24:56,iPhone 16 Pro Max,15,2,0,,,2024-11-28 12:24:56,True
5105653095338147	,P2n3TmoH9,喜报！我看到我米诺长得绒毛了！！！ ,,,,,2024-11-28T11:53:39,iPhone 16 Pro Max,5,7,0,,,2024-11-28 11:53:39,True
5105626928122866	,P2mnGy57Y,天，我第一次吃这个洪瑞珍 太好吃了吧？ ,,"https://wx3.sinaimg.cn/large/006JlK2agy1hw1q9hjh64j30u01hcwp9.jpg,https://wx4.sinaimg.cn/large/006JlK2agy1hw1q9jntwmj33b04eonpf.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000qUjDCgx08jW4MFeVx0f0f01006wVr0k01.mov,,2024-11-28T10:09:40,iPhone 16 Pro Max,8,6,0,,,2024-11-28 10:09:40,True
5105621727186946	,P2mfiu9Eu,这个世界能多一点爱，尊重，理解吗？要求不高就一点点。拜托了！ ,,,,,2024-11-28T09:49:00,iPhone 16 Pro Max,25,4,2,,,2024-11-28 09:49:00,True
5105621138934928	,P2melBunK,如果是真的我明年不想赚钱了我就跟巡演了,,,,,2024-11-28T09:46:40,iPhone 16 Pro Max,4,1,0,,,2024-11-28 09:46:40,False,1974479903,BeyonceKnowlesCarter,5105542057951666	,P2kaNxmAG,"碧昂丝即将公布全新巡演⁉️
据HDD爆料，Beyoncé即将在圣诞NFL中场表演后宣布全新一轮世界巡演！
Beyonce
 ",,"https://wx4.sinaimg.cn/large/75b02c1fgy1hw1gh6r3qaj21jk2237wh.jpg,https://wx4.sinaimg.cn/large/75b02c1fgy1hw1gi1zco7j23342ennpd.jpg,https://wx4.sinaimg.cn/large/75b02c1fgy1hw1gi880x2j20u011in5u.jpg",,,2024-11-28T04:32:26,Beyonce超话,190,39,17,,,2024-11-28 04:32:26
5105617857680289	,P2m93wdZD,"我一年听了2000多次Ariana
 ",,"https://wx3.sinaimg.cn/large/006JlK2agy1hw1p7d3f24j310o27ob29.jpg,https://wx4.sinaimg.cn/large/006JlK2agy1hw1p7cdhqaj310o27o7wh.jpg",,,2024-11-28T09:33:38,iPhone 16 Pro Max,16,10,0,,,2024-11-28 09:33:38,True
5105488339404715	,P2iM9DsAX,我真的崩溃了,,,,,2024-11-28T00:58:58,iPhone 16 Pro Max,4,0,87,,,2024-11-28 00:58:58,False,5609896682,诸暨流浪动物之家,5103565935479511	,P1uLvmZtd,"发现杭州萧山楼塔特大狗肉屠宰场！急需大量志愿者個志愿者发现一辆载满狗狗的狗车，其中还有不少品种狗，跟随狗车发现了特大屠宰场！
目前急需大量志愿者，狗贩子们甚至当着志愿者和执f者的面屠S小狗并且剥p！！
现场志愿者已经报警，白天各部门领导辛苦前往了现场
协助了屠夫让卖家拉走了白条狗
为动物发声#拒绝食用伴侣动物# 
杭州·楼塔古镇
 
诸暨流浪动物之家的微博视频",,,"https://f.video.weibocdn.com/o0/E8i222Nclx08jN0hCLsA01041200kjyc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732804664&ssig=H5UWhgsLx9&KID=unistore,video",杭州·楼塔古镇,2024-11-22T17:40:01,iPhone客户端,4476,1137,4370,拒绝食用伴侣动物,,2024-11-22 17:40:01
5105430142916854	,P2hgiceO2,又吃… ,,https://wx3.sinaimg.cn/large/006JlK2agy1hw13nwrb54j32c0340u0y.jpg,https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001zZzGPgx08jVd5isWP0f0f01009WCf0k01.mov,,2024-11-27T21:07:43,iPhone 16 Pro Max,9,4,0,,,2024-11-27 21:07:43,True
5105379107409293	,P2fVYv5uJ,"这个为什么这么准？ 
好喜欢黄金百香果的微博视频
 ",,,"https://f.video.weibocdn.com/o0/f3JVQdTvlx08jUZ9IKek010412004Ejo0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804674&ssig=VuGgclas95&KID=unistore,video",,2024-11-27T17:44:55,微博视频号,15,11,0,,,2024-11-27 17:44:55,True
