id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106044479734243	,P2xf9EQjV,转发微博,,,,,2024-11-29T13:48:51,iPhone客户端,0,0,0,,,2024-11-29 13:48:51,False,6731595793,小琪审美功课,5105996668340069	,P2w02yZDf,"颧弓内折叠度
面诊可以问的看这个：
网页链接
颧突点：颧骨在面部的最高点，撑起眼皮下方的皮肉
面后点：和颧突点在一个平面上
划重点：颧突点和面后点重叠度/离得越近，上半张脸折叠度越高。
以我的头颅ct为例，图一。
折叠度低颧骨低颧弓不发达脸会宽平（大s，图二）
折叠度过高颧骨高颧弓外扩（刘涛，图三）
折叠度高有颧骨但不过高颧弓内收（章子怡，图四）
各个医院折叠度对比（图五）
⚠️但素，原辰的朴钟哲写过一篇文章：大致是软组织会随着骨骼回弹大概是60%。比如骨头推5，软组织回弹5，实际上缩窄就是5（相当于肉全贴回来了）。但是通常情况可能是推了5，软组织只弹回来了3，实际上缩窄就是3。极端情况就是推了5，但软组织没有回弹，造成空腔。
所以ct的区别在皮肉覆盖之后到底能表现出多少也是个迷。",,"https://wx1.sinaimg.cn/large/007lz5zHgy1hw2wk1rb4ej30qy1euwun.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2wof3w38j30si120gpl.jpg,https://wx4.sinaimg.cn/large/007lz5zHgy1hw2wofg3wfj30yi1a4qap.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2wofwrlzj30wi14stda.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hw2xfmxi5pj315o49kkhy.jpg",,,2024-11-29T10:38:53,iPhone 15 Pro,3,1,3,,,2024-11-29 10:38:53
5102769783966553	,P1a3ogDSF,转发微博,,,,,2024-11-20T12:56:24,iPhone客户端,0,0,0,,,2024-11-20 12:56:24,False,7676089562,奶油油芽芽,4921587993675610	,N93Blfqc2,"最理想的比较极致的轮廓手术医院搭配组合：
1⃣️ 颧骨原丽珍老吴➕下颌mdy/cooki/女神；
2⃣️颧骨巴诺老吴➕下颌mdy/cooki/女神。
然后术前脸肉的先面吸，术后再吸。 ",,,,,2023-07-09T13:44:39,iPhone 14,54,15,22,,,2023-07-09 13:44:39
5102769671768259	,P1a3d7q0j,转发微博,,,,,2024-11-20T12:55:57,iPhone客户端,0,0,0,,,2024-11-20 12:55:57,False,6259444586,运运多喝水,5050230720956450	,Ol4Ji40OC,"更篇韩国轮廓功课。
包含，轮廓手术和基础的讲解，面诊过的医院（p78），我的手术经历。还有一些心得吧。
面诊记录（slt。wmj。bnbq。cooki。mdy。njh。fl。爱宝。女神。芭堂。）
没做过的医院我不知道具体如何，有宝子姐妹哪家做过可以评论留言，给其他人一个参考
我本人是做过三次轮廓手术。
在这里我先骂我自己
。最初19年我不应该跟风去做轮廓，主要是长胖后以及面吸带来的软组织问题，轮廓后根本出不来效果，只会加重松垂泡！其次，我没有很明显的手术特征，我属于阔面宽关节配配轻骨量的下颌角下巴。不必着急做应该等，等到更好的技术，稳定审美和确定最终方案后再去做。这样不用受这么多罪！但也没给我留下不能解决的问题，不像对之前的脂肪和私密手术那么恨！！
19。挺多人知道的一家。颧骨下颌角，6.5w。
整体其实不能说差，就是没有给我推进去，颧弓后端也没卡进去...下颌角轻微不对称，在能接受的范围。软组织确实有点吓人，浮肿不贴骨下垂感，后续靠光电注射解决了大部分，比面吸带来的问题好解决多了。我看到过他家的神仙案例，也看到过没什么变化的。
22。wmj老吴。颧骨二推，6.5w。
网页链接
做这个手术前我就知道他很多黑料了，我当时非常害怕但我阔面想做，就做了很多准备，我不谢医生，谢师傅和运势。我自己整个手术过程就是蛮顺利的，效果也可以，没有凹陷，脸也进去了，到达了我的极限。
但是！！因为他黑料确实不少！！！不推荐！！也不劝退，我自己也做了... 你们考虑清楚啊。
23。slt。颏成型/下巴前进。3w。
网页链接
精细化的调整其实比较难，不像症状明显的对比强烈，而且非常看重细节 更考验医生的刀工和熟练度。我是轻微后缩，v前进并且调整了下巴的轻微歪斜问题。做完就是，精致了 下巴短了点点翘度正好。即刻朋友就这么说，我已经做完一年了。
个人的一些心得。
不是所有人都需要做轮廓或者耳前骨这个术式。这几年看互关的博主做完，不满意的一大片，你们自己去搜吧。有些基础好的做完反而变丑，凹陷，高光点消失看着奇怪。自己考虑清楚到底需不需要做。另外阔面没办法变窄面的，框架决定上限。
还有我在现实中见过，正常术式也能推进去后端很平整的颧骨颧弓，你们看ct后端卡进去就足够了。其他大部分医生也这么认为，比较安全能拆钉不凹陷。
轮廓前后都必须弄软组织，保持轻薄的状态术后浮肿泡下垂感会低很多，术后做软组织处理整体效果会更明显。",,"https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zwot8y0j30yi22ramv.jpg,https://wx2.sinaimg.cn/large/006PBZtEgy1hr4zrqcbx9j30xc3bjkip.jpg,https://wx4.sinaimg.cn/large/006PBZtEgy1hr4zrpaik8j3140272amz.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zrnjnw9j30yi2dr181.jpg,https://wx2.sinaimg.cn/large/006PBZtEgy1hr4zrolh6hj31402lt7t0.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zzs0akqj30u01407av.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zrn1wopj30yi3531dq.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zrmhksxj30yi43o1kx.jpg",,,2024-06-28T13:24:55,,198,35,160,,,2024-06-28 13:24:55
5102769425880381	,P1a2OoFKR,转发微博,,,,,2024-11-20T12:54:59,iPhone客户端,0,0,0,,,2024-11-20 12:54:59,False,6259444586,运运多喝水,5050230720956450	,Ol4Ji40OC,"更篇韩国轮廓功课。
包含，轮廓手术和基础的讲解，面诊过的医院（p78），我的手术经历。还有一些心得吧。
面诊记录（slt。wmj。bnbq。cooki。mdy。njh。fl。爱宝。女神。芭堂。）
没做过的医院我不知道具体如何，有宝子姐妹哪家做过可以评论留言，给其他人一个参考
我本人是做过三次轮廓手术。
在这里我先骂我自己
。最初19年我不应该跟风去做轮廓，主要是长胖后以及面吸带来的软组织问题，轮廓后根本出不来效果，只会加重松垂泡！其次，我没有很明显的手术特征，我属于阔面宽关节配配轻骨量的下颌角下巴。不必着急做应该等，等到更好的技术，稳定审美和确定最终方案后再去做。这样不用受这么多罪！但也没给我留下不能解决的问题，不像对之前的脂肪和私密手术那么恨！！
19。挺多人知道的一家。颧骨下颌角，6.5w。
整体其实不能说差，就是没有给我推进去，颧弓后端也没卡进去...下颌角轻微不对称，在能接受的范围。软组织确实有点吓人，浮肿不贴骨下垂感，后续靠光电注射解决了大部分，比面吸带来的问题好解决多了。我看到过他家的神仙案例，也看到过没什么变化的。
22。wmj老吴。颧骨二推，6.5w。
网页链接
做这个手术前我就知道他很多黑料了，我当时非常害怕但我阔面想做，就做了很多准备，我不谢医生，谢师傅和运势。我自己整个手术过程就是蛮顺利的，效果也可以，没有凹陷，脸也进去了，到达了我的极限。
但是！！因为他黑料确实不少！！！不推荐！！也不劝退，我自己也做了... 你们考虑清楚啊。
23。slt。颏成型/下巴前进。3w。
网页链接
精细化的调整其实比较难，不像症状明显的对比强烈，而且非常看重细节 更考验医生的刀工和熟练度。我是轻微后缩，v前进并且调整了下巴的轻微歪斜问题。做完就是，精致了 下巴短了点点翘度正好。即刻朋友就这么说，我已经做完一年了。
个人的一些心得。
不是所有人都需要做轮廓或者耳前骨这个术式。这几年看互关的博主做完，不满意的一大片，你们自己去搜吧。有些基础好的做完反而变丑，凹陷，高光点消失看着奇怪。自己考虑清楚到底需不需要做。另外阔面没办法变窄面的，框架决定上限。
还有我在现实中见过，正常术式也能推进去后端很平整的颧骨颧弓，你们看ct后端卡进去就足够了。其他大部分医生也这么认为，比较安全能拆钉不凹陷。
轮廓前后都必须弄软组织，保持轻薄的状态术后浮肿泡下垂感会低很多，术后做软组织处理整体效果会更明显。",,"https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zwot8y0j30yi22ramv.jpg,https://wx2.sinaimg.cn/large/006PBZtEgy1hr4zrqcbx9j30xc3bjkip.jpg,https://wx4.sinaimg.cn/large/006PBZtEgy1hr4zrpaik8j3140272amz.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zrnjnw9j30yi2dr181.jpg,https://wx2.sinaimg.cn/large/006PBZtEgy1hr4zrolh6hj31402lt7t0.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zzs0akqj30u01407av.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zrn1wopj30yi3531dq.jpg,https://wx3.sinaimg.cn/large/006PBZtEgy1hr4zrmhksxj30yi43o1kx.jpg",,,2024-06-28T13:24:55,,198,35,160,,,2024-06-28 13:24:55
5102740124468941	,P19hyiKzH,//@SUB小耳朵:下辈子想长这么可爱,,,,,2024-11-20T10:58:32,iPhone客户端,0,0,0,,SUB小耳朵,2024-11-20 10:58:32,False,7672324007,阿兔的碎碎念,5061979381696485	,Oq0mK77kF,"有没有人懂我 我真的很爱这种感觉的长相
所以对下颌角补骨真的很有执念啊啊啊啊再不济补个peek下巴也行 
阿尔兹海默症晚期碎碎念的微博视频
 ",,,"https://f.video.weibocdn.com/o0/VRVNwDqglx08gPXXHmU001041200bFiY0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732878135&ssig=8cVQWm3etc&KID=unistore,video",,2024-07-30T23:29:54,微博视频号,102,8,23,,,2024-07-30 23:29:54
5102739920522687	,P19he2bYr,转发微博,,,,,2024-11-20T10:57:44,iPhone客户端,0,0,0,,,2024-11-20 10:57:44,False,6451548082,安玖梨牙,5102566117213338	,P14KTugwa,"典型的韩式鼻子审美…
韩国的鼻子正如我之前所说 没有下小叶 是个倒7 审美壁垒 真的欣赏不来 
这不妥妥的失败案例吗🙊
before好看了不知道多少倍 是完全不需要做的鼻子 糊涂啊
虽然现在国内并没有任何一个我满意的鼻子医生 
但就鼻子而言 中国医生比韩国审美那是领先不知道多少倍
这是我19年面韩国医院写的功课
网页链接
 当时就发现韩国做鼻子都有这个审美bug 没想到24年还在发这样的案例
真的欣赏不来…
我19年在韩国做了个肋骨鼻 都还没写功课就换了 当时还花了8万8千8 改善是有的 但就是再三强调要下小叶结果做出来还是类似于下面这鼻子 一个华丽丽的倒7……用了一年就换了#牙宝的医美日记#",,https://wx1.sinaimg.cn/large/0072C2n8gy1hvryhuedhzj30sg0sggqu.jpg,,,2024-11-19T23:27:06,iPhone 15 Pro,22,13,5,牙宝的医美日记,,2024-11-19 23:27:06
5102495963024100	,P12VKcGHO,转发微博,,,,,2024-11-19T18:48:20,iPhone客户端,0,0,0,,,2024-11-19 18:48:20,False,5859146945,ATAO颜值上分中,5100039858295092	,P012hyNVO,"#鼻修复# 即刻
虽然我还没看到做完的本体但图片终于是有了
我感觉这把有了！
刚刚医生助理让我核对了一下手术流程，我拿不到原件（要专门申请）但记住了大概了
具体说一下：
第一次手术是鼻中隔➕异体肋骨➕耳软骨，假体是卡麦拉
第二次因为钙化，支架部分必须使用人工骨（舒铂），但人工材料外面必须再用自体材料隔开，不然会磨穿。
手术中，医生利用了上一次取用的鼻中隔和耳软骨，自体材料的来源解决了一部分，额外只取了一只耳🙏
舒铂夹在缺损的鼻中隔两侧——原来的鼻中隔在左边的舒铂外面——新耳软骨在右侧的舒铂外面——新耳软骨➕旧的耳软骨帽子形成了双层小帽子——耳廓组织少量补鼻翼缘。
切鼻翼也是改善比较大的项目，内部正常缝合，外部用了生物胶没有外缝合。
鼻背的假体就是最正常的膨体雕刻
外形方面的话，伴随着鼻头往下拉，山根起点也跟着降低了。山根高度跟原来差不多，但是鼻头抬起来更多，整个鼻额角就会更陡峭。
鼻头我要求医生做的稍微大一点，刚做完感觉皮肤很厚的样子但恢复好之后就会越来越小的。
这个地方是可选的，可以保持我原来的鼻头大小，感觉应该会有人喜欢
如果想要精致韩式小鼻头的感觉的话，不要补鼻翼缘！！！鼻翼缘起来之后是会让鼻头看起来更大一点的，保持那种微微的夹捏感会让整个鼻头显得更小，就像我术前一样。
支架加粗很多，所以三角面鼻小柱肯定是会变粗的。
鼻背的形状，我选择了更加英气的，驼峰的位置偏高，驼峰的范围长一点，上转折的凹陷会比较浅，以术后来看的话，我觉得还不够浅，后期我应该就不贴胶带了，让它变得更浅。
感恩医生，同时也感恩我自己的鼻中隔和耳软骨，时隔7年还能继续在新鼻子里面发光发热，让我少取了一些耳软骨，我爱它们
（原来的异体肋软骨变碎片硬化了丢了没用上，自体的鼻中隔和耳软骨比较柔软还能用）",,"https://wx1.sinaimg.cn/large/006ownM5gy1hvjvycemdaj31400u0wjg.jpg,https://wx2.sinaimg.cn/large/006ownM5gy1hvjvycpid9j30ro0rojv8.jpg,https://wx1.sinaimg.cn/large/006ownM5gy1hvjvyczcnpj31410u0q9t.jpg,https://wx2.sinaimg.cn/large/006ownM5gy1hvjwe9unyuj30u0140djf.jpg",,,2024-11-13T00:08:39,iPhone 15,31,25,8,鼻修复,,2024-11-13 00:08:39
5102495451317666	,P12UV5wMG,转发微博,,,,,2024-11-19T18:46:18,iPhone客户端,0,0,0,,,2024-11-19 18:46:18,False,5859146945,ATAO颜值上分中,4736949917844564	,LfveDwUJe,"今晚我整容女的地位倍受挑战，我马上把我所有的手术记录都拉出来，事实证明，纯靠记忆，我对我的手术项目也是如数家珍
2016年1月  植发 剃发fue 上海科发源
2016年8月 下巴 人工骨medpor 台北张博全
2016年12月 第二次植发 不剃发fue 韩国江南丽艺人
2017年1月 鼻（鼻中隔＋异体肋骨＋耳软骨＋膨体鼻基底） 台北信恩
2017年2月 近视手术 半飞秒 杭州明视康 郑历
2017年2月 第1次大腿抽脂＋后腰/填胸＋填臀上 vaser 台北赖钊毅
2017年5月 正畸 金属自锁 上海齐美/朱金山
2018年6月 手臂吸脂 北京/八大处/尹琳
2018年10月 第二次大腿吸脂＋小腿 上海陈兵
2019年4月 腰腹环吸＋填充法令纹 上海陈兵
2019年9月 第一次面吸＋填充颏窝 玻尿酸注射上唇 台北张博全
2020年6月 抽臀填臀 朱席席
2020年9月/10月/12月 amc脂肪填充 取腰腹脂肪 填充眉弓＋眉心＋颏窝＋下巴衔接 广州/南方医院/袁艺
2020年12月 换鼻基底为supor人工骨 上海朱海杰
2021年3月 第二次面吸＋法令纹填充过度抽吸 钻石精雕 杭州王俞明
2021年12月 ＋鼻小柱基底 上海朱海杰
备注1：鼻基底2021年之后应该做一体化的，我做的时间比较早，所以是分体的）
备注2：如果有做过第2次说明第1次就不是很满意，目前我所有的手术中没有特别差的，一定要排列，最不满意的项目就是第1次大腿抽脂。
除了以上做过的手术之外，我还有大量的面诊记录，涉及到几乎所有的整形项目。面诊整理起来就更加繁杂，暂时先搁置
需要的可以先搜一下【面诊】＋关键字，我一般都会加在正文。",,,,,2022-02-15T01:38:51,三星S21 Ultra 5G,300,168,64,,,2022-02-15 01:38:51
5102482040819818	,P12zi3rgS,转发微博,,,,,2024-11-19T17:53:01,iPhone客户端,0,0,0,,,2024-11-19 17:53:01,False,5942958943,脸蛋天才捕捉家,5101825292242502	,P0Lu19pno,"分享一组大学时期的娜扎照片
“看到传说中让招生的同学疯狂的新疆美女了” ",,"https://wx3.sinaimg.cn/large/006uc36vly1hvplgwnng2j30ps0ydwj3.jpg,https://wx4.sinaimg.cn/large/006uc36vly1hvplgx7j48j30pz0ymgs2.jpg,https://wx1.sinaimg.cn/large/006uc36vly1hvplgxr4mxj30ox0x8440.jpg,https://wx1.sinaimg.cn/large/006uc36vly1hvplgyk2ouj30qo0xnaf9.jpg,https://wx2.sinaimg.cn/large/006uc36vly1hvpljtphegj30u01ifqdc.jpg,https://wx3.sinaimg.cn/large/006uc36vly1hvplh4genij30wi17cwnx.jpg,https://wx1.sinaimg.cn/large/006uc36vly1hvplgy59aej30qf0z8goi.jpg,https://wx2.sinaimg.cn/large/006uc36vly1hvplgyycrrj30qo0zkdl9.jpg,https://wx4.sinaimg.cn/large/006uc36vly1hvplgzdsk0j30qo0zftex.jpg",,,2024-11-17T22:23:19,,3744,54,257,,,2024-11-17 22:23:19
5102481899785444	,P12z3F3DK,转发微博,,,,,2024-11-19T17:52:27,iPhone客户端,0,0,0,,,2024-11-19 17:52:27,False,2429949332,小蝎的日记书,5075566820855924	,OvHPY3AFe,"#轮廓日记# 
🧑⚕️ @北京大学彭喆医生 
术后三个多月了 之前写过一个月的功课账户等不上了🥹重新总结一下推颧骨功课，做了一项原因消肿非常快，一个月时候全消肿了，目前出现的问题是嘴角嘟嘟肉、法令纹，已经上溶脂针+超声炮压实（效果很好！准备年底超声🔪
🌟术前问题&基础(图1️⃣)
做轮廓前，要先了解自己的基础和问题，再针对性提出诉求。
🌟术前诉求
我的审美一直追求自然，面部问题在于颧骨弓不对称，60°颧骨高。虽然我的脸在现实中看起来很小，但医生说我有微阔面脸🙂↕️  术前沟通改善不对称左颧弓推5mm，右4mm，保留小角，颧骨高光点内聚，微磨左侧眼眶骨，取颧弓后脂肪垫，断喙突，耳后加深固定关节。
🌟术后效果(三个月)
直接头包脸！虽然没有推极致但是脸窄了非常多！土豆说话保守手术可不🤨对我来说是极限了👌🏻幸好没有追求土豆说的极限，那我需要配合切下颌角！太阳穴也会更彭出，我是拒绝🙅🏻，本就是内收下颌角太懂常年抗争维护下颌线清晰的艰难～
🌟术后护理
颧骨颧弓手术后需三个月软/流食，佩戴头套三个月（运动、站立时佩戴，睡觉时不需要）。前两个月尽量不要张开超过二指，少咀嚼以避免太阳穴凸出。一个月不到我已经开始咀嚼了
吃流食太容易低血糖了！得摄入其他蛋白质。后期一定要多补钙喝牛奶🥛促进骨愈合。
Ps:sz的人工骨下巴让我脸长了一倍 瞬间年长5岁不夸张(图片找角度拍了正面拍吓死我",,"https://wx3.sinaimg.cn/large/90d61594gy1htdtr4bfmbj20wi17cn2b.jpg,https://wx3.sinaimg.cn/large/90d61594gy1htdtvbenvqj21nz27zhdt.jpg,https://wx4.sinaimg.cn/large/90d61594gy1htdtwfhmmsj21nz27zhdt.jpg",,,2024-09-06T11:21:32,iPhone客户端,13,9,8,轮廓日记,北京大学彭喆医生,2024-09-06 11:21:32
