id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105980544911301	,P2vA2kBEx,好//@向佳学得汇:潮起东方，共襄盛举！快来一起【关+转】跟着#徐成功带你见证中国力量#，来上海宝马展感受大国重器的魅力，#智慧徐工 助您成功#！@微博抽奖平台 转本条，12.6日抽1人得百元京东卡。,,,,,2024-11-29T09:34:49,iPhone客户端,0,0,0,"徐成功带你见证中国力量,智慧徐工 助您成功","向佳学得汇,微博抽奖平台",2024-11-29 09:34:49,False,1926707297,徐工集团XCMG,5104940543118981	,P24wCd5o9,"【抽千元红包🧧+徐工宝马展定制文创模型！】游戏终章不是结束，而是新的开始！未来的征程徐工仍在继续！
 #2024上海宝马展# 徐工最新科技成果亮相！
11月26～29日，来这里，让#徐成功带你见证中国力量#【最强明星产品阵容】！#智慧徐工 助您成功# 
110款主机产品覆盖了土方机械、矿山机械、起重机械等9大业务板块；全球最大吨位轮式起重机、全球首台矿用混动挖掘机等10款标志性产品亮相！
【最新技术创新成果】
重磅推出新能源展区，全场48款新能源主机产品和21款新能源核心零部件惊艳亮相。
【最智成套化解决方案】
7大施工场景，为客户提供成套化施工的“最优解”！
……
未来已来，【关+转】@ 1位好友 让#徐成功带你见证中国力量# @微博抽奖平台 4号抽【1000元JD卡+徐工宝马展文创+模型】，咱们在这不见不散！
 
徐工集团XCMG的微博视频
 
抽奖详情
 #重生之我是徐成功#",,,"https://f.video.weibocdn.com/o0/jYbqfNLGlx08jTqnQWuQ01041200vsZf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732891187&ssig=aN6hQgs4Wg&KID=unistore,video",,2024-11-26T12:42:13,我和徐工超话,458,821,4646,"2024上海宝马展,徐成功带你见证中国力量,智慧徐工 助您成功,徐成功带你见证中国力量,重生之我是徐成功",微博抽奖平台,2024-11-26 12:42:13
5105980529182930	,P2vA0CwTM,冲//@向佳学得汇:潮起东方，共襄盛举！快来一起【关+转】跟着#徐成功带你见证中国力量#，来上海宝马展感受大国重器的魅力，#智慧徐工 助您成功#！@微博抽奖平台 转本条，12.6日抽1人得百元京东卡。,,,,,2024-11-29T09:34:45,iPhone客户端,0,0,0,"徐成功带你见证中国力量,智慧徐工 助您成功","向佳学得汇,微博抽奖平台",2024-11-29 09:34:45,False,1926707297,徐工集团XCMG,5104940543118981	,P24wCd5o9,"【抽千元红包🧧+徐工宝马展定制文创模型！】游戏终章不是结束，而是新的开始！未来的征程徐工仍在继续！
 #2024上海宝马展# 徐工最新科技成果亮相！
11月26～29日，来这里，让#徐成功带你见证中国力量#【最强明星产品阵容】！#智慧徐工 助您成功# 
110款主机产品覆盖了土方机械、矿山机械、起重机械等9大业务板块；全球最大吨位轮式起重机、全球首台矿用混动挖掘机等10款标志性产品亮相！
【最新技术创新成果】
重磅推出新能源展区，全场48款新能源主机产品和21款新能源核心零部件惊艳亮相。
【最智成套化解决方案】
7大施工场景，为客户提供成套化施工的“最优解”！
……
未来已来，【关+转】@ 1位好友 让#徐成功带你见证中国力量# @微博抽奖平台 4号抽【1000元JD卡+徐工宝马展文创+模型】，咱们在这不见不散！
 
徐工集团XCMG的微博视频
 
抽奖详情
 #重生之我是徐成功#",,,"https://f.video.weibocdn.com/o0/jYbqfNLGlx08jTqnQWuQ01041200vsZf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732891188&ssig=RP2Alj%2B%2BVw&KID=unistore,video",,2024-11-26T12:42:13,我和徐工超话,458,821,4646,"2024上海宝马展,徐成功带你见证中国力量,智慧徐工 助您成功,徐成功带你见证中国力量,重生之我是徐成功",微博抽奖平台,2024-11-26 12:42:13
5105318696846420	,P2emxsJ48,#区域经理招聘女生做情人月薪13000#应该出手管管了，现在乌烟瘴气的 ,,,,,2024-11-27T13:44:52,iPhone客户端,0,0,0,区域经理招聘女生做情人月薪13000,,2024-11-27 13:44:52,True
5105032236111994	,P26UvpE0y,#专业三色激光投影选Vidda#转//@美食锦鲤:冬天宅家怎么少得了投影，@美食锦鲤 邀您一起体验Vidda投影的无限魅力！关注@Vidda官方微博 和我带#专业三色激光投影选Vidda#转发，12月3日【不过滤】抽1位宝子送【50元京东卡】,,,,,2024-11-26T18:46:35,iPhone客户端,0,0,0,"专业三色激光投影选Vidda,专业三色激光投影选Vidda","美食锦鲤,美食锦鲤,Vidda官方微博",2024-11-26 18:46:35,False,5982036732,Vidda官方微博,5104982683289940	,P25CAdNRy,"里黄云白日曛，北风吹雁雪纷纷，寒冬时节，最适合的就是躺在温暖的被窝里，享受片刻的宁静。
但躺着看手机，眼睛离屏幕太近、脖子也不舒服……这么冷的冬天，谁不想更轻松自在地享受娱乐时光？
试试Vidda C2 Ultra 三色激光投影！360度可旋转万向云台，想投哪里就投哪里，随心所欲！
3000CVIA流明亮度，哪怕白天光线明亮，依旧清晰可见，照亮你的整个冬天，带来无与伦比的视觉享受！
七大墙面色系自适应功能，告别白墙幕布的束缚，让家里的每一面墙都能变成你的私人影院，随时随地享受超大屏体验！
莱茵“0”有害蓝光认证，长时间观看也能保护眼睛，告别疲劳和干涩，给你无负担的视觉盛宴！
这个冬天让Vidda陪你一起过~
现在关注@Vidda官方微博 带#专业三色激光投影选Vidda# 转发12月3日【不过滤】抽5位幸运小伙伴各送出100元京东e卡",,https://wx2.sinaimg.cn/large/006wQ11qgy1hvzo7rq4jsj30u01hc1ah.jpg,,,2024-11-26T15:29:40,微博网页版,218,388,3593,专业三色激光投影选Vidda,Vidda官方微博,2024-11-26 15:29:40
5104926784490465	,P24aqiQaR,挺好//@站酷:日站君｜千万粉丝设计美学博主，正在分享「日站君的朋友圈」，转发并评论，抽1位幸运酷友「西部数据WD Blue SN5000 -1TB硬盘」  #站酷设计周# #站酷百大设计榜# #好设计是什么#,,,,,2024-11-26T11:47:33,iPhone客户端,0,0,0,"站酷设计周,站酷百大设计榜,好设计是什么",站酷,2024-11-26 11:47:33,False,1733083617,站酷,5104900960158976	,P23uM0Fm8,"2024站酷设计周现场直播开始啦！
30+设计牛人，2天全球视野演讲，N场设计脱口秀和VJ艺术演绎，11月26-27日，创新案例，新锐观点，前沿趋势，都在2024#站酷设计周# 。#站酷百大设计榜# 和 站酷年度创作者也将现场揭晓。  
站酷的微博直播
 ",,,,,2024-11-26T10:04:56,微博直播平台,58,85,4164,"站酷设计周,站酷百大设计榜",,2024-11-26 10:04:56
5104926746740491	,P24amshvB,抽奖//@KUS健康生活:#共饮一江水同浔新发展##第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会#，转发本微博，12月2日抽2人平分【100元京东卡】 @江西风景独好 @九江文旅 ,,,,,2024-11-26T11:47:24,iPhone客户端,0,0,0,"共饮一江水同浔新发展,第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会","KUS健康生活,江西风景独好,九江文旅",2024-11-26 11:47:24,False,5724389035,同程优选目的地,5104896234489692	,P23n9iPYo,"天南地北双飞鹤　鄱阳湖尾水如天
第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会即将启幕
与您共赴一场“悠然庐山 诗画九江”的千年之约
即日起，带话题#共饮一江水同浔新发展# #第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会#参与，12月2日抽1人送【50元京东E卡】@江西风景独好 @九江文旅  
抽奖详情",,https://wx2.sinaimg.cn/large/006foX5pgy1hvzec32jw4j30u01hcncx.jpg,,,2024-11-26T09:46:09,微博网页版,89,161,9024,"共饮一江水同浔新发展,第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会","江西风景独好,九江文旅",2024-11-26 09:46:09
5104926714496802	,P24ajiRP4,期待//@熊猫看书官方微博:又来送福利啦！即日起，欢迎聊聊话题#共饮一江水同浔新发展##第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会#转发，12月2日抽2人送【50元京东E卡】 @江西风景独好 @九江文旅 ,,,,,2024-11-26T11:47:16,iPhone客户端,0,0,0,"共饮一江水同浔新发展,第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会","熊猫看书官方微博,江西风景独好,九江文旅",2024-11-26 11:47:16,False,5724389035,同程优选目的地,5104896234489692	,P23n9iPYo,"天南地北双飞鹤　鄱阳湖尾水如天
第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会即将启幕
与您共赴一场“悠然庐山 诗画九江”的千年之约
即日起，带话题#共饮一江水同浔新发展# #第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会#参与，12月2日抽1人送【50元京东E卡】@江西风景独好 @九江文旅  
抽奖详情",,https://wx2.sinaimg.cn/large/006foX5pgy1hvzec32jw4j30u01hcncx.jpg,,,2024-11-26T09:46:09,微博网页版,89,161,9024,"共饮一江水同浔新发展,第三届(江西·九江)长江经济带文旅消费季暨城市旅游大会","江西风景独好,九江文旅",2024-11-26 09:46:09
5104926667049331	,P24aetzQT,"转发了//@舒达床垫:这个#意尔康冬游季#，舒小羊携手国民鞋履意尔康，向各位道歉了。对不起，因为我们@舒达床垫 太黏人，让你的冬天又因为赖床迟到了。为表歉意，12月9日抽1位送【50元京东卡】
关注@舒达床垫 @意尔康Yearcon 转评此条。@微博抽奖平台",,,,,2024-11-26T11:47:05,iPhone客户端,0,0,0,意尔康冬游季,"舒达床垫,舒达床垫,舒达床垫,意尔康Yearcon,微博抽奖平台",2024-11-26 11:47:05,False,2281809374,意尔康Yearcon,5104897957560809	,P23pVvIUx,"这个#意尔康冬游季#，意尔康向各位道歉了！
为表歉意，特邀你穿「暖意绒绒系列」
免费游哈尔滨，看冰雪大世界
转评说说你最想和谁去旅行。关注我们，12.9起抽2人平分【2000元现金
】，同时抽5名送【哈尔滨冰雪大世界门票❄️】
PS：到意尔康门店活动参与活动，百万旅行壕礼等你瓜分 ",,"https://wx1.sinaimg.cn/large/8801a5dely1hvyf451cvhj21jk2m54qp.jpg,https://wx3.sinaimg.cn/large/8801a5dely1hvyf450bywj21jk2m54qp.jpg,https://wx1.sinaimg.cn/large/8801a5dely1hvyf451ot0j21jk2m54qp.jpg",,,2024-11-26T09:53:00,微博网页版,676,1334,7772,意尔康冬游季,,2024-11-26 09:53:00
5104926634282046	,P24abhXXg,一百啊//@KUS健康生活:冬日暖阳☀欢乐开跑！#小快克冬季子亲子cool跑节# 太原站cool跑太嗨了，快让我们跟随 #小快克# 一起感受下现场活力满满的氛围吧！🎉🎉 #小快克冬季亲子cool跑节#，@小快克感冒药 宠你，转发本微博，12.20揪1位送100元京东！,,,,,2024-11-26T11:46:57,iPhone客户端,0,0,0,"小快克冬季子亲子cool跑节,小快克,小快克冬季亲子cool跑节","KUS健康生活,小快克感冒药",2024-11-26 11:46:57,False,1813242140,小快克感冒药,5104900977199620	,P23uNucWU,"【关+转，🎁送千元京东卡】全家组队，健康不掉队❗#小快克# 千人亲子cool跑局太嗨了🔥太原站cool跑精彩直击🎉一起来感受下现场活力满满的氛围吧！
关注@小快克感冒药，带 #小快克冬季亲子cool跑节##太原在亲子打卡这块还是太全面了#  转发并说说视频中共有哪些互动游戏，12.20揪1位送1000元京东卡！ 
小快克感冒药的微博视频",,,"https://f.video.weibocdn.com/o0/NQ3GS5Pblx08jRP5ajJK01041202NOvz0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732891197&ssig=bSeRdHR3Vn&KID=unistore,video",,2024-11-26T10:05:00,微博视频号,1100,969,3211,"小快克,小快克冬季亲子cool跑节,太原在亲子打卡这块还是太全面了",小快克感冒药,2024-11-26 10:05:00
5104926319184527	,P249FCxjx,啾咪//@欧霸全归小王叭:从不同角度反射镜面光芒，耀目迷人！跟着@MINTYGREEN·周生生 和小王一起更gin彩！🔒我们并转发本条，11月30日，揪一个小可爱送出冬日暖心小礼物。,,,,,2024-11-26T11:45:42,iPhone客户端,0,0,0,,"欧霸全归小王叭,MINTYGREEN·周生生",2024-11-26 11:45:42,False,7792973061,MINTYGREEN·周生生,5104704402494216	,P1YnKasRi,"融合当代几何美学
不同角度
反射多面高光魅力
关+转，带话题#gin系列#和#MG周生生#，11月30日揪一位宝子送出冬天第一份温暖小礼物~#MINTYGREEN周生生#  
抽奖详情
 ",,"https://wx2.sinaimg.cn/large/008vowhTgy1hvysbc6eu6j3111111k2s.jpg,https://wx4.sinaimg.cn/large/008vowhTgy1hvysbbok0ej3112111443.jpg,https://wx2.sinaimg.cn/large/008vowhTgy1hvysbck798j310w111wng.jpg",,,2024-11-25T21:03:53,,4334,453,4422,"gin系列,MG周生生,MINTYGREEN周生生",,2024-11-25 21:03:53
