id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105800471907973	,P2qTB80lL,打电话和我爸大吵一架 心情好多了 因为我真的吃苦够多了 ,,,,,2024-11-28T21:39:16,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-28 21:39:16,True
5105793320618047	,P2qI42AMv,觉得好累 本来被辞退了心情就不好 看到家里破事真的忍不住崩溃大哭 ,,,,,2024-11-28T21:10:51,Xr改的iPhone 15 Plus,4,3,0,,,2024-11-28 21:10:51,True
5105786638568441	,P2qxhzX2F,//@我母谐潾:救命//@骡ma假日:什么时候停止这场闹剧//@到底娥怎么做你们才能放过我:乙大女主//@顺直女:我不行了,,,,,2024-11-28T20:44:18,Xr改的iPhone 15 Plus,0,0,1,,"我母谐潾,骡ma假日,到底娥怎么做你们才能放过我,顺直女",2024-11-28 20:44:18,False,7959606146,睾脸娃大蒂,5105255383828598	,P2cIqg3ZA,昨天看到一个人骂另一个人说别人叫她们乙小妹不叫乙大姐是对女性骨子里的歧视弱化，我笑得发癫了 ,,,,,2024-11-27T09:33:17,微博轻享版,13,10,34,,,2024-11-27 09:33:17
5105785749112347	,P2qvQCexl,"做错0件事惨遭辞退
 ",,,,,2024-11-28T20:40:46,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-28 20:40:46,True
5105785425892281	,P2qvkoIQN,不是 这时候你们还在找糖吃//@我母谐潾:打完仗两个人回家曹丕放松,,,,,2024-11-28T20:39:29,Xr改的iPhone 15 Plus,0,0,0,,我母谐潾,2024-11-28 20:39:29,False,5881933537,国王的新墓碑,5105779604457074	,P2qlWiHui,好温暖混乱之中相视一笑好有安全感 ,,https://wx4.sinaimg.cn/large/006q3ZBLgy1hw27st8qwej30wa0u0411.jpg,,,2024-11-28T20:16:21,微博轻享版,22,7,8,,,2024-11-28 20:16:21
5105785300583860	,P2qv82rT6,这也要磕一下//@我母谐潾:打完仗两个人回家曹丕放松,,,,,2024-11-28T20:38:59,Xr改的iPhone 15 Plus,1,0,2,,我母谐潾,2024-11-28 20:38:59,False,5881933537,国王的新墓碑,5105779604457074	,P2qlWiHui,好温暖混乱之中相视一笑好有安全感 ,,https://wx4.sinaimg.cn/large/006q3ZBLgy1hw27st8qwej30wa0u0411.jpg,,,2024-11-28T20:16:21,微博轻享版,22,7,8,,,2024-11-28 20:16:21
5105785098997038	,P2quNBKxw,比张元英拉的s都丑,,,,,2024-11-28T20:38:11,Xr改的iPhone 15 Plus,1,0,1,,,2024-11-28 20:38:11,False,5481407516,卖菊花的小恶魔,5104668165017854	,P1Xril3n8,"MAMA红毯，张元英安宥真 
卖菊花的小恶魔的微博视频
 ",,,"https://f.video.weibocdn.com/o0/FQC4QcyOlx08jRR6BSd2010412006LnY0E010.mp4?label=mp4_720p&template=720x1404.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804893&ssig=tbJqS52u2a&KID=unistore,video",,2024-11-25T18:39:53,iPhone 16 Pro,208,16,39,,,2024-11-25 18:39:53
5105776077834720	,P2qgfwSas,不敢相信是真的,,,,,2024-11-28T20:02:20,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-28 20:02:20,False,7726036493,十口芝士,5105769839597823	,P2q6bEgPB,"亲自宣布：
NewJeans与ADOR专属合约于29日00:00解除 ",,,,,2024-11-28T19:37:33,newjeans超话,1933,73,1530,,,2024-11-28 19:37:33
5105775406220847	,P2qfaq6kf,恭喜,,,,,2024-11-28T19:59:39,Xr改的iPhone 15 Plus,2,0,0,,,2024-11-28 19:59:39,False,7726036493,十口芝士,5105769839597823	,P2q6bEgPB,"亲自宣布：
NewJeans与ADOR专属合约于29日00:00解除 ",,,,,2024-11-28T19:37:33,newjeans超话,1933,73,1530,,,2024-11-28 19:37:33
5105693840115639	,P2o7C0u59,哦我不行//@太于弱智:只能口硬//@天亮之前入睡:听听口音,,,,,2024-11-28T14:35:33,Xr改的iPhone 15 Plus,1,0,0,,"太于弱智,天亮之前入睡",2024-11-28 14:35:33,False,5236945874,太于弱智,5105666351958171	,P2nph8dpp,"吃饭时候女同事说你清清秀秀一小伙子，讲起方言来怎么口音比单位老头都重，我真的没惹
 ",,,,,2024-11-28T12:46:19,iPhone 14 Pro Max,10,8,1,,,2024-11-28 12:46:19
5105693701441636	,P2o7o632c,我一直觉得符4还没出道头不大 怎么出道了头又大脸特别方 ,,,,,2024-11-28T14:35:00,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-28 14:35:00,True
5105691973126567	,P2o4Bd7mv,其实我很好奇朴成训16岁头也不是很大啊，怎么现在头围目测有58了 ,,,,,2024-11-28T14:28:08,Xr改的iPhone 15 Plus,3,4,0,,,2024-11-28 14:28:08,True
5105655184365316	,P2n7gijCk,最烦那种关系不熟的人非要带着答案来找我问问题找认同 意见不一样就和我吵最后被我问候全家并拉黑又气得不行切小号加我 ,,,,,2024-11-28T12:01:57,Xr改的iPhone 15 Plus,5,2,0,,,2024-11-28 12:01:57,True
5105654209712350	,P2n5GEKCO,好漂亮,,,,,2024-11-28T11:58:05,Xr改的iPhone 15 Plus,2,1,0,,,2024-11-28 11:58:05,False,6134301639,告白預行絵本,5105472011241842	,P2ilP5d3I,初雪heart🤍❄️ ,,"https://wx2.sinaimg.cn/large/006H8U51gy1hw18gfiru3j30u014012p.jpg,https://wx4.sinaimg.cn/large/006H8U51gy1hw18gghh0rj30u014048q.jpg,https://wx2.sinaimg.cn/large/006H8U51gy1hw18ghbgqfj30u0140ake.jpg,https://wx2.sinaimg.cn/large/006H8U51gy1hw18ghs41gj30u0140125.jpg",,,2024-11-27T23:54:05,,2761,53,278,,,2024-11-27 23:54:05
5105653689354599	,P2n4QDfyD,//@河南原神小王:前几天热衷来给我科普她过得多好的人出来一下呢//@顾不厌://@张批话://@库特纳霍拉的骨头:划重点：没编制//@朝阳地区非著名不狠人:她没编制，她在北体大读完书，进了一家杭州的公司，主要给一些机构做体育方面的活动策划，公司基本上都是退役小众项目运动员，并且做了不少山区公益活动。结果2019年到2022年，三年公司黄了。她再出现在大众的视野内，就是这次事件了，所以你觉得她能过的多好？,,,,,2024-11-28T11:56:00,Xr改的iPhone 15 Plus,0,0,1,,"河南原神小王,顾不厌,张批话,库特纳霍拉的骨头,朝阳地区非著名不狠人",2024-11-28 11:56:00,False,5278580326,你也能像女孩一样游泳吗,5105061350871158	,P27Ft3ECW,"已获知乎答主授权，希望大家能了解一下吴柳芳曾经的遭遇，不要浑水摸鱼跟风造谣，吴柳芳没进北大也压根没有获得编制，19年大学毕业后去了中享体育工作，大家都心知肚明疫情对这些培训机构的打击和国内体操荒漠的现实以及逼仄的就业环境，其余不做多说。
【28】 ",,"https://wx2.sinaimg.cn/large/005LenSmgy1hvzx92nbkkj30uk7cphdt.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hvzx972m49j30ukakob2a.jpg,https://wx1.sinaimg.cn/large/005LenSmgy1hvzx986hvgj329w1gy7s6.jpg,https://wx4.sinaimg.cn/large/005LenSmgy1hvzx9bhhgmj329w1uvb29.jpg",,,2024-11-26T20:42:16,,8173,276,1738,,,2024-11-26 20:42:16
5105652565281250	,P2n32m9Ts,转发微博,,,,,2024-11-28T11:51:33,Xr改的iPhone 15 Plus,0,0,0,,,2024-11-28 11:51:33,False,7959319229,香焙茶社,5105626953024231	,P2mnJcGJV,我就这样卖货 ,,https://wx2.sinaimg.cn/large/008GEuwBgy1hw1q9nqmtqj30rw11616q.jpg,,,2024-11-28T10:09:46,iPhone 16 Pro Max,6,2,1,,,2024-11-28 10:09:46
5105649371318082	,P2mXT5wTo,//@奈良星舞://@粉红表子水母小集美://@含咚君://@蔻泰://@萌个姬毛:我要死了//@管埋元:想咋滴//@懒大椰:萌萌滴//@茶汪笔录:坏了,,,,,2024-11-28T11:38:51,Xr改的iPhone 15 Plus,1,0,0,,"奈良星舞,粉红表子水母小集美,含咚君,蔻泰,萌个姬毛,管埋元,懒大椰,茶汪笔录",2024-11-28 11:38:51,False,5436552862,屁话小鸡,5105621714338391	,P2mfhicC3,我 ,,https://wx3.sinaimg.cn/large/005VVdKuly1hw1pnt5jgej30z50uetar.jpg,,,2024-11-28T09:48:57,,896,1,2738,,,2024-11-28 09:48:57
5105597460776165	,P2lCa3fUN,"转载了@半岛hooker 的微博图片
 ",,https://wx3.sinaimg.cn/large/83ae1bafly1hw1brdvkmxj20wr15ak0o.jpg,,,2024-11-28T08:12:35,Xr改的iPhone 15 Plus,0,0,0,,半岛hooker,2024-11-28 08:12:35,True
5105573599380811	,P2kZFDmnp,好想活成这样//@清纯雪莲子:我天呐,,,,,2024-11-28T06:37:46,Xr改的iPhone 15 Plus,2,2,1,,清纯雪莲子,2024-11-28 06:37:46,False,1733879443,温良爹,5105376165105405	,P2fRelq9f,"分享视频 
温良爹的微博视频
 ",,,"https://f.video.weibocdn.com/u0/quYP3Iapgx08jUYlWcne01041200if8o0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732804893&ssig=Eyk8DZGcYw&KID=unistore,video",,2024-11-27T17:33:14,iPhone 15 Pro,188,7,293,,,2024-11-27 17:33:14
5105462905669227	,P2i78nMP9,感觉我要整七七四九次才成为普男... ,,,,,2024-11-27T23:17:54,Xr改的iPhone 15 Plus,2,3,0,,,2024-11-27 23:17:54,True
5105450995679471	,P2hNVnPun,这男的脖子和头一样的好像根jb,,,,,2024-11-27T22:30:34,Xr改的iPhone 15 Plus,7,0,0,,,2024-11-27 22:30:34,False,5607032695,钮祜禄流流,5105344226790145	,P2f1Isuqt,#张元英朴成训KBS二搭#ENHYPEN朴成训，与张元英重逢..担任“音银全球庆典”MC ,,https://wx3.sinaimg.cn/large/0067sxldgy1hw0tsq7ecmj30wr1dbguh.jpg,,,2024-11-27T15:26:19,,1565,104,161,张元英朴成训KBS二搭,,2024-11-27 15:26:19
5105449865839712	,P2hM6ovaU,"其实很多爱猫但没有责任心 比如我 我养几只猫都是自己没钱了立刻塞给家里人帮忙养不然就是我朋友养 
 ",,,,,2024-11-27T22:26:05,Xr改的iPhone 15 Plus,1,0,0,,,2024-11-27 22:26:05,True
