id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106099872859685	,P2yGvbZVX,"【
活动总结：#了不起的女孩们#山凤凰#公益V探访#】#世界儿童日#期间，@山凤凰女生助学计划 联合@微公益 发起重庆黔江探访活动，再次感谢@学霸课长 对活动的参与支持，让更多人看见真实的公益，助力大山女孩读书追梦！",,,,,2024-11-29T17:28:59,铀媒,1,0,0,"了不起的女孩们,公益V探访,世界儿童日","山凤凰女生助学计划,微公益,学霸课长",2024-11-29 17:28:59,False,6733243136,山凤凰女生助学计划,5106094737459765	,P2yydviCN,#公益V探访##了不起的女孩们#  山凤凰活动总结长图来了！再次感谢@学霸课长 对活动的参与支持，让更多人看见真实的公益，助力大山女孩读书追梦！@微公益 ,,https://wx1.sinaimg.cn/large/007lG07Kly1hw37xpk2k8j30m8668qv7.jpg,,,2024-11-29T17:08:35,微博网页版,26,0,70,"公益V探访,了不起的女孩们","学霸课长,微公益",2024-11-29 17:08:35
5106075973455459	,P2y3XeuVd,#寻找最美救护员# 【消防员潘雄及救援小组获评2024年度“最美救护员”】,,,,,2024-11-29T15:54:01,微博网页版,16,5,1,寻找最美救护员,,2024-11-29 15:54:01,False,2205860842,中国红十字会总会,5106064836265028	,P2xLZqhOQ,"#寻找最美救护员# 【消防员潘雄及救援小组获评2024年度“最美救护员”】救人瞬间：2022年9月8日，内蒙古自治区巴彦淖尔市一处居民楼起火，滚滚浓烟导致一名被困老人失去自主呼吸。消防员潘雄及其所在的救援小组将老人转移至安全区域，并立刻进行心肺复苏。在老人恢复了轻微的呼吸和微弱的心跳后，立即转交给120急救车。老人现已康复。 
中国红十字会总会的微博视频",,,"https://f.video.weibocdn.com/o0/WdWhZPVMlx08jY0hvWw80104120043dr0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732876941&ssig=W%2BwFL60dvI&KID=unistore,video",,2024-11-29T15:09:46,微博视频号,51,0,84,寻找最美救护员,,2024-11-29 15:09:46
5106053270209039	,P2xtl0SnB,#看见公益#宜宾市南溪区同心社会工作服务中心和@微笑明天慈善基金会 签订合作协议，成为2024年度“微笑接力益助同行”项目合作伙伴之一，致力于帮助南溪区及周边地区家庭困难以及符合条件的唇腭裂患者接受治疗#兔唇宝宝的微笑#,,,,,2024-11-29T14:23:48,铀媒,30,15,4,"看见公益,兔唇宝宝的微笑",微笑明天慈善基金会,2024-11-29 14:23:48,False,5699448095,微笑明天慈善基金会,5106038358934513	,P2x5hBuh3,#看见公益##兔唇宝宝的微笑# 为了使南溪区更多困难家庭的唇腭裂患者能重新绽放笑容，宜宾市南溪区同心社会工作服务中心和@微笑明天慈善基金会 签订合作协议，成为2024年度“微笑接力益助同行”项目合作伙伴之一，致力于帮助南溪区及周边地区家庭困难以及符合条件的唇腭裂患者接受治疗。在项目开展过程中，社工和街道工作人员合作，联系南溪区的唇腭裂患者，为他们讲解项目具体情况，报名要求以及流程，帮助患者完成资料审核。目前，南溪区已有一个患者在社工帮助下完成了唇腭裂修复手术。社工对患者进行走访，了解患者对微笑明天唇腭裂公益救助项目的感受。@微公益 @基金会公众影响力榜,,"https://wx2.sinaimg.cn/large/006dIiObgy1hw31il5b2nj30ny0di157.jpg,https://wx3.sinaimg.cn/large/006dIiObgy1hw31ik57qbj30ny0diamd.jpg",,,2024-11-29T13:24:33,iPhone客户端,2,0,11,"看见公益,兔唇宝宝的微笑","微笑明天慈善基金会,微公益,基金会公众影响力榜",2024-11-29 13:24:33
5106049338317465	,P2xmZyTKF,这是一封来自天津渔民刘船长的信，一位传统渔民面对如今小规模生计渔业的真实声音#做自然的朋友# #一人一种方式爱地球#,,,,,2024-11-29T14:08:11,铀媒,14,8,3,"做自然的朋友,一人一种方式爱地球",,2024-11-29 14:08:11,False,7441693054,海研会QMCS,5106046148545490	,P2xhQzR4u,"发布了头条文章：《读信｜“聊聊世界渔业日的话题”》 #做自然的朋友# #一人一种方式爱地球# @新浪公益  
读信｜“聊聊世界渔业日的话题”
 ",,,,,2024-11-29T13:55:30,微博 weibo.com,1,0,7,"做自然的朋友,一人一种方式爱地球",新浪公益,2024-11-29 13:55:30
5106014279700329	,P2wsrEHuV,#做自然的朋友# 微博直播：珍·古道尔希望之旅中国行，直播时间：11月30(本周六)13:30 公益传播支持 @微博环保 更多活动动态请关注 @上海根与芽 记得预约直播哦！,,,,,2024-11-29T11:48:52,铀媒,41,16,6,做自然的朋友,"微博环保,上海根与芽",2024-11-29 11:48:52,False,5754133643,微博环保,5106008017338393	,P2wiluN3b,"#做自然的朋友#  微博直播：珍·古道尔希望之旅中国行，直播时间：11月30(本周六)13:30  公益传播支持 @微博环保 更多活动动态请关注 @上海根与芽  记得预约直播哦！
上海根与芽的微博直播
 ",,,,,2024-11-29T11:23:58,微博网页版,8,5,15,做自然的朋友,"微博环保,上海根与芽",2024-11-29 11:23:58
5105795723430250	,P2qLWeomC,#罕见病守护计划#  11月28日，2024年国家医保药品目录调整结果公布，本次调整共新增91种药品。其中肿瘤用药26个（含4个罕见病）、糖尿病等慢性病用药15个（含2个罕见病）、罕见病用药13个、抗感染用药7个、中成药11个、精神病用药4个，以及其他领域用药21个。在微博广受关注的国产癫痫救命药氯巴占本次纳入医保。#国产癫痫救命药氯巴占纳入医保#,,https://wx1.sinaimg.cn/large/002hoJvply1hw2bz94ue2j60u06a0kjl02.jpg,,,2024-11-28T21:20:24,iPhone 15 Pro Max,100,78,8,"罕见病守护计划,国产癫痫救命药氯巴占纳入医保",,2024-11-28 21:20:24,True
5105769301150771	,P2q5k4PmP,#寻找最美救护员# 【警校学生吕智慧和父亲吕振康及5名村民获评2024年度“最美救护员”】,,,,,2024-11-28T19:35:24,,194,96,103,寻找最美救护员,,2024-11-28 19:35:24,False,2205860842,中国红十字会总会,5105765555637909	,P2pZhnEG1,"#寻找最美救护员# 【警校学生吕智慧和父亲吕振康及5名村民获评2024年度“最美救护员”】救人瞬间：2023年1月27日，安徽阜南，一辆轿车落水导致车内5名人员被困。恰好路过的吕智慧和父亲吕振康迅速反应，父亲跳水救人，女儿跪地做心肺复苏，与5名热心村民合力将被困人员全部成功救回。 
中国红十字会总会的微博视频",,,"https://f.video.weibocdn.com/o0/wuqafkY2lx08jWGC0MdW010412008VKj0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732876948&ssig=79e1cGeTEV&KID=unistore,video",,2024-11-28T19:20:32,微博视频号,8,1,110,寻找最美救护员,,2024-11-28 19:20:32
5105764152120284	,P2pX18TA8,#罕见病守护计划##国产癫痫救命药氯巴占进医保了#2024年11月28日，国家医保局、人力资源社会保障部印发了《国家基本医疗保险、工伤保险和生育保险药品目录（2024年）》，本轮药品目录调整共有91个药品新增纳入目录，其中有13款罕见病治疗用药~,,,,,2024-11-28T19:14:57,微博网页版,24,9,4,"罕见病守护计划,国产癫痫救命药氯巴占进医保了",,2024-11-28 19:14:57,False,5794837486,病痛挑战基金会,5105762558807336	,P2pUrAXbO,#罕见病守护计划##国产癫痫救命药氯巴占进医保了#2024年11月28日，国家医保局、人力资源社会保障部印发了《国家基本医疗保险、工伤保险和生育保险药品目录（2024年）》的通知。本轮药品目录调整共有91个药品新增纳入目录，其中有13款罕见病治疗用药，详情可见下表： ,,https://wx4.sinaimg.cn/large/006kaxWKly1hw25prvyasj30zk2ayndb.jpg,,,2024-11-28T19:08:37,iPhone 14,2,2,7,"罕见病守护计划,国产癫痫救命药氯巴占进医保了",,2024-11-28 19:08:37
5105747717259999	,P2pwvusEL,#塔克拉玛干沙漠被围起来了# #做自然的朋友# 11月28日上午，塔克拉玛干沙漠锁边工程顺利“合龙”！荒漠化防治，SEE基金会一直在行动。从第一棵梭梭扎根荒漠，到如今绿意盎然的沙漠绿洲，每一步都凝聚了无数人的汗水和期望。,,,,,2024-11-28T18:09:38,铀媒,32,15,6,"塔克拉玛干沙漠被围起来了,做自然的朋友",,2024-11-28 18:09:38,False,1921356771,阿拉善SEE公益机构,5105719847947047	,P2oNyxlob,"#塔克拉玛干沙漠被围起来了# #做自然的朋友# 11月28日上午，塔克拉玛干沙漠锁边工程顺利“合龙”！荒漠化防治，SEE基金会一直在行动。从第一棵梭梭扎根荒漠，到如今绿意盎然的沙漠绿洲，每一步都凝聚了无数人的汗水和期望。#行动不止看见# ，加入 
一亿棵梭梭
 ，让荒漠不再蔓延！ @微博环保 ",,https://wx4.sinaimg.cn/large/728593e3ly1hw20xjq593j235s2dce83.jpg,,,2024-11-28T16:18:54,微博网页版,8,3,12,"塔克拉玛干沙漠被围起来了,做自然的朋友,行动不止看见",微博环保,2024-11-28 16:18:54
5105742148799444	,P2pnwAV8w,#微博上新了# 今天，我们迎来了多位2024年度最美救护员入驻微博。未来，将一同普及应急救护知识和技能，分享守护生命的感人故事。#寻找最美救护员#,,,,,2024-11-28T17:47:31,微博网页版,44,20,52,"微博上新了,寻找最美救护员",,2024-11-28 17:47:31,False,2205860842,中国红十字会总会,5105739703518336	,P2pjAeLhm,#微博上新了# 今天，我们迎来了多位2024年度最美救护员入驻微博，他们是@2024年度最美救护员-艾斯卡尔、@小天秤丿、@下午茶-沈俊、@读生命的人、@善良绵羊爱徒步、@钟晓安--、@JcX325、@玩水枪的小潘_、@巴塘翁姆、@巴塘向秋曲珍、@梦柯临临。未来，大家将在一起普及应急救护知识和技能，分享守护生命的感人故事。希望可以有更多人加入我们，一起了解急救、学习急救、敢于施救。在危急时刻，能有更多的救护员伸出援手！#寻找最美救护员#,,"https://wx2.sinaimg.cn/large/837ac3ealy1hw231xh1idj20ku194wsd.jpg,https://wx2.sinaimg.cn/large/837ac3ealy1hw23207g4dj20ku194gx9.jpg,https://wx2.sinaimg.cn/large/837ac3ealy1hw2322jod7j20ku194wql.jpg,https://wx1.sinaimg.cn/large/837ac3ealy1hw2325e9l1j20ku194k56.jpg,https://wx4.sinaimg.cn/large/837ac3ealy1hw23282xjcj20ku19414t.jpg,https://wx1.sinaimg.cn/large/837ac3ealy1hw232cv9adj20ku194ds7.jpg,https://wx2.sinaimg.cn/large/837ac3ealy1hw232g0whxj20ku194wqm.jpg,https://wx4.sinaimg.cn/large/837ac3ealy1hw232kc3prj20ku1944ar.jpg,https://wx4.sinaimg.cn/large/837ac3ealy1hw232m9ym4j20ku194gy3.jpg,https://wx3.sinaimg.cn/large/837ac3ealy1hw232oru5kj20ku194k3b.jpg",,,2024-11-28T17:37:48,微博网页版,45,0,204,"微博上新了,寻找最美救护员","2024年度最美救护员-艾斯卡尔,小天秤丿,下午茶-沈俊,读生命的人,善良绵羊爱徒步,钟晓安--,JcX325,玩水枪的小潘_,巴塘翁姆,巴塘向秋曲珍,梦柯临临",2024-11-28 17:37:48
