id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106138221643869	,P2zGm6TE1,"#基金# #基金热搜榜# 微博今日实时基金热搜榜（截至20241129 20:00） 点击查看详情>> 
$在微博开户买基金$
  
 
Top1:
$景顺长城创业板50ETF联接C of017950$
   
 
Top2:
$宏利印度股票(QDII) of006105$
   
 
Top3:
$中欧养老混合A of001955$
   
 
Top4:
$大摩数字经济混合C of017103$
   
 
Top5:
$银华体育文化灵活配置混合C of018590$
   
 
Top6:
$华泰柏瑞生物医药混合A of004905$
   
 
Top7:
$前海开源医疗健康C of005454$
   
 
Top8:
$易方达中债7-10年期国开行债券指数C of009803$
   
 
Top9:
$天弘港股通精选C of006753$
   
 
Top10:
$国泰利享中短债债券A of006597$",,https://wx3.sinaimg.cn/large/ebd0e12aly8hw3czapfi9j20bj1jlk33.jpg,,,2024-11-29T20:01:22,微博基金,4,0,1,"基金,基金热搜榜",,2024-11-29 20:01:22,True
5106067082839452	,P2xPCbUFC,"【#机器人概念股再度爆发#】机器人相关基金：$华夏中证机器人ETF发起式联接C of018345$←点击可查看
【#A股全市场超4200只个股上涨#】 市场早盘震荡拉升，午后有所回落，创业板指领涨，A股全市场超4200只个股上涨，近200股涨超9%。沪深两市全天成交额1.71万亿，较上个交易日放量2179亿。盘面上，大金融股集体走强带动指数拉升，锦龙股份、国盛金控、汇金科技、大智慧等涨停。机器人概念股再度爆发，拓斯达、三丰智能、巨轮智能、爱仕达等30余股涨停。大消费股表现活跃，电商、食品股领涨，若羽臣、跨境通、黑芝麻、桂发祥等涨停。板块方面，机器人、电商、互联网金融、食品加工等板块涨幅居前，燃气、影视、IP经济、机场等板块跌幅居前。截至收盘，沪指涨0.93%，深成指涨1.72%，创业板指涨2.5%。#A股# （财联社）",,https://wx4.sinaimg.cn/large/a7b5ab1bly1hw34tdrw7xj20d407ijs0.jpg,,,2024-11-29T15:18:41,微博网页版,9,1,4,"机器人概念股再度爆发,A股全市场超4200只个股上涨,A股",,2024-11-29 15:18:41,True
5106063439561318	,P2xJJE7kO,"#ETF大赛#【11月29日最新战绩榜出炉】#2024微博ETF大赛#玩转ETF，成为投资高手！利器在手，财富我有！快邀请好友一起来参赛吧！
$在微博股票开户享福利$
1、日榜单
第1名 
网页链接
 日收益率 6.40% -> 
点击看持仓
 
第2名 
网页链接
 日收益率 6.40% -> 
点击看持仓
 
第3名 
网页链接
 日收益率 5.29% -> 
点击看持仓
 
2、周榜单
第1名 
网页链接
 周收益率 8.35% -> 
点击看持仓
 
第2名 
网页链接
 周收益率 8.35% -> 
点击看持仓
 
第3名 
网页链接
 周收益率 6.13% -> 
点击看持仓
 
3、月榜单
第1名 
网页链接
 月收益率 21.25% -> 
点击看持仓
 
第2名 
网页链接
 月收益率 16.30% -> 
点击看持仓
 
第3名 
网页链接
 月收益率 13.99% -> 
点击看持仓
 
4、总榜单
第1名 
网页链接
 总收益率 103.51% -> 
点击看持仓
 
第2名 
 
网页链接
 总收益率 85.30% -> 
 
网页链接#/Personal/2106320/1414563035/166484 第3名 
 
网页链接
 总收益率 82.03% -> 
 
网页链接#/Personal/2132621/7323244856/166484",,"https://wx2.sinaimg.cn/large/0065wjQHly8hw34ebxe39j60af0vddmm02.jpg,https://wx1.sinaimg.cn/large/0065wjQHly8hw34ec1p0xj60af0vdgsh02.jpg,https://wx1.sinaimg.cn/large/0065wjQHly8hw34ec5jcsj60af0x1dn002.jpg,https://wx2.sinaimg.cn/large/0065wjQHly8hw34ec9n7rj60af0vdwlp02.jpg",,,2024-11-29T15:04:13,,5,1,1,"ETF大赛,2024微博ETF大赛",,2024-11-29 15:04:13,True
5106062537787906	,P2xIhwFZo,,,,,,2024-11-29T15:00:38,微博网页版,4,0,0,,,2024-11-29 15:00:38,False,3972729684,晓磊的基金生活,5105834563209770	,P2rMAdt0u,"#基金##买基金上微博# 这周4天收了5个蛋了
有点过份啊
真要365天收365个蛋嘛？
真要是这样的话那得是行业奇迹了 ",,"https://wx2.sinaimg.cn/large/eccb0b54gy1hw2e3099x7j20zo256dvt.jpg,https://wx4.sinaimg.cn/large/eccb0b54gy1hw2e2xx1e3j20zo256nhi.jpg",,,2024-11-28T23:54:44,,29,14,1,"基金,买基金上微博",,2024-11-28 23:54:44
5106062495847543	,P2xIdoxdd,,,,,,2024-11-29T15:00:28,微博网页版,4,0,1,,,2024-11-29 15:00:28,False,3972729684,晓磊的基金生活,5106007206527093	,P2wh2rnZH,基金#基金##买基金上微博#我刚刚在微博上购买了这只基金$国泰利享中短债债券A of006597$。转发点赞我的这条微博，在微博开户或持仓1万以上可享购买基金申购费全免哦！买基金、上微博。多一点交流，多一份选择。@微博基金 ,,,,,2024-11-29T11:20:45,微博基金,8,1,2,"基金,买基金上微博",微博基金,2024-11-29 11:20:45
5106062279839563	,P2xHRFhID,,,,,,2024-11-29T14:59:36,微博网页版,2,2,1,,,2024-11-29 14:59:36,False,2316928100,杰总,5106053606540434	,P2xtSrrsS,昨天已做买入，今天我不做操作。 ,,"https://wx4.sinaimg.cn/large/8a198464gy1hw338mwoy1j20wr0xygqm.jpg,https://wx4.sinaimg.cn/large/8a198464gy1hw338ml1r8j20wr0xntdk.jpg",,,2024-11-29T14:25:08,iPhone 15 Pro,61,17,3,,,2024-11-29 14:25:08
5106062119929848	,P2xHBFFcQ,,,,,,2024-11-29T14:58:58,微博网页版,1,0,0,,,2024-11-29 14:58:58,False,5395678996,许文臣,5106061396935183	,P2xGrt69N,"许文臣
  11 月 29 日个人思路 #a股##基金##股市# 
今天不建议追涨，各位老板稳一点，真有行情下周追也来得及。
‼️本微博为个人的自媒体平台，仅用来记录本人的观点与见解。本微博上发布的观点和陈述并非给他人所做的操作建议，各位老板不应以此替代独立判断。本人不就本微博上发布的观点和陈述作出任何保证，切勿盲目跟风。🫶看懂的老板劳驾点赞支持一下，就当养钻粉了！
～～～～精～选～微～博～分～割～线～～～～
‼️跟投组合的老板来这里领福利：@许文臣 发钱啦～～～～～～～～分～割～线～～～～～～～～
 
⚠️本人操作，切勿盲目跟风：
1.场外，组合躺平。
2. 场内建议止盈金融科技 etf。
❗️补充作业14：50在微博群内发出（群传送门：
网页链接
）
⚠️抄作业小助手：
1.过期作业有毒，不建议补过期（前一交易日的）作业。
2.如果看不懂、不理解、不认同作业，就不要强行跟风了，免得咱们都难受。
～～～～V～➕～订～阅～分～割～线～～～～
❗️订阅优惠：私信我。
❗️V➕权益：
网页链接",,"https://zzx.sinaimg.cn/largeb/005T9IAAly1hw345i9tf5j30zo0snmzj.jpg?KID=imgbed,photo&Expires=1764421839&ssig=YDASkrDDPG&uid=,https://zzx.sinaimg.cn/largeb/005T9IAAly1hw345isy1qj50u01a70wx2.jpg?KID=imgbed,photo&Expires=1764421839&ssig=Rx7gNPDiMV&uid=",,,2024-11-29T14:56:06,许文臣超话,279,247,1,"a股,基金,股市",,2024-11-29 14:56:06
5106061692633590	,P2xGVb37g,,,,,,2024-11-29T14:57:15,微博网页版,3,0,0,,,2024-11-29 14:57:15,False,5044466342,IT精英带你养基,5106009626379185	,P2wkWqLw5,"哇哇，这是我能看的嘛
 
北京·沙河
 ",,https://wx2.sinaimg.cn/large/005vo48mly1hw2y7udc5tj30yi0dmadg.jpg,,北京·沙河,2024-11-29T11:30:22,IT精英带你养基超话,62,38,1,,,2024-11-29 11:30:22
5106061637590417	,P2xGPvQC5,,,,,,2024-11-29T14:57:03,微博网页版,2,0,0,,,2024-11-29 14:57:03,False,5044466342,IT精英带你养基,5106052702146057	,P2xsq90hP,"2024-11-29无操作。
今天预估收益4016元，无操作啦。 
北京·沙河
 ",,https://wx2.sinaimg.cn/large/005vo48mly1hw335yb198j30yi07ltae.jpg,,北京·沙河,2024-11-29T14:21:33,IT精英带你养基超话,45,13,1,,,2024-11-29 14:21:33
5106058664083519	,P2xC2h8jd,,,,,,2024-11-29T14:45:13,微博网页版,4,0,0,,,2024-11-29 14:45:13,False,2316928100,杰总,5106053606540434	,P2xtSrrsS,昨天已做买入，今天我不做操作。 ,,"https://wx4.sinaimg.cn/large/8a198464gy1hw338mwoy1j20wr0xygqm.jpg,https://wx4.sinaimg.cn/large/8a198464gy1hw338ml1r8j20wr0xntdk.jpg",,,2024-11-29T14:25:08,iPhone 15 Pro,61,17,3,,,2024-11-29 14:25:08
