id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105822995059315	,P2rtVle9R,//@绿茶发言大赏:女的不吃快餐因为她们长手了会自己做，因为她们在辛勤工作甚至没时间出来坐下像先生们一样悠闲，因为她们不会在网上吊吊赖赖,,,,,2024-11-28T23:08:46,iPhone客户端,0,0,0,,绿茶发言大赏,2024-11-28 23:08:46,False,6033193095,绿茶发言大赏,5105800336642289	,P2qTnrRXH,"没完了是吧
看女的都不扶pin了给牠们急得 ",,https://wx2.sinaimg.cn/large/006AiF83gy1hw2a6ja057j30u01aagrn.jpg,,,2024-11-28T21:38:44,微博轻享版,1416,40,14,,,2024-11-28 21:38:44
5105753716690667	,P2pGbs4xZ,哈哈哈哈哈哈//@铁菊老萝莉捅爷://@l鱼苗I:我不行了//@日暮诗人和他的港湾:哈哈哈哈哈哈//@小权和小崔:啊啊啊啊啊//@米兔的韩流生活:找了一下后续报道，金老师千辛万苦滑雪到校，结果学校停课了😖//@米兔的韩流生活:经确认，这位男子竟是前国家队滑雪选手，如今是一名高中体育老师。 金正敏/体育老师（前国手）“原本打算乘公交车，但发现积雪太多，就决定直接滑雪上班。路程大约12公里，用了大概一个半小时”  金老师克服暴雪滑到学校，不过他表示回家时将乘坐公共交通“滑雪真的太累了，好久没滑感觉胳膊都快断了”,,,,,2024-11-28T18:33:29,iPhone客户端,0,0,0,,"铁菊老萝莉捅爷,l鱼苗I,日暮诗人和他的港湾,小权和小崔,米兔的韩流生活,米兔的韩流生活",2024-11-28 18:33:29,False,2602644737,米兔的韩流生活,5105642488726570	,P2mMMACb8,"今早，在遭遇空前大雪的韩国街头，一位上班族滑雪上班
 ",,"https://wx4.sinaimg.cn/large/9b213501ly1hw1rw4cj8ej20f00qoq7l.jpg,https://wx2.sinaimg.cn/large/9b213501ly1hw1rw5tviog20go0qq1l4.gif,https://wx1.sinaimg.cn/large/9b213501ly1hw1rw5fkb4g20bu06onpf.gif",,,2024-11-28T11:11:30,微博网页版,18694,631,5050,,,2024-11-28 11:11:30
5105753385862060	,P2pFEoAZm,人家数钱不知道数的多high//@天然系腹黑:没毛病 这俩双向奔赴，不是一家人不进一家门。//@卫子徐:呵呵，这对夫妻一个怨夫一个怨妇，在节目里天天装可怜，下了节目关起门来数💰，日子照常过，还不离婚。。。只能说，有本事就离，没本事就🔒一辈子，观众不是你们play的一环！,,,,,2024-11-28T18:32:10,iPhone客户端,2,1,0,,"天然系腹黑,卫子徐",2024-11-28 18:32:10,False,5663387717,松鼠娱评,5105660570897688	,P2nfX3LwQ,"#李行亮只争女儿抚养权# 李行亮说只争女儿的抚养权，儿子留给麦琳，他说麦琳不懂女儿，女儿和他是一样的人，是他的影子，甚至哭着说“我家没有人了，我只有女儿”#再见爱人##再见爱人4微博观察团# 
松鼠娱评的微博视频
 ",,,"https://f.video.weibocdn.com/u0/wGetHroLgx08jWdXGwA001041200W3dj0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=4ub7gI97adQ&Expires=1732875244&ssig=gCMKQ1FTWr&KID=unistore,video",,2024-11-28T12:23:21,微博视频号,88430,4214,1933,"李行亮只争女儿抚养权,再见爱人,再见爱人4微博观察团",,2024-11-28 12:23:21
5105125415193140	,P29kNlMYk,//@鸽出个未来://@黑山老桃桃桃://@狐臭腋汁 ://@狂暴受抚慰组长 ://@Joakima酱好味 :嘻嘻//@箐訸熠月 ://@狼吞下了柠檬 :SD=傻吊=Small Dick//@spark不夜城 :啊啊啊啊//@鹿巻 ://@少年恩劈吗 :啊啊啊啊啊啊//@梨梨司 ://@米蕬蒂 :笑得尖叫，这条肯定会被限,,,,,2024-11-27T00:56:50,iPhone客户端,0,0,0,,"鸽出个未来,黑山老桃桃桃,狐臭腋汁,狂暴受抚慰组长,Joakima酱好味,箐訸熠月,狼吞下了柠檬,spark不夜城,鹿巻,少年恩劈吗,梨梨司,米蕬蒂",2024-11-27 00:56:50,False,7829111402,手指与白栅栏,5023927508406214	,Oa2sKzgQ6,其实男的之所以发明出那么多骂女人的词汇，主要是女的实在没有一个能从本质上被击垮的弱点。男的就不一样了，因为几把小是一种根本的、客观的、恒定的、深远的、外显的、内化的、造成自卑的、日思夜想的、影响繁衍的、进化淘汰的、随时暴露出small dick energy的、无论什么性向都会有人在意的、甚至朋友之间都会窃窃私语的、从生物学本质上被否定的缺陷。,,,,,2024-04-16T23:25:21,,11043,141,3600,,,2024-04-16 23:25:21
5103965152740817	,P1F9pbv0J,"//@吾心在旅途:杨笠说了，调侃只能调侃那些成功人士！那些会破防的是什么成分呢
//@我在有求必应屋种香菜:我记得演ken的高司令本身也是个很好的男演员，我发现正常男人都有一个共同点：发自内心的谦逊，不以那种有毒的男子气概为豪，不会因为演了个什么角色就觉得有损自己的“阳刚男性形象”",,,,,2024-11-23T20:06:22,iPhone客户端,0,0,0,,"吾心在旅途,我在有求必应屋种香菜",2024-11-23 20:06:22,False,7742275547,燃烧的雾港水手,5103925923677841	,P1E88fqM1,虽然我对国内绝大多数男演员都无感，不过看到邵艺辉采访里说《好东西》的剧本给了很多男演员看都被拒了，只有赵又廷接了，并且想演那个前夫，说他很可爱，像《芭比》里的Ken。在充斥着男人与马的银幕里，一个自嘲是Ken的男演员，竟是如此的正常、专业、可贵与难得。 ,,,,,2024-11-23T17:30:29,iPhone客户端,53555,152,1931,,,2024-11-23 17:30:29
5103894893692451	,P1Dk5fuzF,抓头发真的很有精神,,,,,2024-11-23T15:27:11,iPhone客户端,0,0,0,,,2024-11-23 15:27:11,False,7646070627,美丽猪头又,5103170793506707	,P1kubeIfN,"存了一下黑头发也适配的冬日发型
（黄发冬天真的随便弄都很有氛围……
都比较简单，复杂的没存
我感觉冬天头发还是扎起来最好看
本来能争取的露肤度就小
扎起来能露一点脖颈
室外出去就戴个围巾
想披发要看外套材质
静电大的就算了
很臃肿，反复摩擦对头发也不好 ",,"https://wx2.sinaimg.cn/large/008ls8fNgy1hvtvq1veq6j30qn0ziwmn.jpg,https://wx2.sinaimg.cn/large/008ls8fNgy1hvtvq29ejvj30rj10qdks.jpg,https://wx1.sinaimg.cn/large/008ls8fNgy1hvtvq159xzj30qo0zkdow.jpg,https://wx4.sinaimg.cn/large/008ls8fNgy1hvtvqkdxxhj30qo0zk46u.jpg,https://wx1.sinaimg.cn/large/008ls8fNgy1hvtw3oxcfpj30qo0zkgtf.jpg,https://wx4.sinaimg.cn/large/008ls8fNgy1hvtw3ponovj30qo0zkqgp.jpg,https://wx2.sinaimg.cn/large/008ls8fNgy1hvtw3qlfgqj30qo0zkwph.jpg,https://wx2.sinaimg.cn/large/008ls8fNgy1hvtw3n8zimj30qo0qon58.jpg,https://wx3.sinaimg.cn/large/008ls8fNgy1hvtw3ra784j30qo0zk48k.jpg",,,2024-11-21T15:29:52,iPhone 14 Pro,900,30,100,,,2024-11-21 15:29:52
5103371428299387	,P1pHMyP35,//@战斗力旺盛的爵爵:兄弟们讨厌的是网络女权男，因为他的思想可以传播影响女性。兄弟们不讨厌现实女权男，因为他们在生活中总是要装一装的或多或少都是女权男。打压网络女权男，抬高现实女权男是有利于兄弟们择偶的最佳策略//@纽太普同学:哈哈哈哈感觉能够看到一个人的心路历程，“你竟然演女拳电影，你背叛了阶级兄弟，艹你m！”“哦你是演的，对，对女的就是要演”“等等不对啊，你都演完了我演什么”“再等等你说他娶了谁？”,,,,,2024-11-22T04:47:07,iPhone客户端,1,0,0,,"战斗力旺盛的爵爵,纽太普同学",2024-11-22 04:47:07,False,6480831590,麦卡PU10P,5103214137180641	,P1lC5u80N,"一部分顺直男在赵又廷的微博里重拳出击了。
网页链接
非常真情实感，也非常有层次感：
一恨他在《好东西》里演了个女权男。男性同盟的叛徒，女拳主义的伥鬼！龟龟那是必须要骂的。
二恨他在《好东西》的女权男是演的（经别人告知）。原来是有所企图，女性主义只是他的工具。那更要骂了！要知道兄弟们虽然恨女权男，但其实不惮于在需要的时候演一下的。现在都被他演完了，全世界都知道这一招了，没人上当了，兄弟们的路被走窄了！缅北电诈分子有多恨《孤注一掷》，兄弟们就有多恨《好东西》。
三恨当然是因为他娶走了高圆圆。在他们脑子里这相当于夺妻之恨。",,,,,2024-11-21T18:22:06,微博网页版,2031,42,274,,,2024-11-21 18:22:06
5103344147759973	,P1oZMwyIR,"//@绿茶发言大赏:这也太幽默了 
评论配图
 //@玉米猫玩微博:图一点开挂了，好笑",,,,,2024-11-22T02:58:43,iPhone客户端,1,0,0,,"绿茶发言大赏,玉米猫玩微博",2024-11-22 02:58:43,False,6033193095,绿茶发言大赏,5102518370304727	,P13vT1hgX,"这新闻标题写的，还以为是汽车成精了
因为实在抠不出一个女的来写吗？ ",,"https://wx4.sinaimg.cn/large/006AiF83gy1hvrt936sq3j30u00owtbi.jpg,https://wx4.sinaimg.cn/large/006AiF83gy1hvrt93a992j30u0177age.jpg",,,2024-11-19T20:17:22,微博轻享版,3395,35,41,,,2024-11-19 20:17:22
5103341390791489	,P1oVl3jTX,"//@我是您马:是的。看上去他们好像有四肢有大脑，但实际上大脑在胯下
他们为胯下的东西活着
//@达不溜西呀:他们好像离了这事儿就活不了一样",,,,,2024-11-22T02:47:46,iPhone客户端,0,0,0,,"我是您马,达不溜西呀",2024-11-22 02:47:46,False,3938797402,全是搞笑菌,5102511983952412	,P13lAgAcA,找托尼的一定要小心，不要允许别人随意给你拍照 ,,"https://wx2.sinaimg.cn/large/005Rvdizgy1huxvsh0ovdj30kg074dgo.jpg,https://wx2.sinaimg.cn/large/005Rvdizgy1huxvshc144j30dh0rrdhv.jpg,https://wx1.sinaimg.cn/large/005Rvdizgy1huxvshlc7oj30d20rnwfr.jpg,https://wx3.sinaimg.cn/large/005Rvdizgy1huxvshqcdjj30d50qx3zj.jpg",,,2024-11-19T19:52:00,微博网页版,33422,629,858,,,2024-11-19 19:52:00
5103290081608066	,P1nAA6Kky,//@YClick_Libra:今天刷到抖博主说抖上卫生巾带货一单的佣金普遍在20—30%，多的有40%,,,,,2024-11-21T23:23:52,iPhone客户端,0,0,0,,YClick_Libra,2024-11-21 23:23:52,False,7642340518,周末双休不犯法,5103253999584137	,P1mEnEdgR,啊不是……我真有点破防了，宠物狗用的尿垫相关标准都比女性用的卫生巾要求更高啊……#医生建议别疯抢医用卫生巾# ,,"https://wx1.sinaimg.cn/large/008lctSKly1hvu5ql0luhj30zu0s6dk7.jpg,https://wx2.sinaimg.cn/large/008lctSKly1hvu5qkhxr4j30zu17vwps.jpg",,,2024-11-21T21:00:30,iPhone 14 Pro Max,58020,1386,9067,医生建议别疯抢医用卫生巾,,2024-11-21 21:00:30
