id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105697603977645	,P2odGgGLz,//@好运爆棚的锦鲤R:事以密成//@梦娜女王度假版:但女王是认为最该保密的是你真正所珍爱之物 你还未实现的梦想 以及你的八字和祖坟地址 这个博主说的都可以乱发为什么不发//@理解性默写x:号借我玩//@评论罗伯特:那我的微博还发啥，干脆删号算了,,,,,2024-11-28T14:50:30,iPhone 16 Pro Max,0,0,0,,"好运爆棚的锦鲤R,梦娜女王度假版,理解性默写x,评论罗伯特",2024-11-28 14:50:30,False,6414878242,幸运阿颂,5104640582484799	,P1WIOaqpp,最该保密的三件事：你的感情状态，你的情绪和你准备要做的事。 ,,,,,2024-11-25T16:50:17,,748,43,313,,,2024-11-25 16:50:17
5105371758199608	,P2fK7yp5K,对于小美女来说，细看是一种残忍 ,,,,,2024-11-27T17:15:43,iPhone 16 Pro Max,3,0,0,,,2024-11-27 17:15:43,True
5104373726187906	,P1PMopXKW,双眼皮,,,,,2024-11-24T23:09:54,iPhone 16 Pro Max,2,0,1,,,2024-11-24 23:09:54,False,2261427452,mumu大魔王,4723435253794480	,L9PENfV7i,"我在收拾做双眼皮手术要用的东西，分享一下给你们！后面做其他手术也可以参考备用🌟🌟
1️⃣芬必得 止疼
2️⃣Auriga去淤青膏，手术前开始涂抹，减轻术后淤青。术后也可以涂抹在淤青的部位
3️⃣蛋白琥珀酸贴口服溶液：补铁，补气血，做手术都会失血，我一般一周前会开始喝
4️⃣积雪苷片：拆完线开始吃 防增生
5️⃣消脱止/裸花紫珠分散片：消肿，吃一种就行了（我亲测过片仔癀消肿效果最好，但是挺贵的现在）
6️⃣生理盐水 医用棉签：清理伤口，有利于恢复
7️⃣冰袋/加热眼罩：前三天冷敷，之后热敷直到消肿（要垫纱布敷！）
8️⃣红霉素眼膏：封闭伤口，消炎，防止感染
9️⃣氯霉素滴眼液：防止干燥 发炎
🔟玻璃酸钠滴眼液：做完双眼皮眼睛容易干涩，可以缓解
1️⃣1️⃣可痕：拆线后开始用，经典的硅凝胶祛疤膏，公认的去红神器。个人觉得比疤克好用。
1️⃣2️⃣康瑞保：拆线后用，抗增生，抗炎。先用一层可痕，干了之后再叠涂康瑞保。因为康瑞保单独涂很多人会发痒发红
1️⃣3️⃣易理妥/仙卡：去疤痕防增生贴，用一种即可
1️⃣4️⃣盐酸丙美卡因滴眼液：拆线神器，有一点表麻效果，涂它之后拆线轻轻松松",,"https://wx4.sinaimg.cn/large/86caa4fcly1gy5rkylu43j23402c0qv8.jpg,https://wx1.sinaimg.cn/large/86caa4fcly1gy5s3a4lvmj21400u0qje.jpg,https://wx2.sinaimg.cn/large/86caa4fcly1gy5s3d8tgpj20u0140k32.jpg,https://wx1.sinaimg.cn/large/86caa4fcly1gy5s3b2tn6j21400u0k5v.jpg,https://wx4.sinaimg.cn/large/86caa4fcly1gy683cnmdgj20m80m8acc.jpg,https://wx2.sinaimg.cn/large/86caa4fcly1gy5s38mrnrj20u0140gwt.jpg,https://wx4.sinaimg.cn/large/86caa4fcly1gy682vnwc0j20m80m80vs.jpg,https://wx3.sinaimg.cn/large/86caa4fcly1gy5s3efhxjj20u0140wuf.jpg,https://wx2.sinaimg.cn/large/86caa4fcly1gy681fu43rj20m80m8mxq.jpg",,,2022-01-08T18:36:24,iPhone 12,654,64,356,,,2022-01-08 18:36:24
5103998920560702	,P1G1S2lRA,"特种兵跑来做了个眼睛，明天就回去… 
韩国·首尔
 ",,,,韩国·首尔,2024-11-23T22:20:33,iPhone 16 Pro Max,1,0,0,,,2024-11-23 22:20:33,True
5103998457876249	,P1G17x2Yh,转发微博,,,,,2024-11-23T22:18:43,iPhone 16 Pro Max,1,0,0,,,2024-11-23 22:18:43,False,7164937050,酸奶不吃鱼020,4581257764146699	,Jy5SUhoKf,"🙉疤痕医生功课
姐妹们暂时整理出这些，没提到的后期补上，建议转走做功课
1⃣ 济南丽合，只看到他们家在主做疤痕项目，没有看到推的医生，大家自己做做功课吧，功课了解到主做眼角疤痕，肋骨疤痕，术后的一些疤痕，胎记修复，术式多数是激光，手术也能做
2⃣  刘加勇:北京  擅长疤痕修复增生疤痕，方式切开缝合+激光治疗
3⃣ 杨东运:重庆 擅长疤痕修复，方式切开缝合
4⃣ 班振:上海 擅长疤痕修复 方式切开缝合
5⃣ 欣奕:✘✘  做痘印疤痕比较多
6⃣ 陈立彬:上海 做疤痕疙瘩比较多，方式切开缝合
7⃣ 吴余乐:南京  好像祛痘坑多，方式应该是激光，我需要在研究一下他
8⃣ 李淑敏:北京 增生疤痕处理比较多，方式切开（待定）
9⃣ 张小路:✘✘ 做烧伤烫伤比较好，看了好几个案例是采用激光方法
1⃣ 0⃣ 黎海棠:北京 擅长疤痕疙瘩  方式切开
1⃣ 1⃣苏映军:北京 烧伤烫伤，各种疤痕，方式切开缝合
🙉如果是增生的很严重的疤痕需要手术的我觉得考虑缝合可以，要是就一点点小的，做激光也能行🤓",,,,,2020-12-12T10:33:49,,539,277,1309,,,2020-12-12 10:33:49
5103991803871767	,P1FQogfdR,转发微博,,,,,2024-11-23T21:52:15,iPhone 16 Pro Max,0,0,0,,,2024-11-23 21:52:15,False,6111498949,不知名美女静,5103287093957044	,P1nvLgBpi,用这个特效可以看到自己人中缩短后的样子 ,,https://wx4.sinaimg.cn/large/006FBe3Hgy1hvu9jetyafj30zu25ou0x.jpg,,,2024-11-21T23:12:00,iPhone 14 Pro Max,94,6,15,,,2024-11-21 23:12:00
5103969758348187	,P1FgPz1Kb,祛疤,,,,,2024-11-23T20:24:40,iPhone 16 Pro Max,0,0,0,,,2024-11-23 20:24:40,False,7750309865,piger澜澜,5021278098951192	,O8VxvByC4,"最近不是做了双眼皮加宽吗，又来了一刀，就又要进入术后护理阶段…@Tru刘佳寅 告诉我，在拆线即刻，伤口还没愈合的时候，赶紧敷一下氨甲环酸（十分钟），让药渗入进去
但是我拆线在湘潭，没买到氨甲环酸，现在回北京了，赶紧敷上
回北京那天，我眼睛增生挺红的，还比较明显
用了这个办法我敷完，马上红色的地方变浅色了，氨甲环酸有美白的作用果然名不虚传！
但是不要敷太久，每天十分钟，不可贪多哈！
然后增生涂祛疤膏作用没有很大，前期涂一下积雪甘霜软膏效果反而好些，软化增生加速点。
为什么我这么相信我这个朋友说的，因为她双眼皮也做了几次，但是一点疤痕都没有，护理还是得跟已经有成果的人学！",,"https://wx2.sinaimg.cn/large/008svvDPly1hokms49xwpj32c03401l0.jpg,https://wx3.sinaimg.cn/large/008svvDPly1hokms87uluj32c0340qv7.jpg,https://wx1.sinaimg.cn/large/008svvDPly1hokmsbqvt1j32c0340hdv.jpg",,,2024-04-09T15:57:32,iPhone 13 Pro Max,299,32,173,,Tru刘佳寅,2024-04-09 15:57:32
5103838866706004	,P1BRIs8xm,转发微博,,,,,2024-11-23T11:44:33,iPhone 16 Pro Max,0,0,0,,,2024-11-23 11:44:33,False,7678533055,肤白貌美的月野桃子,5021674822963417	,O95RocqV3,还有没有韩国干净方便的民宿推荐啊 金大荣家要休业一个月 不知道定哪里了 谢谢美女宝子们分享名片 ,,,,,2024-04-10T18:13:59,iPhone 13 Pro Max,59,36,19,,,2024-04-10 18:13:59
5103838057731684	,P1BQpwrmA,民宿,,,,,2024-11-23T11:41:20,iPhone 16 Pro Max,0,0,0,,,2024-11-23 11:41:20,False,7678533055,肤白貌美的月野桃子,5075222263498493	,OvySeeG7j,真的是全韩国最干净的民宿了 老板每天整理的都好干净 尤其是卫生间也有干湿分离 每天回来衣服也给我叠好了 ,,"https://wx4.sinaimg.cn/large/008nEldlgy1htcq9ftg7sj32c0340x6q.jpg,https://wx3.sinaimg.cn/large/008nEldlgy1htcq9i0p55j32c0340b2a.jpg,https://wx2.sinaimg.cn/large/008nEldlgy1htcq9lr6woj32c03407wj.jpg,https://wx3.sinaimg.cn/large/008nEldlgy1htcq9nxrb2j31400u0795.jpg,https://wx3.sinaimg.cn/large/008nEldlgy1htcqa5ys0lj30zo0zoaej.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003Tx1qfgx08hMfLam5G0f0f010090vV0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003BB26Kgx08hMfLvba80f0f0100g4dQ0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003FDZJigx08hMfLOiZa0f0f0100dlip0k01.mov,,2024-09-05T12:32:23,iPhone 13 Pro Max,83,20,57,,,2024-09-05 12:32:23
5103302754961860	,P1nV1kOO0,转发微博,,,,,2024-11-22T00:14:14,iPhone 16 Pro Max,1,0,0,,,2024-11-22 00:14:14,False,6200197802,小樱暹罗,4979200920392259	,Nxenq1E2L,"台湾医师科普新上市的MOTIVA魔滴二代—Joy
我心中最完美的材料
 
小樱暹罗的微博视频
 ",,,"https://f.video.weibocdn.com/o0/anG4fozzlx08aXCS0OE001041200H0YQ0E010.mp4?label=mp4_720p&template=1328x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732803757&ssig=DJz2%2FkuyV0&KID=unistore,video",,2023-12-15T13:17:51,带刺的玫瑰,9,5,7,,,2023-12-15 13:17:51
