id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105731760294037	,P2p6M1eux,下巴第10天 希望快快消肿 ,,"https://wx2.sinaimg.cn/large/008vwqfnly1hw22alqjyjj30y028w1bl.jpg,https://wx2.sinaimg.cn/large/008vwqfnly1hw22amlp99j30y028wh1v.jpg",,,2024-11-28T17:06:14,Xiaomi MIX Flip,0,2,0,,,2024-11-28 17:06:14,True
5104579551169563	,P1V8n4UfV,2025年日历📆,,,,,2024-11-25T12:47:46,Xiaomi MIX Flip,0,0,2,,,2024-11-25 12:47:46,False,5613575525,越来越美的ironX,5104570042155799	,P1UT292OX,2025年整容日历到啦！分享给宝宝们 ,,"https://wx4.sinaimg.cn/large/0067TZqJly1hvycv6474lj33402c07wl.jpg,https://wx1.sinaimg.cn/large/0067TZqJly1hvycv7d2pij33402c0npg.jpg,https://wx2.sinaimg.cn/large/0067TZqJly1hvycv9b6g6j33402c07wl.jpg,https://wx1.sinaimg.cn/large/0067TZqJly1hvycvbhh67j33402c07wl.jpg,https://wx2.sinaimg.cn/large/0067TZqJly1hvycvded3sj33402c0e85.jpg,https://wx3.sinaimg.cn/large/0067TZqJly1hvycvg2ilaj33402c04qt.jpg,https://wx2.sinaimg.cn/large/0067TZqJly1hvycvitb2vj33402c0b2d.jpg,https://wx3.sinaimg.cn/large/0067TZqJly1hvycv42yprj33402c0hdx.jpg,https://wx3.sinaimg.cn/large/0067TZqJly1hvycvlaiplj33402c07wl.jpg",,,2024-11-25T12:09:59,iPhone客户端,98,8,291,,,2024-11-25 12:09:59
5104361010627874	,P1PrT2Dl0,数不清是第几个失败的了。。。,,,,,2024-11-24T22:19:21,Xiaomi MIX Flip,0,0,0,,,2024-11-24 22:19:21,False,,,5104319416240902	,P1OmNqbxI,"抱歉，此微博已被作者删除。查看帮助：
 
网页链接",,,,,2024-11-24T19:34:05,,0,0,0,,,2024-11-24 19:34:05
5103700573946481	,P1ygFgyEV,"刷新主页看不到关注的人更新的内容  往下滑都是推荐关注的人发的东西 那我关注的意义在哪 我请问
 ",,,,,2024-11-23T02:35:01,Xiaomi MIX Flip,1,0,0,,,2024-11-23 02:35:01,True
5103323499725545	,P1ostEO3D,//@Dhjmhjji:就是他，他在上海馥兰朵手术给我做坏  在杭州德美也手术，在杭州给另一个小姐姐人中做坏了，我作品有转发。   他有时叫孙东来，有时叫孙来东//@冷公子-vki:杭州有个孙东来 我还以为是他,,,,,2024-11-22T01:36:40,Xiaomi MIX Flip,2,0,0,,"Dhjmhjji,冷公子-vki",2024-11-22 01:36:40,False,7605420374,馥兰朵孙来东,5091904366837768	,OCyQQsGOA,"*上海馥兰朵孙来东把我上唇肉切下来，填进上唇小豁口里面。
 
*现在上唇凹凸不齐，后填进去的肉很硬吃饭喝水磨嘴巴，闭不上嘴睡觉流口水走路进风。
 
*后填进去的肉掉出来，机构让我自己用牙签塞进去。估计填太多肉撑出来了，就像包子皮小馅大的道理。
 
*伤口化脓，机构让用漱口水漱漱。另一个w权客户，机构也让她用漱口水。牛！万能漱口水！
 
*面诊多家三甲，都说修复难，因为里面疤痕增生，取出困难，打bo尿酸也会刺激增生。代表我可能一辈子这样。
 
*机构让我走鉴定，鉴定费1w左右，机构最后还有可能不认，增加w权成本。
 
*你们让我签十多张空白合同(填空部分空着没填那种)，如果你们不承认，请发我签合同当天监控。
 
*我承认我真的很想不开，但我s都不怕，还会怕什么呢？这种伤害用米都弥补不了。
 
*可能很快会被他们举报下架，希望看到的帮我评论转发下。
上海·上海馥兰朵医疗美容
医美整形与健康
上海·上海馥兰朵国际医疗美容整形植发医院",,"https://wx2.sinaimg.cn/large/008iHzgygy1huty6ov8ouj31w92j0e81.jpg,https://wx2.sinaimg.cn/large/008iHzgygy1huty6qmdy7j31g50ute18.jpg,https://wx4.sinaimg.cn/large/008iHzgygy1huty6r8faoj32j02j0b29.jpg,https://wx3.sinaimg.cn/large/008iHzgygy1huty6s68kkj32j02j0hdt.jpg,https://wx1.sinaimg.cn/large/008iHzgygy1huty6ssfqfj31w91zlkho.jpg,https://wx2.sinaimg.cn/large/008iHzgygy1huty6tf865j32j02j0kjl.jpg,https://wx3.sinaimg.cn/large/008iHzgygy1huty6ntp5sj30wi17ctlh.jpg,https://wx3.sinaimg.cn/large/008iHzgygy1huty6u31bgj30wi17cna9.jpg,https://wx2.sinaimg.cn/large/008iHzgygy1huty6unyy7j30wi17ctmd.jpg,https://wx1.sinaimg.cn/large/008iHzgygy1huty6v60laj30wi17cnad.jpg,https://wx3.sinaimg.cn/large/008iHzgygy1huty6vyltjj30wi17cwup.jpg",,上海·上海馥兰朵医疗美容,2024-10-21T13:21:06,医美整形与健康超话,49,30,41,,,2024-10-21 13:21:06
5103240628144655	,P1miOyaNp,感觉卧蚕还是得打针,,,,,2024-11-21T20:07:22,Xiaomi MIX Flip,0,0,0,,,2024-11-21 20:07:22,False,6433682798,袁璟羽yu,5103216927443586	,P1lGAvepQ,"好多人问我卧蚕 无聊翻相册正好可以说一下
脂肪卧蚕唯一的缺点就是吸收太快了
已经是第二次做了 15天到一个月的时候是最好看的
但是到第二个月的时候就吸收很多了
感觉这个项目得三个月做一次 （像我这种喜欢夸张版本的）但是确实除了吸收快无任何缺点对我来说是这样的 ",,"https://wx2.sinaimg.cn/large/0071p4Noly1hvu05cwpahj31400u0ta8.jpg,https://wx3.sinaimg.cn/large/0071p4Noly1hvtzmwnq1dj30f40qower.jpg,https://wx1.sinaimg.cn/large/0071p4Noly1hvtzmq72dqj30k00zk0t8.jpg,https://wx3.sinaimg.cn/large/0071p4Noly1hvtzmy7pikj31hc0u0tc3.jpg,https://wx4.sinaimg.cn/large/0071p4Noly1hvu04rfen6j30u01hcdh8.jpg,https://wx4.sinaimg.cn/large/0071p4Noly1hvu1f2c8u5j30u01hcq56.jpg","https://f.video.weibocdn.com/o0/2WZWDXAjlx08jLpXEhVu010412002ixL0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732790360&ssig=7hQA4uVi4a&KID=unistore,video",,2024-11-21T18:33:11,微博视频号,223,53,29,,,2024-11-21 18:33:11
5103122051760897	,P1jdz7o5z,试下运气,,,,,2024-11-21T12:16:10,Xiaomi MIX Flip,0,0,0,,,2024-11-21 12:16:10,False,7714939020,体雕医生熊路遥,5102792665202856	,P1aEilPv2,"🐻🐻🐻【年终体雕季】感恩熊熊粉丝抽奖活动正式上线❗️
🐻🐻🐻限时活动，参与活动领取双S曲线❗️
具体的活动详情下面文案中公布，名额有限，具体咨询请戳v x ：
现在关注@体雕医生熊路遥 与我互动，积极转发、评论、点赞我的微博，累计互动分值。活动截至到12月18日，微博粉丝互动榜排名前2名将直接获得一等奖。
二等奖由@微博抽奖平台 从本条博文“转赞评”中抽取幸运粉丝。
🐾一等奖（互动榜）：享熊路遥手臂环吸/腰腹环吸/大腿环吸三选一免单， 共2️⃣位！
🐾二等奖：🧧188.88元，抽取1️⃣8️⃣位！
活动说明：
1：参与条件：所有中奖的粉丝，要保证注册账号超过3个月；账号必须实名身份认证（实施手术时查验身份信息）。开奖时转发内容不得删除，否则奖励作废。
2：享受手术费用免单的粉丝，默认成为我院案例客户，同意分享手术效果。
3：互动排行榜单前2名的粉丝，需在我进行私信确认获奖后的一周内联系@熊路遥助理Andy 并确认兑换奖励，确认后不得变动，不得转让，逾期自动丧失手术优惠资格。
4:  本活动仅限于吸脂整形项目的手术费用，不包含其它部位手术费、麻醉费、杂费。
5：若抽中多种奖项，则按最高级别奖项为准。
6：使用时效：兑奖后三个月内有效，可更改一次手术日期，超出三个月未使用自动作废。
注意事项：
1. 能充分理解医学的不确定性，也理解个人审美观点存在很大的差异，愿意听从熊路遥医生的意见。若审美、手术方案与熊路遥医生不能达成一致，或体检发现身体有不适合手术的情况，自愿放弃本次机会。
2.不能接受及承担手术的客观风险，或手术费用将影响正常生活的不建议参与。#好物分享##熊路遥体雕##吸脂##好物推荐#吸脂
 
抽奖详情",,"https://wx3.sinaimg.cn/large/008q764kgy1hvsogts0jkj30yi22ou0x.jpg,https://wx3.sinaimg.cn/large/008q764kgy1hvsogsle3yj30yi22o4qp.jpg",,,2024-11-20T14:27:18,iPhone 16 Pro Max,69,99,80,"好物分享,熊路遥体雕,吸脂,好物推荐","体雕医生熊路遥,微博抽奖平台,熊路遥助理Andy",2024-11-20 14:27:18
5102823753384550	,P1bsrectw,"肌肉折叠卧蚕 脂肪卧蚕 adm 哪个远期比较靠谱啊
 ",,,,,2024-11-20T16:30:51,Xiaomi MIX Flip,1,0,0,,,2024-11-20 16:30:51,True
5102779447902609	,P1aiYx9Pr,"我做手术前给医生看我的模板 模板女生是peek做的 医生说模板做出来太宽太大不适合我
会比较突兀 我适合秀气一点的下巴",,,,,2024-11-20T13:34:47,Xiaomi MIX Flip,0,0,0,,,2024-11-20 13:34:47,False,5415961399,恒恒子Hang,5102772945160433	,P1a8ulEsN,"基本上我做过的手术，我都会写功课分享，唯一一个没写的就是peek下巴。
手术我是挺满意的，zc给我做的挺好的，硬要说的话就是有点宽，其它没啥。
因为我自己基础差，下巴做过截骨前移有钛钉，骨头还是坑坑洼洼的，设计起来比较有难度，当年好多医生都不接我，所以zc接了我，做的挺好，我还是很感激，虽然没少花钱。
我没写功课的原因就是觉得：（硬挑毛病）
1⃣️peek成本比较高，所以价格会比较贵 
2⃣️假体太硬了！真的太骨感了！比自己的骨头还要硬很多，所以做动态表情的时候，就会觉得下巴脱节感很强，和肋骨鼻大笑有点雷同
3⃣️假体需要 先到院面诊（3d模拟），然后定制方案，把这个方案数据确定好发送给厂家，让他定制专属于你的假体
这就会有一个问题：3d模拟的时候，你是没办法预估到这个假体实际放进你下巴里面呈现出来的效果是咋样！所以这就导致了，万一假体设计量少了后面要打针补，设计量多了要医生术中打磨，还费钱
所以3d打印宣传点是数据精准，但用在下巴这里我觉得没啥意义（我自己的感受哈！
总结：下巴非疑难杂症的宝宝，不如直接做一个硅胶/膨体下巴好，除非说是缺太多了，正常假体没有这个大小的，那还是去3d打印吧～
还有就是下巴恢复期太煎熬了，憋嘴像老太太，每天都在网上搜下巴多久会自然。",,,,,2024-11-20T13:08:58,,51,30,16,,,2024-11-20 13:08:58
5102604848464941	,P15Lmzw7j,韩国卧蚕,,,,,2024-11-20T02:01:00,Xiaomi MIX Flip,0,0,0,,,2024-11-20 02:01:00,False,6173368476,我是肖子梵,5088412081590896	,OB6086FRC,"我卧蚕是（暧昧🇰🇷）打的，3000多💰（具体忘了）
做了功课他们家ig上面的案例全部都是卧蚕我才去的，审美很好，然后顺便还委婉的说了我的嘴唇不适合我
（爱ta打得失败）
是一个女医生，前台是台湾人，有中文服务
打得时候挺快的，针头有折弯一点，目的应该是更好进针
给我眼头打起来了，有一点开眼角的感觉，我眼尾很难打起来，腔隙出来了没办法[淚][淚]
切过眼袋或者打了很多次都往下面流的话可以考虑手术了[老師好]
今天跟我一个台湾朋友在讨论卧蚕这个事，感觉打很多次的归宿都是手术😷请珍惜每一次做加法的机会",,"https://wx2.sinaimg.cn/large/006JMP9igy1huit0hnaepj30u01t1101.jpg,https://wx2.sinaimg.cn/large/006JMP9igy1huit2nsqefj30u01t1gw3.jpg,https://wx3.sinaimg.cn/large/006JMP9igy1huit2ocyilj30u01t17eb.jpg",,,2024-10-11T22:04:01,iPhone 15 Pro Max,83,22,39,,,2024-10-11 22:04:01
