id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105618098586067	,P2m9rA1CX,"骨水泥…启动
//@一颗QQ子: 回复@什么时候能消肿啊:玻尿酸往下流 脂肪胶全吸收 //@一颗QQ子: 研究+1 玻尿酸和脂肪胶都试过了",,,,,2024-11-28T09:34:34,微博轻享版,0,0,0,,"一颗QQ子,什么时候能消肿啊,一颗QQ子",2024-11-28 09:34:34,False,7750309865,piger澜澜,5051494193955645	,OlBB9gB2J,"我最近在研究额头
我发现韩国美女额头都很好看 不后倾
这个点之前很少注意到…
我就额头后倾
现在纠结是脂肪填一下 还是假体…
有没有过来人说两句 ",,,,,2024-07-02T01:05:31,iPhone 13 Pro Max,56,33,6,,,2024-07-02 01:05:31
5105611468179430	,P2lYKyjQi,转发,,,,,2024-11-28T09:08:14,微博轻享版,0,0,0,,,2024-11-28 09:08:14,False,6199287046,莽吉塔阿糖,4362485144055237	,Hqdwuh0X3,"说我安利骨粉？这真是搞笑了，我连鼻基底填骨粉都不赞成，微晶瓷都不想让粉丝打。现阶段骨粉能做的用途只有种植牙时候补牙槽骨合理。 
另外骨水泥说过很多次啦，我是嫌自己气质不好，所以想做，不建议大家做，包括小j去做手术之前我都一直建议大家不要着急，等小j效果。做完之后我也点评了小j当时形态上的弊端。没有鼓吹，也没刀架谁脖子上逼谁去做，知道有姐妹做了这个手术我第一反应也是，真是个狼人😂 
而且，真不知道是暴露了谁的智商，我说的骨水泥是Pmma聚甲基丙烯酸甲酯，您说的是cpc羟基磷灰石人造骨，早就被淘汰了，麻烦搞清楚，我在实验室做牙科骨粉的时候您还不知道干啥呢。
别说院士说sci是just soso了，我每天面试硕士研究生，一边面一边看，看完就扔垃圾箱，从来没当个事，因为我公司就是sci出版公司
工作内容就是跟国外编委团队沟通做同行评审。比文化，真有意思。",,"https://wx2.sinaimg.cn/large/006LxzKKly1g26xkbrejcj30hs0vkdth.jpg,https://wx3.sinaimg.cn/large/006LxzKKly1g26xk15p1ej30hs0vk1kx.jpg,https://wx3.sinaimg.cn/large/006LxzKKly1g26xk1xoecj30hs0vkqp2.jpg,https://wx1.sinaimg.cn/large/006LxzKKly1g27e7y20ojj30n010nk4f.jpg,https://wx4.sinaimg.cn/large/006LxzKKly1g27eknf0nij30hs0gn43h.jpg,https://wx1.sinaimg.cn/large/006LxzKKly1g27ewy44kpj30hs0vk783.jpg",,,2019-04-18T17:49:32,泼系少女的iPhone客户端,10,39,8,,,2019-04-18 17:49:32
5105538174288025	,P2k4xhZvH,//@福运腿毛: 可以理解看到图二图三动态想去掉一部分软组织的想法，但是她去除颊脂垫后因为苹果肌本身并没有缩小，所以术前脸颊肉➕苹果肌都饱满的平衡感，在术后变成了只剩苹果肌突出的厚重感。,,,,,2024-11-28T04:17:00,微博轻享版,0,0,0,,福运腿毛,2024-11-28 04:17:00,False,3195369740,福运腿毛,5054633598260971	,OmVgHyF3t,"比五官精致更重要的是面部结构性的平衡
看懂平衡就会清楚自己整形的最捷径 ",,"https://wx1.sinaimg.cn/large/be75790cgy1hrj1ledm32j22801o07vh.jpg,https://wx1.sinaimg.cn/large/be75790cgy1hrj1mhwoqrj22yo1o04qp.jpg,https://wx3.sinaimg.cn/large/be75790cgy1hrj1mc522tj20zo256hdt.jpg,https://wx2.sinaimg.cn/large/be75790cgy1hrj1l8w7ojj22560zo4qp.jpg,https://wx2.sinaimg.cn/large/be75790cgy1hrj1mjifpij21bk0zogsk.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003Bb0kkgx08gjDcOl1B0f0f0100WPL80k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000CTCs1gx08gjDpmNjV0f0f0101rf2u0k02.mov,,2024-07-10T17:00:23,iPhone 13 Pro Max,87,12,34,,,2024-07-10 17:00:23
5105533062742154	,P2jWibvmi,转发,,,,,2024-11-28T03:56:40,微博轻享版,0,0,0,,,2024-11-28 03:56:40,False,6731595793,小琪审美功课,5103076706879409	,P1i2qsREd,"#轮廓# #审美# #韩国轮廓手术# 
韩国各个轮廓医院的总结（一）
这个姐妹也总结了！很详细！！！
网页链接
我本人颧弓问题比颧骨大，眼后留白较多，太阳穴不凹陷，所以适合高位截骨，去骨不多的，能保留45度，微上提固定的医院。此外，我耳位偏低，留大角会比较钝，适合留中小角。下巴看审美，我素方圆阔面脸配尖圆下巴更精致些。根据这些要求找了些医院。实在是没有完美医院，都要做取舍
1️⃣cooki：考虑三件套（协议版）。就我蹲到的野生情况来看，老郑现在贼听话，适合非常有自己想法的人，下颌既可以很保守又可以很极致。颧骨颧弓高位截骨，去骨少，对颧弓改善大。微上提固定，适合太阳穴没那么凹的人。目前看到的ct都没有骨缝，可保留45度。下巴可以切到颏侧，批外板，可以留角。属于比较稳的流水线吧。
雷点❌：1️⃣他家手术室很小，有野生反馈卫生条件一般，并且护士不穿护士服。还能在隔壁听到手术室打电话的声音....进去做手术时窗户🪟还是开着的....总体让人心里不放心。2️⃣术后服务态度一般。3️⃣会捂嘴🫢，中文室长很关注微博动态。4️⃣中韩不同价，并且价格不随韩国汇率波动，转账收款人是个东北大哥。5️⃣定金不退。6️⃣轮廓基本是中国人，眼睛很多外国人去做。7️⃣术后消肿管理也不多（照灯➕挤淤血）
2️⃣respect：考虑三件套。高位截骨线，去骨少，对颧弓改善大。微上提固定适合太阳穴没那么凹的人。可以保留45度，外板可批可磨。下巴下颌我超爱，是我爱的尖尖下巴！下颌曲线很好看，院长刀工很好，审美也不错。下巴可以做骨移植。蹲到的野生ct，很好看，颧骨没有骨缝，下颌依然是我爱的那条曲线截骨。他家下颌总体偏保守。目前还是中韩同价（要砍价），但根据跟韩国室长的交流，他家火了绝对涨价
，希望要冲的宝宝不要被他们pua！他家价格330w单件套，900w三件套！！！我们要齐心协力。不能助长歪风邪气！
网页链接
雷点❌：1️⃣术后不住院，不插引流管，不挤淤血，消肿管理也不多，目前乱报价。2️⃣没有中文室长，沟通麻烦。
3️⃣345: 对我来说只考虑下巴下颌，他家颧骨术式不适合我。中高位截骨线，颧骨去骨量普遍在5-7，对颧骨改善比颧弓大。有野生反应颧弓推不进去。下巴下颌可以留角，下颌可以环切到下巴（要加钱），免费磨外板，免费去咬肌，取颊脂垫要加钱（很贵），可做下巴延长骨移植（要加钱）。目前也是中韩同价！但素客服说之后会涨。我们一样要齐心协力！！！！目前有一个团购活动，但是截止到十一月底。
雷点❌：颧弓颧骨不适合我。
4️⃣mdy：只考虑下巴下颌。
雷点❌：1️⃣目前蹲到的野生来看，如果单做下颌尊的不处理下巴
。2️⃣中韩不同价。3️⃣对我来说有点太一刀切了。
5️⃣ru：新医院，目前不考虑，
网页链接
。
雷点❌：1️⃣院长顺手情况比较严重。2️⃣钉子有点乱打。3️⃣院长什么都做。4️⃣院长资质不行。（但素他家颧弓靠后斜切、高位截骨，上提固定，练好了有朝一日maybe能超越女神。）
6️⃣女神：不考虑。具体术士可以看这个姐妹整理的。
网页链接
。
雷点❌：目前蹲到的野生，我觉得不行❌的是：颧骨随机东非大裂缝，颧弓后端骨不连钉子一辈子不能拆（接受不了），颧弓后端上提太多，我本身太阳穴不凹陷，推完极有可能彭出。除此之外的个人因素：权太冷漠我不喜欢。",,"https://wx2.sinaimg.cn/large/007lz5zHgy1hvtlmk6gk4j31404wze82.jpg,https://wx3.sinaimg.cn/large/007lz5zHgy1hvw528sptjj31401y01cj.jpg",,,2024-11-21T09:16:00,iPhone 15 Pro,31,3,19,"轮廓,审美,韩国轮廓手术",,2024-11-21 09:16:00
5105509591941847	,P2jkr89a7,"@借来的变美小号 
姐妹呀…额度没了 ",,https://wx4.sinaimg.cn/large/008frMccgy1hw1csfmtzfj30u01t10yu.jpg,,,2024-11-28T02:23:25,微博轻享版,0,0,0,,借来的变美小号,2024-11-28 02:23:25,True
5105312195941239	,P2ec3oVAr,//@还有多久的零酱:眼眶减压//@23年好起来:回复@想吃宽粉了:王毅、周慧芳、魏锐利、刘桂琴、卢蓉//@23年好起来:眼眶减压我也是刚性手术，关注了几个医生，王y，周hf，魏rl，刘gq，期待博主一起分享,,,,,2024-11-27T13:19:02,微博轻享版,0,0,0,,"还有多久的零酱,23年好起来,想吃宽粉了,23年好起来",2024-11-27 13:19:02,False,5987796917,想吃宽粉了,4640464039575560	,KgYEzEb2w,"目前做过最恶心的功课是眼眶减压，别的解剖图虽然血腥但是没有这么恶心。看病理性突眼的图真的生理不适，主要我自己也突，感觉看多了自己眼球要掉下来。
我是一定要做的，但是三甲对眼眶减压的👋术指征要求很严格，不一定能接我。还有一种术式是通过眼综合👋术视觉上改善突眼，听起来很🐂，六月份找时间去面一下看看。",,,,,2021-05-24T19:38:24,,39,54,22,,,2021-05-24 19:38:24
5105301829454772	,P2dVkDFCk,转发,,,,,2024-11-27T12:37:51,微博轻享版,0,0,0,,,2024-11-27 12:37:51,False,5613575525,越来越美的ironX,5104570042155799	,P1UT292OX,2025年整容日历到啦！分享给宝宝们 ,,"https://wx4.sinaimg.cn/large/0067TZqJly1hvycv6474lj33402c07wl.jpg,https://wx1.sinaimg.cn/large/0067TZqJly1hvycv7d2pij33402c0npg.jpg,https://wx2.sinaimg.cn/large/0067TZqJly1hvycv9b6g6j33402c07wl.jpg,https://wx1.sinaimg.cn/large/0067TZqJly1hvycvbhh67j33402c07wl.jpg,https://wx2.sinaimg.cn/large/0067TZqJly1hvycvded3sj33402c0e85.jpg,https://wx3.sinaimg.cn/large/0067TZqJly1hvycvg2ilaj33402c04qt.jpg,https://wx2.sinaimg.cn/large/0067TZqJly1hvycvitb2vj33402c0b2d.jpg,https://wx3.sinaimg.cn/large/0067TZqJly1hvycv42yprj33402c0hdx.jpg,https://wx3.sinaimg.cn/large/0067TZqJly1hvycvlaiplj33402c07wl.jpg",,,2024-11-25T12:09:59,iPhone客户端,101,8,309,,,2024-11-25 12:09:59
5105173036794304	,P2azBsvvy,"本人非常后悔年少无知打了便宜的bns啊
真的吸水吸到怀疑人生",,,,,2024-11-27T04:06:04,微博轻享版,0,0,0,,,2024-11-27 04:06:04,False,7430703464,天天都要吃泡菜,4984492055593770	,Nzs1vntc6,"神啊 姐妹们 无论在哪 无论任何部位 打bns都不要选韩国产的bns 真滴真滴很垃圾 杂质很多吸水性很强 免疫力差一点的时候会发炎 而且溶不干净 真不差那几个钱 
打嘴第一梯队: 乔雅登质颜 保柔缇Balance 瑞蓝二号；第二就是乔雅登雅致和Ultra 2
韩国诊所打👄选这几个型号一般就不超过40万韩币  当然特别火的针对中国人收高价的诊所例如moon clinic就不在讨论范围之内了
去韩国也不要打很多诊所推的瑞蓝Kysse 说是唇部专用 但是真的很硬
bns并不是很多人想象中的那样“高耗” 往脸上堆十支八支的量根本不正常 打嘴一次最多打0.8-1ml 越薄的嘴唇越需要少量多次打 打卧蚕每边0.1-0.2ml 多了的话 卧蚕真的会吸水吸得很丑 呈半透明果冻状
bns在我体内可以留个好几年 我三年前雅致打的0.8ml的嘴唇至今不用补针 做膨体眉弓四到六年前往眉弓打了两次乔雅登极致 每次1ml（打两边）眉心打了0.2ml雅致 山根和鼻梁打了0.8ml丝丽XXL 做眉弓前一针溶解酶下去T区直接瘪了 我才知道这些bns在我体内撑了这么久 所以啊 打bns一定要选好的材料 要不就别打了
（由于国内进口bns的价格太吓人 还是绕道去韩国打吧）",,https://wx1.sinaimg.cn/large/0086StpSgy1hlb9ozuttlj30v80qk0xd.jpg,,,2023-12-30T03:42:56,iPhone客户端,13,1,13,,,2023-12-30 03:42:56
5104922956140094	,P244fpLjM,//@小猫的喜欢: 可以的 但基本没什么用 还是得去骨壁 //@天天都要吃泡菜: 眼眶减压还能用脂肪做？？,,,,,2024-11-26T11:32:20,微博轻享版,0,0,0,,"小猫的喜欢,天天都要吃泡菜",2024-11-26 11:32:20,False,7735491115,小猫的喜欢,5041287504070588	,Ohk4Kh4WE,做的所有手术里唯一的无效手术就是脂肪眼眶减压🙃 ,,,,,2024-06-03T21:07:46,iPhone 13 Pro Max,0,3,1,,,2024-06-03 21:07:46
5104524170103786	,P1TH30qZY,转发,,,,,2024-11-25T09:07:42,微博轻享版,0,0,0,,,2024-11-25 09:07:42,False,2487006824,好运米米,5104368133341575	,P1PDne1in,"逛了一晚江南unni 韩国人普遍还是埋线/自然粘连比较多 整理了一些全切/修复的医生
1. 美迪营 张男 - 美迪营居然是韩网最便宜评价最好的眼睛医院（之一）中国人好像都没有去他们家做眼睛的 案例我比较喜欢张男的
2. luho 朴一 好像说朴很出名 youtube上有个网红找他做的提肌+修复很自然 但是别的医生有差评
3. beaulibal
4. 丽延丽 李政佑
5. objet 案例不多但是提肌特别猛
6. nana
7. on-air 是一个女院长 案例多 价格也很便宜
8. eight 有两个院长 崔做的宽一点金做的窄 便宜
9. byul
10. hani 
11. inter 小红书看到有人去修 力推的 看了ig案例不是很喜欢
12. 佧思特 日本人去的很多",,"https://wx3.sinaimg.cn/large/943cb668gy1hvxpgslj6ij20uk42ue40.jpg,https://wx3.sinaimg.cn/large/943cb668gy1hvxpe0tzy4j20xh3j0qkt.jpg,https://wx4.sinaimg.cn/large/943cb668gy1hvxpr8x2t2j20ws3vax54.jpg,https://wx2.sinaimg.cn/large/943cb668gy1hvxpe20wbbj21673j7kdn.jpg,https://wx4.sinaimg.cn/large/943cb668gy1hvxpqx2zz5j20uk3vbavw.jpg,https://wx1.sinaimg.cn/large/943cb668gy1hvxpe3fsoxj21du3j9e0o.jpg,https://wx3.sinaimg.cn/large/943cb668gy1hvxpe5t19zj20uk3s9wwk.jpg,https://wx3.sinaimg.cn/large/943cb668gy1hvxpe88jsvj20w03j34f1.jpg,https://wx3.sinaimg.cn/large/943cb668gy1hvxpebj3owj21lf3j7k9p.jpg,https://wx2.sinaimg.cn/large/943cb668gy1hvxpedtuykj22zx3j7h8s.jpg,https://wx2.sinaimg.cn/large/943cb668gy1hvxpdxdsprj20zo1sogyv.jpg",,,2024-11-24T22:47:40,iPhone,14,3,10,,,2024-11-24 22:47:40
