id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106069743600109	,P2xTUf6yh,💩也要尝尝咸淡！！！！！,,,,,2024-11-29T15:29:15,iPhone 15(粉色),0,0,0,,,2024-11-29 15:29:15,False,1928878291,汐玫依,5072852016171639	,OuzdfpTwz,"#K Show Business# 宋慧乔x孔刘x金雪炫x李荷妮
预计24年12月开拍！26年tvN首播！！！！！
我等
📌该剧是描写在放送界（电视台）工作的人们真实现场的时代剧。 剧中包含了大韩民国表演商务的诞生，以及走过波澜壮阔的历史性隧道的人们的热情。 由卢熙京编剧执笔，《咖啡王子一号店》李允贞导演指导 
📌 该剧讲述了6·25战争后急速成长的商业世界，讲述了舞台上的明星和塑造他的人们的故事。",,"https://wx3.sinaimg.cn/large/72f858d3gy1ht563acxz3j20u00u0qdt.jpg,https://wx4.sinaimg.cn/large/72f858d3gy1ht5635nklbj20v911x0v8.jpg,https://wx4.sinaimg.cn/large/72f858d3gy1ht5637ixgwj20kg10cdkd.jpg,https://wx3.sinaimg.cn/large/72f858d3gy1ht5638gkqyj20ef0i1abn.jpg,https://wx1.sinaimg.cn/large/72f858d3gy1ht56396my6j20m10uuacy.jpg,https://wx4.sinaimg.cn/large/72f858d3gy1ht563biggaj20u00zxjxq.jpg",,,2024-08-29T23:33:52,,1523,169,234,K Show Business,,2024-08-29 23:33:52
5106056105821064	,P2xxUoqk8,避雷！,,,,,2024-11-29T14:35:03,iPhone 15(粉色),1,0,0,,,2024-11-29 14:35:03,False,3214945607,红糖手打年糕,5106049877019460	,P2xnRts56,"爆料的这家Bxxxsxxx算是香港挺有名的
打过期水光➕水货热玛吉
别说香港的一定是正品
换药换头子一个不少
可想而知 开🇭🇰医美团的都是什么心思
emmmmm ",,"https://wx3.sinaimg.cn/large/bfa02d47gy1hw32tzexihj20u01hdwl8.jpg,https://wx3.sinaimg.cn/large/bfa02d47gy1hw32tt2srbj20u01hdgsq.jpg,https://wx3.sinaimg.cn/large/bfa02d47gy1hw32u4um1kj20u01hd0zk.jpg,https://wx3.sinaimg.cn/large/bfa02d47gy1hw32u9lvv6j20u01hdjwx.jpg",,,2024-11-29T14:10:19,iPhone 14 Pro,3,0,1,,,2024-11-29 14:10:19
5106055719160099	,P2xxhCqXx,"好多喜欢 一直使用的产品 都停产了 比如纪梵希恒颜清透 真的是此生最爱 又清透又细腻又光泽又持久 穿越回去买20个囤着
 ",,https://wx2.sinaimg.cn/large/bec80e96gy1hw33iezphlj205g0dawf0.jpg,,,2024-11-29T14:33:32,iPhone 15(粉色),1,3,0,,,2024-11-29 14:33:32,True
5106054453006817	,P2xvfcCd3,"我本身皮肤不是特别好 也不是特别白 底妆诉求白白净净有光泽感 天生好皮肤 接受不了一点“粉厚” 我的皮肤很奇怪 混油皮 需要滋润 粉质细腻又持久的底妆（持妆型粉底液 都用不了）化上不如不化 皮肤显得特别差  之前最爱bobbi brown流云光缎妆前霜和cpb黑矮管妆前（没改版之前 改版没用过） 非常可惜停产了 一直找不到合适替代 这个目前是最好用嘟
 
查看图片",,,,,2024-11-29T14:28:30,iPhone 15(粉色),0,0,0,,,2024-11-29 14:28:30,False,6003376459,西嘉嘉哦,5106017295928902	,P2wxjoSns,"玛丽安保莱这个妆前隔离，之前@排骨包包 推荐，买了小样一直没用，前两天用了一下简直就是惊艳。。。上次有这么惊艳感的底妆大概是n年前第一次用twany粉霜？
这款非常适合本身没有太多瑕疵的白皮姐妹。因为定义是妆前，有一定的遮瑕力但肯定没有粉底那么强的遮瑕力。但是匀肤色一绝，肤感也很好，扒得住，不滑不脱不拔干不暗沉，我用的明亮色就当底妆用的，搭配淡妆（浓妆的话不适合因为没什么遮盖力除非皮肤底子特别好），就是那种“天生皮肤气色就很好”的感觉。一天下来，我还去跑了步，白白嫩嫩的，不斑驳，就是那种日系贵底妆的感觉。
作为妆前搭配粉底应该也不错，但是感觉有点暴殄天物了，这款就应该作为一个素颜霜来用。
又买了同牌子的散粉粉霜，虽然有不少吐槽这牌子和诺薇雅一样🇯🇵没什么店，专卖中国人，但是使用感和效果确实不错……",,https://wx2.sinaimg.cn/large/006yhyszgy1hw2ysgpfnyj30u00u0te9.jpg,,,2024-11-29T12:00:51,iPhone 13 Pro,28,7,3,,排骨包包,2024-11-29 12:00:51
5105474875432940	,P2iqrmNm4,太美,,,,,2024-11-28T00:05:28,iPhone 15(粉色),0,0,0,,,2024-11-28 00:05:28,False,3290016493,美颜滤镜粉碎机·真实很美好,5105084987868538	,P28hAx0XU,"金智媛
今日活动新闻图 ",,"https://wx1.sinaimg.cn/large/c419aaedgy1hw000nvo9tj20i20p444h.jpg,https://wx2.sinaimg.cn/large/c419aaedgy1hw000o4ykwj20fa0kkacw.jpg,https://wx2.sinaimg.cn/large/c419aaedgy1hw000ojjl9j20fa0pgwi3.jpg,https://wx3.sinaimg.cn/large/c419aaedgy1hw000orzdlj20fa0me41t.jpg,https://wx1.sinaimg.cn/large/c419aaedgy1hw000ps6raj20xc16a46v.jpg,https://wx1.sinaimg.cn/large/c419aaedgy1hw000qh1scj218g1jk1kx.jpg,https://wx3.sinaimg.cn/large/c419aaedgy1hw000rgf1sj218g1jk1kx.jpg,https://wx1.sinaimg.cn/large/c419aaedgy1hw000ry2uzj20hs0o20w5.jpg,https://wx1.sinaimg.cn/large/c419aaedgy1hw000s7x81j20hs0nrtcg.jpg",,,2024-11-26T22:16:11,,3055,404,130,,,2024-11-26 22:16:11
5105347888940654	,P2f7CBvS6,It's for a better meeting ,,,,,2024-11-27T15:40:52,iPhone 15(粉色),0,0,0,,,2024-11-27 15:40:52,True
5105049971984028	,P27n78k8s,可爱小狗 ,,"https://wx1.sinaimg.cn/large/bec80e96gy1hvzvztzvg8j22c02c0x6p.jpg,https://wx1.sinaimg.cn/large/bec80e96gy1hvzvzw0cs8j22c02c0x6p.jpg,https://wx4.sinaimg.cn/large/bec80e96gy1hvzvzt2hlpj22c02c0x6p.jpg,https://wx3.sinaimg.cn/large/bec80e96gy1hvzvzxaej4j22c02c0u0x.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001N4v87jx08jTxkBp320f0f0100iTHh0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002a8aEVjx08jTxkL0yP0f0f0100eeTR0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F000bq8Qtjx08jTxkZFba0f0f0100fh3N0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003kcgaXjx08jTxl8jDF0f0f0100bRxj0k01.mov,,2024-11-26T19:57:03,iPhone 15(粉色),1,0,0,,,2024-11-26 19:57:03,True
5104982877799390	,P25CTwIYC,帅啊！,,,,,2024-11-26T15:30:27,iPhone 15(粉色),0,0,0,,,2024-11-26 15:30:27,False,1399746707,嘉人,5104935136657777	,P24nTrVZv,"如马赛的阳光，橙色投射出希望，@UNIQ-王一博 也看到了另一面的自己。#王一博嘉人十二月刊封面##王一博乌托邦日常大片# 
监制/MIX WEI @MixWei艺人统筹/JOYCE WANG @王大桥摄影/LESLIE ZHANG @LeslieZhang张家诚 
造型/PUNKCHERRY @punkcherry、E TIAN @tian1_e 
文字统筹/CHICOCHAN @ChicoChan 
化妆/LUWANG @Luwang璐发型/赵文智(THE FUR) @赵文智0907制片/乌龙 @oolong-z、刘晨希
美术/乌龙 @oolong-z摄影助理/沈佳斌、吴忧、廖梓宁
造型&创意协助/ELAINE @极度暴躁小丸服装助理/小也、海艳、KARLIE
化妆助理/韩祎、冯靖桓
发型助理/崔迦楠
制片助理/李志成、何伟伟
美术助理/罗浩、柴淑洁、欣晔",,"https://wx1.sinaimg.cn/large/001wJc3Ngy1hvyy3bokh1j65sc4c9b2e02.jpg,https://wx4.sinaimg.cn/large/001wJc3Ngy1hvyy3odcmqj64mo3h01l202.jpg,https://wx4.sinaimg.cn/large/001wJc3Ngy1hvyy3ko2ykj66qo8fcu1902.jpg",,,2024-11-26T12:20:44,iPhone 15 Pro,110978,6703,66602,"王一博嘉人十二月刊封面,王一博乌托邦日常大片","UNIQ-王一博,MixWei,王大桥,LeslieZhang张家诚,punkcherry,tian1_e,ChicoChan,Luwang璐,赵文智0907,oolong-z,oolong-z,极度暴躁小丸",2024-11-26 12:20:44
5104982298986138	,P25BXBHHI,//@徐玄序:我靠//@无他旧事馆:绝了//@LittleBear_cake:女神 🥹//@虚拟天气:太漂亮了🤲🏻//@Nu·O_Yi:太美了//@萌个姬毛:妈咪//@一种植物是草:妈呀//@訇岁:额滴神啊//@amami-涵:我们应得的😌//@pupv3ii:我的一辈子//@智恩伊布哒:已被美哭 这辈子搞到此女是我的福气,,,,,2024-11-26T15:28:08,iPhone 15(粉色),0,0,0,,"徐玄序,无他旧事馆,LittleBear_cake,虚拟天气,Nu·O_Yi,萌个姬毛,一种植物是草,訇岁,amami-涵,pupv3ii,智恩伊布哒",2024-11-26 15:28:08,False,5455747538,封面小主,5104671099717921	,P1Xw1EM4F,"宋慧乔  in  Chaumet  💎 
诚邀大家点开这段泰媒镜头下的动态乔妹 ！真的有被美晕的程度 ！太太太太漂亮了 ！完全就在闪闪发光 ！！！
—— 
封面小主的微博视频
 ",,,"https://f.video.weibocdn.com/o0/TlbektuNlx08jRRLFXTi010412006o340E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871129&ssig=Iw%2BvkSappL&KID=unistore,video",,2024-11-25T18:51:33,微博视频号,4018,178,572,,,2024-11-25 18:51:33
5104371010377920	,P1PI11Aju,你嫁给李行亮得了 都阴暗成什么b样了 媚男本质yue //@一个很爱美的人1207:有些人一直糊倒也不是没有原因的，作为公众人物用如此方式引导舆论网曝女素人。同你在浪姐里一起乘风破浪的姐妹黄圣依也挺需要共情的。,,,,,2024-11-24T22:59:06,iPhone 15(粉色),2,0,0,,一个很爱美的人1207,2024-11-24 22:59:06,False,1757744065,蓝盈莹Lyric,5101364443349912	,P0zuIe3sQ,"共情李行亮
 
（目前为止，看完6期） ",,,,,2024-11-16T15:52:05,,396081,21332,4465,,,2024-11-16 15:52:05
5104335190757172	,P1OMf3aYs,我也觉得 我最少要到170,,,,,2024-11-24T20:36:46,iPhone 15(粉色),0,0,0,,,2024-11-24 20:36:46,False,7563097186,骂死过人,5103931567115533	,P1EhetR4F,"我真的觉得我应该能长到163或者165的，只是小时候营养没跟上…因为我腰巨长，大腿也长，所以拍照很显高…就是小腿短少了腿脖子那截…所以55分…我小时候连牛奶都没咋喝过，我老觉得我就算有牛奶多喝点都能长高…
 ",,,,,2024-11-23T17:52:55,iPhone客户端,1702,307,14,,,2024-11-23 17:52:55
5104207145472871	,P1LrImXK7,"明年想看 龙 jay 鹿晗 bp演唱会
 ",,,,,2024-11-24T12:07:58,iPhone 15(粉色),0,4,0,,,2024-11-24 12:07:58,True
5104206371622853	,P1Lqt6Ob3,比我去年看演唱会状态还好呀！,,,,,2024-11-24T12:04:53,iPhone 15(粉色),0,0,0,,,2024-11-24 12:04:53,False,5992041253,甜味鹿鹿,5104177145708764	,P1KFknX6Q,#鹿晗 给我干哪年来了#美丽是对鹿晗的基本形容词 ,,"https://wx1.sinaimg.cn/large/006xvZEFgy1hvx3nkmenxj31ax1yc4qp.jpg,https://wx2.sinaimg.cn/large/006xvZEFgy1hvx3nfkl8nj323u35rqv6.jpg,https://wx3.sinaimg.cn/large/006xvZEFgy1hvx3noxat1j323u35r4qr.jpg,https://wx3.sinaimg.cn/large/006xvZEFgy1hvx3ns07haj31ax1ychdv.jpg,https://wx1.sinaimg.cn/large/006xvZEFgy1hvx3nj1q29j323w35s1kz.jpg,https://wx3.sinaimg.cn/large/006xvZEFgy1hvx3nw89xdj323u35rb2b.jpg",,,2024-11-24T10:08:44,鹿晗超话,12165,471,1167,鹿晗 给我干哪年来了,,2024-11-24 10:08:44
5104206052592464	,P1LpXaSpW,帅啊！！！！！,,,,,2024-11-24T12:03:37,iPhone 15(粉色),0,0,0,,,2024-11-24 12:03:37,False,1775084261,酒酿熊子,5103973667702877	,P1Fn8wjRX,鹿晗 给我干哪年来了。。。。凌乱的发丝。。野玫瑰。。。鹿晗神级美貌。。。。。 #鹿晗眉钉# #鹿晗 给我干哪年来了# #鹿晗 野玫瑰# ,,"https://wx2.sinaimg.cn/large/69cda2e5gy1hvwgdurpu0j21xc2w0kjn.jpg,https://wx1.sinaimg.cn/large/69cda2e5gy1hvwh35lzzvj21xc2w0hdv.jpg,https://wx3.sinaimg.cn/large/69cda2e5gy1hvwh34e34aj21xc2w0kjn.jpg",,,2024-11-23T20:40:12,鹿晗超话,130510,8328,23547,"鹿晗眉钉,鹿晗 给我干哪年来了,鹿晗 野玫瑰",,2024-11-23 20:40:12
5104180133891409	,P1KK9gkkF,好好看这个帽子,,,,,2024-11-24T10:20:38,iPhone 15(粉色),0,0,0,,,2024-11-24 10:20:38,False,1864843627,bigbang地带,5103968243942463	,P1FeogxC7,#权志龙# 韩国珠宝设计双人组KOWGI为权志龙设计演出帽子 ,,"https://wx4.sinaimg.cn/large/6f27416bly1hvwfsikxycj20v91jkjv4.jpg,https://wx2.sinaimg.cn/large/6f27416bgy1hvwfr6vi3fj21jk2bc1ky.jpg",,,2024-11-23T20:18:39,微博网页版,1201,35,55,权志龙,,2024-11-23 20:18:39
5103941495034601	,P1Exfl7Jf,暖暖嘟,,,,,2024-11-23T18:32:22,iPhone 15(粉色),1,0,0,,,2024-11-23 18:32:22,False,7341773269,大瑶同学remix,5103898727547799	,P1DqgvFwH,"感觉尸体暖暖的 今夕是何年 哭了
 ",,"https://wx3.sinaimg.cn/large/0080RkBTgy1hvw7rt0ohaj30x70ifmzx.jpg,https://wx3.sinaimg.cn/large/0080RkBTgy1hvw7s28mxhj320u0xib29.jpg,https://wx1.sinaimg.cn/large/0080RkBTgy1hvw7s6p1r9j320u0xi1kx.jpg,https://wx1.sinaimg.cn/large/0080RkBTgy1hvw7rrfcipj320u0xihdt.jpg,https://wx1.sinaimg.cn/large/0080RkBTgy1hvw7wqis1aj31z00wrtd0.jpg,https://wx2.sinaimg.cn/large/0080RkBTgy1hvw7ws6puij30xi0iy40f.jpg",,,2024-11-23T15:42:25,iPhone 16 Pro,4113,184,50,,,2024-11-23 15:42:25
5103932017478631	,P1EhXvnx5,家人们 此情此景啊啊啊啊啊啊啊啊啊啊啊啊啊啊,,,,,2024-11-23T17:54:42,iPhone 15(粉色),0,0,0,,,2024-11-23 17:54:42,False,2482557597,韩国me2day,5103900087289142	,P1DssuAeO,"2024MAMA JAPAN CHAPTER2，BIGBANG带来<BANG BANG BANG + Fantastic Baby>完整体舞台！#BIGBANG合体# 
BIGBANG
 
韩国me2day的微博视频",,,"https://f.video.weibocdn.com/o0/ryPjAF4Vlx08jOCcx4ZO01041207dHrA0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871131&ssig=pCRvuN%2FsbG&KID=unistore,video",,2024-11-23T15:47:49,微博视频号,15766,1176,6660,BIGBANG合体,,2024-11-23 15:47:49
5103895901374914	,P1DlI5LG2,"南韩六代女团终于有二代三代的劲儿了 卷舞台卷颜值卷身材卷唱功 太爽 
 ",,,,,2024-11-23T15:31:11,iPhone 15(粉色),0,0,0,,,2024-11-23 15:31:11,True
5103795751092838	,P1AKb4Aiq,幸福和快乐都以另一个人来衡量标准 就永远自洽不了 会很痛苦 ,,,,,2024-11-23T08:53:14,iPhone 15(粉色),4,2,0,,,2024-11-23 08:53:14,True
5103620712040326	,P1wbR8yMu,觉醒是要出付代价的 每个选择都要付出代价 独立也付出代价 ,,,,,2024-11-22T21:17:41,iPhone 15(粉色),2,3,0,,,2024-11-22 21:17:41,True
