id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104726946878740	,P1YY6sRtq,"求求了签证能不能这两天就出来求求了
 ",,,,,2024-11-25T22:33:28,iPhone 13 Pro Max,0,0,0,,,2024-11-25 22:33:28,True
5103647484547174	,P1wT2j4Vw,转发微博,,,,,2024-11-22T23:04:04,iPhone 13 Pro Max,0,0,0,,,2024-11-22 23:04:04,False,6003707598,陈桃子_,5103597350557720	,P1vAb2l5u,"如何打出一个漂亮的/合适自己的嘴巴？
这篇文章图片的内容包括：
唇部的标准位置
唇部宽度与鼻眼的关系
唇部的厚度
上下唇的厚度
上唇形状
嘴角的形状
下唇形状
图9️⃣：唇部的注射影响与位置名称
图🔟：如何通过下唇缩短面部长度
图1️⃣1️⃣：唇的调整（进阶版）
图1️⃣2️⃣唇部与口周年轻化 ",,"https://wx3.sinaimg.cn/large/006yiWBwgy1hvv90jx21fj30m20ogn0i.jpg,https://wx4.sinaimg.cn/large/006yiWBwgy1hvv90kpqfzj30m20qo42t.jpg,https://wx4.sinaimg.cn/large/006yiWBwgy1hvv90l4nxpj30lx0rcdjz.jpg,https://wx1.sinaimg.cn/large/006yiWBwgy1hvv90i09xaj30ly0sbwid.jpg,https://wx2.sinaimg.cn/large/006yiWBwgy1hvv90is5h4j30m20qzq7q.jpg,https://wx1.sinaimg.cn/large/006yiWBwgy1hvv90j6xnyj30lu0ozn0h.jpg,https://wx1.sinaimg.cn/large/006yiWBwgy1hvv90jjsfoj313i1e148v.jpg,https://wx1.sinaimg.cn/large/006yiWBwgy1hvv90k9q2kj30m20qqgpz.jpg,https://wx2.sinaimg.cn/large/006yiWBwgy1hvv91ruzqhj31jk1jkn61.jpg",,,2024-11-22T19:44:51,iPhone 15 Pro Max,33,0,20,,,2024-11-22 19:44:51
5102981697241132	,P1fzbunKs,转发微博,,,,,2024-11-21T02:58:27,iPhone 13 Pro Max,0,0,0,,,2024-11-21 02:58:27,False,6509255360,爱柳柳好运功课,5039424400523613	,OgxBK2cdn,"做完轮廓颞肌被挤出来的姐妹来看！#颞肌##轮廓##颧骨内推##水光针# 
之前刷到@谈美功课小号 @美女的功课笔记两位博主的功课，说颞肌面积比较大所以要打单侧50uu才起效，怪不得我之前打过两次没什么效果，右侧太阳穴就这么鼓了好几年了，打过几次msdk溶脂，效果也一般
之前多次要求要打rd都被拒，🧑 ...
全文",,"https://wx3.sinaimg.cn/large/0076waFGly1hq6iucxmz6j31401hc7g5.jpg,https://wx1.sinaimg.cn/large/0076waFGly1hq6iud6595g308c08c755.gif,https://wx4.sinaimg.cn/large/0076waFGly1hq5i4qybpnj31fu1fu7sd.jpg,https://wx3.sinaimg.cn/large/0076waFGly1hq5i4q0d4wj31ai1aiavw.jpg,https://wx4.sinaimg.cn/large/0076waFGly1hq6izo0c7ij30my0pydin.jpg,https://wx3.sinaimg.cn/large/0076waFGly1hq6iv2j4odj30oe0rwade.jpg,https://wx1.sinaimg.cn/large/0076waFGly1hq6iv2pzo7j30ne0rbgq0.jpg,https://wx1.sinaimg.cn/large/0076waFGly1hq6iv2wehxj30or0qodij.jpg,https://wx1.sinaimg.cn/large/0076waFGly1hq6iv31pu0j30nc0rqju2.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001Ea5jGjx08feH1O8GX0f0f0100ezlo0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0023DNCLjx08feH1LsID0f0f010076fC0k01.mov,,2024-05-29T17:44:28,iPhone客户端,257,24,297,"颞肌,轮廓,颧骨内推,水光针","谈美功课小号,美女的功课笔记",2024-05-29 17:44:28
5102981580587495	,P1fz02sPJ,转发微博,,,,,2024-11-21T02:58:00,iPhone 13 Pro Max,0,0,0,,,2024-11-21 02:58:00,False,1840750964,金闪闪_333的功课号,4884564402770361	,MztUcbCHf,"v子在⬇️图 欢迎交流功课📚
🌚原生脸是阔面型短宽脸，从初中开始一直疯狂长痘痘没停过，玫瑰痤疮患者，目前几乎已痊愈，现在是敏感肌，黄黑皮。
🌝我是一个相信人定胜天，勇于逆天改命的人，从14年开始接触整圈，可以说是各时期整圈的网红ys都接触过了，颜值也有不小变化，这是一个讨论博，欢 ...
全文",,https://wx2.sinaimg.cn/large/6db7a174gy1hpa190x8awj21qh2bbx6p.jpg,,,2023-03-29T09:46:07,iPhone 13 Pro Max,63,33,34,,,2023-03-29 09:46:07
5102981564072945	,P1fyYh5yF,转发微博,,,,,2024-11-21T02:57:56,iPhone 13 Pro Max,0,0,0,,,2024-11-21 02:57:56,False,1840750964,金闪闪_333的功课号,5034424855434055	,OerxXmNE3,"⚠️《〈很多人都被镜头给骗了〉》⚠️
这次去韩国做轮廓，和大家讨论喜欢的轮廓，我发现很多人都被镜头骗了，这不是危言耸听，这是真的。
很多还没有做过轮廓的小白普遍会认为“我喜欢大气美人脸，我想保留一定骨量”，最后在自己脸上的效果并不是这样，做完出来后是做了个寂寞+皮肉下垂，轮廓这件 ...
全文",,"https://wx4.sinaimg.cn/large/6db7a174gy1hpqksz3ulsj20u017aqa8.jpg,https://wx1.sinaimg.cn/large/6db7a174gy1hpqksxjl9hj20u016810j.jpg,https://wx3.sinaimg.cn/large/6db7a174gy1hpqkt05ejjj20tp18f45p.jpg",,,2024-05-15T22:38:03,iPhone 13 Pro Max,17,1,7,,,2024-05-15 22:38:03
5102942719836398	,P1eyjFgTA,"要疯了颧骨在女神和arc之间纠结
 ",,,,,2024-11-21T00:23:34,iPhone客户端,0,5,0,,,2024-11-21 00:23:34,True
5102942435410647	,P1exRmHyv,转发微博,,,,,2024-11-21T00:22:26,iPhone客户端,0,0,0,,,2024-11-21 00:22:26,False,1728624313,均一吴,5059661479020049	,Op24bBQwF,"韩国皮肤科美版超声刀功课
价格+网上能找的到的反馈，韩国美版超声刀价格还挺层次不齐的，便宜的可以找到100发20w左右，贵的也能到50w左右，价格差不多相差一倍太难选了
，联/系方式都放图里了
1⃣️switz皮肤科
超声刀100发-50万 （约2630）
8月份活动-400发-200万（ ...
全文",,"https://wx2.sinaimg.cn/large/6708b6b9ly1hrz345ngd7j20h40gomz8.jpg,https://wx4.sinaimg.cn/large/6708b6b9ly1hrz34gphyej20l20i8q59.jpg,https://wx4.sinaimg.cn/large/6708b6b9ly1hrz34mjwvgj20gy0j2whl.jpg,https://wx1.sinaimg.cn/large/6708b6b9ly1hrz34rzjc3j20gu0jkad2.jpg,https://wx1.sinaimg.cn/large/6708b6b9ly1hrz34zla6wj20ja0l878k.jpg,https://wx1.sinaimg.cn/large/6708b6b9ly1hrz3556uabj20hg0j6402.jpg",,,2024-07-24T13:59:23,微博网页版,508,51,742,,,2024-07-24 13:59:23
5102937593875689	,P1eq3ggf7,转发微博,,,,,2024-11-21T00:03:13,iPhone客户端,0,0,0,,,2024-11-21 00:03:13,False,6186696681,切鹅西芭比,4805176025941441	,M2aEqoVDH,"🇰🇷韩国轮廓术前准备✌🏻（换韩元最佳汇率tips在最后）
清单是我自己亲测有用不鸡肋的东西
-
P1韩国实用APP：我不懂韩文，也完全可以用，自己点外卖很简单
P2电话卡公交卡选择
P3营养品、药、转换头
P4日用品行李list
P5轮廓后的实用小物件
P6我准备的头套
P7便利店里的好东东（消肿南瓜汁）
P8 ...
全文",,"https://wx3.sinaimg.cn/large/006KGKqlgy1h5f7oy91s1j31402eok9n.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7ozejm9j31402eok7u.jpg,https://wx4.sinaimg.cn/large/006KGKqlgy1h5f7p0q4ibj31401z4k8j.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7pgbm2mj32s52s5hdt.jpg,https://wx2.sinaimg.cn/large/006KGKqlgy1h5f7phc3bpj31kw1kwqg2.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7pcv9jlj32342s51kx.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7owxhbdj32c02c0e82.jpg,https://wx1.sinaimg.cn/large/006KGKqlgy1h5f7p4yi8kj32c02c07wi.jpg,https://wx2.sinaimg.cn/large/006KGKqlgy1h5f7p961hzj32c02c0b2a.jpg",,,2022-08-22T08:05:03,iPhone客户端,114,14,318,,,2022-08-22 08:05:03
5102936812423959	,P1eoNaaA7,转发微博,,,,,2024-11-21T00:00:07,iPhone客户端,0,0,0,,,2024-11-21 00:00:07,False,2115384077,骆骆攒好运,4802042953207528	,M0R95dsqk,"这组案例对比真的太经典！建议做轮廓的姐妹人人保存的程度，让我更坚定做轮廓的心。 （防止自己找不到图，放微博保存，原博主🧣半年可见了
） ",,"https://wx3.sinaimg.cn/large/7e16330dgy1h5581exz27j20pg0pkgng.jpg,https://wx1.sinaimg.cn/large/7e16330dgy1h5581fbhvyj20pg0pk0ug.jpg,https://wx2.sinaimg.cn/large/7e16330dgy1h5581h2z9aj20u01syafn.jpg,https://wx1.sinaimg.cn/large/7e16330dgy1h55nfgznmgj20u01h5doo.jpg",,,2022-08-13T16:35:20,iPhone 12,169,40,132,,,2022-08-13 16:35:20
5102923847567849	,P1e3SvKK5,转发微博,,,,,2024-11-20T23:08:35,iPhone客户端,0,0,0,,,2024-11-20 23:08:35,False,5836704090,老婆遍布全球,5072421535094775	,Ouo0VlnnN,"我的轮廓药物➕使用物准备⚠️：
1️⃣图1术前吃，补铁片。补充气血。
2️⃣消肿药物：
      1.图2消脱止。整人必备的消肿药，消肿效果一般，我以前做完手术以后没事就炫两颗。可以术前吃两天，有助于消肿。
      2.图3裸花紫珠片。消肿效果＞消脱止，预算不够买片仔癀就买这个。
      3.图4片仔癀 ...
全文",,"https://wx4.sinaimg.cn/large/006n0dmygy1ht3ruj6mg7j32c0340kjm.jpg,https://wx4.sinaimg.cn/large/006n0dmygy1ht3rvimg37j32c03401ky.jpg,https://wx2.sinaimg.cn/large/006n0dmygy1ht3rx7xvr2j32c0340e82.jpg,https://wx4.sinaimg.cn/large/006n0dmygy1ht3rymz3rfj32c03401ky.jpg,https://wx2.sinaimg.cn/large/006n0dmygy1ht3s4k2hinj32c03401ky.jpg,https://wx1.sinaimg.cn/large/006n0dmygy1ht3s9120tfj32c0340b2a.jpg,https://wx4.sinaimg.cn/large/006n0dmygy1ht3sej1y2jj30zu0kb77y.jpg,https://wx2.sinaimg.cn/large/006n0dmygy1ht3sf9rrpej32c03407wi.jpg,https://wx1.sinaimg.cn/large/006n0dmygy1ht3sfc3qscj32c03401kz.jpg",,,2024-08-28T19:03:18,iPhone 14 Pro Max,30,7,40,,,2024-08-28 19:03:18
