id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106088061963999	,P2yns8eVp,拍的好tm恶心，给路人版权费了吗，什么破摄影破主编,,,,,2024-11-29T16:42:03,iPhone客户端,0,1,0,,,2024-11-29 16:42:03,False,5769294690,T中文版,5105346586607652	,P2f5wrIX2,"10 月 12 日午后，上海镇宁路。这不是计划中的场景 —— Juergen Teller 对这里建于上世纪七八十年代的居民区产生了兴趣 —— 正式拍摄也由此开始。得知模特张丽娜曾是体操技巧运动员后，Teller 鼓励她做出夸张的姿势。小区内的巷弄、面包车和电线杆，以及对时尚拍摄漠不关心的路人，闯入画面，成为作品的一部分。
陆家嘴夜景则在 Teller 的计划内。标准的城市景观 —— 或者说，一个象征了摩登、文明与经济活力的世界级样本 —— 在他的镜头下，呈现出了新的面貌。他让人和时装「入侵」这样的斑斓。于时尚摄影而言，这合理吗？Teller 留出了足够的思考空间。
于是，Teller 中国行的用意，也在不经意间和盘托出：看到当代中国让人兴奋的地方。  为你揭晓，《T》中文版 10 周年特别策划「如雷贯耳」的演绎者，@张丽娜Lina 。#如雷贯耳JuergenTeller##T中文版十周年# 
策划：@开海 
撰文：于竺
摄影：Juergen Teller
创意伙伴：Dovile Drizyte
造型：Jojo Qian @mynameisilence 
模特 ：@张丽娜Lina 
发型： Issac Yu at Salsa Studio
化妆：@鑫淼chen 
制片经理：李可 at @cside_production 
制片统筹 ：李阳 & 陈思玮 at @cside_production 
后期： Louwre Erasmus at Quickfix
造型统筹：刘敏
项目统筹：吴嘉敏
执行制片：刘东
第一摄影助理：Felipe Chaves
第二摄影助理：金珍俊
造型助理：陈贝羽、张心睿
器材：上德大象",,"https://wx4.sinaimg.cn/large/006irn6aly1hw0u22mn9hj325r2n57wj.jpg,https://wx3.sinaimg.cn/large/006irn6aly1hw0twbt9vwj31h51yv4qt.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0twaf9xlj31h51yvqv8.jpg,https://wx1.sinaimg.cn/large/006irn6aly1hw0tw9hidij31h51yvhdw.jpg,https://wx1.sinaimg.cn/large/006irn6aly1hw0tw4olshj31h51yvb2b.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0twa4419j31h51yv1l1.jpg,https://wx1.sinaimg.cn/large/006irn6aly1hw0twb18byj31h51yvb2d.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0tw7f49oj31h51yv7wk.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0tw2bbkxj31h51yvx6q.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0twb42fqj31h51yvhdx.jpg,https://wx3.sinaimg.cn/large/006irn6aly1hw0tw9uq89j31h51yvqv8.jpg,https://wx2.sinaimg.cn/large/006irn6aly1hw0twae8osj31h51yvx6s.jpg,https://wx3.sinaimg.cn/large/006irn6aly1hw0twc9wsej31h51yvu11.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0twbwstaj31h51yvqv9.jpg,https://wx4.sinaimg.cn/large/006irn6aly1hw0twb3amgj31h51yvb2d.jpg",,,2024-11-27T15:35:41,微博网页版,1921,60,146,"如雷贯耳JuergenTeller,T中文版十周年","张丽娜Lina,开海,mynameisilence,张丽娜Lina,鑫淼chen,cside_production,cside_production",2024-11-27 15:35:41
5106035204817397	,P2x0ckddX,韩国头发,,,,,2024-11-29T13:12:00,iPhone客户端,0,5,0,,,2024-11-29 13:12:00,False,7387158520,我一定要少说话呀,5106007086207868	,P2wgQq2WU,"韩国女tony厉害的 本来这次发色有点浅受不了一点布丁头 问的杭州的补发根要把下面的一起带一下不然会有色差 偷窥说我下面千万不能再染了 结果韩国女tony废话一句没有给我补好了 0色差
我的头顶比下面容易上色 以前每次染都容易爆顶 结果补发根居然没有 超级还原  牛逼 店铺放这里 很小很小的店比我之前去的韩国连锁技术都好 （图三第一位）",,"https://wx1.sinaimg.cn/large/0083VLo4gy1hw2xzl7gz9j30wr1z04hz.jpg,https://wx4.sinaimg.cn/large/0083VLo4gy1hw2y0celp2j30wr1z0nms.jpg,https://wx3.sinaimg.cn/large/0083VLo4gy1hw2y2mlrj0j30wr1z046q.jpg",,,2024-11-29T11:20:17,iPhone 15 Pro,11,6,6,,,2024-11-29 11:20:17
5105828732602808	,P2rDbaV6M,老特当选不是没有道理，至少音乐上再次农村包围城市了 ,,https://wx2.sinaimg.cn/large/006BRifqly1hw2dfii2vlj30q61gqn2s.jpg,,,2024-11-28T23:31:34,iPhone客户端,0,1,0,,,2024-11-28 23:31:34,True
5105639399625037	,P2mHNEnUx,这个地方不把人当人//@一个悟空豆://@陈生大王:把人当成耗材，让儿童为成人的野心负责。最该被辱骂的绝不可能是跳舞的吴柳芳。//@l鱼苗I://@DannyFiona:巴黎奥运的时候李小双也谈过这个问题，说应该给女体操运动员身体发育的机会,,,,,2024-11-28T10:59:14,iPhone客户端,0,0,0,,"一个悟空豆,陈生大王,l鱼苗I,DannyFiona",2024-11-28 10:59:14,False,5278580326,你也能像女孩一样游泳吗,5105248467158637	,P2cxgu2hT,"有些体操丝给吴柳芳扣什么耽误国内体操发展的大帽子，一脸正义凛然说自己男的女的都骂和大婆教撞脸率都高达百分百了。也不看看男体操运动员乃至其他项目的男运动员干过那么多炸裂的事情，有几个人评价他们把男运动员的路走窄了，能不能意识到体操队把人当耗材用完就扔给大众留下只有穷苦人才练的刻板印象才是赶客的根本原因，更遑论还有选拔机制的不公正不透明。从94年亚运会拿两块金牌后被要求让赛的莫慧兰到21年内部最后一轮选拔赛全能第一不能去东奥的张博恒，我巴不得体操圈和乒乓圈一样饭圈化有热度，好让这些丑事都曝光。
体操队每次利用小女孩的轻盈高转速出成绩，在她们小小年纪就不断上强度把她们弄伤也不做好防护。训练方式和防伤措施严重落后国际，连程菲若干年前都忍不住吐槽。2024年2月公开的体操小花青年组训练，依旧这样有伤甚至都快骨折了还要带伤训练。
程菲11年被领导要求强行恢复跳马来争取世锦赛名额导致半月板破碎，退役后走路都有问题，李奕芳也在自己微博上提到过自己连孩子都抱不动。大众不能只看到刘璇悉尼夺金后的功成名就，而不去看被王群策强行要求改年龄练到骨头坏死退役生活窘迫还被剥夺悉尼铜牌的董芳霄。
同样身为王群策弟子的姚金男12年骨裂强行打封闭上奥运，邓琳琳拿平衡木金牌他心理不痛快公开明涵带别人家的孩子高考。16年的毛艺同样如此，王群策甚至在记者的镜头面前就敢向她发脾气摔椅子。范亿琳被王堵过厕所打过耳光，被他下放过地方队重新回国家队拿世锦赛金牌还要被王强抢功劳，连地方队教练都看不下去。管晨辰21年也被不怀好意的人爆出过辱骂王群策的录音事后道歉。
最玷污最耽误中国体操最该被辱骂的绝不可能是吴柳芳。
【29】",,"https://wx2.sinaimg.cn/large/005LenSmgy1hw0iqyel0sj30uk640nns.jpg,https://wx1.sinaimg.cn/large/005LenSmgy1hw0ir1998ij30zu23wqh1.jpg,https://wx4.sinaimg.cn/large/005LenSmgy1hw0ir1t8k6j30we0agmyp.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hw0ir3rvtij30vh0f77f2.jpg,https://wx3.sinaimg.cn/large/005LenSmgy1hw0ir4axi6j30u01rfwnj.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hw0ir5mza4j30uk56hhdt.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hw0ir67zbhj30ho0ffn4i.jpg,https://wx3.sinaimg.cn/large/005LenSmgy1hw0ir6ncloj30hm0hx4cy.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hw0ir6zgslj30hp0gck4i.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hw0ir7iogwj30qo0utdlf.jpg,https://wx3.sinaimg.cn/large/005LenSmgy1hw0ir8cmgmj30ty0v30ys.jpg,https://wx4.sinaimg.cn/large/005LenSmgy1hw0iqxjjkqj31900waqex.jpg,https://wx1.sinaimg.cn/large/005LenSmgy1hw0ir9z3bfj30g40sndiq.jpg",,,2024-11-27T09:05:48,,17925,309,4840,,,2024-11-27 09:05:48
5105495528440410	,P2iXKzpJE,"//@我可以吃你的洋芋吗:也来打破一下信息壁垒吧，douban上有公益方面的博主提到吴柳芳一直为杭州一个机构的特殊儿童做体操老师。附上博主引用的原文 
吴柳芳“擦边”视频号外的生活，我们来讲一讲",,,,,2024-11-28T01:27:32,iPhone客户端,0,0,0,,我可以吃你的洋芋吗,2024-11-28 01:27:32,False,5278580326,你也能像女孩一样游泳吗,5105061350871158	,P27Ft3ECW,"已获知乎答主授权，希望大家能了解一下吴柳芳曾经的遭遇，不要浑水摸鱼跟风造谣，吴柳芳没进北大也压根没有获得编制，19年大学毕业后去了中享体育工作，大家都心知肚明疫情对这些培训机构的打击和国内体操荒漠的现实以及逼仄的就业环境，其余不做多说。
【28】 ",,"https://wx2.sinaimg.cn/large/005LenSmgy1hvzx92nbkkj30uk7cphdt.jpg,https://wx2.sinaimg.cn/large/005LenSmgy1hvzx972m49j30ukakob2a.jpg,https://wx1.sinaimg.cn/large/005LenSmgy1hvzx986hvgj329w1gy7s6.jpg,https://wx4.sinaimg.cn/large/005LenSmgy1hvzx9bhhgmj329w1uvb29.jpg",,,2024-11-26T20:42:16,,9448,331,1898,,,2024-11-26 20:42:16
5105480571816680	,P2izD7CBi,"转发微博 
查看图片",,,,,2024-11-28T00:28:06,iPhone客户端,0,0,0,,,2024-11-28 00:28:06,False,1191808911,石康,5105192393769108	,P2b4PfOw4,"14
画重点！
不好意思，恍惚间，以下一节有关我三十多年前的自我描述引起了轰动，现在点击量已越过了150万，评论数已到1千，比我的普通贴上升了一个数量级，还有可能持续升温下去，我的心潮起伏，再也按捺不住了！得意！难道沉寂已久的我会借此翻红？
我依次点击了所有参与这次群嘲的女积极分子，生怕错过哪怕是一个我很想操的女性，结果如释重负，让我不得不佩服我自己当年的直觉：就是不能操这些人的母亲！一个都不能操！现在还要加上女儿更不能操！不仅因为这两代女农民死活都看不上我，好像是尤其对我的相貌身材不满，（还有人认为我当年长的像现在的一网红留几手，一看就是搜图能力有待加强！），还因为我对她们也没性欲，加起来还真凑出了一个令人满意的两全其美！我们谁也别理谁！学学你们说句难听点的话吧，我这次能够顶住压力，没有公布自己的照片或视频，并不是怕自己长得难看，或是对自己的相貌缺乏应有的自信，主要是担心那些嘲笑我的那些女性朋友们对我产生生理上难以启齿及无法克制的欲望，在盯着或瞄着我的个人形象发泄兽欲时用力过猛，揪光了自己的阴毛，让脱毛店失去生意，这在当前经济形势下对我国普通就业人员无疑是一个沉重的打击，不好！
不过说这些并不是我在这里置顶加一段的原因，原因是：我计算后发现，毕竟嘲笑我的人也就千人规模，在170万巨大人群中只占千分之一，我惊喜地发现，除去这些SB后，还有很多有可能喜欢我的人，在此趁机声明，虽然有关我的过去我说的没瞎话，但毕竟已是遥远的过去了，更重要的是现在的我，今年56岁了，已正式决定把我在上下文提及的约炮故事写成剧本，完成后，明后年回国拍摄，我不仅会担任编剧，还要当制片人，导演及演员，就演我现在的自己，一个旅美回国作家，在剧中回国接手了一个婚配网站，专门为解决国产大龄剩女问题而成天忙个不停，焦头烂额，还和旧日朋友一起回忆了大家从少年到中年的一些故事。
值得一提的是，如果我能回国时把体重减至70公斤以下，极有可能久病复发，作为一个骨灰级的约炮人才，再次回炉国产约炮大军，我现在国内有一辆奔驰，一套北京二环内的165平精装公寓，我现在长得仍然一点都不难看，完全没有同龄人应有的饱经风霜的或是油腻的脸，能玩帆船和网球，我还有十年前在纽约和LA买的多达百件的整套夜店服，虽旧款，但全是真货，主要是Hermes,Brioni,Kiton,Zilli四个品牌，皮夹克跳舞裤什么的，完全没穿过，但试穿效果不错，我可以打包托运回国，用于约会。至于说到更私密的男性指标，那我们最好见面私聊，在此公布出来恐怕会引起不必要的热议，能透露一点的是：由于在美国的十几年间比较注重运动和饮食，我的各项身体性能指标基本良好，也许还有彩蛋！
至于我的性格，一句话：不错！
借此宝地发布一些我的个人信息，请相关女性把我也考虑在内。多谢！我觉得这一次给我赢得一次百万里挑一的宝贵机会，错过一定后悔终生！希望有意者约我！不求什么天长地久，只要暂时拥有！一生何求！
最后，至于那些参与群嘲的女性朋友们，我在这里劝你们一句，听不听随你：散了吧！我真不想操你们，而且坚持一个都不操！不操不操就不操！就不！偏不！绝不！死不！都是成年人了，软磨硬泡有意思吗？是吧？家走吧！你们别抱幻想了，以为吵吵得越欢就越有机会赢得我的关注？
老实说：很难。
真不是什么心都死了，而是，就是纯粹的对你们没兴趣和性趣！这话够直接了吧！
散了吧，你们这帮哈巴狗儿！
别叫了好不，邻居们都报警了，知道你们还有三秒就到高潮了，冲那流几手去吧——赶紧，迅猛！
为什么推荐？
就冲他这名字！明明就是鼓励你们往他手上流嘛！你们这会儿逼着他改名叫喷几手也很难吧，再说你们真能喷那么多，几手几手的？
吹吧你们就！
事实上，我很早就知道自己 在外形上很适合交配，我的体重长期保持在60至70公斤之间，身高181厘米，皮肤比绝大多数女性都白，脸上几乎从未起过包，从上初中摔跤班开始就有六块腹肌，我拥有很好的爆发力，可以把比我重10公斤的摔跤同伴摔得很绝望，以至于不肯从摔跤垫上爬起来继续练习动作，我比绝大多数人都协调，可以很轻松的翻前后手翻和空翻，只是看了几眼就无师自通的会跳了霹雳舞，我玩所有的球类运动都比普通人轻松很多，因为学动作远快于一般人。我在高中用跨越式就能跳过一米六十，我打篮球跳起后可以用手腕下方触到篮筐铁环，并在空中滑行很久。我长的一点也不难看。我还天生毒舌，只要别缝上我的嘴，我一抬头不小心说两句什么就能令人发笑。
所以我只是在夜场跳几下舞，或在酒吧胡扯几句，就能让一傻妹做梦似的跟在我身后被催眠了似的瞎转悠。
差不多就是花上两三个小时，轻轻松松就能办成其它男人说了一硬盘的瞎话费了牛劲花了大钱用一两年都办不成的事。
我年轻时时常走到一有姿色的姑娘身边，指着她不远处的男友说：我真佩服你，居然能跟这种人呆上一整天！你怎能受得了和他上床？
我多次看到姑娘们脸上无法掩饰的幽暗苦涩自怜无奈甚至愤怒。
即使没人给我发奖，我也知道自己一直是一名不错的炮友。
但我拒绝别人把我当一个生殖器看待，从未有人告诉我，但我好像生来就知道：我活着，不是为了生出一个与我相差无几的人形生物，我骄傲地认为，这件事SB都能办到，根本就用不着我。
我当然被创造的适合约炮，适合把射出精液当成高潮， 适合把与同样适合交配的女性没完没了地交配当成人生几个顶点之一——但我就不！
是的，我就不！
我活着是为了我自己的个人目标：了解宇宙！这目标与任何人都无关。
我要尽可能多的了解所有我能了解的事情，特别是需要非常努力才能了解的那些事情——我说的是，那些比我聪明的人对于宇宙万物的想法。
我就是喜欢知道他们的想法，
知道最近一年，我才渐渐清楚，我对何谓意识，智能这类东西很一直感兴趣，我对所有超出我的思想能力的人感到好奇，想知道他们是怎么做到的。",,,,,2024-11-27T05:22:59,iPad Pro,126715,2318,7224,,,2024-11-27 05:22:59
5105357047203535	,P2fmoudY3,//@放下手机抬头发呆:不参与任何对女性的网暴，多我一个那都太多了,,,,,2024-11-27T16:17:15,万里无椰超话,0,0,0,,放下手机抬头发呆,2024-11-27 16:17:15,False,1959830294,汪有,5105010306190708	,P26l8pYu8,"这次运动员擦边的争论，我观点和我在之前狗头萝莉事件中一样：人不应该对任何女性鉴擦。
在我的字典里没有擦边二字。
公司要求9:00上班，迟到就是迟到，到了就是到了。8:59打卡不叫擦边迟到，这叫准时上班。
非要定义出来一种“擦边迟到”“踩点上班”，最后每个人都得8:30到才能证明自己是好员工。
指责擦边看起来是个新词，其内核很传统。
无非是“你在勾引男人”。
女网友参与鉴擦就更奇怪，这也是在限缩自己的生存空间。
这次鉴定运动员擦边，是另一位女性运动员鉴定的。
鉴定的时候，她肯定觉得，你在擦边，你在影响运动员声誉，我没有擦，我是正义的。
结果被翻检过往物料，别人发现：你不也在擦边吗？
你不也跳热舞吗？你露的不是更多吗？
你敢说你跳的那个舞，就没有自我物化的动作？
她怎么反驳？
法律有明确判断标准。
擦边没有，每个人都有自己的判断标准。
鉴定者也没想到，自己的很多物料，都可以被鉴定擦边。
当你鼓励鉴定擦边风气，那就是很多人都会被鉴定擦边。
你自己8:55上班，你去指责8:59上班的人在踩点上班。
等没人敢8:59上班了，你也会被指责踩点的。
很多人说发起鉴定的运动员双标。
我相信她肯定不是双标。
她肯定觉得自己跳那个舞真的是健康积极的，而对方确实是擦边的。
但在外人眼里，这可能就是8:55和8:59。
所以得有明确标准，法律就是标准。
如果觉得还认为应该有比法律更高的标准，平台可以制定标准。
前几天有平台发布了标准，好多条，不能对着脚拍。这也是标准。
但没有标准，就会出现——
椰树都捂那么严实了，也被说成擦边。
我中学时候还有女生穿吊带，现在这种女生拍短视频，胸前会飘着一朵云。
吊带有没有问题？谁也不知道有没有问题，反正我就遮住就完了。
鉴擦这么多年，网络上不能穿瑜伽裤了，不能穿吊带了，不能穿低胸装了。
这就是没有明确标准，导致大家都8:30就得到公司。
我的观点就是：这俩女运动员，都没擦边。
没有踩点上班，只有准时上班。",,,,,2024-11-26T17:19:26,啥都有的iPhone 16 Pro Max,32223,1398,2588,,,2024-11-26 17:19:26
5105088076974004	,P28mztgfW,下辈子我不在这呆了行嘛 ,,"https://wx2.sinaimg.cn/large/006BRifqgy1hw00dnqd27j30pa1p278z.jpg,https://wx4.sinaimg.cn/large/006BRifqgy1hw00dmypdyj30lv1kwq6r.jpg",,,2024-11-26T22:28:28,iPhone客户端,0,0,0,,,2024-11-26 22:28:28,True
5104526080345414	,P1TK81rRc,妈呀这美的太牛逼了,,,,,2024-11-25T09:15:18,iPhone客户端,0,0,0,,,2024-11-25 09:15:18,False,5386410322,加油努力自信美丽,5104047434500140	,P1Hi7iSGU,"朋友家的柯基好可爱！！柯基是我最喜欢的品种哈哈哈哈！！但是我今天才知道小狗狗会来姨妈
 
加油努力自信美丽的微博视频
 ",,,"https://f.video.weibocdn.com/o0/hIoZaN3slx08jP7Lc5m8010412007zjl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732874180&ssig=bQ3JouUWS1&KID=unistore,video",,2024-11-24T01:33:19,微博视频号,1300,92,21,,,2024-11-24 01:33:19
5104512769460947	,P1ToEDHdV,"我说为什么西哲这么难读，老师：我很无私，我把我最前沿的发现都融入课堂里了，现在都是博士研究的。你们要自己问题导向……..
我说我上课怎么像智障 ",,,,,2024-11-25T08:22:24,iPhone客户端,0,0,0,,,2024-11-25 08:22:24,True
