id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5102436402596053	,P11nGaTlP,"solo的压力营养-抗炎膳食打卡学习群每月第一周、第三周开放少量额度，
我陪你每天精调健康膳食结构，养成健康生活习惯
全新“压力营养-年末特别健康守护计划”！
压力营养-修护班
·专为年底应酬多、酒局多，肠胃及身体各方面压力大的朋友设计
·精调每日膳食，促进肠胃和身体更好修护
·缓解应酬带来的不适
·控制体型，避免压力胖和秋冬体型失控，养成不易胖不易肿体质
·经典班升级，饮食结构调整进一步优化
（
本班搭配益生菌橙+粉8+8组合，我有独家组合羊毛）
全新压力营养-解压班
·专为年底工作特别忙、精神压力大、容易焦虑、容易感冒，睡眠和免疫都受到影响的朋友设计
·特别制定的抗炎抗压膳食计划
·日常可随时做的压力释放练习
·运动前后的精准膳食管理
·睡眠营养管理
（
本班搭配AG小绿粉，我有全网独家组合，低于官网双十一，还避免过度囤货）
肩颈放松、体态舒展班
拒绝“压力老”
·即刻缓解上班久坐后肩酸脖、脖子僵硬
·斜方突兀、缩脖子、头前倾等问题
·放松紧张情绪，改善压力太大引起的头痛烦躁
·优化紧致面颈轮廓
饮食优化+居家肩颈康复动作
基于专业运动康复设计的动作，简单安全高效，随时随地不舒服了就立即可以练，即刻缓解
（
本班需搭配面部紧致+肩颈舒展组合，是个从头到脚的超级大礼包，赠品多到不计其数，我羊毛群里有独家羊毛
）
紧腰收腹核心班
·在健康饮食的基础上，加上每日练习
·帮助收紧突出的小肚子
·改善久坐腰痛腿肿的问题
·深度放松，改善睡眠💤
饮食优化+腰腹核心专业练习
基于运动康复和专业比基尼训练的动作，安全高效零门槛，日常居家都方便随时练习，不需要器械也不用去健身房
（
本班是压力营养进阶班，针对需要进一步调整饮食、优化体型的朋友）
抗炎美肤班
·在压力营养的基础上搭配护肤品，做到真正由内而外养护皮肤，让皮肤健康发光！
·每日膳食管理、睡眠管理
（
本班需要搭配面部超级组合，宝藏面霜+精华+防晒，我也有全网独家羊毛）
详情请咨询@sonic_aaa 直接进羊毛群（⚠️因为微博限制，请务必关注后再咨询，非常非常重要⚠️）
压力营养美发防脱班策划中，宝藏护发产品+精调膳食结构，改善压力引发的脱发，解压疗愈又让头发更浓密漂亮
敬请期待",,,,,2024-11-19T14:51:40,HUAWEI P40 Pro 5G,1,3,3,,sonic_aaa,2024-11-19 14:51:40,True
5106094861455004	,P2yyq66vO,@韩慕照,,,,,2024-11-29T17:09:04,HUAWEI P40 Pro 5G,0,0,1,,韩慕照,2024-11-29 17:09:04,False,3970682137,糊糊馆长,5105751099442931	,P2pBXDCxl,"被遗忘的画家Sébastien Stoskopff (1597-1657)，因静物画之兴而被重新发现，善绘玻璃杯透明质感。
《篮中玻璃杯、馅饼与寄给特尼尔的信》布面油画，52 x 63 厘米，1644年，斯特拉斯堡圣母美术馆藏
尺幅虽小，构图严谨，情境深幽。一藤篮置于裂纹石桌上，篮中散乱堆叠的酒杯，莹澈如霜，透亮如冰。光影反射间，轮廓毕现，画工真是精妙。
左方有纸一张，署“致特尼尔先生”，封蜡。馅饼里包的可能是鹅肝酱，美食用笔粗粝，水晶玻璃精细，藤篮繁复有节，物象各展其态，和谐而不失对比。
这不仅是画家探索光影、材质和空间感的炫技，还承载了丰富的象征意义。
玻璃脆，心易碎。美短暂，命易逝，世无常。
画家没有使用骷髅或沙漏这些常见象征物，而是玻璃杯，创作极具通透性的“虚空画”（Vanitas）。
当时玻璃制品稀有且珍贵，因其纯净无瑕，作圣洁物，如玛利亚的净水容器。有时盛葡萄酒，象征圣人之血，神圣之光。",,"https://wx2.sinaimg.cn/large/ecabcd19gy1hw24eiy23mj218n10skeu.jpg,https://wx1.sinaimg.cn/large/ecabcd19gy1hw24f1t5acj23ra2i6kjn.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw24f6dvgvj20xt0sb7j4.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw24eb0d6yj20xs0rsn0h.jpg",,,2024-11-28T18:23:05,,24,4,13,,,2024-11-28 18:23:05
5106094566801719	,P2yxWsxr9,"大号不讲了，默默小号说
快碳和掉头发没有半毛钱关系
注意哈，快碳
脂肪燃烧本身消耗大量各类营养素和微量元素
节食过度掉头发，不是吃馒头啃面包一顿吃两斤饭就能解决
吃饱吃满足，营养素微量元素充分才是王道
这点我们学压力营养和其他新型营养的人，观点非常一致
但也不会跟任何其他人争辩",,,,,2024-11-29T17:07:53,HUAWEI P40 Pro 5G,3,0,0,,,2024-11-29 17:07:53,True
5105702832177215	,P2om798on,"//@cocteausolo李索罗:防脱班最后十个名额了！这期做完不晓得啥时候有了，机制肯定也不一样了！速度走起！//@李索罗:“和米诺xx会冲突吗？”完全不会
还有相互促进的作用。如果确诊的雄脱，米是有针对性的，但米只负责激素失衡的问题，对压力造成的问题没有作用。这套产品恰恰是针对压力性、情绪紧张造成的问题，而大部分女性的脱发，其实更偏向压力型。如果能配合针对性的抗炎饮食、淋巴引流解压按摩，改善效果就更好",,,,,2024-11-28T15:11:16,HUAWEI P40 Pro 5G,0,0,0,,"cocteausolo李索罗,李索罗",2024-11-28 15:11:16,False,1411049362,cocteausolo李索罗,5105341037806993	,P2eWzwKXf,"每天一个超实用的营养健康美丽小常识
“冬天更容易掉头发？
真的！
很多人觉得冬天好像掉头发变多了，自信点，不是“好像”，而是事实！
1
冬天头皮循环更不畅。
学过解剖就会知道，人的头顶和脑后大部分区域，几乎没有肌肉，而是一层腱膜。因为这是头盖骨最坚硬的部位，大脑有充分保护，就不需要再长肌肉了。
对大脑好，但对头发没啥好处
肌肉少的地方只能主要靠毛细血管供血供营养，但毛细血管吧，是会时不时关闭的，一关闭，头发就没啥养分补给了
2
为什么毛细血管会关闭？
节能。
头发指甲皮肤，都是身体营养供给链中的“末等公民”
一旦身体觉得环境压力大了（天冷），生活压力大了（忙），营养必须优先给大脑心脏，头发皮肤，暂时牺牲一下吧……
举个例子🌰忙的时候为什么脸看着那么憔悴？因为身体克扣了皮肤的营养啊！
但头发离脑子那么近，就不能分点营养吗？
别想了不可能
大脑甚至会强行抢走肝肾那么远、那么重要的器官的能量，怎么可能留养分给头发？
3
冬天整体炎症水平偏高。
天冷刮风环境压力大，工作忙生活压力大，爱吃重口味甜的油的，蔬菜水果反而吃得少，水喝得更少，人还不爱活动……
都是促炎的因素。
头发还面临另一个问题：冬天很多人不爱洗头。
两三天不洗还行，四五六七天不洗吧，头皮分泌的皮脂还真容易变质，刺激头皮。
4
休眠期衰退期的头发更容易脱落。
这点很多人不知道，头发生长是有周期的。
你硬拔都拔不下来、拔得很痛的头发，处于“生长期”，比较牢固。
但头发生长一阵子，会进入“休眠期”，这时就比较容易脱落。休息一阵子再长。
而历经几年的生长和休眠的头发，逐渐进入“衰退期”，这时就更容易脱落。
冬天，本来生长期的头发就少，更多头发为了给身体“节能”，进入“休眠期”，这时再不好好给点时间养分、压力又大，还很长时间不洗头、吃得又促炎……
当然头发就脱落了。
5
怎么办呢？
营养作息保暖首先必须做好。
尤其优质蛋白质和优质脂肪，以及具有平衡压力效果的维生素微量元素，尽量每天补充充分。
头皮按摩还真非常重要，看右图，头上白的部位，相对更容易脱发，经常按摩按摩、促进循环，非常有帮助
在这个基础上，搭配具有更好抗炎和促进循环效果的护发防脱类产品，才能更好保护休眠期的头发，也能让生长期的头发长势更好
全新压力营养-防脱增发班，记得咨询小助理@sonic_aaa",,"https://wx3.sinaimg.cn/large/541ae792ly1hw0tacxtrlj20u00u0dj9.jpg,https://wx1.sinaimg.cn/large/541ae792ly1hw0tac69qqj20u00u0415.jpg,https://wx3.sinaimg.cn/large/541ae792ly1hw0taemueuj20ls0ukgoj.jpg",,,2024-11-27T15:13:39,iPhone XS,21,5,15,,sonic_aaa,2024-11-27 15:13:39
5105702617743538	,P2olLwurM,我自己最推荐动作6！极其经典的礼蹲，练臀中和臀下的，臀中部有凹陷的非常适合这个动作，但难的，保加利亚做不好的别做，一定要慢，可以先做分解：后腿找到位置站稳，重心在前腿，然后再慢慢蹲下站起，她这套做控制的话，一样拉心肺，但臀发力感更好，也膝盖更友好,,,,,2024-11-28T15:10:25,HUAWEI P40 Pro 5G,41,1,20,,,2024-11-28 15:10:25,False,1272568772,王大毛0207,5105647685210922	,P2mValRB8,Yarishna Ayala居家训练。 ,,"https://wx3.sinaimg.cn/large/4bd9dbc4gy1hw1rzqhmz2j21401bj7dt.jpg,https://wx1.sinaimg.cn/large/4bd9dbc4gy1hw1rzyehvej20u00zognn.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hw1s0814j4j20ty0zktao.jpg,https://wx3.sinaimg.cn/large/4bd9dbc4gy1hw1s0dfm99j20ty0zmjta.jpg,https://wx1.sinaimg.cn/large/4bd9dbc4gy1hw1s0jqargj20u00zodht.jpg,https://wx2.sinaimg.cn/large/4bd9dbc4gy1hw1s0mcxecj20u00zo40j.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hw1rzqt62tj21401bigqw.jpg","https://f.video.weibocdn.com/u0/aOUH0g6Ngx08jW8UunN6010412002FJK0E010.mp4?label=mp4_720p&template=720x856.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732876135&ssig=ONJ8W58spy&KID=unistore,video",,2024-11-28T11:32:09,iPhone 15 Pro Max(原色钛金属),170,3,36,,,2024-11-28 11:32:09
5105611078107472	,P2lY7y17G,"这组难的
虽然肯定大家都喜欢，但讲一个极其关键的细节：向心那一瞬间，绝大部分不练臀腿的女生肯定膝盖内扣，再加上跳跃落地，妥妥地伤膝盖。怎么处理也很简单，放慢动作速度，膝盖上绷个弹力带，蹲下站起跳起落下的时候，都确保弹力带是随时绷紧的，这么动作会很慢，但膝盖安全而且更多发力是臀，至于前后腿不好绷弹力带的动作，没找到臀发力和膝盖旋外的感受之前，就别练",,,,,2024-11-28T09:06:40,HUAWEI P40 Pro 5G,13,0,14,,,2024-11-28 09:06:40,False,1272568772,王大毛0207,5105438345663163	,P2htwnLfl,Yarishna Ayala居家燃脂训练。 ,,"https://wx4.sinaimg.cn/large/4bd9dbc4gy1hw14hfkraaj20u011ijsx.jpg,https://wx1.sinaimg.cn/large/4bd9dbc4gy1hw14hgl3hxj20jy0oymya.jpg,https://wx2.sinaimg.cn/large/4bd9dbc4gy1hw14hleseej20jy0oywfp.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hw14hqklx2j20se0zg0uj.jpg,https://wx3.sinaimg.cn/large/4bd9dbc4gy1hw14hxe032j20k00p0gmk.jpg,https://wx3.sinaimg.cn/large/4bd9dbc4gy1hw14i0dljpj20u011ijun.jpg","https://f.video.weibocdn.com/u0/djTxHFJagx08jVf27ouI010412002grR0E010.mp4?label=mp4_720p&template=720x900.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732876135&ssig=BZt73RuO1M&KID=unistore,video",,2024-11-27T21:40:19,iPhone 15 Pro Max(原色钛金属),19,1,22,,,2024-11-27 21:40:19
5105428063586877	,P2hcWf36R,"今日份训练和练后餐
练肩，后束已经很好了，不追求大，线条比例好就行
斜板靠着练习，核心更稳，但对肩的募集就更精准
最近练后餐都是小绿配胡萝卜和坚果莓果，
粉草莓好吃 ",,"https://wx4.sinaimg.cn/large/a1524b5dly1hw13f9unfcj20zk0qo77u.jpg,https://wx2.sinaimg.cn/large/a1524b5dly1hw13fa6u6nj20r20zkq7v.jpg",,,2024-11-27T20:59:27,HUAWEI P40 Pro 5G,6,2,0,,,2024-11-27 20:59:27,True
5105375475142934	,P2fQ7lzUy,@韩慕照 @鸡鸡说 这组好看,,,,,2024-11-27T17:30:29,HUAWEI P40 Pro 5G,1,1,2,,"韩慕照,鸡鸡说",2024-11-27 17:30:29,False,3970682137,糊糊馆长,5105096205010194	,P28zGl1nA,"达利 《希腊神话》
由达利与出版商皮埃尔夫妇协作完成，历四年（1963-1967年），精雕细刻，成十六版铜板。以希腊神话为题，寓意深邃，刻画英雄情怀、人类情感及神秘力量。融传统与创新，古典神话的象征，现代艺术的形式，兼而有之。
达利起笔于偶发墨迹，承“客观偶然”（Hasard Objectif）之法，以随机形态为灵感，化无序为有序，此法承超现实主义之旨，显潜意识与偶然性之妙。
在《俄狄浦斯与斯芬克斯》（Œdipe et le Sphinx）、《忒修斯与弥诺陶洛斯》（Thésée et le Minotaure）、《朱庇特》（Jupiter）、《珀加索斯》（Pégase）、《银河》（La Voie Lactée）……这些作品中，可见一斑。
其技法更涉非常规之器，或钉、或剪、或尖锐之物，以产生奇特的线条纹理。如《维纳斯诞生》（La Naissance de Venus），《美杜莎》（La Méduse），竟取鲜活章鱼，浸于酸液，令触须痕迹现于铜版，诡奇生动，堪称超现实之绝妙。",,"https://wx4.sinaimg.cn/large/ecabcd19gy1hw00xhhdtij20x01827wh.jpg,https://wx2.sinaimg.cn/large/ecabcd19gy1hw00y5qzpyj214s1j04qq.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw00yld1bnj22ml3h2b2a.jpg,https://wx4.sinaimg.cn/large/ecabcd19gy1hw00zafp4jj215q1k07wi.jpg,https://wx4.sinaimg.cn/large/ecabcd19gy1hw0101rt2gj215u1k8hdu.jpg,https://wx4.sinaimg.cn/large/ecabcd19gy1hw01zslbi2j20vl15m7e5.jpg,https://wx1.sinaimg.cn/large/ecabcd19gy1hw011g3id8j221a1j4kjo.jpg,https://wx1.sinaimg.cn/large/ecabcd19gy1hw01495ysfj221i1ioqv7.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw0194b9kpj22dc1v61l2.jpg,https://wx4.sinaimg.cn/large/ecabcd19gy1hw0127ki8qj214m1isb2a.jpg,https://wx2.sinaimg.cn/large/ecabcd19gy1hw0131v5pej215m1jue82.jpg,https://wx2.sinaimg.cn/large/ecabcd19gy1hw016qflv7j221e1iq4qs.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw016umfclj21v91h5drg.jpg,https://wx1.sinaimg.cn/large/ecabcd19gy1hw01adisyoj214q1isb2a.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw01b8glmlj215m1juhdu.jpg,https://wx1.sinaimg.cn/large/ecabcd19gy1hw019hgfh9j21hc1vfe3a.jpg,https://wx3.sinaimg.cn/large/ecabcd19gy1hw019nmaf6j21211hc1eb.jpg",,,2024-11-26T23:00:46,,47,3,21,,,2024-11-26 23:00:46
5105344386437227	,P2f1Yr0Cf,防脱班12.8开班，产品有史以来最低，可以用三个月，正好到了春天就头发蹭蹭长了！真没几套，抢完我也没了，压力营养搞护肤护发预防压力胖压力肿，绝对有一套！速度联系小助理走起！这批羊毛错过我真的没的，这点都是保税仓里面抢出来的,,,,,2024-11-27T15:26:57,HUAWEI P40 Pro 5G,2,1,1,,,2024-11-27 15:26:57,False,1411049362,cocteausolo李索罗,5105341037806993	,P2eWzwKXf,"每天一个超实用的营养健康美丽小常识
“冬天更容易掉头发？
真的！
很多人觉得冬天好像掉头发变多了，自信点，不是“好像”，而是事实！
1
冬天头皮循环更不畅。
学过解剖就会知道，人的头顶和脑后大部分区域，几乎没有肌肉，而是一层腱膜。因为这是头盖骨最坚硬的部位，大脑有充分保护，就不需要再长肌肉了。
对大脑好，但对头发没啥好处
肌肉少的地方只能主要靠毛细血管供血供营养，但毛细血管吧，是会时不时关闭的，一关闭，头发就没啥养分补给了
2
为什么毛细血管会关闭？
节能。
头发指甲皮肤，都是身体营养供给链中的“末等公民”
一旦身体觉得环境压力大了（天冷），生活压力大了（忙），营养必须优先给大脑心脏，头发皮肤，暂时牺牲一下吧……
举个例子🌰忙的时候为什么脸看着那么憔悴？因为身体克扣了皮肤的营养啊！
但头发离脑子那么近，就不能分点营养吗？
别想了不可能
大脑甚至会强行抢走肝肾那么远、那么重要的器官的能量，怎么可能留养分给头发？
3
冬天整体炎症水平偏高。
天冷刮风环境压力大，工作忙生活压力大，爱吃重口味甜的油的，蔬菜水果反而吃得少，水喝得更少，人还不爱活动……
都是促炎的因素。
头发还面临另一个问题：冬天很多人不爱洗头。
两三天不洗还行，四五六七天不洗吧，头皮分泌的皮脂还真容易变质，刺激头皮。
4
休眠期衰退期的头发更容易脱落。
这点很多人不知道，头发生长是有周期的。
你硬拔都拔不下来、拔得很痛的头发，处于“生长期”，比较牢固。
但头发生长一阵子，会进入“休眠期”，这时就比较容易脱落。休息一阵子再长。
而历经几年的生长和休眠的头发，逐渐进入“衰退期”，这时就更容易脱落。
冬天，本来生长期的头发就少，更多头发为了给身体“节能”，进入“休眠期”，这时再不好好给点时间养分、压力又大，还很长时间不洗头、吃得又促炎……
当然头发就脱落了。
5
怎么办呢？
营养作息保暖首先必须做好。
尤其优质蛋白质和优质脂肪，以及具有平衡压力效果的维生素微量元素，尽量每天补充充分。
头皮按摩还真非常重要，看右图，头上白的部位，相对更容易脱发，经常按摩按摩、促进循环，非常有帮助
在这个基础上，搭配具有更好抗炎和促进循环效果的护发防脱类产品，才能更好保护休眠期的头发，也能让生长期的头发长势更好
全新压力营养-防脱增发班，记得咨询小助理@sonic_aaa",,"https://wx3.sinaimg.cn/large/541ae792ly1hw0tacxtrlj20u00u0dj9.jpg,https://wx1.sinaimg.cn/large/541ae792ly1hw0tac69qqj20u00u0415.jpg,https://wx3.sinaimg.cn/large/541ae792ly1hw0taemueuj20ls0ukgoj.jpg",,,2024-11-27T15:13:39,iPhone XS,21,5,15,,sonic_aaa,2024-11-27 15:13:39
5105331065847984	,P2eGuoxkk,这组看45，4就是练臀的后踢，但有个极其关键的细节：她那个器材有个靠垫可以稳定核心的看到哇？核心必须压住绷住不翻转是这个动作的关键，根本不是踢多高，而是伸髋位充分收缩臀部；5是我们经典的硬拉，看到她微微含胸吗？不是低头哦，脊柱绷紧的，这样可以尽量避免靠背发力，充分伸髋。以及她的负重已经恐怖了，日常你们1/3都很正常，4个动作就够，她一次那么多动作累哭的,,,,,2024-11-27T14:34:00,HUAWEI P40 Pro 5G,9,0,3,,,2024-11-27 14:34:00,False,1272568772,王大毛0207,5105049592136352	,P27mv8XLi,奥赛女子形体8冠王Cydney Gillon腿臀训练。 ,,"https://wx2.sinaimg.cn/large/4bd9dbc4gy1hvzvq3muuvj20u011igo9.jpg,https://wx2.sinaimg.cn/large/4bd9dbc4gy1hvzvq55w3lj20u011itay.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hvzvqd5k59j20u011idig.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hvzvqhyq7tj20u011itbl.jpg,https://wx2.sinaimg.cn/large/4bd9dbc4gy1hvzvql3wtzj20u011itb2.jpg,https://wx2.sinaimg.cn/large/4bd9dbc4gy1hvzvqpddfvj20u011iwgt.jpg,https://wx1.sinaimg.cn/large/4bd9dbc4gy1hvzvqu8nazj20u011igoc.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hvzvqxbfqcj20u011i40w.jpg,https://wx4.sinaimg.cn/large/4bd9dbc4gy1hvzvr36zguj20u011i0uu.jpg","https://f.video.weibocdn.com/u0/OUejOsG5gx08jTwJCEEU01041200sICz0E010.mp4?label=mp4_720p&template=720x900.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732876136&ssig=YUteUhP1Cd&KID=unistore,video",,2024-11-26T19:55:32,iPhone 15 Pro Max(原色钛金属),8,2,8,,,2024-11-26 19:55:32
