id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106126049771761	,P2zmIF053,雍和宫啥时让我和北京双向奔赴啊 我上个月也拜了 是我跪的时间不够吗,,,,,2024-11-29T19:12:59,iPhone 15,1,0,0,,,2024-11-29 19:12:59,False,6196101244,千寻和菠萝油,5097042570906022	,OEIwh3NHg,"周六雍和宫拜佛，祈求这份痛苦的工作能有转机。
周一被老板约谈说不适合这份工作，HR会联系我要不要转岗或者其他打算。
雍和宫你。。。 ",,,,,2024-11-04T17:38:30,,1638,106,50,,,2024-11-04 17:38:30
5106124445453226	,P2zk8mSDg,"在云南第一天还是白雪公主，才第三天就变黄黑了，感觉除了紫外线，这里刮的风都会让人变黑
照镜子和手机镜头里感觉自己好丑 容貌焦虑了
是我脸的问题吗前置镜头自拍丑哭了 哪哪都不对，脸部状态不行❌ ",,,,,2024-11-29T19:06:37,iPhone 15,0,0,0,,,2024-11-29 19:06:37,True
5106101236795720	,P2yIHsvSo,你可以爱世界的任何东西，但绝不能爱人#糯の人生观察# ,,,,,2024-11-29T17:34:24,iPhone 15,1,0,0,糯の人生观察,,2024-11-29 17:34:24,True
5106087848837390	,P2yn6B50y,"懒人方法：躺着看日照金山🏔️ 淡季才160块/晚
我后天还订了晚白沙古镇的雪景房，听说可以屋顶看雪山🏔️另外还有萌宠陪伴服务
丽江的住宿业太卷了！ 
丽江·巨甸古镇
 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/u0/Dc4QqKl0gx08jY6gw6zS01041200i9Zf0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888407&ssig=R1tXhYZI3N&KID=unistore,video",丽江·巨甸古镇,2024-11-29T16:41:11,iPhone 15,0,0,0,,,2024-11-29 16:41:11,True
5106074904429076	,P2y2eiAcI,特色炒饵丝好好吃！随便找的菜市场小店，果然美食都藏在烟火之气里～ #糯糯吃在丽江# ,,"https://wx2.sinaimg.cn/large/007XWY3Vgy1hw35nq4hk6j34eo3b0kjo.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw37c18ayrj32c0340hdu.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003eZEe2gx08jY2TRrSL0f0f0100eDDZ0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F003P4Sq0gx08jY6Sf7q80f0f0100ibTJ0k01.mov,,2024-11-29T15:49:46,iPhone 15,0,0,0,糯糯吃在丽江,,2024-11-29 15:49:46,True
5106062518124850	,P2xIfy5DY,"还是觉得上班有意思  太安逸了好空虚
生活没盼头 ",,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw34agejczj30v90qtq5l.jpg,,,2024-11-29T15:00:32,iPhone 15,1,2,0,,,2024-11-29 15:00:32,True
5106039533603844	,P2x7bf7ww,"#小糯每日好物分享#谁能想到这外套才50块💰，是跟着@一只小叭叭-  买的 。内搭了件紧身羽绒服，我是受叭叭的启发，买了件鸭绒的算是她推荐的鹅绒的平替吧才60块，上雪山不冷，围巾某多10块暖和
季节穿搭，上身全套不超过200，该省省改花花，明年扔了又可以买新衣服啦
随手拍了一身给姐妹们参考～",,"https://wx3.sinaimg.cn/large/007XWY3Vgy1hw31cii79nj30u01hch0a.jpg,https://wx4.sinaimg.cn/large/007XWY3Vgy1hw31jury0aj30wr0jk79j.jpg,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw31jzczbmj30wr0fnafw.jpg,https://wx1.sinaimg.cn/large/007XWY3Vgy1hw31k5rv5lj30wh115jyl.jpg",,,2024-11-29T13:29:13,iPhone 15,2,4,0,小糯每日好物分享,一只小叭叭-,2024-11-29 13:29:13,True
5105995932238913	,P2vYR9orv,各行业都在等鱼🐠死 ,,https://wx2.sinaimg.cn/large/007XWY3Vgy1hw2wmx8784j30go0vt78q.jpg,,,2024-11-29T10:35:58,iPhone 15,5,3,0,,,2024-11-29 10:35:58,True
5105968342107606	,P2vgm8QhE,"最近在看mai的摄政王妃，也是美的惊心。早期小白花，现在明艳照人。不愧是🇹🇭第一美女 
椰奶小糯的微博视频
 ",,,"https://f.video.weibocdn.com/u0/cI4lOwu7gx08jXzWXdMI010412007wSx0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732888407&ssig=7O%2BwIC64JC&KID=unistore,video",,2024-11-29T08:46:20,iPhone 15,4,0,0,,,2024-11-29 08:46:20,True
5105958440929859	,P2v0o3TTJ,//@甜甜心情超好爆好无敌好:麻烦大家帮忙转发,,,,,2024-11-29T08:06:59,iPhone 15,0,0,0,,甜甜心情超好爆好无敌好,2024-11-29 08:06:59,False,5609896682,诸暨流浪动物之家,5103565935479511	,P1uLvmZtd,"发现杭州萧山楼塔特大狗肉屠宰场！急需大量志愿者個志愿者发现一辆载满狗狗的狗车，其中还有不少品种狗，跟随狗车发现了特大屠宰场！
目前急需大量志愿者，狗贩子们甚至当着志愿者和执f者的面屠S小狗并且剥p！！
现场志愿者已经报警，白天各部门领导辛苦前往了现场
协助了屠夫让卖家拉走了白条狗
为动物发声#拒绝食用伴侣动物# 
杭州·楼塔古镇
 
诸暨流浪动物之家的微博视频",,,"https://f.video.weibocdn.com/o0/E8i222Nclx08jN0hCLsA01041200kjyc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732888408&ssig=gvSf%2Fuoy%2Fw&KID=unistore,video",杭州·楼塔古镇,2024-11-22T17:40:01,iPhone客户端,4795,1201,4598,拒绝食用伴侣动物,,2024-11-22 17:40:01
