id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105835498539590	,P2rO5zPxk,现在不止AAO，gdc直接吊销Dr.Mew 的执业证了,,,,,2024-11-28T23:58:26,HUAWEI Mate 60 Pro+,1,1,0,,,2024-11-28 23:58:26,False,5182213352,牙齿矫正刘坦博士,5104310839153534	,P1O8XCpfE,"AAO强烈反对Mewing，舌位训练真的有害吗?#FDO正畸# 
牙齿矫正刘坦博士的微博视频
 ",,,"https://f.video.weibocdn.com/o0/Pn6zfV9jlx08jMPrHSnm01041201SRvg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892062&ssig=bYfMmvA7IK&KID=unistore,video",,2024-11-24T19:00:00,微博视频号,7,2,1,FDO正畸,,2024-11-24 19:00:00
5105831620120421	,P2rHQ0vkh,"天塌了，mewing们！
Dr.Mew 真的要被GDC英国牙科总会吊销执照了。现在已经是“暂停状态”，马上吊销。
原因就是第二张图片里的原因就是行为不当。包括认为他在YouTube上发表的言论不当。
当然虽然MEW多多少少有些“神叨”，但是说实话mewing本身还是没有太多问题的，大家可以坚持。#青年口腔医生进阶计划##mewing#",,"https://wx3.sinaimg.cn/large/005EI2qkly1hw2dr2ag8aj31rs0q6tif.jpg,https://wx1.sinaimg.cn/large/005EI2qkly1hw2dr2m80mj31260r00wp.jpg",,,2024-11-28T23:43:02,HUAWEI Mate 60 Pro+,1,2,0,"青年口腔医生进阶计划,mewing",,2024-11-28 23:43:02,True
5105760396640465	,P2pQXrRuh,"关节弹响+后牙开合：如何修正错误矫正引发的复杂问题？#FDO正畸# 
牙齿矫正刘坦博士的微博视频
 ",,,"https://f.video.weibocdn.com/o0/eD8wt43Flx08jWvduqE801041201GYFq0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892062&ssig=aiOxgL9Ume&KID=unistore,video",,2024-11-28T19:00:01,微博视频号,4,0,0,FDO正畸,,2024-11-28 19:00:01,True
5105489925375167	,P2iOImykf,鄂中缝不同的成熟度，不同的成熟度对应不同的扩弓方法#青年口腔医生进阶计划##mse骨性扩弓# ,,https://wx1.sinaimg.cn/large/005EI2qkly1hw1ahgcxqtj32ad1y4b29.jpg,,,2024-11-28T01:05:16,HUAWEI Mate 60 Pro+,4,1,1,"青年口腔医生进阶计划,mse骨性扩弓",,2024-11-28 01:05:16,True
5105070958187051	,P27UXylPd,闭锁合成年人依然不算晚,,,,,2024-11-26T21:20:27,HUAWEI Mate 60 Pro+,0,0,0,,,2024-11-26 21:20:27,False,5182213352,牙齿矫正刘坦博士,5104327931205063	,P1OAx53uv,"#fdo正畸##青年口腔医生进阶计划# 
给岁月以颜值
患者问我为什么给她选择这个美学修复医生，或者为什么选择这个牙周医生。
我的回答都是一致的，就是岁月颜值严选的医生首先技术上都一定是第一梯队的，但是这只是基础。T0级别的审美才是最重要的。这个患者的美学设计是我一直合作的我认为最懂正畸的美学修复医生@以以冬冬 ，亲眼看她设计了每一颗牙齿的形态和弧线。
正畸医生设计牙齿的位置，美学修复医生设计牙齿的形态。多学科联合才会呈现最佳的治疗效果。当然后期这个患者还要咬合重建。我们后期继续更新！",,"https://wx3.sinaimg.cn/large/005EI2qkly1hvxkoyzcwdj31li2g9npg.jpg,https://wx4.sinaimg.cn/large/005EI2qkly1hvxkpbacu2j31li2g9x6s.jpg,https://wx1.sinaimg.cn/large/005EI2qkly1hvxkpxv7a0j31li2g94qt.jpg,https://wx4.sinaimg.cn/large/005EI2qkly1hvxkq2qrtvj31li2g9e85.jpg",,,2024-11-24T20:07:55,HUAWEI Mate 60 Pro+,1,1,2,"fdo正畸,青年口腔医生进阶计划",以以冬冬,2024-11-24 20:07:55
5105069647202100	,P27SQudAU,"MARPE支抗钉支持的骨扩，支抗钉到底如何跟扩弓器怎么结合才有效？AJODO上也是随处可见反面教材
 #青年口腔医生进阶计划# #骨性扩弓# ",,https://wx1.sinaimg.cn/large/005EI2qkly1hvzy7tjmorj30z00q4tb5.jpg,,,2024-11-26T21:15:14,HUAWEI Mate 60 Pro+,4,1,0,"青年口腔医生进阶计划,骨性扩弓",,2024-11-26 21:15:14,True
5105035619336377	,P26ZXDaOJ,"上颌骨偏后导致鼻基底凹陷？正畸与骨增量双管齐下！#FDO正畸# #青年口腔医生进阶计划# 
牙齿矫正刘坦博士的微博视频
 ",,,"https://f.video.weibocdn.com/o0/nHGEalzIlx08jT07MHY401041201wNiw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892062&ssig=sFooomHC6Y&KID=unistore,video",,2024-11-26T19:00:00,微博视频号,7,0,0,"FDO正畸,青年口腔医生进阶计划",,2024-11-26 19:00:00,True
5104731821971052	,P1Z5Y8gLa,上下颌前牙骨改建的不同形式，上颌颚侧的骨改建要优于下颌舌侧。所以上前牙整体回收为主，下前牙则更多是角度的变化。 #fdo正畸# #青年口腔医生进阶计划# ,,"https://wx2.sinaimg.cn/large/005EI2qkly8hvyvc15420j31mt19p7b1.jpg,https://wx4.sinaimg.cn/large/005EI2qkly8hvyvc1640tj31x713xajz.jpg,https://wx3.sinaimg.cn/large/005EI2qkly8hvyvc16pctj31x61cxtgw.jpg,https://wx1.sinaimg.cn/large/005EI2qkly8hvyvc16oewj31x61sqn93.jpg",,,2024-11-25T22:52:50,微博 HTML5 版,3,1,0,"fdo正畸,青年口腔医生进阶计划",,2024-11-25 22:52:50,True
5104348115766916	,P1P75oceM,"#青年口腔医生进阶计划##颞下颌关节紊乱# 
文献里描述的一块新发现的咬肌深层的部分。也就是说，为了稳定下颌骨，冠突有可能能收到向后上的力。interesting！ 
北京·贝博悦齐口腔
 ",,"https://wx2.sinaimg.cn/large/005EI2qkly1hvxndfi2cuj30xb16ptl3.jpg,https://wx2.sinaimg.cn/large/005EI2qkly1hvxndgg9hoj30z017rn7p.jpg,https://wx2.sinaimg.cn/large/005EI2qkly1hvxndgnwg5j30z011ljuv.jpg,https://wx3.sinaimg.cn/large/005EI2qkly1hvxndgtqmlj30z018jtca.jpg",,北京·贝博悦齐口腔,2024-11-24T21:28:07,HUAWEI Mate 60 Pro+,8,1,1,"青年口腔医生进阶计划,颞下颌关节紊乱",,2024-11-24 21:28:07,True
5104327931205063	,P1OAx53uv,"#fdo正畸##青年口腔医生进阶计划# 
给岁月以颜值
患者问我为什么给她选择这个美学修复医生，或者为什么选择这个牙周医生。
我的回答都是一致的，就是岁月颜值严选的医生首先技术上都一定是第一梯队的，但是这只是基础。T0级别的审美才是最重要的。这个患者的美学设计是我一直合作的我认为最懂正畸的美学修复医生@以以冬冬 ，亲眼看她设计了每一颗牙齿的形态和弧线。
正畸医生设计牙齿的位置，美学修复医生设计牙齿的形态。多学科联合才会呈现最佳的治疗效果。当然后期这个患者还要咬合重建。我们后期继续更新！",,"https://wx3.sinaimg.cn/large/005EI2qkly1hvxkoyzcwdj31li2g9npg.jpg,https://wx4.sinaimg.cn/large/005EI2qkly1hvxkpbacu2j31li2g9x6s.jpg,https://wx1.sinaimg.cn/large/005EI2qkly1hvxkpxv7a0j31li2g94qt.jpg,https://wx4.sinaimg.cn/large/005EI2qkly1hvxkq2qrtvj31li2g9e85.jpg",,,2024-11-24T20:07:55,HUAWEI Mate 60 Pro+,1,1,2,"fdo正畸,青年口腔医生进阶计划",以以冬冬,2024-11-24 20:07:55,True
5104310839153534	,P1O8XCpfE,"AAO强烈反对Mewing，舌位训练真的有害吗?#FDO正畸# 
牙齿矫正刘坦博士的微博视频
 ",,,"https://f.video.weibocdn.com/o0/Pn6zfV9jlx08jMPrHSnm01041201SRvg0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732892064&ssig=LMikN1GAPD&KID=unistore,video",,2024-11-24T19:00:00,微博视频号,7,2,1,FDO正畸,,2024-11-24 19:00:00,True
