id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105729050249535	,P2p2p12UL,转发微博,,,,,2024-11-28T16:55:28,iPhone客户端,0,0,0,,,2024-11-28 16:55:28,False,3641513235,锦鲤大王,5105639594393907	,P2mI7ir3t,"转发这个桃花石圣杯，助力感情恩爱和睦没有争执！
转发此圣杯，便能借其灵气化解感情中的冲突与误解，消除彼此的负面情绪，让你与伴侣的关系更加稳定、温馨。无论是相处中的小摩擦，还是外界的压力都会在这股神奇的力量加持下，化解误会，开启一段长久、温暖、幸福的美好关系。 ",,https://wx3.sinaimg.cn/large/003YrpWrly1hvyjrvzaogj60sg0sgb1102.jpg,,,2024-11-28T11:00:00,微博网页版,1913,391,1908,,,2024-11-28 11:00:00
5105101241061763	,P28HO4sdd,//@茄子18765://@糖糖nuonuo-:转发微博,,,,,2024-11-26T23:20:47,iPhone客户端,0,0,1,,"茄子18765,糖糖nuonuo-",2024-11-26 23:20:47,False,7912055320,观音好运,5104960125535686	,P252cne5g,"10s内转发，接下来迎接你的好运气  
 ~ ",,https://wx4.sinaimg.cn/large/008Dsb1ugy1hvt9hvk30nj30iw0iwtk8.jpg,,,2024-11-26T14:00:02,微博网页版,404,12,350,,,2024-11-26 14:00:02
5105028474078988	,P26Orh788,转发微博,,,,,2024-11-26T18:31:38,iPhone客户端,0,0,0,,,2024-11-26 18:31:38,False,3641513235,锦鲤大王,5105016992172428	,P26vV979a,转发这只指腚发财锦鲤，你马上就会发财！现在不发财，明天就发财！明天不发财，后天就发财！后天不发财？不可能！！吸金体质财富的光永远照耀你，你一定会发财！ ,,https://wx2.sinaimg.cn/large/003YrpWrly1hvzn9gl8o9j60rs0rs7e702.jpg,,,2024-11-26T17:46:00,微博网页版,3835,815,4304,,,2024-11-26 17:46:00
5105003421239078	,P26a25cl8,"我对美这方面真的很迟钝，换句话说就是美商很低
我根本看不出来我做完各种项目的效果，但确实是变漂亮了，甚至做完鼻子我也觉得跟之前没什么太大变化
 ",,,,,2024-11-26T16:52:04,iPhone客户端,0,0,0,,,2024-11-26 16:52:04,True
5104826427637878	,P21yyw2XA,其实好多好多事我都不在乎了，别人说什么，怎么看我，ta还喜不喜欢我，孤不孤独，有没有朋友……我真的不在乎了，我现在一个可以说话的人都没有（但我也不理人 没有想理的人）我仍然不觉得有什么，唉，说不上来是好还是不好 ,,,,,2024-11-26T05:08:46,iPhone客户端,0,0,0,,,2024-11-26 05:08:46,True
5104809831825567	,P217N7EUD,"日妈狗屁帅哥，又小又软搞了一个多小时
草了 ",,,,,2024-11-26T04:02:49,iPhone客户端,0,0,0,,,2024-11-26 04:02:49,True
5104791368237801	,P20E0yz1L,"最近也是天天秒房，今天第一个房就上还是个帅哥还要🍵，天天都是帅哥该多好
 ",,,,,2024-11-26T02:49:27,iPhone客户端,0,0,0,,,2024-11-26 02:49:27,True
5104679964902058	,P1XKkkzfs,转发微博,,,,,2024-11-25T19:26:46,iPhone客户端,0,0,0,,,2024-11-25 19:26:46,False,3641513235,锦鲤大王,5104654604042651	,P1X5qgXG3,"转发这个锦鲤漩涡，接下来你将被好运层层包围🙏
此漩涡汇聚天地灵气，漩涡之力不断旋转，可将一切烦恼与霉运尽数吹散，转化为源源不断的福气和喜事。一键转发，便能开启这场好运的能量洗礼，改变运势，带来意想不到的惊喜与顺遂！ ",,https://wx4.sinaimg.cn/large/003YrpWrly1hvyhh2frp1j60rs0rshdt02.jpg,,,2024-11-25T17:46:00,微博网页版,4615,1180,6729,,,2024-11-25 17:46:00
5104601722519620	,P1VI8azt2,转发微博,,,,,2024-11-25T14:15:51,iPhone客户端,0,0,0,,,2024-11-25 14:15:51,False,5380173934,预言,5104591122731734	,P1Vr2bsEe,转发这条微博的女孩 未来一周会有好事发生 ,,,,,2024-11-25T13:33:45,iPhone 12 Pro Max,698,110,2442,,,2024-11-25 13:33:45
5104397612747346	,P1QoVbwI2,喜欢我的全是外地的，北京上海的，我真的要赶紧离开成都了 讨厌这个地方 任何方面 ,,,,,2024-11-25T00:44:48,iPhone客户端,0,1,0,,,2024-11-25 00:44:48,True
5104385082263195	,P1Q4I9uL9,已经完全不会想他了，我现在想赚钱想的发疯 ,,,,,2024-11-24T23:55:01,iPhone客户端,0,0,0,,,2024-11-24 23:55:01,True
5104361896153493	,P1PtjpONT,"好想你兜里的钱啊老公
 ",,,,,2024-11-24T22:22:53,iPhone客户端,0,0,0,,,2024-11-24 22:22:53,True
