id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106111996756539	,P2z03slGr,"平新
 和跑车哥形影不离的萌物 ",,"https://wx1.sinaimg.cn/large/008tQquPly1hw1uvvlwywj30q40m5jv9.jpg,https://wx4.sinaimg.cn/large/008tQquPly1hw1uvvx00vj30pr0iydj6.jpg,https://wx3.sinaimg.cn/large/008tQquPly1hw39yxz2vsj311i0u07ku.jpg,https://wx4.sinaimg.cn/large/008tQquPly1hw39yxm6hkj311i0u0wvb.jpg",,,2024-11-29T18:17:09,平新超话,0,0,0,,,2024-11-29 18:17:09,True
5106096121580055	,P2yAs6D2L,#工藤新一# 是公主,,,,,2024-11-29T17:14:05,工藤新一个人超话,0,0,0,工藤新一,,2024-11-29 17:14:05,False,7827308209,C_estMaRose_,5105981127658754	,P2vAYw8oi,工藤新一#动漫嘉年华#💙#我的2024年终总结#帅😎 ,,https://wx2.sinaimg.cn/large/008xIAqBgy1hw2uxtf5lhj30ir0sg10m.jpg,,,2024-11-29T09:37:08,工藤新一超话,4,3,7,"动漫嘉年华,我的2024年终总结",,2024-11-29 09:37:08
5106047582471039	,P2xkaamPt,"#动漫嘉年华#我已为【#工藤新一#】投了30票，快来和我一起送【#工藤新一#】赢大奖吧！点击链接即可参与！
网页链接
 ",,,,,2024-11-29T14:01:12,微博品牌活动,1,0,0,"动漫嘉年华,工藤新一,工藤新一",,2024-11-29 14:01:12,True
5106047066834196	,P2xjksFSY,转发微博,,,,,2024-11-29T13:59:09,工藤新一个人超话,0,0,0,,,2024-11-29 13:59:09,False,7827308209,C_estMaRose_,5105980874425159	,P2vAzizbx,"工藤新一#动漫嘉年华#💙#我的2024年终总结#萌物
 ",,https://wx1.sinaimg.cn/large/008xIAqBgy1hw2uwsm0kpj31kx23ub29.jpg,,,2024-11-29T09:36:07,工藤新一超话,6,3,7,"动漫嘉年华,我的2024年终总结",,2024-11-29 09:36:07
5106046888837197	,P2xj2B4Xr,转发微博,,,,,2024-11-29T13:58:26,老公的臂弯,0,0,0,,,2024-11-29 13:58:26,False,5574293644,江海风时,5106002133779104	,P2w8RfR7i,"工藤新一
 #动漫嘉年华# 进行一个十分潦草的#我的2024年终总结#，年底再重新弄个好看点的！
我宣誓2025年依旧为工藤新一拉磨… ",,"https://wx3.sinaimg.cn/large/0065faq0gy1hw2x719jvij30u0140qal.jpg,https://wx4.sinaimg.cn/large/0065faq0gy1hw2x72pfapj30u01hcais.jpg,https://wx3.sinaimg.cn/large/0065faq0gy1hw2x73490vj30u018945t.jpg,https://wx2.sinaimg.cn/large/0065faq0gy1hw2x745yg0j30u016g7bo.jpg,https://wx1.sinaimg.cn/large/0065faq0gy1hw2x724tv3j30u016ggsk.jpg,https://wx2.sinaimg.cn/large/0065faq0gy1hw2x73ny7zj30u01gh460.jpg,https://wx1.sinaimg.cn/large/0065faq0gy1hw2xbk2d6ej30hv0viwi5.jpg,https://wx2.sinaimg.cn/large/0065faq0gy1hw2x74owh2j30u019j7dm.jpg,https://wx4.sinaimg.cn/large/0065faq0gy1hw2xbklkm2j30u0141n9g.jpg",,,2024-11-29T11:00:36,工藤新一超话,23,11,10,"动漫嘉年华,我的2024年终总结",,2024-11-29 11:00:36
5106046446865023	,P2xiksNUb,"工藤新一#动漫嘉年华# #国漫日漫人气大洗牌# 新厨请投票
网页链接
 ",,,,,2024-11-29T13:56:41,工藤新一超话,2,2,0,"动漫嘉年华,国漫日漫人气大洗牌",,2024-11-29 13:56:41,True
5106045686388181	,P2xh6qNRb,"工藤新一#动漫嘉年华# #国漫日漫人气大洗牌# 
今日练习  
专栏 · 上色
 ",,https://wx2.sinaimg.cn/large/008tQquPly1hw32bg8u7tj30qo0ddgnu.jpg,,,2024-11-29T13:53:40,工藤新一超话,0,0,30,"动漫嘉年华,国漫日漫人气大洗牌",,2024-11-29 13:53:40,True
5105858084602845	,P2sowjjpr,"看一本火葬场的快穿每个世界只从火葬场部分开始看都看哭了，不是因为我泪点低是作者前面虐受虐太狠了，每次火葬场时受都是已经被虐的遍体鳞伤的破败样子，狠到我知道受皮下是个有系统的宿主都受不了的程度，作者作话里说不要因为后面攻看起来被虐的挺惨就原谅他，想想前面他干了些啥，我心想一般的火葬场可能有人会原谅吧但您写的是真原谅不了一点
渣攻也请做一个有素质有涵养的渣攻好吗，不要⭐虐待不要公开羞辱不要扇耳光不要害受的亲人朋友死的死死的死死的死好吗……",,,,,2024-11-29T01:28:12,老公的臂弯,0,0,0,,,2024-11-29 01:28:12,True
5105845655831569	,P2s4tot3z,#工藤新一# 今年没去cp好遗憾，争取明年的活动一个不落,,,,,2024-11-29T00:38:49,工藤新一个人超话,0,0,0,工藤新一,,2024-11-29 00:38:49,False,7837606771,山吹利休茶,5105842476811569	,P2rZlsA01,"工藤新一
  #动漫嘉年华# #我的2024年终总结# 
2024新厨总结 ",,"https://wx2.sinaimg.cn/large/008ypNyrgy1hw2f05yz8jj30u01t1tiv.jpg,https://wx1.sinaimg.cn/large/008ypNyrgy1hw2f07aer6j30u01t1tja.jpg,https://wx2.sinaimg.cn/large/008ypNyrgy1hw2f08hpgwj30u01t1ajz.jpg,https://wx2.sinaimg.cn/large/008ypNyrgy1hw2f0ae9n0j30u01t17eu.jpg,https://wx4.sinaimg.cn/large/008ypNyrgy1hw2f0bahgkj30u01t1tgh.jpg,https://wx2.sinaimg.cn/large/008ypNyrgy1hw2f0cbodwj30u01t1ais.jpg,https://wx4.sinaimg.cn/large/008ypNyrgy1hw2f0egjlaj30u01t14bg.jpg,https://wx4.sinaimg.cn/large/008ypNyrgy1hw2f0fokxej30u01t14ak.jpg,https://wx1.sinaimg.cn/large/008ypNyrgy1hw2f04nycaj30u01t1497.jpg",,,2024-11-29T00:26:11,工藤新一超话,41,13,30,"动漫嘉年华,我的2024年终总结",,2024-11-29 00:26:11
5105827105476109	,P2rAymYAl,csm：先说一下哈我不是结巴，给我们来间大大大大大床房,,,,,2024-11-28T23:25:06,老公的臂弯,0,0,0,,,2024-11-28 23:25:06,False,7770071311,神性恋,5105809706981069	,P2r8uti5T,"赤新
充实猫和烤奶去开房，服务员说双人间住不下这么多人（ ",,"https://wx1.sinaimg.cn/large/008tQquPly1hw1uopxjq8j30rx0f27a0.jpg,https://wx2.sinaimg.cn/large/008tQquPly1hw1uopmt2aj30t30vowqf.jpg",,,2024-11-28T22:15:58,赤新超话,6,3,1,,,2024-11-28 22:15:58
