id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106090834138935	,P2yrVhmJ1,回复@王小诗L:看具体操作的医生和机器，三甲有的不重视皮肤科，没有预算进的光电机器特别雷人，还不如去美团买团购的。//@王小诗L:想问点痣去三甲医院还是医美的医院好啊,,,,,2024-11-29T16:53:04,iPhone 13 Pro Max,2,1,0,,"王小诗L,王小诗L",2024-11-29 16:53:04,False,3195369740,福运腿毛,5106072324411589	,P2xY4ivEF,"特别爱看分析明星爱豆医美
 ",,,,,2024-11-29T15:39:31,iPhone 13 Pro Max,9,5,1,,,2024-11-29 15:39:31
5106075319665777	,P2y2TEyvD,回复@做功课_:少女针的载体是中短效的cmc凝胶，撑松之前会吸收，濡白因为混合了一些plla微球，对软组织的紧致度会有一定改善。//@做功课_:濡白天使和少女针这种不也是玻尿酸作为载体吗,,,,,2024-11-29T15:51:25,iPhone 13 Pro Max,0,0,0,,"做功课_,做功课_",2024-11-29 15:51:25,False,3195369740,福运腿毛,5070332233257210	,OtvF5dFlE,"骨相填充的部份，包括鼻子下巴眉弓眉心
除非你拿不准以后可能做假体，我个人是只会用再生材料的
玻尿酸一是吸水性的特质
吸水之后玻尿酸会变软，远期来说我们不会希望骨头的部位手感是偏软、qq弹弹的手感，那不像骨头
另外一点
玻尿酸在软组织里一直是异物，同一个部位反复填充会把填充部位的软组织张力撑大，这是物理性质决定的，定期溶了再打只会加剧皮肤弹性下降的速度。
尤其是填充骨感的部位时，我们喜欢的骨感都是偏锐利的线条。
软组织间隙变大了就像帐篷里面藏了个吴彦祖，看得见帐篷看不见吴彦祖。
没办法长久维持锐利的立体的骨感外观，只有高度，没有精巧的细节也不是我想要的。",,,,,2024-08-23T00:41:09,iPhone 13 Pro Max,52,19,10,,,2024-08-23 00:41:09
5106072324411589	,P2xY4ivEF,"特别爱看分析明星爱豆医美
 ",,,,,2024-11-29T15:39:31,iPhone 13 Pro Max,9,5,1,,,2024-11-29 15:39:31,True
5106062471991607	,P2xIb8m6H,回复@bdigxnsktxjal:瘦，瘦的要命，如果非要说做了什么项目，可能就是韩国皮肤科的惯用瘦脸套餐，轮廓针➕光电➕埋线提升。//@bdigxnsktxjal:特别想知道是轮廓固定还是埋线，脸这两年一下完全紧致了,,,,,2024-11-29T15:00:22,iPhone 13 Pro Max,0,0,0,,"bdigxnsktxjal,bdigxnsktxjal",2024-11-29 15:00:22,False,3195369740,福运腿毛,5105811209325946	,P2raUD86u,"粉丝拿童年照证明偶像没整过容是天然美人的话
起码应该找个好看的照片吧？
而且明明宁宁就是出道后变美特别多的典范，作为一个艺人这是多明晃晃商业价值
不懂粉丝非什么非要洗脱这个标签 ",,"https://wx4.sinaimg.cn/large/be75790cgy1hw2bzgb41aj20zo0qgq5k.jpg,https://wx1.sinaimg.cn/large/be75790cly1hw2b8fywpij20k00m5gmg.jpg,https://wx4.sinaimg.cn/large/be75790cly1hw2b8w4820j20zo0p5jyc.jpg,https://wx2.sinaimg.cn/large/be75790cly1hw2b9cg8myj20sg172wov.jpg",,,2024-11-28T22:21:56,iPhone 13 Pro Max,129,43,1,,,2024-11-28 22:21:56
5105811209325946	,P2raUD86u,"粉丝拿童年照证明偶像没整过容是天然美人的话
起码应该找个好看的照片吧？
而且明明宁宁就是出道后变美特别多的典范，作为一个艺人这是多明晃晃商业价值
不懂粉丝非什么非要洗脱这个标签 ",,"https://wx4.sinaimg.cn/large/be75790cgy1hw2bzgb41aj20zo0qgq5k.jpg,https://wx1.sinaimg.cn/large/be75790cly1hw2b8fywpij20k00m5gmg.jpg,https://wx4.sinaimg.cn/large/be75790cly1hw2b8w4820j20zo0p5jyc.jpg,https://wx2.sinaimg.cn/large/be75790cly1hw2b9cg8myj20sg172wov.jpg",,,2024-11-28T22:21:56,iPhone 13 Pro Max,129,43,1,,,2024-11-28 22:21:56,True
5105748055691119	,P2px3nSwf,杭州张莹，泪沟➕口周➕耳基底提升反馈～自然细致又效果很好！,,,,,2024-11-28T18:10:59,iPhone 13 Pro Max,3,1,0,,,2024-11-28 18:10:59,False,7947191646,想天天睡饱觉,5104926974019292	,P24aJgRBi,"我也来反馈一下 昨天在@卓俪荟医美 打的泪沟 口周 还有颞部 以及耳基底提升 @福运腿毛 团的泪沟口周  口周有点疼说实话 但是林医生操作很亲切 让人不紧张 我是长期熬夜很严重 泪沟明显整个脸看起来很疲惫 我就不搞卧蚕那些 先紧着主要的 刚打下去疲惫感消失了一大半！
然后颞部跟耳朵是张院 脸型整个都给我修饰到！降低颧骨的存在感 耳朵一下也提起来了！大家都很亲切都很好 我在房间休息的时候还喝了一碗玉米粥 很甜好喝！下次打算去做超声炮！",,"https://wx2.sinaimg.cn/large/008FPBAqgy1hvzhngeucbj31400u00xz.jpg,https://wx2.sinaimg.cn/large/008FPBAqgy1hvzhngspxvj30u0140wm6.jpg,https://wx3.sinaimg.cn/large/008FPBAqgy1hvzhurdxdhj30u01hcthl.jpg",,,2024-11-26T11:48:18,iPhone 11,2,0,1,,"卓俪荟医美,福运腿毛",2024-11-26 11:48:18
5105720242470993	,P2oOcamOJ,做事一定要多考虑别人的感受，千万不能让他们太开心了 ,,,,,2024-11-28T16:20:27,iPhone 13 Pro Max,35,2,3,,,2024-11-28 16:20:27,True
5105428621165664	,P2hdQ4Tf2,"闲着没整容的时候就爱研究一点爱情的问题
感情这种东西很多事情是没有对错的，两个人长久想要有稳定开心的感情
最重要的是双方的需求匹配
需求匹配听起来简单，但是99%的人干得都是我一定要把你变成我所求的样子
这样的两个人在一块，结局是可预见性的天崩地裂的 ",,"https://wx2.sinaimg.cn/large/be75790cly1hw13ecg7uhj20zn1tjdp9.jpg,https://wx1.sinaimg.cn/large/be75790cly1hw13ebwx8yj20zo17t47t.jpg,https://wx2.sinaimg.cn/large/be75790cly1hw13edcgj3j20zo1hv12x.jpg",,,2024-11-27T21:01:40,iPhone 13 Pro Max,28,3,0,,,2024-11-27 21:01:40,True
5105017847026017	,P26xittMR,"回复@姜姜大人的海岛:当然是美了才研究哪变了，谁爱研究越整越丑的
//@姜姜大人的海岛:明明很美啊
，高柱看看眼科？",,,,,2024-11-26T17:49:24,iPhone 13 Pro Max,27,0,0,,"姜姜大人的海岛,姜姜大人的海岛",2024-11-26 17:49:24,False,3195369740,福运腿毛,5103959733439603	,P1F0FeqNt,姐们怎么👄还没消肿就来了 ,,"https://wx2.sinaimg.cn/large/be75790cgy1hvwertcetmj20zo256e81.jpg,https://wx1.sinaimg.cn/large/be75790cgy1hvwertzohmj20sg172wov.jpg,https://wx3.sinaimg.cn/large/be75790cgy1hvwerujdw2j212w1e3wne.jpg",,,2024-11-23T19:44:50,iPhone 13 Pro Max,151,18,17,,,2024-11-23 19:44:50
5104616677313389	,P1W6fuGxT,回复@2024的小谷很哇塞:主要是胶原需要预留一个短期内吸收的量，即时效果要夸张一些远期才不会打了个寂寞，如果一开始就特别自然两个月后就有点看不见了。//@2024的小谷很哇塞:回复@福运腿毛:原来混胶原会肿,,,,,2024-11-25T15:15:18,iPhone 13 Pro Max,5,0,0,,"2024的小谷很哇塞,2024的小谷很哇塞,福运腿毛",2024-11-25 15:15:18,False,3195369740,福运腿毛,5103975659213775	,P1FqlCEVh,"卧蚕的玻尿酸绝对是最耐吸收的部位，性价比极高
两年前打得0.几毫升瑞蓝
到今天才到还有形态，但是可以考虑要不要补一点的程度。 ",,https://wx3.sinaimg.cn/large/be75790cgy1hvwggu663nj20rf0emwiy.jpg,,,2024-11-23T20:48:07,iPhone 13 Pro Max,38,22,4,,,2024-11-23 20:48:07
