id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105178342850592	,P2aIabXzi,1111//@水汀风闲:超前几百一千就算了，三万多然后还用这种自作聪明的方法不负后果地解决，还没有负罪感地发出来是想让大家夸你吗？你用这种办法解决没有吃够苦头，是改不了的，早晚出大事,,,,,2024-11-27T04:27:08,iPhone客户端,6,2,0,,水汀风闲,2024-11-27 04:27:08,False,7709681873,她不想死也想去巴黎,5105122269462737	,P29fIDHGN,"【极端的还款方式分享】曾经超前消费3万多，我让豹猫给我报了4万多的考公线下课，第一天上课，偷偷退课，退了3万9千多。立马还完3万多，在青旅一天50呆了30天，30天课程结束，回家了。
 
6469 ",,,,,2024-11-27T00:44:20,iPhone客户端,27548,780,187,,,2024-11-27 00:44:20
5105143869080601	,P29OyC6hj,#生活手记#老实说我还是很喜欢看情天恨海……就喜欢小恨侣 ,,,,,2024-11-27T02:10:10,iPhone客户端,0,0,0,生活手记,,2024-11-27 02:10:10,True
5105097938309784	,P28CtyRKM,11111,,,,,2024-11-26T23:07:39,iPhone客户端,1,0,2,,,2024-11-26 23:07:39,False,7914773866,ljq轮廓避雷_举报sqj,5105066781967859	,P27Oe8fVF,"举报西安交通大学第二附属医院、前唐都医院，李金清轮廓事由，术后致残。@1818黄金眼 @澎湃新闻 @新浪新闻 @郭军颌面外科 @蓝莓医生 @整形医生修志夫 @健康中国 @西安交通大学第二附属医院 @上海九院韦敏教授 
ljq轮廓术后反馈 李金清面部轮廓整形 ",,"https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxoaydqqj30u01t2n2r.jpg,https://wx3.sinaimg.cn/large/008DDAf0gy1hvzxkyk3z9j30u01t2qca.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxkwdxjxj30u01t2k17.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxkz9li7j30u01t2k1m.jpg,https://wx2.sinaimg.cn/large/008DDAf0gy1hvzxl033wwj30u01t2tjm.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl0t7ynj30u01t2491.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxl1myfbj30u01t2gw1.jpg,https://wx4.sinaimg.cn/large/008DDAf0gy1hvzxl25bsej30u01t2wgp.jpg,https://wx1.sinaimg.cn/large/008DDAf0gy1hvzxnmjpr0j30u01t2gvm.jpg",,,2024-11-26T21:03:51,iPhone 15,67,9,50,,"1818黄金眼,澎湃新闻,新浪新闻,郭军颌面外科,蓝莓医生,整形医生修志夫,健康中国,西安交通大学第二附属医院,上海九院韦敏教授",2024-11-26 21:03:51
5104978238900978	,P25vpBlya,转发微博,,,,,2024-11-26T15:12:01,iPhone客户端,7,0,0,,,2024-11-26 15:12:01,False,5625469207,老实妇女崔艳华,5104937692300799	,P24s19ExF,悲观者永远正确 乐观者永远成功 ,,,,,2024-11-26T12:30:53,iPhone 14 Pro Max,10,0,4,,,2024-11-26 12:30:53
5104745828057136	,P1ZsyxO1O,像洋娃娃,,,,,2024-11-25T23:48:29,iPhone客户端,6,0,0,,,2024-11-25 23:48:29,False,2295188941,蛊兔,5101623251304988	,P0Ge95tuc,"漂亮
 
蛊兔的微博视频
 ",,,"https://f.video.weibocdn.com/o0/HkUe35GAlx08jEsexvkI01041200ejhc0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732870322&ssig=TX6Ntin8RY&KID=unistore,video",,2024-11-17T09:00:29,微博视频号,120,4,6,,,2024-11-17 09:00:29
5104685751471090	,P1XTF6aHg,哈哈哈哈哈哈,,,,,2024-11-25T19:49:46,iPhone客户端,1,0,1,,,2024-11-25 19:49:46,False,6866341912,减肥成功版本的柏林,5072810282320141	,Ouy7W9JzD,"并不是我冷血 
我也希望那些因为原生家庭痛苦的人早点走出来 早点摆脱 早点彻底不去想
但是原生家庭真的很痛苦的人是不会一天到晚把自己伤口揭开发网上天天博流量的
那种天天发哭唧唧视频哭诉原生家庭的博主大多是表演型人格，都是演的，没有例外 
因为哭就流量好，有无知清纯学生妹会可怜你
现在最好的起号方式之一",,,,,2024-08-29T20:48:01,iPhone 14 Pro Max,1833,68,135,,,2024-08-29 20:48:01
5104395612062458	,P1QlH8Exs,正常抽血都要控制量，抽那么一大堆。是想把人往咋样啊？往死里整啊？我平常来姨妈来那7天，我都整个人难受的不行站起来就两眼发晕。何况是这么大的出血，能不能有点人性啊？你们一点作为人的良知都没有了吗？ ,,,,,2024-11-25T00:36:51,iPhone客户端,18,3,1,,,2024-11-25 00:36:51,True
5104385979583297	,P1Q69Ed3j,姐好奇怪呀，你一分钱不收，怎么每个月进账20-30个啊？在哪发财呢？啊，我相信你，我特别相信你你卖卖假货，卖一卖临期护肤品，一个月就能进账20多万纯利润好厉害哟 ,,,,,2024-11-24T23:58:35,iPhone客户端,11,2,0,,,2024-11-24 23:58:35,True
5104311308390499	,P1O9IzcKD,妈呀,,,,,2024-11-24T19:01:52,iPhone客户端,2,2,1,,,2024-11-24 19:01:52,False,,,5104309066793271	,P1O66sveT,"抱歉，此微博已被作者删除。查看帮助：
 
网页链接",,,,,2024-11-24T18:52:58,,0,0,0,,,2024-11-24 18:52:58
5104295571359566	,P1NKl5HGu,素真的,,,,,2024-11-24T17:59:20,iPhone客户端,10,2,1,,,2024-11-24 17:59:20,False,1852617725,Dilpansss,5104295200424309	,P1NJK1MnH,"一定要小心那种直女装拉拉的
连性取向都说谎，利用一切来为自己谋利的人是没下限的… 
被这种博主叫老婆的粉丝不觉得是x骚扰吗
想想都恶心🤢
使尽浑身解数，必须吃上女粉这口饭！ ",,,,,2024-11-24T17:57:51,,52,9,3,,,2024-11-24 17:57:51
