id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5105774273235295	,P2qdldzEb,大马.碧富，，才1块多一袋？？,,,,,2024-11-28T19:55:10,,5,0,1,,,2024-11-28 19:55:10,False,5901196737,每日白菜优选,4815518462116747	,M6vHM8SF5,"大马.碧富太卷了！！6袋才💰10.9
平时要5r一袋啊啊
 #每日白菜优选#每日白菜优选的微博视频
 ",,"https://wx4.sinaimg.cn/large/006rmOQxgy1hw1ly5u7j4j30g70hh0uo.jpg,https://wx1.sinaimg.cn/large/006rmOQxgy1hw1ly79y7oj30bs0fkabr.jpg","https://f.video.weibocdn.com/u0/EnDoqbtggx08bdtdNVqU01041200aBpi0E010.mp4?label=mp4_720p&template=720x1142.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732803881&ssig=OoAL19uIZJ&KID=unistore,video",,2022-09-19T21:02:12,微博视频号,3,5,7,每日白菜优选,,2022-09-19 21:02:12
5105757827629568	,P2pMOw0Ny,9874【tg】电动赶猪器，求一个没水印的 ,,https://wx1.sinaimg.cn/large/0079ArMogy1hw25arqs8cj30f10eldl0.jpg,,,2024-11-28T18:49:49,,225,9,5,,,2024-11-28 18:49:49,True
5105757779399387	,P2pMJDrd1,9873求系列图】扣扣刷到的表情包，喜欢这两夹来夹去的猫猫，想要更多猫猫筷子对决 ,,"https://wx3.sinaimg.cn/large/0079ArMogy1hw25ajlyrsj30go0gogm2.jpg,https://wx4.sinaimg.cn/large/0079ArMogy1hw25ajzn16j30go0gmdg6.jpg,https://wx2.sinaimg.cn/large/0079ArMogy1hw25al1bcwj30ez0eadg2.jpg",,,2024-11-28T18:49:38,,530,25,75,,,2024-11-28 18:49:38,True
5105757723033673	,P2pMEcJcd,"9872【提供】9814想要的艾斯西皮的表情包（不过多数是游戏秘密实验室里的_(:з)∠)_）
附一张个人认为非常搞（s）笑（b）的游戏梗图（96你怎么把老头家门给拆了（指指点点） ",,"https://wx4.sinaimg.cn/large/0079ArMogy1hw25a9jfb8j30go0gomxm.jpg,https://wx1.sinaimg.cn/large/0079ArMogy1hw25a9vqgdj30go0cuq3q.jpg,https://wx2.sinaimg.cn/large/0079ArMogy1hw25aa6g69j30go0g5myl.jpg,https://wx2.sinaimg.cn/large/0079ArMogy1hw25aahywdg303c03bglm.gif,https://wx2.sinaimg.cn/large/0079ArMogy1hw25aark9ij3087065748.jpg,https://wx3.sinaimg.cn/large/0079ArMogy1hw25abqv42j306808mq2x.jpg,https://wx4.sinaimg.cn/large/0079ArMogy1hw25ac1emmj30cj076t93.jpg",,,2024-11-28T18:49:23,,14,3,0,,,2024-11-28 18:49:23,True
5105757642819723	,P2pMwbPxp,9871求】这种有地域文化的图 ,,https://wx2.sinaimg.cn/large/0079ArMogy1hw25a0fm9aj30gi0j4dg8.jpg,,,2024-11-28T18:49:05,,1830,116,84,,,2024-11-28 18:49:05,True
5105751192240236	,P2pC79oMQ,9870【球球】没改的原图，太神金了想拿来画哦西（对手指.jpg） ,,https://wx3.sinaimg.cn/large/0079ArMogy1hw24jbzyp8j30ew0toqd4.jpg,,,2024-11-28T18:23:26,,71,3,5,,,2024-11-28 18:23:26,True
5105751144270156	,P2pC2hURu,9869求图】内容大概是头像5元半身10元联系方式邮箱发送这样的约稿相关表情包，但字旁边有几个搞笑呲牙咧嘴活人男作为动作参考这样的 ,,,,,2024-11-28T18:23:16,,2,0,0,,,2024-11-28 18:23:16,True
5105751119102727	,P2pBZCc2b,9868】想求一下那个脚的表情包..一个人抱着胳膊，脚伸出来怼在镜头上的仰视角度的图，跪下舔我的脚那种；； ,,,,,2024-11-28T18:23:10,,2,0,0,,,2024-11-28 18:23:10,True
5105751016865931	,P2pBPsO8P,9867通过】想要原图，补药p了莫名其妙明星脸的 ,,https://wx3.sinaimg.cn/large/0079ArMogy1hw24ilu4foj30go0gowf7.jpg,,,2024-11-28T18:22:44,,64,2,0,,,2024-11-28 18:22:44,True
