id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104698531513354	,P1Yeh6lGW,回归自我，以心为引，人生境遇开阔而精彩，徜徉在旋律中，听见内心的回答。@X玖少年团肖战DAYTOY #肖战专辑我们#｜#我们的多棱镜#,,,,,2024-11-25T20:40:32,iPhone客户端,0,0,0,"肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:40:32,False,6643123988,肖战工作室,5104538758152436	,P1U4zycOU,"#肖战专辑我们# 人生是座孤岛，我们独自“漂流”探索着，无论去往哪个方向，只管向前。@X玖少年团肖战DAYTOY  #我们的多棱镜#  
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D68TJHKPlx08jQshsueQ01041200ahQ10E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881249&ssig=og74b2smFl&KID=unistore,video",,2024-11-25T10:05:40,肖战超话,1380498,230709,335663,"肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 10:05:40
5104698338050719	,P1YdXxMmj,"我在
肖战
抽到了SSR卡“我们3号”，快来试试你的手气如何！
网页链接#肖战我们第三小节MV##肖战无论哪个方向只管向前# 
回归自我，以心为引，人生境遇开阔而精彩，徜徉在旋律中，听见内心的回答。@X玖少年团肖战DAYTOY #肖战专辑我们#｜#我们的多棱镜# ",,https://wx3.sinaimg.cn/large/005B45M6ly1hvyrlrdpfcj30n00uoh3e.jpg,,,2024-11-25T20:39:47,肖战超话,2,5,0,"肖战我们第三小节MV,肖战无论哪个方向只管向前,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:39:47,True
5104698090586854	,P1Ydz2sFo,"肖战
  #肖战掌镜#xz#肖战专辑我们#真的妥妥得男友视角，健硕的身材，细致迷人的眼神！@X玖少年团肖战DAYTOY#肖战无论哪个方向只管向前##我们的多棱镜#肖战《漂流》
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D68TJHKPlx08jQshsueQ01041200ahQ10E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881249&ssig=og74b2smFl&KID=unistore,video",,2024-11-25T20:38:48,肖战超话,0,0,0,"肖战掌镜,肖战专辑我们,肖战无论哪个方向只管向前,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:38:48,True
5104697992283885	,P1Ydp9A8R,"肖战
  #肖战掌镜#xz#肖战专辑我们#肖战颜值与实力并存😘 @X玖少年团肖战DAYTOY#肖战无论哪个方向只管向前##我们的多棱镜#肖战《漂流》
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D68TJHKPlx08jQshsueQ01041200ahQ10E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881249&ssig=og74b2smFl&KID=unistore,video",,2024-11-25T20:38:25,肖战超话,0,0,0,"肖战掌镜,肖战专辑我们,肖战无论哪个方向只管向前,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:38:25,True
5104697944049564	,P1YdkgZty,"肖战
  #肖战专辑我们#xz#肖战掌镜#明天不见不散“不要回头”！！！ @X玖少年团肖战DAYTOY #肖战无论哪个方向只管向前##我们的多棱镜#肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D68TJHKPlx08jQshsueQ01041200ahQ10E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881249&ssig=og74b2smFl&KID=unistore,video",,2024-11-25T20:38:13,肖战超话,0,0,0,"肖战专辑我们,肖战掌镜,肖战无论哪个方向只管向前,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:38:13,True
5104697897127949	,P1YdftUiV,"肖战
  #肖战专辑我们#xz#肖战掌镜# 天呀，这才是我周一工作的动力啊@X玖少年团肖战DAYTOY #肖战无论哪个方向只管向前##我们的多棱镜#肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D68TJHKPlx08jQshsueQ01041200ahQ10E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881249&ssig=og74b2smFl&KID=unistore,video",,2024-11-25T20:38:02,肖战超话,1,1,0,"肖战专辑我们,肖战掌镜,肖战无论哪个方向只管向前,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:38:02,True
5104697859377555	,P1YdbDlwT,"肖战
  #肖战专辑我们#xz#肖战掌镜#我承认我有点变态，我爱看@X玖少年团肖战DAYTOY #肖战无论哪个方向只管向前##我们的多棱镜#肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/D68TJHKPlx08jQshsueQ01041200ahQ10E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881249&ssig=og74b2smFl&KID=unistore,video",,2024-11-25T20:37:53,肖战超话,0,0,0,"肖战专辑我们,肖战掌镜,肖战无论哪个方向只管向前,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-25 20:37:53,True
5104011612525740	,P1GmlaB3K,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#前路荆棘遍布，只管奔向远方；旷野风声猎猎，回归本真自我。和肖战一起徜徉在音乐世界里，遇见纯粹『我们』。@X玖少年团肖战DAYTOY#我们的多棱镜#.
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/OlJnbZoRlx08jKYWtfG0010412003J1P0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1732881291&ssig=BN06vMh9sp&KID=unistore,video",,2024-11-23T23:10:59,肖战超话,0,1,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-23 23:10:59,True
5104011598365689	,P1Gmjz6it,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#逆风前行，去向大海的中心。以炽心燃一灯，去吧，我们去见灯塔！@X玖少年团肖战DAYTOY #我们的多棱镜#.
漂流
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/qzvqTEkllx08jLpJjWjm01041201wf160E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881308&ssig=7FNMWbVgbB&KID=unistore,video",,2024-11-23T23:10:55,肖战超话,1,218,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-23 23:10:55,True
5104011562979377	,P1Gmgcv4t,"肖战#腾讯音乐由你榜# xz #肖战专辑我们#光影斑驳，浅吟低唱；以爱为引，相互守望。@X玖少年团肖战DAYTOY 
我们#我们的多棱镜#.
肖战工作室的微博视频
 ",,,"https://f.video.weibocdn.com/o0/yomoAvkflx08jvOkvspi010412028Lth0E010.mp4?label=mp4_720p&template=1560x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732881261&ssig=r%2BZOUii0iD&KID=unistore,video",,2024-11-23T23:10:47,肖战超话,0,0,0,"腾讯音乐由你榜,肖战专辑我们,我们的多棱镜",X玖少年团肖战DAYTOY,2024-11-23 23:10:47,True
