id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106065202483537	,P2xMAaq53,"大家快看！终于带来了新视频～希望还不算太晚哦～观赏足球赛事自然离不开美味的零食小吃作伴。这一次，我要分享的是那些只需简单两步就能完成的街边小吃，绝对让人赞不绝口。顺便问一下，你们支持哪个队伍呢？
醋小妞vinegar的微博视频
 ",,,"https://f.video.weibocdn.com/o0/MPzwiY3Ylx081pYvCEyQ010412015Fc70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871019&ssig=UdSNt0%2FNNt&KID=unistore,video",,2024-11-29T15:11:13,微博视频号,100,0,0,,,2024-11-29 15:11:13,True
5106055554269892	,P2xx1hUNe,转发微博,,,,,2024-11-29T14:32:53,微博网页版,0,0,0,,,2024-11-29 14:32:53,False,6029699932,双门一棵小趴菜,5106022144542628	,P2wF8j3Kc,"#丁禹兮 包治百病#太好了！系统大人们有救了
永夜星河结局没有的子期镜头和拥抱都补上了！！！（ps：虞书欣和丁禹兮也是抽象到一块了哈哈哈哈哈哈哈哈哈哈）#闪耀的恒星# 
双门一棵小趴菜的微博视频
 ",,,"https://f.video.weibocdn.com/o0/0FBCtJm0lx08jXOC6DT201041200XurY0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1732870984&ssig=04vxsz%2FP2w&KID=unistore,video",,2024-11-29T12:20:07,永夜星河超话,587,57,53,"丁禹兮 包治百病,闪耀的恒星",,2024-11-29 12:20:07
5106053631183400	,P2xtV4XR6,转发微博,,,,,2024-11-29T14:25:14,微博网页版,0,0,0,,,2024-11-29 14:25:14,False,5103458366,路诞先生,5105991160957510	,P2vRa415I,你买了没？ ,,https://wx3.sinaimg.cn/large/005znAECly1hw2w3i3slmj30u0140jw5.jpg,,,2024-11-29T10:17:00,一加 13,84,37,1,,,2024-11-29 10:17:00
5106051110143221	,P2xpR0Bg1,"玫瑰花口味的gelato冰淇淋，真的很漂亮！ 
今天吃啥的微博视频
 ",,,"https://f.video.weibocdn.com/o0/bHgsJ0Q4lx080YJWLseY01041200cHfU0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871019&ssig=dXnYRmWyKc&KID=unistore,video",,2024-11-29T14:15:13,微博视频号,100,1,0,,,2024-11-29 14:15:13,True
5106035285559794	,P2x0knkm6,"许多人在家制作的牛肉既难嚼又有腥味，而我分享的这个方法既简单又美味，能让牛肉变得酥软且充满味道，那就是“黄焖牛肉”。
不二日食的微博视频
 ",,,"https://f.video.weibocdn.com/o0/ESHcLyw3lx07ZYsxJ2z6010412015dxE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871019&ssig=HpyfymcRmC&KID=unistore,video",,2024-11-29T13:12:20,微博视频号,100,2,0,,,2024-11-29 13:12:20,True
5106019853929614	,P2wBrgugS,"每一口大火腿都是满满的肉感，真的是边啃边感受到幸福！
传说中的蕙蕙的微博视频
 ",,,"https://f.video.weibocdn.com/o0/feBZb6UFlx07TRkou4xa01041200YzLk0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871019&ssig=KDfR9DZ2D%2B&KID=unistore,video",,2024-11-29T12:11:01,微博视频号,100,1,0,,,2024-11-29 12:11:01,True
5106003337545440	,P2waNvEUE,"体院附近的特辣曹氏简直是顶级美味，加上肥肠更是我的最爱！
吃货圆圈圈的微博视频
 ",,,"https://f.video.weibocdn.com/o0/wXNnlYRGlx07Wx5S6cV201041204eUg10E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871019&ssig=1nG9nCMwOs&KID=unistore,video",,2024-11-29T11:05:23,微博视频号,100,1,0,,,2024-11-29 11:05:23,True
5105995686871629	,P2vYssPCJ,转发微博,,,,,2024-11-29T10:34:58,微博网页版,0,0,0,,,2024-11-29 10:34:58,False,7895921369,靠谱男人娜娜米,5105944336269748	,P2uDDqj2Y,"#咒术回战# 为什么不想让五条悟注意到计划？隐藏主力，策略背后的意义，大家怎么看？ 
靠谱男人娜娜米的微博视频
 ",,,"https://fb.video.weibocdn.com/o8/rLtVfIbHlx08jXtoPHR60104120070320E018.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732871019&ssig=Yssr0FnD0c&KID=unistore,video",,2024-11-29T07:10:56,微博视频号,3,4,4,咒术回战,,2024-11-29 07:10:56
5105992276640637	,P2vSXrRx3,转发微博,,,,,2024-11-29T10:21:26,微博网页版,0,0,0,,,2024-11-29 10:21:26,False,7034938038,圈里有瓜,5105963922622970	,P2v9eb0lY,"情商是真的低
 ",,https://wx2.sinaimg.cn/large/007G5SKygy1hw2syvyt4gj30u00i7gnc.jpg,,,2024-11-29T08:28:46,,10,5,3,,,2024-11-29 08:28:46
5105991731384577	,P2vS55ObT,转发微博,,,,,2024-11-29T10:19:16,微博网页版,0,0,0,,,2024-11-29 10:19:16,False,3264790093,游喜君,5105838417250137	,P2rSNuq5H,"#王者荣耀# 两款男英雄的无双皮肤，你更喜欢哪个？#微博游戏大赏# 
 
网页链接
 ",,,,,2024-11-29T00:10:03,王者荣耀超话,492,1,1,"王者荣耀,微博游戏大赏",,2024-11-29 00:10:03
