id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106097551573943	,P2yCL6Bsb,"【维密腰套餐（修复）➕脂肪填胯】术后即刻
姑娘之前外院做过一次腰腹环吸，但仍然觉得腰腹形态不佳，想要把胯填起来，姑娘本身臀部基础就不错之前外院填充过一次，后腰处菱形区打薄后整个臀部就更显翘了
后腰抽吸300ml
前腹抽吸400ml
胯部单侧各填充230ml
吸脂#谢凯强体雕##腰腹吸脂##脂肪填胯##维密腰# 
杭州",,"https://wx3.sinaimg.cn/large/006odgL4ly1hw38awluzpj31400u0acn.jpg,https://wx2.sinaimg.cn/large/006odgL4ly1hw38b872vrj30u0140acd.jpg,https://wx1.sinaimg.cn/large/006odgL4ly1hw38b5ny3ej30u0140wgo.jpg,https://wx2.sinaimg.cn/large/006odgL4ly1hw38b3qm0kj30u0140gnp.jpg,https://wx4.sinaimg.cn/large/006odgL4ly1hw38axlvapj30u0140jtf.jpg,https://wx2.sinaimg.cn/large/006odgL4ly1hw38ayx1saj30u0140mzh.jpg","https://f.video.weibocdn.com/o0/8K17tzLflx08jY9bLjWo010412000yee0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BThihd3VLAY5R&Expires=1732875996&ssig=GvdWVXV6Ji&KID=unistore,video",杭州,2024-11-29T17:19:45,iPhone 12 Pro Max,0,0,0,"谢凯强体雕,腰腹吸脂,脂肪填胯,维密腰",,2024-11-29 17:19:45,True
5105713506946034	,P2oDkt8YO,"【维密腰套餐➕脂肪填胯】术后四个月反馈
姑娘本身基础就不错，比较瘦，喜欢力量感的腹部，希望肌肉线条明显，马甲线能出来，整个腹部尽可能打薄后，自身腹部肌肉就暴露出来了，胯部脂肪存活的不错
术前及术后即刻：
网页链接
吸脂#谢凯强体雕##维密腰##脂肪填胯##术后反馈# ",,"https://wx2.sinaimg.cn/large/006odgL4gy1hw2059h6f2j30p20xfdm6.jpg,https://wx1.sinaimg.cn/large/006odgL4gy1hw2058zl3zj30qk0zfwlu.jpg",,,2024-11-28T15:53:42,iPhone 12 Pro Max,0,0,0,"谢凯强体雕,维密腰,脂肪填胯,术后反馈",,2024-11-28 15:53:42,True
5105349491165160	,P2fad4T6U,"【上臂吸脂（修复）➕下臂吸脂】术后即刻
姑娘外院做过一次上臂吸脂，三角肌区域和蝴蝶袖区域仍然有脂肪堆积，皮肤略松弛
术后即刻下臂衔接区域就已经肿起来了，单侧抽吸200ml
吸脂#谢凯强体雕##上臂吸脂# 
杭州
 ",,"https://wx4.sinaimg.cn/large/006odgL4gy1hw0uegu609j316o1kw4c7.jpg,https://wx1.sinaimg.cn/large/006odgL4gy1hw0ueh7x1rj316o1kw15v.jpg,https://wx1.sinaimg.cn/large/006odgL4gy1hw0uehn498j316o1kwtpu.jpg",,杭州,2024-11-27T15:47:14,iPhone 12 Pro Max,0,0,0,"谢凯强体雕,上臂吸脂",,2024-11-27 15:47:14,True
5104919062773972	,P23XYbDDu,感谢姑娘术后半年的反馈,,,,,2024-11-26T11:16:51,iPhone 12 Pro Max,1,0,0,,,2024-11-26 11:16:51,False,6343010412,昨天今天下雨天1006,5104730369689279	,P1Z3CEECH,"Shu后6个月，控制饮食+锻炼维持的效果
，继续努力@谢凯强体雕整形 ",,"https://wx4.sinaimg.cn/large/006VgCLyly1hvyv96qmg4j30u012edid.jpg,https://wx3.sinaimg.cn/large/006VgCLyly1hvyv96fsodj30u0101q5z.jpg,https://wx3.sinaimg.cn/large/006VgCLyly1hvyv9708mhj30u010sgol.jpg,https://wx2.sinaimg.cn/large/006VgCLyly1hvyv97dfs1j30u01hjtda.jpg,https://wx4.sinaimg.cn/large/006VgCLyly1hvyv9b0xz5j30u01t1jw9.jpg,https://wx3.sinaimg.cn/large/006VgCLyly1hvyv9bf1l9j30u0138q6r.jpg",,,2024-11-25T22:47:04,iPhone客户端,1,0,1,,谢凯强体雕整形,2024-11-25 22:47:04
5104546885929552	,P1UhGoSxW,感谢姑娘三个月的反馈,,,,,2024-11-25T10:37:58,iPhone 12 Pro Max,0,0,0,,,2024-11-25 10:37:58,False,6406195204,鱼目变珍珠,5104368636660131	,P1PEbrWBt,"@谢凯强体雕整形 腰腹环吸➕填胯满三个月啦，终于不用穿塑身衣了，以前总是买肥大的衣服，现在可以大胆穿收腰紧身裙了
胯的成活率大概60-70％吧 ，之前忘了说，还填了大yc，这个位置成活率还挺高的，这三个月我也有很注意不压到填充部位，还是满辛苦的。这是我第三次吸脂了，好后悔以前年少无知浪费了那么多软黄金，如今想再填一下哪里都不够用了。#腰臀比##腰腹环吸#",,"https://wx2.sinaimg.cn/large/006ZxK16gy1hvxpil16bij32c0340b2a.jpg,https://wx4.sinaimg.cn/large/006ZxK16gy1hvxpinuv47j32c0340hdx.jpg,https://wx1.sinaimg.cn/large/006ZxK16gy1hvxpiozq9oj31zc2tk7wj.jpg,https://wx2.sinaimg.cn/large/006ZxK16gy1hvxpiq7jajj32c0340u0z.jpg",,,2024-11-24T22:49:40,iPhone客户端,3,0,1,"腰臀比,腰腹环吸",谢凯强体雕整形,2024-11-24 22:49:40
5104351867309960	,P1Pd8uFEA,感谢姑娘术后三个月的反馈，也祝身体早日康复,,,,,2024-11-24T21:43:02,iPhone 12 Pro Max,1,0,0,,,2024-11-24 21:43:02,False,7955789304,登不上去重新申请了一个号,5104316124497468	,P1OhuiRZO,腰腹 手臂 大腿内侧三个多月啦。因为身体原因吃激素药的关系，长胖了很多都130+斤，等这几天例假走了就开始减肥了！还好抽纸了，现在胖但是腰线在，小腹不会一圈游泳圈，手臂不会突起一坨肉，大腿内侧不会一直刮蹭到。@谢凯强体雕整形 ,,"https://wx2.sinaimg.cn/large/008GpGekgy1hvxji8pca1j31n61n6kcj.jpg,https://wx3.sinaimg.cn/large/008GpGekgy1hvxji995evj31mz1mzts5.jpg,https://wx4.sinaimg.cn/large/008GpGekgy1hvxji9tdhqj31o01o04js.jpg,https://wx2.sinaimg.cn/large/008GpGekly1hvxjigrkgrj30u00u0dh2.jpg","https://f.video.weibocdn.com/o0/LD7BMWatlx08jQiAJNSU010412003iOo0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732875995&ssig=UZsdDfjGks&KID=unistore,video",,2024-11-24T19:21:00,iPhone客户端,2,0,1,,谢凯强体雕整形,2024-11-24 19:21:00
5104351385489541	,P1Pcmn24Z,"感谢姑娘术后三个月的反馈
图上能看到顶光下还是有皮下增生的瘢痕显影，后面都还会再恢复的，目前腰型很漂亮 姑娘两个半月的回访反馈：
网页链接",,,,,2024-11-24T21:41:07,iPhone 12 Pro Max,0,0,0,,,2024-11-24 21:41:07,False,6437327853,gunsns别看了-,5103754355671111	,P1zFpnNjx,三个月了  腰真的变细了很多  也没有凹凸 恢复的挺好的 也不麻木了 但是塑身衣还在坚持穿 希望腰能更细  @谢凯强体雕整形 ,,"https://wx4.sinaimg.cn/large/0071En2Bgy1hvvr1xflydj317r17r11o.jpg,https://wx2.sinaimg.cn/large/0071En2Bgy1hvvr2j5hc3j32c02c0x1r.jpg,https://wx1.sinaimg.cn/large/0071En2Bgy1hvvr2jqb5zj30zo0zo79r.jpg,https://wx1.sinaimg.cn/large/0071En2Bgy1hvvr2kx829j32c02c04mm.jpg",,,2024-11-23T06:08:44,iPhone客户端,1,0,1,,谢凯强体雕整形,2024-11-23 06:08:44
5104351152441381	,P1PbZaf77,"脂肪填胸术后20天反馈#假体胸脂肪填充案例#胸部单侧填充220ml
姑娘主要是想改善胸上围不够饱满以及调整乳沟间距的问题，目前术后20天回访来看恢复的不错
术前及术后即刻：
网页链接
术后第二天反馈：
网页链接
吸脂#谢凯强体雕##脂肪填胸##术后反馈# ",,"https://wx4.sinaimg.cn/large/006odgL4ly1hvxnqbg1rlj30no0zkwfa.jpg,https://wx4.sinaimg.cn/large/006odgL4ly1hvxnp8gqrxj30u01fudi0.jpg","https://f.video.weibocdn.com/o0/kqNaP4vUlx08jQsDIKWI010412004iyI0E010.mp4?label=mp4_720p&template=720x1080.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1732875995&ssig=iap2qWQzHz&KID=unistore,video",,2024-11-24T21:40:11,iPhone 12 Pro Max,5,0,2,"假体胸脂肪填充案例,谢凯强体雕,脂肪填胸,术后反馈",,2024-11-24 21:40:11,True
5103916155668373	,P1DSnnMBn,"2024.4.30
【维密腰套餐➕脂肪填胯➕脂肪填臀】术后六个月
2024.11.23
【大腿内侧➕上臂➕二填胯】术后10天拆线
姑娘二次手术单纯只是为了取脂肪二填胯，不希望腿太细手臂太细，两次手术后变化还是很大的 ",,"https://wx4.sinaimg.cn/large/006odgL4gy1hvw9s7aihgj31kw1gde08.jpg,https://wx1.sinaimg.cn/large/006odgL4gy1hvw9s7rm7dj31kw1eu18x.jpg,https://wx3.sinaimg.cn/large/006odgL4gy1hvw9s9mlffj31kw1h4auo.jpg,https://wx2.sinaimg.cn/large/006odgL4gy1hvw9s8sw98j31kw1fxdzj.jpg,https://wx2.sinaimg.cn/large/006odgL4gy1hvw9s97lv6j31kw1hsqku.jpg",,,2024-11-23T16:51:40,iPhone 12 Pro Max,4,0,0,,,2024-11-23 16:51:40,True
5103828149472372	,P1BAqDKcc,感谢术后七个月的反馈,,,,,2024-11-23T11:01:58,iPhone 12 Pro Max,0,0,0,,,2024-11-23 11:01:58,False,6365329519,梅黛林2799,5103619759670570	,P1wajEzKW,"不知不觉维密腰➕填跨已经七个月了 恢复的很好 几乎没怎么反弹 现在我还会时不时的穿一下塑身衣维持着。自从做了维密腰我真的很爱买各种各样的包臀裙 显得身材特别好 凹凸有致！  以前我是H腰 现在的身材真的好爱呀
 我是做了半年的功课最后选择了xkq 他的技术真的可以 我目前是比较满意的 感谢你@谢凯强体雕整形",,"https://wx4.sinaimg.cn/large/006WMgZ9ly1hvvaw5uzv7j32c03404qq.jpg,https://wx1.sinaimg.cn/large/006WMgZ9ly1hvvaxoi24uj316o1m6npb.jpg,https://wx4.sinaimg.cn/large/006WMgZ9ly1hvvaxujl76j32c03731kz.jpg,https://wx3.sinaimg.cn/large/006WMgZ9ly1hvvay3e1t1j30wi72de83.jpg",,,2024-11-22T21:13:54,iPhone客户端,1,0,1,,谢凯强体雕整形,2024-11-22 21:13:54
