id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5104902500778675	,P23xg3gzh,//@好想给自己一榔头://@此生唯爱黄毛:转发微博,,,,,2024-11-26T10:11:02,🎀iPhone客户端,5,1,6,,"好想给自己一榔头,此生唯爱黄毛",2024-11-26 10:11:02,False,7926267052,我眼底的忧郁不是蓝色,5104720233103546	,P1YNhd1nc,你这颗善变的心是没有第三者的第三者 ,,,,,2024-11-25T22:06:46,iPhone客户端,14,1,18,,,2024-11-25 22:06:46
5104729979880524	,P1Z2ZFsni,我真的不舍得这个号毕竟好不容易一年了好想死 ,,,,,2024-11-25T22:45:31,🎀iPhone客户端,5,2,0,,,2024-11-25 22:45:31,True
5104642614629233	,P1WM5jqh3,我草泥马怎么会这样我居然通过v了 ,,,,,2024-11-25T16:58:22,🎀iPhone客户端,3,1,0,,,2024-11-25 16:58:22,True
5104625331994739	,P1Wkd8mVd,"如果我想换号了有没有人愿意跟我再续前缘的
 ",,,,,2024-11-25T15:49:40,🎀iPhone客户端,13,24,0,,,2024-11-25 15:49:40,True
5104624280011501	,P1Wiw02Zv,难道我要和这个号告别吗 ,,,,,2024-11-25T15:45:30,🎀iPhone客户端,4,1,1,,,2024-11-25 15:45:30,True
5104623901739428	,P1WhU7ivi,我感觉我的微博像飞机杯人人都可以进进出出我只是夸张的描述了一下我生活中的各种事情然后背后被人放大当笑料开玩笑 ,,,,,2024-11-25T15:44:00,🎀iPhone客户端,4,0,0,,,2024-11-25 15:44:00,True
5104622643709648	,P1WfSfz32,//@亚比欧尼:轉發微博,,,,,2024-11-25T15:39:00,🎀iPhone客户端,2,0,2,,亚比欧尼,2024-11-25 15:39:00,False,7622481989,龅与油之恋,5104423682965906	,P1R4Ycrzc,早上做娇妻中午做宝妈晚上做母狗 ,,,,,2024-11-25T02:28:24,,4,1,33,,,2024-11-25 02:28:24
5104617999830011	,P1W8nFfez,转发微博,,,,,2024-11-25T15:20:33,🎀iPhone客户端,3,0,0,,,2024-11-25 15:20:33,False,7942484578,此生唯爱黄毛,5104611528541186	,P1VXWzPX4,"不想回评论了好累啊
 以后我都不回评论了
 ",,,,,2024-11-25T14:54:50,,19,7,1,,,2024-11-25 14:54:50
5104594482627061	,P1Vwsb1pX,我草泥马我以后对我老公,,,,,2024-11-25T13:47:05,🎀iPhone客户端,2,0,1,,,2024-11-25 13:47:05,False,7922939038,川蜀明菜攻爆鸡丁,5082961500705525	,OyOcS2Xxr,【ONE岁】发现了红薯娇妻选的手机 很雷人的娇妻攻34……还是谨慎点进来吧 ,,"https://wx2.sinaimg.cn/large/008EbQnkgy1hu1f66udc2j30hs12hjuv.jpg,https://wx4.sinaimg.cn/large/008EbQnkgy1hu1f67tidlj30hs12hjv0.jpg,https://wx3.sinaimg.cn/large/008EbQnkgy1hu1f696vb4j30o20zkmys.jpg,https://wx3.sinaimg.cn/large/008EbQnkgy1hu1f6c5i4qj30hs12h410.jpg,https://wx2.sinaimg.cn/large/008EbQnkgy1hu1f6cuteaj30hs12hmzi.jpg,https://wx1.sinaimg.cn/large/008EbQnkgy1hu1f6dw5mnj30hs12jq5u.jpg",,,2024-09-26T21:05:21,,134,6,74,,,2024-09-26 21:05:21
5104586308191024	,P1VjgymRi,转发微博,,,,,2024-11-25T13:14:37,🎀iPhone客户端,3,0,0,,,2024-11-25 13:14:37,False,7904816946,不是说下大雪就好了吗,5104578444397943	,P1V6Ais6z,【对不起】已经做到边和蛇油一起走路边给朋友发信息咒骂蛇油的地步了 大家都很装 ,,,,,2024-11-25T12:43:22,,1818,403,117,,,2024-11-25 12:43:22
