id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期
5106005981795965	,P2wf47xdb,谢谢宝宝给我们写的评价，相信我们 ,,,,,2024-11-29T11:15:54,三星android智能手机,0,0,0,,,2024-11-29 11:15:54,False,5681542282,王子豪-Again,5105983269375750	,P2vEqDl3M,"轮廓两周发个后续✌️
目前已经两个周过去啦，本来觉得变化还好，但是找了客服小姐姐要了术前照片……我自己被惊讶住了🤣🤣🤣…下巴直接像换人一样。看了面部ct感觉变化更大 院长超级负责 中文室长小姐姐也超级负责 非常有耐心
希望未来能好好恢复越来越帅🥺到时候再换个发型！！恢复期要好好加油消肿了……建议宝宝们都来面一下arc雅阁家",,"https://wx3.sinaimg.cn/large/006cvaGKgy1hw2v6v6c97j315a0hr7ao.jpg,https://wx1.sinaimg.cn/large/006cvaGKgy1hw2v6vt43lj313a0j1n35.jpg",,,2024-11-29T09:45:39,iPhone客户端,0,0,1,,,2024-11-29 09:45:39
5106005557909144	,P2wenxbwQ,谢谢宝宝参与活动,,,,,2024-11-29T11:14:13,三星android智能手机,0,0,0,,,2024-11-29 11:14:13,False,7278520386,乔豆哦,5105791129882905	,P2qEwFsZH,"雅阁ARC
面诊了好多家医院感觉他们家院长聊起来最耐心最细心 听说我们一天没吃饭还给我们准备了小零食怕低血糖 他们家面诊下来就感觉不会盲目的人推项目根据你自己脸部条件来给你出方案 院长也特别耐心会听你的想法 现在有活动是写微博后记减300w 可以来面诊试试@雅阁整形外科医院 ",,"https://wx3.sinaimg.cn/large/007WzVE6gy1hw28zri9l9j30u0140dl7.jpg,https://wx2.sinaimg.cn/large/007WzVE6gy1hw28zrvlr3j30u014042g.jpg,https://wx2.sinaimg.cn/large/007WzVE6gy1hw28zqzzwmj30u01hcaqo.jpg",,,2024-11-28T21:02:09,iPhone客户端,0,0,1,,雅阁整形外科医院,2024-11-28 21:02:09
5105387416586485	,P2g9nrDrD,谢谢宝宝反馈,,,,,2024-11-27T18:17:56,三星android智能手机,0,0,0,,,2024-11-27 18:17:56,False,6875374875,一只呆呆兔_,5105252174925605	,P2cDfkFnf,"记录一下的arc商谈记录📝
在韩国面了大大小小的医院🏥, 记录一下我最后决定的医院ARC雅阁整形医院
感受：
1️⃣因为是不太做中国市场，所以来这边第一个和其他医院不一样的点就是没有中国人，都是韩国人和日本人，感觉能在日本市场做好的院长应该是精益求精的
2️⃣室长院长到翻译确实让我感觉到了专业，全程没有不耐烦
3️⃣比起其他千篇一律的流水线，更有针对性方案
4️⃣院长看起来很专业，一针见血的指出我问题，让人感觉很放心，麻醉师也是专业驻院的我。
因为很满意当天就定手术了，建议大家去面一下，真的不会后悔，马上进手术房期待一下效果@雅阁整形外科医院",,"https://wx1.sinaimg.cn/large/007vin59gy1hw0j4538lrj30u0140n3l.jpg,https://wx1.sinaimg.cn/large/007vin59gy1hw0j46nsnrj30u01hcjzx.jpg,https://wx2.sinaimg.cn/large/007vin59gy1hw0j4bodmjj30u01hcnb6.jpg,https://wx2.sinaimg.cn/large/007vin59gy1hw0j43ow37j30u0140gta.jpg",,,2024-11-27T09:20:32,iPhone 15,0,0,2,,雅阁整形外科医院,2024-11-27 09:20:32
5103128396958317	,P1jnNtcaV,,,,,,2024-11-21T12:41:24,三星android智能手机,0,0,0,,,2024-11-21 12:41:24,False,5681542282,王子豪-Again,5102043541275517	,P0Ra25lOR,"轮廓一周发个后续✌️
在ARC整形外科商谈后觉得全纯范院长首尔大毕业（我比较看中学历）而且这边的总体评价都是不错的，就选了这家
做完之后，第一个晚上真的很难熬……目前已经一个周过去啦，本来觉得变化还好，但是找了客服小姐姐要了术前照片……我自己被惊讶住了🤣🤣🤣…下巴直接像换人一样……都说轮廓是看不出来的变美整形我信了
希望未来能好好恢复越来越帅🥺到时候再换个发型！！恢复期要好好加油消肿了……建议宝宝们都来面一下arc雅阁家",,"https://wx2.sinaimg.cn/large/006cvaGKgy1hvqapviumwj30zk127q8i.jpg,https://wx2.sinaimg.cn/large/006cvaGKgy1hvqapw1rsij30zk1bf41a.jpg",,,2024-11-18T12:50:34,iPhone客户端,0,2,1,,,2024-11-18 12:50:34
5103128230232889	,P1jnx0YAh,男生宝宝写那么详细！赞,,,,,2024-11-21T12:40:43,三星android智能手机,0,0,0,,,2024-11-21 12:40:43,False,5681542282,王子豪-Again,5099906131297720	,OFV0V5rAY,"记录一下的轮廓商谈记录📝
在韩国面了大大小小的轮廓医院🏥, 记录一下我最后决定的轮廓医院ARC雅阁整形医院
感受：
1️⃣因为是不太做中国市场，所以来这边第一个和其他医院不一样的点就是没有中国人，都是韩国人和日本人，感觉能在日本市场做好的院长应该是精益求精的
2️⃣室长院长到翻译确实让我感觉到了专业，全程没有不耐烦
3️⃣比起其他千篇一律的流水线，更有针对性方案
方案共享：
颧弓颧骨重点在45度颧骨，45度颧骨推4mm左右，颧弓一起内进
下颌角做长曲线截骨，加批外板，耳下骨留角，整体面部变柔和精致，不要一刀切
下巴目前已经很精致，可做可不做，不做的话后期有可能会有略微显大，但不会有很大影响需要自己判断，一切数据术后可详细告知
因为很满意当天就定手术了，建议大家去面一下，真的不会后悔🤫，马上进手术房期待一下效果",,"https://wx4.sinaimg.cn/large/006cvaGKgy1hvjh8ncvjzj30u01hc130.jpg,https://wx1.sinaimg.cn/large/006cvaGKgy1hvjh8o3cxdj30u01hctom.jpg,https://wx3.sinaimg.cn/large/006cvaGKgy1hvjh8mjf0lj30zk1bftb5.jpg,https://wx3.sinaimg.cn/large/006cvaGKgy1hvjh8okqi8j32b60zkacp.jpg",,,2024-11-12T15:17:16,iPhone客户端,3,0,1,,,2024-11-12 15:17:16
5103127472637347	,P1jmjb45R,雅阁盛产美人,,,,,2024-11-21T12:37:43,三星android智能手机,0,0,0,,,2024-11-21 12:37:43,False,3641291344,老黑一只猪好玩吗,5101389836978012	,P0A9FthiA,终于画了个妆 轮廓21天 额头提升35 天 lbc鼻一年 ,,"https://wx2.sinaimg.cn/large/d909b250gy1hvo7mxvi03j20u0140wju.jpg,https://wx1.sinaimg.cn/large/d909b250gy1hvo7my8d3zj20u0140gr8.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001QTIEsgx08jDqxrNoA0f0f01005dmn0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F002PY5INgx08jDqxy6aQ0f0f01005m1m0k01.mov,,2024-11-16T17:32:59,iPhone客户端,3,8,1,,,2024-11-16 17:32:59
5103127363848029	,P1jm8g92Z,超美,,,,,2024-11-21T12:37:18,三星android智能手机,1,0,0,,,2024-11-21 12:37:18,False,3641291344,老黑一只猪好玩吗,5096013868041624	,OEhL4xJZC,"ARC轮廓 今天拆线了
正面看颧弓都进去了 侧面45度还在肿形状没出来（当时沟通的是45度留小角 感觉线条有柔和一些）
看CT感觉对比不是特别明显的那种 但是别人看我觉得变化还挺大的。暂时还是满意的 恢复看看 ",,"https://wx4.sinaimg.cn/large/d909b250gy1hv727d9hdkj21sc21y4qp.jpg,https://wx2.sinaimg.cn/large/d909b250gy1hv727f92dfj24eo3b0x6t.jpg,https://wx3.sinaimg.cn/large/d909b250gy1hv727hmopjj24eo3b0nph.jpg,https://wx2.sinaimg.cn/large/d909b250gy1hv727jmue6j24eo3b0qv8.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0023TPrMgx08jfLvmrMA0f0f0100eiY30k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F004rZRYIgx08jfLvzMc70f0f0100gkFO0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001NtlD2gx08jfLvNLI40f0f0100bMXi0k01.mov,,2024-11-01T21:30:48,iPhone客户端,8,15,1,,,2024-11-01 21:30:48
5103127246406537	,P1jlWqSDf,宝宝颧骨巨美哦,,,,,2024-11-21T12:36:50,三星android智能手机,0,0,0,,,2024-11-21 12:36:50,False,3641291344,老黑一只猪好玩吗,5093053625275553	,OD2Kum8pz,"雅阁ARC轮廓面诊日记：
看到很多人反馈这家医院面诊很认真就预约了
1:主要想改善颧骨的问题 两边不对称 45度过于凶了
2:医院环境很好 而且这家医院中文室长很认真 问的问题都要耐心回复，是我面了几家医院觉得服务态度最好的。
我的诉求就是千万不要脸变长 颧弓狠狠推 45度留小角最高点平行于眉弓。高光点内收提高折叠度
3:见到院长院长直接就指出了我不对称的问题，并且有给我测量面部比例，最主要的是他直接指出了我是不是怕脸变长（脸本来就长是我的心病了）
4:院长指出我的问题 左脸主要是颧弓外扩（我一直以为左脸是因为颧骨太高了，左脸大概能推6。 右脸是45度比较高一些 调整对称右脸颧弓推2主要磨45度
左边推的多打磨耳前骨（这个很犹豫 主要怕有后遗症 不磨又怕影响效果）
总体来说院长讲的真的很认真 是很值得去面的 面诊费5W",,"https://wx1.sinaimg.cn/large/d909b250gy1huxm7xfv50j22c0340b2a.jpg,https://wx1.sinaimg.cn/large/d909b250gy1huxm7yszbrj22c03404qr.jpg,https://wx4.sinaimg.cn/large/d909b250gy1huxm81s95dj23b04eou12.jpg",https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001JJw4ogx08j2JH5yIM0f0f0100etLS0k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F001fWyaOgx08j2JHs8h10f0f0100lOn00k01.mov;https://video.weibo.com/media/play?livephoto=https%3A%2F%2Flivephoto.us.sinaimg.cn%2F0031oKFmgx08j2JHEdWv0f0f0100dOkO0k01.mov,,2024-10-24T17:27:51,iPhone客户端,4,0,2,,,2024-10-24 17:27:51
5103127059762837	,P1jlDEXL7,谢谢宝宝的后记＞＜！！,,,,,2024-11-21T12:36:05,三星android智能手机,1,0,0,,,2024-11-21 12:36:05,False,5889038947,凶柿炒蛋拌饭王,5102406779799181	,P10BTF7dj,"2024.11.18 韩国Arc 雅阁整形外科面诊记录@雅阁整形外科医院  （价值50w
第一次听到名字是去年大概11月12月@天天都要吃泡菜 提到过可以去面诊看看（其实开始害怕，没太考虑韩国做这种大手术 所以印象不深后来看聊天记录又确认了下
想来韩国面额头提升有朋友劝可以面面韩国颧骨！8月底9月初那时候 8年纪就认识的日本铁子做完正颌后我们聊天 她说起来她的发小姐姐在韩国雅阁做了轮廓做的很好 以前去日本找她玩见过这个姐姐 我马上联系 我们whatsapp视频 她跟以前变化巨大 做的很像周子瑜（她本身就是小头小脸） 我们聊了蛮久，她说雅阁在韩国人和日本人中真的蛮出名 
我一直对我颧骨到底动不动超纠结，没有很明显的指征，但左右不对称形态太明显，加上形态真的有点土土的
9月底 我下定决定要动颧骨 10月初跟雅阁直接定金定住了11.19号手术
今天面诊 医院占9层一层楼 院里人所有人都超nice  前台 咨询 中文室长（还见到了日本室长） 都超有礼貌超和善 面诊过程很长 每一个需求都是有来有回 有问必答 没有乱推项目 看到我对项目有疑虑也理解我 说可以先不用做
1、先问了院长履历：院长是首尔大毕业 之前是欧佩拉的代表院长 2021年11月 独立出来开创了雅阁 手术经历20多年
2、什么样的颧骨形态适合我：我面中凹陷+鼻基底凹陷（院长和咨询都建议以后一定要do鼻和鼻基底
我真的鼻子超丑），不能推极致，不会好看，这和我的观念也一致，我自己也喜欢柔和一些的颧骨（p1@陈桃子_ 的功课这张宋慧乔拼图是我的模版，又找了些乔妹和irene的图 她们是我模版）
3、颧骨一边大一边小，尽力调对称（我真的很在乎对称问题谁懂啊
！！！）左边颧弓推4mm，颧骨2mm 保留45度 不去骨. 右边颧骨比左边大蛮多，需要去骨. 颧骨45度不横切 留角（不一刀切，要留角） 我不是个短脸！非常在意脸绝对不能显的更长！我坚决拒绝变马脸变驴脸！这个我等下术前还要跟院长面诊强调一下！
4、耳前骨单独算部位不包含在颧骨1件套价格内，单独项目需要磨一下
5、关于耳前韧带固定，朋友告诉我这个地方松垮或者固定不好后续问题很大. 院长说他不会碰到耳前韧带不会剥离到韧带，不需要担心这个问题
6、退颧骨后 嘴位变化问题，院长说这个问题一定程度上不可预测，但他会在剥离过程中帮我好好保护，尽量做到不造成嘴位下降
7、关于皮肉和垂的问题，院长说我的法令纹尤其右边会有一丢丢挤压，所以建议我术中或者后期一定做个鼻基底. 
8、我问了下院长我颏成型和颏侧会不会太保守 再多切一点会不会有改善 雅阁院长说我颏成型和颏侧 ljf做的很顺滑 衔接很好 留大角不显脸长也符合我要求 目前看没有再二切的必要
9、关于价格 颧骨一件套520w+磨耳前骨130w 目前医院的活动是（p8），一件套一共100w优惠： 面诊后24小时面诊记录50w，一周 两周 1个月记录 25w  ，2个月 3个月 半年25w. 
10、手术全程都可以cctv公示 院长独立完成 保证绝对没有换手和其他意外情况！
等一下手术啦 祝我好运
术前院长还会跟我确定一下细节
这是一条价值50w的面诊记录 没抽象 不是托儿 素人一个 医院现在活动写面诊记录有50w优惠#韩国雅阁整形外科##Arc#",,"https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf7v858j31gy0qo44z.jpg,https://wx2.sinaimg.cn/large/006qxO39gy1hvrgf8ccy1j30qo0ypjv9.jpg,https://wx1.sinaimg.cn/large/006qxO39gy1hvrgf8zmclj30qo1lt448.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf9o5w5j30qo0wlq7f.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgfa79f8j30qo0z0q6t.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgfbxox0j30ro0qoafq.jpg,https://wx1.sinaimg.cn/large/006qxO39gy1hvrgfcfvf1j30qo0y2tbk.jpg,https://wx4.sinaimg.cn/large/006qxO39gy1hvrgfd3ipij30qo11haew.jpg,https://wx3.sinaimg.cn/large/006qxO39gy1hvrgf70y5pj33b04eox6s.jpg,https://wx4.sinaimg.cn/large/006qxO39gy1hvrgfpriymj33b04eox6s.jpg,https://wx2.sinaimg.cn/large/006qxO39gy1hvrh834e3ej32c0340npf.jpg",,,2024-11-19T12:53:57,iPhone 15 Pro,19,10,4,"韩国雅阁整形外科,Arc","雅阁整形外科医院,天天都要吃泡菜,陈桃子_",2024-11-19 12:53:57
5102450574886641	,P11KxkveN,"拒绝轮廓手术后脸更长
通过骨头改变脸部比例
拒绝马脸❣️❣️
雅阁轮廓真正做到为你着想#韩国轮廓手术##韩国整形# ",,https://wx3.sinaimg.cn/large/008tbyREgy1hvrlgohtdvj30u60u0gou.jpg,,,2024-11-19T15:47:59,三星android智能手机,0,0,1,"韩国轮廓手术,韩国整形",,2024-11-19 15:47:59,True
